"month_reported","state","make","model","color","year","last_inspection_month","number_of_trips","multiple_tnps"
"2022-06","IL","Ford","Focus","Silver","2012","2022-05","0","false"
"2022-06","IL","Toyota","Sienna","White","2021","2021-09","114","true"
"2022-06","FL","Nissan","Altima","Silver","2020","2021-11","227","false"
"2022-06","IL","Hyundai","Tucson","Silver","2018","2022-06","0","false"
"2022-06","IL","Honda","Civic","Silver","2015","2021-11","25","false"
"2022-06","IL","Ford","Fusion Hybrid","White","2017","2021-12","94","true"
"2022-06","IL","Chevrolet","Suburban","Black","2017","2021-11","12","false"
"2022-06","IL","Mitsubishi","Outlander Sport","Blue","2011","2021-10","199","false"
"2022-06","IL","Acura","Mdx","White","2016","2021-10","346","false"
"2022-06","IL","Honda","Hr-V","Silver","2019","2022-03","304","false"
"2022-06","IL","Toyota","Sienna","Green","2011","2021-11","0","false"
"2022-06","IL","Tesla","Model 3","Red","2022","2022-04","46","false"
"2022-06","IL","Toyota","Camry","Green","2011","2022-06","94","true"
"2022-06","IL","Hyundai","Santa Fe","Black","2016","2021-09","0","false"
"2022-06","IL","Honda","Insight","Blue","2013","2021-07","8","true"
"2022-06","IL","Toyota","Prius","Silver","2012","2022-02","200","false"
"2022-06","IL","Toyota","Corolla Cross","Silver","2022","2022-06","57","false"
"2022-06","IL","Ford","Fusion","Black","2017",,"0","false"
"2022-06","IL","Hyundai","Elantra","Black","2022","2022-06","7","false"
"2022-06","IL","Toyota","Highlander","Silver","2019","2021-11","0","true"
"2022-06","IL","Infiniti","Qx60","Black","2015","2021-08","180","false"
"2022-06","IL","Toyota","Camry","Gold","2012","2022-02","14","true"
"2022-06","IL","Toyota","Sienna","Red","2012","2022-01","500","false"
"2022-06","IL","Subaru","Outback","Gray","2018","2022-04","0","false"
"2022-06","IL","Nissan","Armada","Silver","2010","2021-09","174","false"
"2022-06","IL","Honda","Cr-V","Black","2021","2021-09","649","false"
"2022-06","IL","Dodge","Durango","Red","2012","2022-04","12","false"
"2022-06","IL","Hyundai","Tucson","Black","2022","2022-03","0","false"
"2022-06","IL","Toyota","Corolla","Black","2008","2022-03","347","false"
"2022-06","IL","Kia","Sorento","Red","2021","2022-05","0","false"
"2022-06","CA","Buick","Encore","White","2020",,"128","true"
"2022-06","CA","Bmw","X3","Black","2016","2022-01","0","false"
"2022-06","IL","Dodge","Grand Caravan","Blue","2019","2022-06","184","false"
"2022-06","IL","Toyota","Rav4 Hybrid","White","2022","2022-05","478","false"
"2022-06","IL","Ford","Fusion","Black","2016","2022-01","2","true"
"2022-06","IL","Toyota","Prius","Blue","2012","2022-05","85","false"
"2022-06","IL","Kia","Spectra","Silver","2009","2021-07","0","false"
"2022-06","IL","Chevrolet","Cruze","Silver","2014","2022-04","0","false"
"2022-06","IL","Volkswagen","Jetta","Black","2008","2022-02","104","false"
"2022-06","IL","Kia","Optima","Green","2017","2022-02","1","false"
"2022-06","IL","Lincoln","Mkt","Black","2014","2022-06","29","false"
"2022-06","IL","Toyota","Camry","Gold","2011","2021-06","0","false"
"2022-06","FL","Jeep","Compass","White","2018",,"87","false"
"2022-06","IL","Toyota","Sienna","Black","2015","2021-10","0","false"
"2022-06","IL","Honda","Odyssey","Red","2013","2022-02","158","true"
"2022-06","IL","Nissan","Rogue","Black","2021","2022-05","0","false"
"2022-06","IL","Chevrolet","Tahoe","Black","2010","2021-09","0","false"
"2022-06","IL","Kia","K5","Gold","2022","2021-10","0","false"
"2022-06","IL","Jeep","Cherokee","Blue","2021","2022-01","0","false"
"2022-06","IL","Buick","Enclave","Gray","2012","2021-08","0","false"
"2022-06","IL","Toyota","Corolla","Red","2019","2022-02","19","false"
"2022-06","IL","Lexus","Gs","Red","2013","2021-09","0","false"
"2022-06","IN","Honda","Accord","Silver","2021","2021-08","0","false"
"2022-06","IL","Hyundai","Elantra","Red","2019","2022-01","240","true"
"2022-06","IL","Honda","Cr-V","Blue","2018","2022-03","4","false"
"2022-06","IL","Dodge","Grand Caravan","Red","2010","2022-05","201","false"
"2022-06","IN","Honda","Accord","Silver","2018","2022-03","0","false"
"2022-06","IL","Toyota","Camry Hybrid","Silver","2014","2022-03","190","false"
"2022-06","IL","Ford","Escape","Black","2012","2022-05","0","false"
"2022-06","IL","Chevrolet","Impala","Red","2014","2022-04","7","false"
"2022-06","IL","Kia","Seltos","Black","2021","2022-04","0","false"
"2022-06","IL","Nissan","Rogue","Black","2010","2022-04","69","false"
"2022-06","TX","Toyota","Rav4","Silver","2018","2022-02","0","true"
"2022-06","IL","Honda","Accord","White","2012","2022-06","56","true"
"2022-06","IL","Hyundai","Tucson","Silver","2019","2022-02","68","false"
"2022-06","IL","Toyota","Highlander Hybrid","Gray","2021","2022-02","49","false"
"2022-06","IL","Ford","Escape","Silver","2008","2022-06","99","false"
"2022-06","IL","Toyota","Sienna","Silver","2012","2021-09","221","false"
"2022-06","IL","Jeep","Compass","Black","2014","2022-03","54","false"
"2022-06","IL","Toyota","Corolla","Black","2015","2022-05","93","false"
"2022-06","IL","Ford","Fusion","Red","2013","2022-05","118","false"
"2022-06","IL","Toyota","Rav4","Silver","2006","2021-06","0","false"
"2022-06","IL","Dodge","Grand Caravan","White","2019","2022-02","25","false"
"2022-06","IL","Dodge","Avenger","Silver","2014","2022-04","73","true"
"2022-06","IL","Toyota","Camry","White","2022","2022-04","0","false"
"2022-06","IL","Kia","Spectra","Silver","2009","2021-07","0","false"
"2022-06","IL","Honda","Accord","Gray","2008","2021-09","0","false"
"2022-06","IL","Chevrolet","Cruze","Silver","2014","2022-04","0","false"
"2022-06","IL","Toyota","Prius Plug-In","Silver","2013","2022-03","0","false"
"2022-06","IL","Chrysler","200","Red","2015","2022-03","88","true"
"2022-06","IL","Toyota","Rav4","Silver","2014","2021-07","0","false"
"2022-06","IL","Jeep","Grand Cherokee","Blue","2020","2021-10","0","false"
"2022-06","IL","Chevrolet","Traverse","Black","2020","2022-02","104","true"
"2022-06","IL","Toyota","Prius","Red","2022","2021-11","0","false"
"2022-06","IL","Kia","Optima","Red","2010","2021-10","51","false"
"2022-06","IL","Chevrolet","Equinox","Blue","2019","2021-09","41","false"
"2022-06","IN","Chevrolet","Impala","Silver","2017","2022-03","14","true"
"2022-06","IL","Volkswagen","Atlas","White","2021","2022-03","0","false"
"2022-06","IL","Volkswagen","Passat","Silver","2014","2021-08","0","false"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2021-09","442","true"
"2022-06","FL","Ford","Fusion","Red","2018","2022-06","24","false"
"2022-06","IL","Toyota","Sienna","Black","2022","2021-10","0","false"
"2022-06","IL","Hyundai","Elantra","Silver","2014","2022-04","0","false"
"2022-06","IL","Nissan","Rogue","Black","2021","2022-05","0","false"
"2022-06","IL","Honda","Accord","Blue","2021","2022-07","0","false"
"2022-06","IL","Ford","Fusion","Gray","2014","2021-12","124","true"
"2022-06","IL","Chevrolet","Equinox","Silver","2019","2021-09","343","false"
"2022-06","IL","Toyota","Prius","White","2013","2021-09","94","false"
"2022-06","IL","Hyundai","Elantra Touring","Silver","2014","2022-01","0","false"
"2022-06","IA","Jeep","Cherokee","Black","2020","2021-11","0","false"
"2022-06","IL","Toyota","Corolla","White","2018","2021-07","320","true"
"2022-06","IL","Tesla","Model S","Black","2014","2022-02","54","false"
"2022-06","IL","Kia","Seltos","Blue","2022","2022-02","45","true"
"2022-06","IL","Ford","Escape","Black","2017","2022-01","238","true"
"2022-06","IL","Dodge","Grand Caravan","Red","2019","2021-08","24","false"
"2022-06","IL","Nissan","Sentra","Blue","2013","2022-05","0","false"
"2022-06","IL","Toyota","Camry","Silver","2007","2022-04","0","false"
"2022-06","IL","Honda","Accord","Gray","2020","2022-06","67","false"
"2022-06","IL","Honda","Cr-V","Gray","2020","2022-03","0","false"
"2022-06","IL","Acura","Ilx","Black","2018","2022-06","271","true"
"2022-06","IL","Kia","Soul Ev","Black","2018","2022-06","7","false"
"2022-06","IL","Nissan","Versa","Silver","2010","2022-01","75","false"
"2022-06","IL","Toyota","Prius","Black","2011","2022-06","383","true"
"2022-06","WI","Honda","Accord","Blue","2016","2022-03","0","true"
"2022-06","IL","Nissan","Maxima","Purple","2014","2022-01","169","true"
"2022-06","IL","Hyundai","Sonata","White","2017","2022-05","20","false"
"2022-06","IL","Ford","Focus","Silver","2016","2022-06","307","false"
"2022-06","IL","Toyota","Prius","Silver","2021","2021-12","119","false"
"2022-06","IN","Chevrolet","Malibu","Black","2015","2022-05","73","false"
"2022-06","IL","Honda","Ridgeline","Blue","2007","2022-05","84","false"
"2022-06","IL","Toyota","Prius","White","2010","2021-06","0","false"
"2022-06","IL","Toyota","Sienna","Silver","2009","2022-04","198","false"
"2022-06","IL","Chevrolet","Trax","White","2018","2022-01","341","true"
"2022-06","IL","Acura","Mdx","Black","2016","2022-04","0","false"
"2022-06","IL","Gmc","Terrain","Black","2022","2022-06","26","true"
"2022-06","IL","Nissan","Sentra","Black","2020","2021-12","68","true"
"2022-06","IL","Gmc","Yukon Xl","Black","2017","2022-04","3","false"
"2022-06","IL","Honda","Pilot","Black","2015","2022-02","0","false"
"2022-06","IL","Toyota","Corolla","Blue","2021","2021-09","11","false"
"2022-06","IN","Chevrolet","Equinox","White","2018","2021-08","0","false"
"2022-06","IL","Ford","Escape","Black","2021","2022-02","29","false"
"2022-06","IL","Kia","Forte","Black","2016","2021-10","4","false"
"2022-06","IL","Toyota","Camry Hybrid","Black","2015","2022-06","451","true"
"2022-06","IL","Nissan","Sentra","Silver","2010","2022-04","70","true"
"2022-06","IN","Chevrolet","Equinox","Blue","2019","2021-09","0","false"
"2022-06","IL","Honda","Civic","Black","2018","2021-06","1","false"
"2022-06","FL","Chevrolet","Malibu","Blue","2018","2022-03","305","false"
"2022-06","IL","Honda","Odyssey","Black","2022","2022-04","0","false"
"2022-06","IL","Toyota","Camry","Silver","2012","2022-03","0","false"
"2022-06","IL","Chevrolet","Traverse","Silver","2013","2022-02","47","false"
"2022-06","IL","Acura","Mdx","Gray","2016","2022-02","0","false"
"2022-06","IL","Toyota","Corolla","Black","2019","2022-06","501","false"
