"title","date_and_time","begins","ends","city_or_town","neighbourhood_id","neighbourhood","where","cost","event_category","event_type","event_link","event_venue","event_id","where_to_purchase_tickets","tickets_phone","category_calendar","web_link","public_engagement_category","short_description","project_name","additional_information","notes_1","notes_2"
"Adult Open Studio | Framing your Artwork","Thursday, August 18, 2022, 7 - 9pm","2022-08-18T18:00:00.000","2022-08-18T21:00:00.000","Edmonton","1090","Downtown","Art Gallery of Alberta","$25","Other","COE Submitted Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160328246","Art Gallery of Alberta","160328246","https://shop.youraga.ca/11503/12517",,"City of Edmonton|Exhibits","https://www.youraga.ca/events-features/calendar/adult-open-studio-framing-your-artwork",,"Framing can be expensive, but it doesn’t have to be if you do it yourself.",,,,
"Hamilton","Thursday, July 7, 2022, 8 - 10:45pm","2022-07-07T19:00:00.000","2022-07-07T22:45:00.000","Edmonton",,,"Northern Alberta Jubilee Auditorium","$84+","Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160005118","Northern Alberta Jubilee Auditorium","160005118","Ticketmaster: https://www.ticketmaster.ca/artist/2336213?venueId=139306&_gl=1*1boyw00*_gcl_aw*R0NMLjE2NTM5NjUwNDkuQ2p3S0NBandwN2VVQmhCZUVpd0FaYkh3a1ZzMEM0NEEtMnR4THRwdUpMZGVsMV9nQkJDa2M0N0JJaW96cTdxSXZoQm9xeGZRa0hUUGp4b0NKREVRQXZEX0J3RQ..&_ga=2.161162621.1503872208.1653932439-27754755.1652808343&_gac=1.51462491.1653965048.CjwKCAjwp7eUBhBeEiwAZbHwkVs0C44A-2txLtpuJLdel1_gBBCkc47BIiozq7qIvhBoqxfQkHTPjxoCJDEQAvD_BwE",,"City of Edmonton|Theatre","https://edmonton.broadway.com/shows/hamilton/",,"Broadway favourite Hamilton arrives in Edmonton!",,,"HAMILTON is the story of America then, told by America now. Featuring a score that blends hip-hop, jazz, R&B and Broadway, HAMILTON has taken the story of American founding father Alexander Hamilton and created a revolutionary moment in theatre—a musical that has had a profound impact on culture, politics, and education. With book, music, and lyrics by Lin-Manuel Miranda, direction by Thomas Kail, choreography by Andy Blankenbuehler, and musical supervision and orchestrations by Alex Lacamoire, HAMILTON is based on Ron Chernow’s acclaimed biography. It has won Tony®, Grammy®, and Olivier Awards, the Pulitzer Prize for Drama, and an unprecedented special citation from the Kennedy Center Honors.",
"2022 EHS Garden Festival","Sunday, August 21, 2022, 11am - 3pm","2022-08-21T10:00:00.000","2022-08-21T15:00:00.000","Edmonton","1160","Parkdale","Parkdale-Cromdale Community League (11335 85 Street NW, Edmonton)","Free entry, attendees can choose to spend money at vendors.","Education,Environment,Family / Children,Festivals","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161766594","Other","161766594","n/a","n/a","City of Edmonton|Trade Shows","https://edmontonhort.com/event/garden-festival/",,"Family-friendly garden festival that unites gardening non-profits, and the public for an afternoon of vendors, learning, food, face-painting, etc.",,"Vendors/Educators(as of time of writing) are: Edmonton Seedy Sunday, Wagner Natural Area Society, Edmonton Native Plant Society, Edmonton African Violet & Gesneriad Society, 102.3 NOW radio Trucksicle. Facepainting will be done by @misskellystudio on Instagram","The EHS 2022 Garden Fest is here!On August 21st, 2022 @ 11:00am - 3:00pm, join us at the Parkdale-Cromdale Community League (11335 85st Edmonton) for an afternoon of gardening-related fun and learning for all ages! Activities include vendors, educators, face-painting, photos, food, and more!",
"PLANET B ""Stories From Beyond The Stars""","Thursday, August 18, 2022, 11pm - 12am","2022-08-18T22:00:00.000","2022-08-19T00:00:00.000","Edmonton","5480","Strathcona","The Lumos Dental Stage, 9562 82 Ave NW, Edmonton, AB T6C 1B9","16","Festivals,Theatre","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161738052","Other","161738052","https://tickets.fringetheatre.ca/event/601:4297/",,"City of Edmonton|Theatre","https://tickets.fringetheatre.ca/event/601:4297/",,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents: PLANET B ""Stories From Beyond The Stars""",,,"Grindstone Theatre School’s Long-Form Improv Conservatory Presents:PLANET B""Stories From Beyond The Stars""In a universe not too distant from ours; in a time not too distant from now, lives a people, not too distant from ourselves! Welcome to Planet B! Grindstone's Improv Conservatory brings you ""Stories from Beyond the Stars"", a sci-fi exploration of comedies and tragedies that are out of this world!Performers:Christopher Corbett, Ed Picard, Heather Nicholson, Julie Sucie, Tylor Ell, Ben Rollans, Marie Carrillos Avalos, Lea DuCoeur, Monica Gate Directed by: Lee Boyes  Show Times: August 12 - 11:00PM / August 13 - 7:30PM / August 14 - 4:00PM / August 15 - 7:30PMAugust 17 - 9:15PM / August 19 - 11:00PM / August 20 - 2:15PM / August 21 - 5:15PM Tickets: $13 + $3 Fringe Processing FeeTickets available here: https://tickets.fringetheatre.ca/event/601:4297/",
"Old Strathcona Public Realm Strategy Survey","Ongoing through Sunday, August 28, 2022, 11:55pm","2022-08-10T07:00:00.000","2022-08-28T23:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161792017",,"161792017",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/5tQZ3xU9Afb5tS4QdRo1Ff","Surveys and Focus Groups",,"Old Strathcona",,"The Old Strathcona Public Realm Strategy will imagine a new future for public spaces in Old Strathcona.&nbsp;Public spaces include parks, parking lots, plazas, alleyways and streets.&nbsp;This survey will gather ideas and feedback from Edmontonians.<a href=""https://www.edmontoninsightcommunity.ca/c/a/5tQZ3xU9Afb5tS4QdRo1Ff"" target=""_blank""><strong>Start the survey here</strong></a>",
"Bike Wayfinding Survey","Ongoing through Sunday, August 21, 2022, 11:55pm","2022-08-04T07:00:00.000","2022-08-21T23:55:00.000","Edmonton",,,"Online",,"Survey","Public Engagement","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161731826",,"161731826",,,"Public Engagement|External","https://www.edmontoninsightcommunity.ca/c/a/5jSnXvVDRpBUulYRh52Qj","Surveys and Focus Groups",,"Bike Wayfinding",,"The City of Edmonton is updating the&nbsp;Bike Route Wayfinding&nbsp;to help people find their way along bike routes and shared pathways outside of the river valley.&nbsp; We have put up new wayfinding signs on bike routes in Strathcona, and we are looking for some feedback.<a href=""https://www.edmontoninsightcommunity.ca/c/a/5jSnXvVDRpBUulYRh52Qj"" target=""_blank""><strong>Start the survey here</strong></a>",
"Music is Medicine 2022","Friday, July 15, 2022, 12 - 1pm","2022-07-15T11:00:00.000","2022-07-15T13:00:00.000","Edmonton","5200","Garneau","Across from the University of Alberta Hospital's 112 St Entrance (at the picnic tables)","Free","Performing Arts / Culture","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160825018","Old Strathcona,University of Alberta,Other","160825018",,,"City of Edmonton|Concerts / Performances","https://www.friendsofuah.org/news-1-1/2022/7/6/music-is-medicine-2022-line-up",,"Music is Medicine music series is back for another summer!",,,"The Friends of University Hospital's annual Music is Medicine music series is back for another summer! We’re thrilled that so many local musicians will be coming by the University of Alberta Hospital and performing for the community! This year’s line-up includes some of our past performers such as The Aquarius Duo (performed in 2021), Lindon Carter (performed in 2021), Karimah (performned in 2019), and Kimberley MacGregor (performed in 2021). Joining our Music is Medicine family are VISSIA, Josh Sahunta, and Matthew and The Keys! We’re incredibly excited to see so many amazing performers! Performers and dates are listed below. Performances will be held at the picnic tables across from the University of Alberta Hospital’s 112 St Entrance. All performances are subject to rescheduling if the weather chooses not to cooperate, though we will try to reschedule if it happens. Welcome to summer!",
"Movies on the Square presents 'Labyrinth'","Tuesday, August 30, 2022, 6 - 11pm","2022-08-30T17:00:00.000","2022-08-30T23:00:00.000","Edmonton",,,"Sir Winston Churchill Square","FREE!","Family / Children,Major Events","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d161897164","Sir Winston Churchill Square","161897164",,,"Churchill Square","https://www.edmonton.ca/MoviesOnTheSquare",,"FREE outdoor movie event featuring 'Labyrinth'",,"<a href=""https://www.edmonton.ca/MoviesOnTheSquare"" target=""_blank"">Movies on the Square</a> is back in Sir Winston Churchill Square! Tonight&rsquo;s feature is <em><strong>Labyrinth</strong></em>. Bring your lawn chair and soak in Edmonton&rsquo;s warm summer evening while watching this cult classic on a three-story high inflatable screen. Pre-movie entertainment starts at 6 p.m. Dress up for a chance to win prizes for best costume. The movie will start at dusk (approx. 8:30 p.m.). Food trucks will be on-site. Admission is FREE!",,
"Poetry in the Park","Wednesday, July 27, 2022, 6:30 - 8:30pm","2022-07-27T17:30:00.000","2022-07-27T20:30:00.000","Edmonton","1140","McCauley","Giovanni Caboto Park, 95 street and 108 a Avenue","free","Other","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160312248","Other","160312248","No tickets needed","5879208272","City of Edmonton|Other",,,"Free Public Poetry Workshop and Open Mic",,"pens, notebooks and refreshments will be provided",,
"Animethon 2022","Friday, August 5 - Sunday, August 7, 2022","2022-08-05T00:00:00.000","2022-08-08T00:00:00.000","Edmonton",,,"Edmonton Convention Centre","Tickets range from $35-$65.","Exhibits","COE Events","https://www.edmonton.ca/attractions_events/schedule_festivals_events/events-calendar?trumbaEmbed=view%3devent%26eventid%3d160109501","Shaw Conference Centre","160109501","www.animethon.org and at the door (while supplies last)",,"City of Edmonton|Exhibits","http://www.animethon.org",,"Animethon is a full 3-day summer Japanese pop culture festival",,,"Animethon is a full 3-day summer festival for fans of anime, gaming, Japanese pop culture, and related interests taking place at the Edmonton Convention Centre, August 5-7, 2022.Come check out the panels, demonstrations, and other activities such as:-Amazing Cosplay-Exciting Gaming Tournaments with a HUGE Gaming Room!-Intriguing Anime-Outstanding AMVs, Concerts, Dance, and Maid Cafe-Unique Artists and Vendors-and some very special guests.But that's not all. Visit our website for full details, www.animethon.org.Tickets range from $35-$65.Children 12 and under are free when accompanied by a paying adult.",
