"geometry_point","address","city","country","email","hours","latitude","location_id","location_name","locationguid","locationtype","longitude","phone_number","phone_title","postal_code","province","quadrant","quadrantcode","short_code","short_name","time_zone","website_url"
"POINT (-113.34565 53.27304)","2051 Leger Road NW","Edmonton","CA",,"6am-11pm","53.27304","5708","Terwillegar Arena","1FEF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.34565",,"Main","T6R 0R9","Alberta","South West","SWEST","TRCARN","Terwillegar Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.28213 53.35403)","13340 85 Street NW","Edmonton","CA",,"6am-11pm","53.35403","614","Glengarry Arena","55EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.28213",,"Main","T5E 2Z8","Alberta","North East","NEAST","GGA","Glengarry Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.28064 53.3057)","9105 80 Avenue NW","Edmonton","CA",,"6am-11pm","53.3057","623","Donnan Arena","5FEF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.28064",,"Main","T6C 0N9","Alberta","South East","SEAST","DONA","Donnan Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.25562 53.31099)","8311 68 A Street NW","Edmonton","CA",,"6am-11pm","53.31099","655","Kenilworth Arena","7FEF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.25562",,"Main","T6B 1T3","Alberta","South East","SEAST","KWA","Kenilworth Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.26466 53.34294)","6725 121 Avenue NW","Edmonton","CA",,"6am-11pm","53.34294","599","Russ Barnes Arena","41EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.26466",,"Main","T5B 0Y7","Alberta","North East","NEAST","RBA","Russ Barnes Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.30498 53.27049)","9100 Walterdale Hill NW","Edmonton","CA",,"5:30am-10:30pm M-F, 6:30am-10pm Sat, 7am-10pm Sun","53.27049","3","Kinsmen Sports Centre","4EED67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.30498",,"Main","T6E 2V3","Alberta","South West","SWEST","KSC","Kinsmen","MST","https://www.edmonton.ca/activities_parks_recreation/kinsmen"
"POINT (-113.59292 53.54903)","15720 105 Avenue NW","Edmonton","CA",,"6am-11pm","53.54903","4358","Fred Broadstock Outdoor Swimming Pool","68EE67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.59292",,"Main","T5P 2Y6","Alberta","North West","NWEST","FBODP","Fred Broadstock Outdoor Swimming Pool","MST","https://www.edmonton.ca/activities_parks_recreation/fred-broadstock-outdoor-pool"
"POINT (-113.45465 53.56386)","7615 Borden Park Road NW","Edmonton","CA",,"6am-11pm","53.56386","4357","Borden Park Outdoor Pool","67EE67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.45465",,"Main","T5B 4W8","Alberta","North East","NEAST","BNSP","Borden Park Outdoor Pool","MST","https://www.edmonton.ca/activities_parks_recreation/borden-park-outdoor-pool"
"POINT (-113.513833 53.451361)","1979 111 Street NW","Edmonton","CA",,"6am-11pm","53.451361","624","Kinsmen Arena","60EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.513833",,"Main","T6J 7C6","Alberta","South West","SWEST","KNARENA","Kinsmen Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.47667 53.59286)","8804 132 Avenue NW","Edmonton","CA",,"6:30am-9pm M-Sat, 6;30am-6pm Sun","53.59286","16","O'Leary Leisure Centre","A2EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.47667",,"Main","T5E 0X8","Alberta","North East","NEAST","OLC","O'Leary","MST","https://www.edmonton.ca/activities_parks_recreation/oleary"
"POINT (-113.30068 53.30292)","10525 72 Avenue NW","Edmonton","CA",,"6am-11pm","53.30292","657","George S Hughes Southside Arena","83EF67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.30068",,"Main","T6E 0X1","Alberta","South West","SWEST","GSHA","George S Hughes Southside Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.55924 53.56084)","13808 111 Avenue NW","Edmonton","CA",,"6am-11pm","53.56084","17","Peter Hemingway Fitness & Leisure Centre","A9EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.55924",,"Main","T5M 2P2","Alberta","North West","NWEST","PHLC","Peter Hemingway","MST","https://www.edmonton.ca/activities_parks_recreation/peter-hemingway"
"POINT (-113.3113 53.28461)","11204 43 Avenue NW","Edmonton","CA",,"6am-11pm","53.28461","4062","Confederation Arena","43EE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.3113",,"Main","T5J 0X8","Alberta","South West","SWEST","COARENA","Confederation Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.26394 53.3626)","14520 66 Street NW","Edmonton","CA",,"6am-11pm","53.3626","4060","Londonderry Arena","41EE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.26394",,"Main","T5C 3R7","Alberta","North East","NEAST","LDARENA","Londonderry Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.3433 53.32196)","9940 147 Street NW","Edmonton","CA",,"6am-11pm","53.32196","42","Crestwood Arena","54EE67B3-6381-E811-911D-0050568AD1F0","Arenas","-113.3433",,"Main","T5N 4A6","Alberta","North West","NWEST","CSTWA","Crestwood Arena","MST","https://www.edmonton.ca/activities_parks_recreation/arenas"
"POINT (-113.37119 53.4578)","2704 17 Street NW","Edmonton","CA",,"5:30am-10:30pm M-F, 6am-10pm Sat|Sun","53.4578","5408","The Meadows Community Recreation Centre","FBEE67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.37119",,"Main","T6T 0X1","Alberta","South East","SEAST","TMCRC","The Meadows","MST","https://www.edmonton.ca/activities_parks_recreation/meadows"
"POINT (-113.38665 53.55649)","2909 113 Avenue NW Heart of Rundle Park","Edmonton","CA",,"6am-11pm","53.55649","21","ACT","D1EC67B3-6381-E811-911D-0050568AD1F0","Rec Centre","-113.38665",,"Main","T5W 0P3","Alberta","North East","NEAST","ACT","ACT","MST","https://www.edmonton.ca/activities_parks_recreation/act"
