Title,Zip Code,Website,Type,Phone Number,Agency,Location 1,Location 2
Albany DMV Office,97321,http://www.oregon.gov/ODOT/DMV/pages/offices/albany.aspx,DMV Location,541-967-2014,"Transportation, Department of ","2242 Santiam Hwy SE
Albany, OR 97321
(44.632897, -123.077928)",
Ashland DMV Office,97520,http://www.oregon.gov/ODOT/DMV/pages/offices/ashland.aspx,DMV Location,541-776-6092,"Transportation, Department of ","600 Tolman Creek Rd
Ashland, OR 97520
(42.184549, -122.671018)",
Astoria DMV Office,97103,http://www.oregon.gov/ODOT/DMV/pages/offices/astoria.aspx,DMV Location,503-325-3951,"Transportation, Department of ","705 W Marine Dr
Astoria, OR 97103
(46.17989, -123.85649)",
Baker City DMV Office,97814,http://www.oregon.gov/ODOT/DMV/pages/offices/bakercity.aspx,DMV Location,541-523-4355,"Transportation, Department of ","3370 10th St
Baker City, OR 97814
(44.789564, -117.840494)",Suite A
Beaverton DMV Office,97225,http://www.oregon.gov/ODOT/DMV/pages/offices/beaverton.aspx,DMV Location,503-299-9999,"Transportation, Department of ","10280 SW Park Way
Portland, OR 97225
(45.50802, -122.783236)",
Bend DMV Office,97701,http://www.oregon.gov/ODOT/DMV/pages/offices/bend.aspx,DMV Location,541-388-6322,"Transportation, Department of ","63030 O B Riley Rd
Bend, OR 97701
(44.088634, -121.308963)",
Brookings DMV Office,97415,http://www.oregon.gov/ODOT/DMV/pages/offices/brookings.aspx,DMV Location,541-469-2441,"Transportation, Department of ","97900 Shopping Center Ave
Brookings, OR 97415
(42.050254, -124.26113)",Suite 1
Burns DMV Office,97720,http://www.oregon.gov/ODOT/DMV/pages/offices/burns.aspx,DMV Location,541-573-6019,"Transportation, Department of ","252 S Date Ave
Burns, OR 97720
(43.583765, -119.050416)",
Canyonville DMV Office,97417,http://www.oregon.gov/ODOT/DMV/pages/offices/canyonville.aspx,DMV Location,541-839-4449,"Transportation, Department of ","241 NE Main St
Canyonville, OR 97417
(42.931232, -123.280803)",
Cave Junction DMV Office,97523,http://www.oregon.gov/ODOT/DMV/pages/offices/cavejct.aspx,DMV Location,541-592-3133,"Transportation, Department of ","103 S Kerby Ave
Cave Junction, OR 97523
(42.16711, -123.648319)",
Condon DMV Office,97823,http://www.oregon.gov/ODOT/DMV/pages/offices/condon.aspx,DMV Location,541-384-2224,"Transportation, Department of ","221 S Oregon St
Condon, OR 97823
(45.235128, -120.185879)",
Coos Bay DMV Office,97420,http://www.oregon.gov/ODOT/DMV/pages/offices/coosbay.aspx,DMV Location,541-269-9717,"Transportation, Department of ","1155 S Fifth St
Coos Bay, OR 97420
(43.35553, -124.217559)",
Coquille DMV Office,97423,http://www.oregon.gov/ODOT/DMV/pages/offices/coquille.aspx,DMV Location,541-269-9717,"Transportation, Department of ","749 Riverside Dr
Coquille, OR 97423
(43.177054, -124.187608)",Suite B
