"sex","province","district","product","n_startdate","n_plantdate","n_harvestdate","area","t_production_kg","t_prodcosts","num_participants"
"F","Manicaland","Buhera","Groundnuts","2012-01-01T00:00:00.000","2011-11-01T00:00:00.000","03/2012","0.1","200","569","1"
"F","Manicaland","Buhera","Groundnuts","2012-02-01T00:00:00.000","2011-11-01T00:00:00.000","04/2012","1.5","840","387","1"
"F","Manicaland","Buhera","Groundnuts","2011-12-01T00:00:00.000","2011-11-01T00:00:00.000","03/2012","0.5","540","1033","2"
"F","Manicaland","Buhera","Maize","2012-01-01T00:00:00.000","2011-12-01T00:00:00.000","03/2012","0.3","60","438","1"
"F","Manicaland","Buhera","Maize","2012-02-01T00:00:00.000","2011-11-01T00:00:00.000","04/2012","1.2","2000","239","1"
"F","Manicaland","Buhera","Maize","2011-12-01T00:00:00.000","2011-10-01T00:00:00.000","04/2012","0.2","150","518","1"
"F","Manicaland","Buhera","Maize","2011-12-01T00:00:00.000","2011-11-01T00:00:00.000","04/2012","1.6","750","195","1"
"F","Manicaland","Buhera","Maize","2011-12-01T00:00:00.000","2011-12-01T00:00:00.000","02/2012","0.3","1000","156","1"
"F","Manicaland","Buhera","Maize","2011-12-01T00:00:00.000","2011-12-01T00:00:00.000","04/2012","0.4","250","148","1"
"F","Manicaland","Buhera","Maize","2011-12-01T00:00:00.000","2011-12-01T00:00:00.000","05/2012","0.3","500","115","1"
"F","Manicaland","Buhera","Millet","2011-12-01T00:00:00.000","2011-09-01T00:00:00.000","03/2012","0.3","900","157","1"
"F","Manicaland","Buhera","Roundnuts","2012-01-01T00:00:00.000","2011-11-01T00:00:00.000","04/2012","0.1","40","482","1"
"F","Manicaland","Buhera","Roundnuts","2011-12-01T00:00:00.000","2011-11-01T00:00:00.000","04/2012","0.2","170","290","1"
"F","Manicaland","Buhera","Roundnuts","2011-12-01T00:00:00.000","2011-12-01T00:00:00.000","05/2012","0.1","100","482","1"
"F","Manicaland","Buhera","Sorghum","2012-01-01T00:00:00.000","2011-11-01T00:00:00.000","05/2012","0.2","200","382","1"
"F","Manicaland","Buhera","Sorghum","2012-01-01T00:00:00.000","2011-12-01T00:00:00.000","04/2012","1.3","200","764","2"
"F","Manicaland","Buhera","Sorghum","2012-02-01T00:00:00.000","2011-11-01T00:00:00.000","05/2012","1","100","438","1"
"F","Manicaland","Buhera","Sorghum","2011-12-01T00:00:00.000","2011-11-01T00:00:00.000","05/2012","0.4","1000","158","1"
"F","Manicaland","Chimanimani","Maize","2011-08-01T00:00:00.000","2011-11-01T00:00:00.000","03/2012","0.4","1900","136","1"
"F","Manicaland","Chimanimani","Maize","2011-08-01T00:00:00.000","2011-12-01T00:00:00.000","04/2012","0.4","1000","95","1"
"F","Manicaland","Chimanimani","Paprika","2011-08-01T00:00:00.000","2011-12-01T00:00:00.000","04/2012","0.2","350","144","1"
"F","Manicaland","Chimanimani","Paprika","2011-08-01T00:00:00.000","2011-12-01T00:00:00.000","05/2012","0.25","750","44","1"
"F","Manicaland","Chimanimani","Sugar beans (irrigated)","2011-08-01T00:00:00.000","2012-04-01T00:00:00.000","08/2012","0.8","1600","121","2"
"F","Manicaland","Chipinge","Groundnuts","2011-08-01T00:00:00.000","2011-11-01T00:00:00.000","02/2012","0.2","200","569","1"
"F","Manicaland","Chipinge","Maize","2011-08-01T00:00:00.000","2011-11-01T00:00:00.000","03/2012","0.4","600","533","1"
"F","Manicaland","Chipinge","Maize","2011-11-01T00:00:00.000","2011-12-01T00:00:00.000","04/2012","0.5","0","283","1"
"F","Manicaland","Chipinge","Paprika","2011-08-01T00:00:00.000","2011-10-01T00:00:00.000","02/2012","0.1","500","513","1"
"F","Manicaland","Chipinge","Paprika","2011-09-01T00:00:00.000","2011-09-01T00:00:00.000","06/2012","0.2","800","130","1"
"F","Manicaland","Chipinge","Paprika","2011-12-01T00:00:00.000","2012-02-01T00:00:00.000","06/2012","0.2","1000","174","1"
"F","Manicaland","Chipinge","Sugar beans (dryland)","2011-11-01T00:00:00.000","2012-04-01T00:00:00.000","08/2012","0.4","400","77","1"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-06-01T00:00:00.000","2012-03-01T00:00:00.000","NA","0.8","0","259","1"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-06-01T00:00:00.000","2012-04-01T00:00:00.000","08/2012","1.6","0","662","3"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-06-01T00:00:00.000","2012-04-01T00:00:00.000","09/2012","1.6","600","497","3"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-07-01T00:00:00.000","2012-04-01T00:00:00.000","NA","0.6","0","188","1"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-08-01T00:00:00.000","2012-03-01T00:00:00.000","NA","0.4","0","297","1"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-08-01T00:00:00.000","2012-04-01T00:00:00.000","NA","2","1700","1202","4"
"F","Manicaland","Chipinge","Sugar beans (irrigated)","2011-09-01T00:00:00.000","2012-04-01T00:00:00.000","09/2012","0.6","900","334","1"
