PEILDATUM;NETBEHEERDER;PROVINCIE;GEMEENTE;CBS BUURTCODE (2022);CBS BUURTNAAM (2022);AANSLUITINGEN MET PV (N);TOTAAL AANSLUITINGEN (N);OPGESTELD VERMOGEN (kW)
20220829;Liander;Flevoland    ;Almere             ;BU00340202         ;Achterwerf                                           ;56;335;181
20220829;Liander;Flevoland    ;Almere             ;BU00340602         ;Ambachtsmark, Vrijmark en Zuidmark                   ;136;477;362
20220829;Liander;Flevoland    ;Almere             ;BU00344504         ;Bedrijventerrein Bouwmeesterbuurt                    ;12;54;82
20220829;Liander;Flevoland    ;Almere             ;BU00345105         ;Bedrijventerrein De Rederij                          ;8;105;83
20220829;Liander;Flevoland    ;Almere             ;BU00345207         ;Bedrijventerrein De Striptekenaar                    ;5;29;40
20220829;Liander;Flevoland    ;Almere             ;BU00343007         ;Bedrijventerrein De Uitgeverij                       ;10;81;129
20220829;Liander;Flevoland    ;Almere             ;BU00345702         ;Bedrijventerrein De Vaart 1-3                        ;6;85;112
20220829;Liander;Flevoland    ;Almere             ;BU00345701         ;Bedrijventerrein De Vaart 4-6                        ;15;224;317
20220829;Liander;Flevoland    ;Almere             ;BU00344704         ;Bedrijventerrein Faunabuurt                          ;6;17;57
20220829;Liander;Flevoland    ;Almere             ;BU00342904         ;Bedrijventerrein Felsersplaats                       ;24;118;284
20220829;Liander;Flevoland    ;Almere             ;BU00342607         ;Bedrijventerrein Frezersplaats                       ;7;46;22
20220829;Liander;Flevoland    ;Almere             ;BU00342206         ;Bedrijventerrein Gietersplaats                       ;5;79;24
20220829;Liander;Flevoland    ;Almere             ;BU00347604         ;Bedrijventerrein Het Ambacht                         ;11;14;35
20220829;Liander;Flevoland    ;Almere             ;BU00342407         ;Bedrijventerrein Het Atelier                         ;17;96;118
20220829;Liander;Flevoland    ;Almere             ;BU00342809         ;Bedrijventerrein Josephine Bakerstraat               ;11;101;67
20220829;Liander;Flevoland    ;Almere             ;BU00344403         ;Bedrijventerrein Molenbuurt                          ;11;49;72
20220829;Liander;Flevoland    ;Almere             ;BU00340303         ;Binnenhof en Langshof (met Nieuwstraat)              ;13;556;46
20220829;Liander;Flevoland    ;Almere             ;BU00344801         ;Bloemenbuurt Noord                                   ;102;567;370
20220829;Liander;Flevoland    ;Almere             ;BU00344802         ;Bloemenbuurt Oost                                    ;144;488;519
20220829;Liander;Flevoland    ;Almere             ;BU00344804         ;Bloemenbuurt West                                    ;105;724;299
20220829;Liander;Flevoland    ;Almere             ;BU00344803         ;Bloemenbuurt Zuid                                    ;148;508;499
20220829;Liander;Flevoland    ;Almere             ;BU00347504         ;Bosgebied Vogelhorst                                 ;14;27;70
20220829;Liander;Flevoland    ;Almere             ;BU00340703         ;Bosgouw, Brongouw en Nijvergouw                      ;87;494;345
20220829;Liander;Flevoland    ;Almere             ;BU00344501         ;Bouwmeesterbuurt Noord                               ;196;699;682
20220829;Liander;Flevoland    ;Almere             ;BU00344502         ;Bouwmeesterbuurt Oost                                ;89;737;222
20220829;Liander;Flevoland    ;Almere             ;BU00344503         ;Bouwmeesterbuurt West                                ;66;377;181
20220829;Liander;Flevoland    ;Almere             ;BU00340603         ;Brugmark, Noordmark en Gildemark                     ;93;250;361
20220829;Liander;Flevoland    ;Almere             ;BU00340301         ;Buitenhof en Groenhof                                ;71;294;261
20220829;Liander;Flevoland    ;Almere             ;BU00345801         ;Buitenvaart (brt)                                    ;14;63;177
20220829;Liander;Flevoland    ;Almere             ;BU00344101         ;Centrum Almere Buiten Noord                          ;76;813;204
20220829;Liander;Flevoland    ;Almere             ;BU00344102         ;Centrum Almere Buiten Zuid                           ;5;481;168
20220829;Liander;Flevoland    ;Almere             ;BU00340101         ;Centrum Haven Noord                                  ;21;405;77
20220829;Liander;Flevoland    ;Almere             ;BU00340102         ;Centrum Haven Zuid                                   ;6;659;118
20220829;Liander;Flevoland    ;Almere             ;BU00341702         ;Centrum Stad Oost                                    ;23;542;51
20220829;Liander;Flevoland    ;Almere             ;BU00341703         ;Centrum Stad Zuidoost                                ;8;659;32
20220829;Liander;Flevoland    ;Almere             ;BU00346201         ;Columbuskwartier Noord                               ;266;797;684
