Leveranciers;8110 - Vakliteratuur, abonnementen en overige informatie;8510 - Diversen communicatie;Eindtotaal
A & P Investments B.V.;1;;1
A. Rietveld Boekbinderij;1;;1
Abonnementenland;1;;1
Acato;;1;1
Acquire Publishing B.V.;1;;1
Active Presentation Multimedia B.V.;;1;1
Adfo Groep B.V.;1;;1
Adrenna B.V.;1;;1
Adveniat Geloofseducatie B.V.;1;;1
Adviesbureau Hollander en van der Mey B.V.;;3;3
Adviesbureau Reit;1;;1
Aerophoto-Schiphol.nl;1;;1
AG Connect B.V.;1;;1
AGIA Speciale Grafische Afwerking;1;;1
Andree Troost Geluidstechniek;;1;1
Anne Frank Stichting;;1;1
Anoniem 20;1;;1
ANP Pers Support Benelux B.V.;;1;1
ANP Photo;1;1;1
Ans Dekkers Fotogravin;;1;1
ANWB B.V.;1;;1
Arbo Safe B.V.;1;;1
Arenda Oomen Fotografie;1;1;1
Arie Kievit;;1;1
Athenaeum Boekhandel B.V.;1;;1
B.L. Mulder B.V.;1;;1
B.V. Alg. Boekh. en Antiquariaat H. De Vries.;1;;1
B.V. Algemeen Nederlands Persbureau ANP;2;1;2
B.V. Uitgeverij SWP;1;;1
B.V. Weekbladpers;1;;1
B+B Vakmedianet B.V.;2;;2
Bèta Publishers B.V.;1;;1
Bart Brandsma in media;1;;1
BDUvakmedia B.V.;1;;1
Beurtvaartadres document B.V.;1;;1
Bibliotheek Arnhem;1;;1
Binnenlands Bestuur B.V.;1;;1
BKB;;2;2
BKFF bas kijzers fotografie en film;;1;1
BKN-Productions;;1;1
Bobbe International B.V.;1;;1
Boek en Service;1;;1
Boekencentrum B.V.;1;;1
Boekhandel Donner B.V.;1;;1
Boekhandel Jansen & De Feijter;1;;1
Boekhandel Van der Velde B.V.;1;;1
Boekhandel Waanders B.V.;1;;1
bol.com B.V.;1;;1
Bonzet Boekbinders;1;;1
Boom uitgevers Amsterdam B.V.;2;;2
Boom uitgevers Den Haag;2;;2
Bourgonje Geluid- en Lichtservice B.V.;;3;3
BPI Services B.V.;1;;1
Brief van de Koning;;1;1
Broekarts Graveerwerken V.O.F.;;1;1
Bureau BlauwGeel B.V.;;1;1
Bureautaal B.V.;2;1;2
bymarjo;;1;1
Cannock Chase B.V.;1;;1
Capgemini Nederland B.V.;;3;3
Carnegie-Stichting;1;;1
Caro Visual Media;;1;1
CB Facturatie B.V.;1;;1
CCM;1;;1
Centrale Rino B.V.;1;;1
CloudVPS;1;;1
Colour XL B.V.;1;1;1
Comic House Amsterdam B.V.;;1;1
COMPAREX Nederland B.V.;1;;1
Consumentenbond;1;;1
Contenture;;1;1
Copy Service Leeuwarden B.V.;1;;1
Corbino V.O.F.;1;;1
Corps 3 op twee B.V.;2;3;4
Creatieve Koppen B.V.;;2;2
Creja Ontwerpen B.V.;;1;1
CRP B.V.;1;;1
D.R.M. Panhuijsen;;1;1
Daan van Elk Media;1;;1
De Drukkerij B.V.;1;;1
De Filmboetiek;1;1;1
de firma Langenberg;;2;2
De Galan Groep B.V.;1;;1
De Gekroonde Mandril B.V.;1;;1
De Groene Amsterdammer weekbl. voor Nederland;1;;1
De Groot Design B.V.;1;;1
De joepie academie;1;;1
de Leeskring/Delta;1;;1
De Ontwerpzolder;1;;1
de Persgroep Nederland B.V.;1;1;1
De Tijdstroom Uitgeverij B.V.;1;;1
De Toekomst-Vosseparkwijk;1;;1
De Volkskrant B.V.;1;;1
de Zeeuwse Gasten;;1;1
deLex B.V.;2;;2
deLex Media en Management B.V.;1;;1
Delft Congress Support B.V.;1;;1
Delubas B.V.;;1;1
Denkschets.nl;;1;1
Dennis Case Productions;;1;1
Dennis Hoogeveen Consultancy;;1;1
Devani Creative;;1;1
ditisfris;;1;1
Dizain B.V.;;1;1
DLT Media B.V.;1;;1
Dolf Weverink Copy & Consult;;1;1
DPI Animation House B.V.;;4;4
Drs. Martijn Delaere journalist;;2;2
Drukkerij Engelen Sevenum B.V.;1;;1
DTG B.V.;1;1;2
E.K.L. Leesmappen B.V.;1;;1
Eagerly Internet B.V.;;1;1
Eenhoorn Fotografie;1;;1
Eindtotaal;7;7;8
Einstein E books B.V.;1;;1
Elsevier Business Information;1;;1
Emerce B.V.;1;;1
EMMA Communicatie B.V.;;2;2
Enliven Media;;1;1
Ennimate B.V.;;1;1
Entopic B.V.;;2;2
Equrion Services B.V.;1;;1
ER;1;;1
Erik Verheggen Fotografie;;1;1
Espi Designers B.V.;;2;2
Esta;1;;1
Euroforum Fiscaal B.V.;1;;1
Exploitatiemij. Grand Hotel Karel V B.V.;1;;1
F. C. Klap B.V.;1;;1
F. van Arkel;1;;1
Federatie Vaktherapeutische Beroepen;1;;1
FLEUR;;2;2
Foto Lux Multimedia B.V,;;1;1
Fotografie : Paul Voorham;;1;1
Fotografie Peter Hilz;1;;1
Frephitophe;1;1;1
Friesch Dagblad B.V.;1;;1
Gauddi B.V.;1;;1
Geen Blad voor de Mond B.V.;2;1;2
Genootschap Onze Taal;1;;1
Gerechtsdeurwaarderskantoor Willems B.V.;;1;1
Gonda Fotografie;;1;1
Grey Amsterdam B.V.;;3;3
Grip Multimedia B.V.;;1;1
H.J.M. Zonderland Fotografie;;1;1
H.R. Guest Fotografie;;1;1
Haai B.V.;1;;1
Handig Verhuur;;1;1
Hattrick Media B.V.;;1;1
Hearst Magazines Netherlands B.V.;1;;1
Hebbediekiek;;1;1
Heit & Mem Video;;1;1
Het Coachhuis B.V.;1;;1
Het Financieele Dagblad B.V.;1;;1
Het Juridisch Genootschap Zutphen;1;;1
Het Parool B.V.;1;;1
Holapress Communicatie;1;;1
Hollandse Hoogte B.V.;1;1;1
Houx Digiprint;1;;1
Human Content Media Producties B.V.;;2;2
HVR PA/PR;;1;1
ICT Media B.V.;1;;1
Ideeaanzee B.V.;;3;3
IEPT;1;;1
IJsfontein Jong B.V.;;1;1
Imara Angulo Vidal Fotografie;;1;1
In2Content B.V.;1;3;3
in60seconds B.V.;;3;3
Incassobureau Plaggemars;1;;1
Infotrading B.V.;2;;2
Infracom Internet B.V.;1;;1
Int. Air Trans. Association (Netherl.) B.V.;1;;1
Ivo Broekhuizen Communicatie;2;1;2
Jahja Telussa;;1;1
Janine Hoekman;1;;1
Jo van der Meij T & C;;2;2
Jonathan Vos photography;;1;1
Josje Deekens Fotografie;1;1;1
JOUWÂ® bureau B.V.;1;;1
Jurriaan van Drunen;;1;1
Kabeljauws;1;;1
Katja Visser Grafisch Ontwerp;2;;2
KeurigConcepts;;1;1
Kick Smeets Fotografie;;1;1
KidsInbetween;1;;1
Klasse Tekst;1;;1
KNMP Holding B.V.;1;;1
Kon. Ned. Veren. van Informatieprofessionals;1;;1
Koninklijke Nederl. Ver. voor Int. Recht;1;;1
Koninklijke van der Most B.V.;;1;1
KPN B.V.;;1;1
Kris Kras context, content and design;;2;2
Kris Kras Design B.V.;;1;1
Kunstuitleen Friesland;1;;1
L. C.G. Malmberg B.V.;1;;1
Landelijke Vereniging van Vertrouwenspersonen;1;;1
LBVD Consultancy B.V.;;2;2
Leeskring en Videoshop Demob B.V.;1;;1
Leesland;1;;1
Leidsch Dagblad;1;1;1
Leonie Slingeland Filmpjes;;1;1
Ligtenberg;;1;1
LocoMix B.V.;;1;1
Logeion;1;;1
Louis Meulstee Photography;;1;1
Maarten Slooves Grafische Vormgeving B.V.;1;;1
Mainpress B.V.;7;;7
Management Media B.V.;1;;1
Marieke Streefkerk Producties;;1;1
Marijke Verduyn tekst & advies;1;;1
Marosel B.V.;2;;2
Martijn Beekman Fotografie;;1;1
Maters & Hermsen Journalistiek B.V.;2;3;4
Mediageniek;;1;1
Mediawerf;1;;1
Metamorfose Vertalingen B.V.;1;;1
MFilms;;1;1
Michiel Krom Consultancy V.O.F.;1;;1
Mindcampus B.V.;1;;1
Moduli Print B.V.;1;1;1
Mooifraai;;1;1
Moving Target;;2;2
Mts. v. Waardegedreven Leiderschap OnTheGood;1;;1
MultiCopy Utrecht Centrum B.V.;;1;1
MWM2 B.V.;;1;1
N.G. de Hoog;;1;1
Nationale Beeldbank B.V.;1;1;1
Nbd|biblion B.V.;1;;1
NDC mediagroep B.V.;1;1;1
Ned. Ver. van Grooth. in de Tandheelkund. Br.;1;;1
Nederlands Architectuur Forum;1;;1
Nederlands Dagblad B.V.;1;;1
Nederlandse Mediatorsvereniging;1;;1
Nederlandse Vereniging Bedrijfshulpverlening;1;;1
Nederlandse Vereniging voor Burgerzaken;1;;1
Nederlandstalige Moodle Vereniging;1;;1
NEVI-Purspective B.V.;1;;1
NHG Uitgeverij B.V.;1;;1
NIBHV B.V.;1;;1
NIC Best Deal B.V.;1;;1
NL Oracle User Group;1;;1
Noinoloi;;1;1
Novagraaf Nederland B.V.;;1;1
NRC Handelsblad Weekeditie voor buitenland;1;;1
OCLC B.V.;2;;2
Omroepvereniging VARA;1;;1
Ondernemers in Bedrijf;1;;1
Optima Forma B.V.;;2;2
Orga B.V.;1;;1
OSR Juridische Opleidingen B.V.;1;;1
P.J.C. Kramer;;1;1
Paagman Den Haag B.V.;1;;1
Paralith B.V.;;1;1
Parallel Universum Photography;;1;1
Pepijn van Dorst;;1;1
Peppermint Media B.V.;;1;1
Performa Uitgeverij B.V.;1;;1
peterlievense.nl;;2;2
Phil Nijhuis Fotografie;;1;1
PK Media Producties;;1;1
Polemiek tekst & advies;1;1;1
Poley Tekst;1;;1
Portfolio Fotografie;;1;1
PostNL Data Solutions B.V.;3;;3
PPT design;1;;1
Prelum Uitgevers B.V.;1;;1
PREZIFY;;1;1
Primera Van der Zwaan;1;;1
Printius Lab (communication);;1;1
Promo Bears;;1;1
Promotiedagen Drenthe;;1;1
Protinus IT B.V.;1;;1
Publicount;1;;1
Publiek Denken;1;;1
PvIB: Platform voor informatiebeveiliging;1;;1
R10 Grafisch Ontwerp;;1;1
Raet B.V.;2;;2
Randstad HR Solutions;1;;1
RDMG Uitgeverij B.V.;1;;1
Rechtnet B.V.;1;;1
Reclamestudio Guthschmidt B.V.;;1;1
Reed Business B.V.;1;;1
Refilm;;1;1
Reijne's Gezinsleesportefeuille B.V.;1;;1
Rendement Uitgeverij B.V.;1;;1
Rene ten Broeke;;1;1
Rene Verleg Fotografie;;1;1
Richard Sluijs ontwerpen;;2;2
Robin Utrecht Fotografie;;1;1
ROM B.V.;1;;1
Roorda Reclamebureau B.V.;;3;3
Ruben Jorksveld Fotografie;;1;1
Sandig Mediation;;1;1
Sanoma Media Netherlands B.V.;1;;1
Schrijfburo Terwisscha & Wagenaar B.V.;;1;1
Schwandt Information Design;1;1;1
Sdu Uitgevers B.V.;2;1;2
Security Press B.V.;1;;1
Sendsteps B.V.;;1;1
Significant B.V.;;2;2
SLB Leesmappen Schraven V.O.F.;1;;1
Soundfocus B.V.;;1;1
Springer Media B.V.;1;;1
Star Project;;2;2
Stefan Kruis;;1;1
Stegra Print B.V.;1;;1
Stg. Bevord. Maatschappelijke Participatie;1;;1
Stg. Maandblad voor Acc. en Bedrijfseconomie;1;;1
Stg. Nat. Instituut voor Budgetvoorlichting;1;;1
Stg. Onderz. van de Econ. Van de Lag. Overh.;1;;1
Sticht. Administr.kant. F&L Publishing Group;1;;1
Sticht. Int. Belasting Documentatie Bureau;1;;1
Stichting 180 | gedragsinterv./ontw. Jongeren;1;;1
Stichting Achterland;1;;1
Stichting Alpha-Cursus Nederland;1;;1
Stichting ARS Aequi;1;;1
Stichting Hanzehogeschool Groningen;1;;1
Stichting Hoger Beroepsonderwijs Haaglanden;1;;1
Stichting Instituut voor Bouwrecht;1;;1
Stichting Kennisoverdracht WSNP;1;;1
Stichting Klant Interactie Research Centrum;;1;1
Stichting Migratierecht Nederland;1;;1
Stichting Movies that Matter;;1;1
Stichting Nadine Foundation;;1;1
Stichting Njcm-Boekerij;1;;1
Stichting Openbare Bibliotheek Almere;1;;1
Stichting Sterkin;1;;1
Stichting Stimulansz;1;;1
Stichting Stimular;1;;1
Stichting Verkadefabriek;;1;1
Stichting Voorlinden;;1;1
Strijbosch B.V.;1;;1
Studio 21 B.V.;;1;1
Studio Ronald Vierbergen;;1;1
Stumpel Boekhandel-Kantoorinstallaties B.V.;1;;1
SURFmarket;2;;2
SVS B.V.;1;;1
T&T Compet&t.b.v.;3;;3
TaalTaal B.V.;1;;1
Taco van der Eb Fotografie;1;;1
Taller Events B.V.;1;;1
Technische Unie;1;;1
Teldesign B.V.;;1;1
Ten Brink Uitgevers B.V.;1;;1
The Digital Photo Experience;;1;1
The Ministry of Creativity B.V.;;1;1
The Oddshop B.V.;1;;1
Thijs Lansbergen;;1;1
Things To Make And Do B.V.;2;2;2
Tim Schurink 3D productions;;1;1
Tint, Buro voor Grafische Vormgeving;;2;2
TMG Landelijke Media B.V.;1;;1
Today Designers B.V.;;2;2
Total Identity;1;1;1
Total Text;1;;1
Trouw B.V.;1;;1
Two Kings B.V.;;1;1
Uitgeverij Balans;1;;1
Uitgeverij de 12 Provinciën B.V.;;1;1
Uitgeverij De Bode B.V.;;1;1
Uitgeverij Den Hollander B.V.;1;;1
Uitgeverij IP B.V.;1;;1
Uitgeverij Kerckebosch B.V.;1;;1
Uitgeverij Paris B.V.;1;;1
uitleganimatie;;1;1
Uitvaartverzorging Van der Spek;1;;1
Unmask Photography;;1;1
v.d. Brink Boek en Buro;1;;1
Vakmedianet Assurantie B.V.;1;;1
Vakmedianet Bouwdata B.V.;1;;1
Vakmedianet Food & Horeca B.V.;1;;1
Vakmedianet Logistiek & Mobiliteit B.V.;1;;1
Vakmedianet Management B.V.;1;;1
Valerie Kuypers Fotografie;;1;1
van der Voo Illustrator;1;;1
Van Gelderen B.V.;1;;1
Van Mill Fotografie;1;;1
Van Stockum, Belinfante & Coebergh B.V.;1;;1
Van Tol Producties B.V.;;1;1
Van Vlier Media B.V.;;3;3
VDLC;1;;1
Veen media;1;;1
Ver. Bedr. Jansen-Wijsmuller & Beuns B.V.;1;;1
Ver. Nederlands Tijdschrift voor Geneeskunde;1;;1
Ver. voor Klachtrecht in de publieke sector;1;;1
Verbeeld;;1;1
Verenig. Politie Dieren- en Milieubescherming;1;;1
Vereniging Buma;1;;1
Vereniging Facility Management Nederland;1;;1
Vereniging Testnet;1;;1
Vereniging van Registercontrollers;1;;1
Vereniging Vluchtelingenwerk Nederland;2;1;2
Vereniging voor Arbeidsrecht;1;;1
Verkijk B.V.;;1;1
Via Milia;;1;1
Videonieuwsbericht B.V.;;2;2
Vijverberg Juristen B.V.;1;;1
Visser Chauffeursdienst;1;;1
VLM Logistiek College B.V.;1;;1
VMR;1;;1
Voetbal International B.V.;1;;1
VormPro;;1;1
VPRO;1;;1
Vuurland Produkties P.A.;;1;1
Walvisch Fotografie;1;1;1
Wereldkinderen, Vereniging voor Kinderwelzijn;1;;1
Wiebe Kiestra Fotografie;;1;1
Wirtz, Film & Experience Agency B.V.;;2;2
Wolf Productions B.V.;1;;1
Wolters Kluwer Nederland B.V.;2;;2
WPG Kindermedia B.V.;1;;1
X Productions;;1;1
Xerox (Nederland) B.V.;4;3;5
Zoer Assen;1;;1
Zouka Media;;2;2
Zwinq B.V.;2;;2
