FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie3_index.1,01 eijsden_1934,,,"POLYGON ((173717.67700000107 305493.15900000185, 173717.67700000107 311808.3269999996, 178757.97700000182 311808.3269999996, 178757.97700000182 305493.15900000185, 173717.67700000107 305493.15900000185))"
2e_herziening_serie3_index.2,02 maastricht_3e uitg_1933,,,"POLYGON ((174947.69999999925 311784.73099999875, 174947.69999999925 319312.08900000155, 179943.23299999908 319312.08900000155, 179943.23299999908 311784.73099999875, 174947.69999999925 311784.73099999875))"
2e_herziening_serie3_index.3,03 itteren_3e uitg_1933,,,"POLYGON ((175083.60799999908 319301.5229999982, 175083.60799999908 328299.3839999996, 181122.5450000018 328299.3839999996, 181122.5450000018 319301.5229999982, 175083.60799999908 319301.5229999982))"
2e_herziening_serie3_index.4,04 stein_3e uitg_1940,,,"POLYGON ((177264.86499999836 328293.1220000014, 177264.86499999836 337307.57400000095, 183281.7650000006 337307.57400000095, 183281.7650000006 328293.1220000014, 177264.86499999836 328293.1220000014))"
2e_herziening_serie3_index.5,05 grevenbicht_3e uitg_1938,,,"POLYGON ((178554.3900000006 337293.94900000095, 178554.3900000006 343308.5560000017, 187537.1959999986 343308.5560000017, 187537.1959999986 337293.94900000095, 178554.3900000006 337293.94900000095))"
2e_herziening_serie3_index.6,06 roosteren_3e uitg_1940,,,"POLYGON ((181845.77600000054 343294.65300000086, 181845.77600000054 348310.4310000017, 189842.2800000012 348310.4310000017, 189842.2800000012 343294.65300000086, 181845.77600000054 343294.65300000086))"
2e_herziening_serie3_index.7,07 stevensweert_3e uitg_1951,,,"POLYGON ((184995.56899999827 348285.9149999991, 184995.56899999827 355309.02899999917, 190094.2100000009 355309.02899999917, 190094.2100000009 348285.9149999991, 184995.56899999827 348285.9149999991))"
2e_herziening_serie3_index.8,08 linne_3e uitg_1951,,,"POLYGON ((190084.40399999917 351142.88699999824, 190084.40399999917 359166.0709999986, 195108.33900000155 359166.0709999986, 195108.33900000155 351142.88699999824, 190084.40399999917 351142.88699999824))"
2e_herziening_serie3_index.9,09 roermond_3e uitg_1956,,,"POLYGON ((195090.87099999934 353794.80000000075, 195090.87099999934 361804.19999999925, 200112.7589999996 361804.19999999925, 200112.7589999996 353794.80000000075, 195090.87099999934 353794.80000000075))"
2e_herziening_serie3_index.10,10 kessel_3e uitg_1956,,,"POLYGON ((196970.09099999815 361797.5560000017, 196970.09099999815 369809.62099999934, 201971.3999999985 369809.62099999934, 201971.3999999985 361797.5560000017, 196970.09099999815 361797.5560000017))"
2e_herziening_serie3_index.11,11 belfeld_3e uitg_1956,,,"POLYGON ((201966.9539999999 366212.7340000011, 201966.9539999999 374256.7340000011, 206974.9539999999 374256.7340000011, 206974.9539999999 366212.7340000011, 201966.9539999999 366212.7340000011))"
2e_herziening_serie3_index.12,12 venlo_3e uitg_1957,,,"POLYGON ((205896.0300000012 372876.18200000003, 205896.0300000012 380869.73900000006, 210908.48299999908 380869.73900000006, 210908.48299999908 372876.18200000003, 205896.0300000012 372876.18200000003))"
