FID,stripid,shape_leng,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2015.1,11,42201.7053124,09-04-2015,,,"MULTILINESTRING ((43288.70690000057 390391.80900000036, 43270.90700000152 390391.7179999985), (43288.70690000057 390391.80900000036, 34750.04100000113 390391.46499999985, 44575.9459999986 390398.39400000125, 43288.70690000057 390391.80900000036), (44578.81700000167 390398.43299999833, 55199.79899999872 390392.2890000008, 43288.70690000057 390391.80900000036))"
vlieglijnen_wschelde_2015.2,21,21142.6907204,09-04-2015,,,"LINESTRING (34744.75800000131 390146.62099999934, 55178.47599999979 390152.19900000095, 54549.04500000179 390143.6020000018, 54628.4990000017 390145.72100000083)"
vlieglijnen_wschelde_2015.3,31,2698.58563185,09-04-2015,,,"LINESTRING (37509.52100000158 387383.8929999992, 35091.142999999225 388581.311999999)"
vlieglijnen_wschelde_2015.4,41,3123.44068565,09-04-2015,,,"LINESTRING (34687.68800000101 388234.8449999988, 37482.813999999315 386840.875)"
vlieglijnen_wschelde_2015.5,51,6366.62344069,09-04-2015,,,"LINESTRING (37669.22800000012 386216.618999999, 34407.60099999979 387809.6620000005, 36867.48600000143 386610.1810000017)"
vlieglijnen_wschelde_2015.6,61,36971.0219733,09-04-2015,,,"MULTILINESTRING ((42058.26049999893 383485.1495000012, 42226.23800000176 383401.4829999991), (42058.26049999893 383485.1495000012, 50015.60500000045 379567.3440000005, 41031.5540000014 383996.5329999998, 42058.26049999893 383485.1495000012), (41028.91800000146 383997.8040000014, 34028.6240000017 387438.5480000004, 42058.26049999893 383485.1495000012))"
vlieglijnen_wschelde_2015.7,71,27088.5097124,09-04-2015,,,"LINESTRING (50291.346999999136 378869.5460000001, 33711.02299999818 387038.5069999993, 40242.21200000122 383816.40900000185, 39056.4290000014 384401.5229999982)"
vlieglijnen_wschelde_2015.8,81,23595.6388269,09-04-2015,,,"LINESTRING (33273.68499999866 386691.3819999993, 49496.379000000656 378702.26999999955, 45739.79600000009 380557.9789999984, 46925.69000000134 379972.5760000013)"
vlieglijnen_wschelde_2015.9,91,21583.0198484,09-04-2015,,,"MULTILINESTRING ((49704.78299999982 378052.84899999946, 34247.61789999902 385654.82559999824), (34247.61789999902 385654.82559999824, 33256.824999999255 386144.8990000002), (34247.61789999902 385654.82559999824, 32980.14600000158 386278.1799999997, 34439.13699999824 385560.0949999988, 34247.61789999902 385654.82559999824))"
vlieglijnen_wschelde_2015.10,101,27380.7930042,09-04-2015,,,"LINESTRING (32662.30700000003 385877.243999999, 48971.98999999836 377852.8060000017, 40716.800999999046 381922.77899999917)"
vlieglijnen_wschelde_2015.11,111,27834.1583783,09-04-2015,,,"LINESTRING (47929.51399999857 377806.743999999, 49170.927999999374 377196.63699999824, 31961.32800000161 385667.7470000014, 38482.20300000161 382454.85599999875)"
vlieglijnen_wschelde_2015.12,121,29791.9355812,09-04-2015,,,"LINESTRING (33351.55999999866 384435.63800000027, 30299.107000000775 385924.3370000012, 48446.291999999434 376993.0560000017, 42913.243000000715 379723.03500000015)"
vlieglijnen_wschelde_2015.13,131,37660.6577111,09-04-2015,,,"LINESTRING (44653.56700000167 378302.7520000003, 48652.53700000048 376344.49599999934, 26984.85000000149 387001.49599999934, 35114.392000000924 382999.24500000104)"
vlieglijnen_wschelde_2015.14,141,26104.543722,09-04-2015,,,"LINESTRING (27943.73900000006 385969.3029999994, 26602.85599999875 386639.11199999973, 47752.4990000017 376224.2569999993, 46898.12700000033 376645.063000001, 46968.43299999833 376610.41899999976)"
vlieglijnen_wschelde_2015.15,151,48495.8276457,09-04-2015,,,"LINESTRING (47804.26999999955 375647.6860000007, 39462.82699999958 379743.70899999887, 48137.29500000179 375484.4470000006, 26423.063000001013 386147.7989999987, 30015.300000000745 384394.50400000066, 28802.42199999839 384989.0309999995)"
vlieglijnen_wschelde_2015.16,161,31575.6169401,09-04-2015,,,"MULTILINESTRING ((41581.792399998754 378135.01099999994, 42738.14799999818 377558.48099999875), (41581.792399998754 378135.01099999994, 47397.74700000137 375272.5929999985, 41535.00499999896 378158.3379999995, 41581.792399998754 378135.01099999994), (26136.51900000125 385736.6570000015, 41581.792399998754 378135.01099999994))"
vlieglijnen_wschelde_2015.17,411,6235.71193854,09-04-2015,,,"LINESTRING (71547.94000000134 381104.2899999991, 75484.71599999815 378655.5320000015, 74125.85300000012 379499.23600000143)"
vlieglijnen_wschelde_2015.18,421,5735.53240503,09-04-2015,,,"LINESTRING (76090.52899999917 377684.5029999986, 71221.1950000003 380715.33100000024)"
vlieglijnen_wschelde_2015.19,431,15904.1593058,09-04-2015,,,"LINESTRING (74745.17100000009 377938.2580000013, 70137.06199999899 380800.3909999989, 76324.29199999943 376948.0379999988, 74745.9990000017 377937.7430000007, 75870.72700000182 377231.47199999914)"
vlieglijnen_wschelde_2015.20,441,12951.0310858,09-04-2015,,,"LINESTRING (76380.45800000057 376331.0949999988, 69794.34800000116 380430.0240000002, 74203.12999999896 377684.86400000006)"
vlieglijnen_wschelde_2015.21,451,17606.0326303,09-04-2015,,,"LINESTRING (69479.6649999991 380031.6550000012, 69418.32499999925 380069.04100000113, 76331.63199999928 375760.8029999994, 69481.85700000077 380030.3229999989, 70601.85599999875 379337.60500000045)"
vlieglijnen_wschelde_2015.22,461,19639.1595718,09-04-2015,,,"MULTILINESTRING ((69069.9310999997 379703.43560000136, 70097.26199999824 379068.37099999934), (69069.9310999997 379703.43560000136, 76848.38599999994 374857.9539999999, 69037.98299999908 379723.18499999866, 69069.9310999997 379703.43560000136), (69046.32299999893 379718.1420000009, 69069.9310999997 379703.43560000136))"
vlieglijnen_wschelde_2015.23,471,29720.0924982,09-04-2015,,,"MULTILINESTRING ((72819.11050000042 376778.3264000006, 73391.88500000164 376423.1499999985), (72819.11050000042 376778.3264000006, 78037.30200000107 373533.6099999994, 72258.22899999842 377126.1279999986, 72819.11050000042 376778.3264000006), (59710.01000000164 384929.6779999994, 72819.11050000042 376778.3264000006))"
vlieglijnen_wschelde_2015.24,481,31255.0623053,09-04-2015,,,"MULTILINESTRING ((78244.09299999848 372821.2569999993, 65921.02659999952 380480.5610000007), (65921.02659999952 380480.5610000007, 64937.20100000128 381103.58100000024), (65921.02659999952 380480.5610000007, 59440.675000000745 384508.3720000014, 66056.61800000072 380394.6959999986, 65921.02659999952 380480.5610000007))"
vlieglijnen_wschelde_2015.25,491,33035.4619388,09-04-2015,,,"LINESTRING (59160.77499999851 384098.5329999998, 78392.43600000069 372131.2179999985, 70706.44999999925 376921.71499999985, 71836.14600000158 376224.22399999946)"
vlieglijnen_wschelde_2015.26,501,34331.9141634,09-04-2015,,,"MULTILINESTRING ((78528.03700000048 371456.9079999998, 67790.55840000138 378133.92660000175), (67790.55840000138 378133.92660000175, 67079.65900000185 378577.66899999976), (67790.55840000138 378133.92660000175, 59354.97399999946 383379.5300000012, 68207.3209999986 377873.78400000185, 67790.55840000138 378133.92660000175))"
vlieglijnen_wschelde_2015.27,511,24494.3532033,09-04-2015,,,"LINESTRING (58651.607000000775 383231.58999999985, 78183.69799999893 371088.9050000012, 76911.39799999818 371874.88500000164)"
vlieglijnen_wschelde_2015.28,521,33677.9448895,09-04-2015,,,"LINESTRING (69994.73800000176 375596.8449999988, 77656.17000000179 370830.4120000005, 58820.892000000924 382550.44900000095, 60917.91600000113 381243.59699999914)"
vlieglijnen_wschelde_2015.29,531,29308.8339886,09-04-2015,,,"LINESTRING (65006.94799999893 378104.2430000007, 58151.24399999902 382377.68400000036, 75112.95699999854 371828.2509999983, 74042.69399999827 372484.7010000013)"
vlieglijnen_wschelde_2015.30,701,19257.0788099,09-04-2015,,,"LINESTRING (26864.68299999833 378893.09800000116, 37915.79699999839 390978.02600000054, 36877.29100000113 389835.4930000007, 37779.30900000036 390822.5379999988)"
vlieglijnen_wschelde_2015.31,711,20967.527491,09-04-2015,,,"LINESTRING (37790.20899999887 391068.98099999875, 34794.63300000131 375739.75, 35562.89400000125 379661.0159999989, 35303.26300000027 378333.63899999857)"
vlieglijnen_wschelde_2015.32,741,18685.5904273,09-04-2015,,,"LINESTRING (63240.94200000167 381012.2320000008, 64773.99199999869 382875.09800000116, 59256.91200000048 376154.9479999989, 63239.699999999255 381010.76199999824, 62413.789000000805 380009.3960000016)"
vlieglijnen_wschelde_2015.33,751,21699.687303,09-04-2015,,,"LINESTRING (64295.76000000164 370600.2320000008, 72928.2100000009 381015.743999999, 67730.08900000155 374710.2820000015)"
vlieglijnen_wschelde_2015.34,761,29637.8386594,09-04-2015,,,"LINESTRING (71779.34299999848 371746.5529999994, 75061.19200000167 379961.8929999992, 69810.37799999863 366820.11199999973, 71778.625 371744.7470000014, 71287.68200000003 370502.3299999982)"
vlieglijnen_wschelde_2015.35,13,42301.515522,15-04-2015,,,"LINESTRING (44519.335999999195 390389.63800000027, 55181.11899999902 390388.9670000002, 34699.879000000656 390397.06700000167, 44516.37999999896 390389.5929999985, 43174.39799999818 390393.27600000054)"
vlieglijnen_wschelde_2015.36,23,28736.8071322,15-04-2015,,,"LINESTRING (34689.49700000137 390150.83199999854, 55187.65900000185 390143.07499999925, 48326.75800000131 390137.5150000006, 49704.49799999967 390138.5799999982)"
vlieglijnen_wschelde_2015.37,171,32132.0375108,15-04-2015,,,"MULTILINESTRING ((41749.16539999843 377505.1638999991, 42102.686000000685 377325.8350000009), (41749.16539999843 377505.1638999991, 47139.07899999991 374850.4600000009, 40883.5549999997 377944.2580000013, 41749.16539999843 377505.1638999991), (25800.640999998897 385360.3189999983, 41749.16539999843 377505.1638999991))"
vlieglijnen_wschelde_2015.38,181,24901.9131507,15-04-2015,,,"LINESTRING (47784.802999999374 373994.34699999914, 25783.019999999553 384806.26900000125, 26127.495000001043 384629.68299999833)"
vlieglijnen_wschelde_2015.39,191,36661.0343901,15-04-2015,,,"LINESTRING (34671.83900000155 379890.16899999976, 25311.072999998927 384499.1460000016, 46633.05200000107 373996.0929999985, 44423.19000000134 375073.7679999992)"
