Leveranciers;1120 Arbeidsomstandigheden en personele zorg;1130 Representatie voor eigen personeel;1140 Instroom, doorstroom en uitstroom van personeel;1150 Leren en ontwikkelen;1160 Personeelsevenementen, bijeenkomsten en recepties;1170 Noodzakelijke contributies van personeel;1180 Reis & verblijfskosten;1-Personele exploitatie
´t Jagershuis Pannenkoekenrestaurant;;1;;;;;;1
010 Coaching;1;;;;;;;1
12 Learn;;;;1;;;;1
1910 Restaurant & Bar;;1;;;;;;1
1E Klas Grand Café-Restaurant;;1;;;;;;1
2 RENT 4 YOU PARTYSERVICE vof.;;1;;;;;;1
365 (incl. Arboned, KeurCompany, Zin, Arbodirect);5;;;;;;;5
4Meetings & Events;;;;;;;1;1
5 Hart It Oracle Experts Opleidingen;;;;2;;;;2
7Am;;;;1;;;2;2
A Bella Vita Pizzeria;;1;;;;;;1
A&R Vereninging Ambtenaar & Recht;;;;;;1;;1
A. van Helden Relatiegeschenken, Reclameartikelen;;1;;;;;;1
A.C. De Boer Horeca;;1;;;;;;1
A.T. Management Consultancy;;;;1;;;;1
Aaaaha! The Actor Factory;;;;2;;;;2
Aal Restaurant & Wijnlokaal;;1;;;;;;1
Aanzet Werkadvies;1;;;;;;;1
Abby's Restaurant,Bar;;1;;;;;;1
Abel Grand Café-Restaurant;;1;;;;;;1
About Flowers;;1;;;;;;1
Absoluta Food and Facilities;;1;;;1;;;1
Academie Voor Medezeggenschap;;;;2;;;;2
Academy Moovs;;;;1;;;;1
Accor Hospitality Nederland N.V.;;;;;;;1;1
Ace magic entertainment;;;;1;;;;1
Achmea Health Centers;1;;;;;;;1
ACS Auditing & Consulting Services;;;;2;;;;2
ACT Management en Beheer;;;;3;;;;3
ACTA Kaldenbach;;;;1;;;;1
Acteursbureau Kapok;;3;;;;;;3
Actief Events;;1;;1;;;;1
Active Medical Check;3;;;;;;;3
Adelaar Drukkerij;;1;;;;;;1
ADEPT EVENTS;;;;1;;;;1
Advocatenkantoor Dijkgraaf;;1;;;;;;1
AED Solutions;3;;;;;;;3
Aeres Groep;;;;1;;;;1
Aeves;;;;1;;;;1
Afhaalrestaurant Pagode;;1;;;;;;1
AFM - Autoriteit Financiële Markten;;;;;;;1;1
AGC Apeldoorns Gidsen Collectief;;1;;;;;;1
Ai-Opener;;;;1;;;;1
AKIHITO Sushi;;1;;;;;;1
Akkerman/Veurman Bloemisten;;1;;;;;;1
Alandi Retrait Site;;;;1;;;;1
Alanya Doner Center;;;;;;;1;1
Albron Catering;;1;;;;;;1
Alcoholbrillen.nl;;;;1;;;;1
Ale house bv;;1;;;;;;1
Alex Bloemkado;;1;;;;;;1
Alex van Groningen Corporate & Finance Training;;;;1;;;;1
Alexander Zollner;1;;;;;;;1
Allgifts;;1;;;;;;1
Allure Restaurant;;1;;;;;;1
Alpha Catering Lunchline;;1;;;;;;1
