NUMMER;PLAATS;AFWIJKING;AFLEZING;MAAIVELD;STIJGBUIS;JAARNR;WEEKNR;DDMUTATIE;STATUS;JAAR;INDICATIE_ACTIEF;DD_VERVALLEN;INDICATIENR;LON;LAT;RD_X;RD_Y;WIJKBUURTNR;WIJK;BUURTNAAM;GEMEENTE_CODE;GEMEENTE_NAAM;LANDCODE;LANDNAAM
7007;Lindendreef 81;;0,480;-2,069;-2,191;2015;22;28-05-2015;V;2015;1;;;4,3420551350;51,9383053448;83130,4050000000;439388,2160000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7001;Fluitekruid 67/74;;1,180;-1,938;-2,293;2015;22;28-05-2015;V;2015;1;;;4,3396013755;51,9336053606;82954,1430000000;438867,7790000000;7.2;Holy Noord;KRUIDENBUURT;0622;Vlaardingen;NL;Nederland
7004;Robert Schumanring;;1,000;-1,925;-1,961;2015;22;28-05-2015;V;2015;1;;;4,3427799516;51,9314821903;83169,3350000000;438628,4330000000;7.3;Holy Noord;LOPER NOORD;0622;Vlaardingen;NL;Nederland
6006;Louise de Colignylaan 74;;0,750;-1,964;-2,231;2015;22;28-05-2015;V;2015;1;;;4,3441283789;51,9297793540;83259,3500000000;438437,6630000000;6.3;Holy Zuid;LOPER ZUID;0622;Vlaardingen;NL;Nederland
6008;Willem Lodewijklaan;;0,770;-2,199;-2,292;2015;22;28-05-2015;V;2015;1;;;4,3495901243;51,9290083726;83633,7550000000;438346,5150000000;6.2;Holy Zuid;STATENBUURT;0622;Vlaardingen;NL;Nederland
6004;Gouverneurspad;;0,700;-2,252;-2,385;2015;22;28-05-2015;V;2015;1;;;4,3485995621;51,9259765931;83560,8080000000;438010,2070000000;6.2;Holy Zuid;STATENBUURT;0622;Vlaardingen;NL;Nederland
6010;Baronielaan 5;;1,020;-1,755;-1,834;2015;22;28-05-2015;V;2015;1;;;4,3421676159;51,9249609300;83116,7910000000;437903,5580000000;6.1;Holy Zuid;VAART ZUID;0622;Vlaardingen;NL;Nederland
6009;Pr. Beatrixlaan 9/11;;0,680;-2,258;-2,452;2015;22;28-05-2015;V;2015;1;;;4,3380252619;51,9302023689;82840,2900000000;438490,7650000000;6.1;Holy Zuid;VAART ZUID;0622;Vlaardingen;NL;Nederland
2001;Musschenbroekstraat 12;;0,860;-1,606;-1,746;2015;22;28-05-2015;V;2016;1;;;4,3124140377;51,9152874249;81054,3700000000;436857,2480000000;2.4;Westwijk;LAGE WEIDE;0622;Vlaardingen;NL;Nederland
2002;Meijerstraat 16;;1,470;-1,330;-1,034;2015;22;28-05-2015;V;2016;1;;;4,3156204341;51,9152917330;81274,9660000000;436854,4700000000;2.4;Westwijk;LAGE WEIDE;0622;Vlaardingen;NL;Nederland
2014;Van Boisotstraat;;1,040;-1,537;-1,828;2015;22;28-05-2015;V;2016;1;;;4,3217491647;51,9149614788;81696,0630000000;436811,5310000000;2.3;Westwijk;WETERING;0622;Vlaardingen;NL;Nederland
2015;Claudius Civiluslaan 33;;0,790;-1,409;-1,437;2015;22;28-05-2015;V;2016;1;;;4,3241059147;51,9111135017;81851,9390000000;436381,0770000000;2.3;Westwijk;WETERING;0622;Vlaardingen;NL;Nederland
2006;Rondom West;;1,300;-0,825;-0,672;2015;22;28-05-2015;V;2016;1;;;4,3306696830;51,9168856650;82312,8810000000;437016,6340000000;2.3;Westwijk;WETERING;0622;Vlaardingen;NL;Nederland
5006;Goudenregenstraat 18;;0,810;-0,958;-0,983;2015;22;28-05-2015;V;2015;1;;;4,3588007455;51,9208993024;84254,4580000000;437435,3870000000;5.4;Vlaardingen Ambacht;BABBERSPOLDER OOST;0622;Vlaardingen;NL;Nederland
5004;vd Duijn V Maasdamlaan;;0,300;-1,700;-1,859;2015;22;28-05-2015;V;2015;1;;;4,3606010564;51,9127191178;84365,4440000000;436523,6020000000;5.3;Vlaardingen Ambacht;BABBERSPOLDER WEST;0622;Vlaardingen;NL;Nederland
5001;Hargapad Noord;;0,610;-1,532;-1,550;2015;22;28-05-2015;V;2015;2;02-01-2018;;4,3685711281;51,9106536479;84910,5720000000;436286,1060000000;4.4;Oostwijk;VIJFSLUIZEN;0622;Vlaardingen;NL;Nederland
5013;vd Duijnstraat 15;;0,900;-1,241;-1,307;2015;22;28-05-2015;V;2015;1;;;4,3561696267;51,9150301893;84064,2050000000;436785,0210000000;5.3;Vlaardingen Ambacht;BABBERSPOLDER WEST;0622;Vlaardingen;NL;Nederland
5003;Narcisplein 10;;1,510;-0,852;-0,746;2015;22;28-05-2015;V;2015;1;;;4,3511068035;51,9163490009;83717,9880000000;436936,6900000000;5.3;Vlaardingen Ambacht;BABBERSPOLDER WEST;0622;Vlaardingen;NL;Nederland
5008;Nachtegaallaan 9;;2,020;-1,204;-1,253;2015;22;28-05-2015;V;2015;1;;;4,3520606831;51,9199536705;83789,3220000000;437336,7690000000;5.1;Vlaardingen Ambacht;BABBERSPOLDER NOORD;0622;Vlaardingen;NL;Nederland
5012;Kethelweg 57;;1,040;-0,783;-0,963;2015;22;28-05-2015;V;2015;1;;;4,3527846783;51,9188064922;83837,3090000000;437208,4380000000;5.3;Vlaardingen Ambacht;BABBERSPOLDER WEST;0622;Vlaardingen;NL;Nederland
5010;Emous 6;;1,810;2,030;2,018;2015;22;28-05-2015;V;2015;1;;;4,3456407617;51,9160884409;83341,5350000000;436913,0780000000;5.2;Vlaardingen Ambacht;ORANJEBUURT;0622;Vlaardingen;NL;Nederland
5011;Emous 10;;1,100;1,987;1,651;2015;22;28-05-2015;V;2015;1;;;4,3456742364;51,9161311471;83343,9060000000;436917,7960000000;5.2;Vlaardingen Ambacht;ORANJEBUURT;0622;Vlaardingen;NL;Nederland
5009;Nassaulaan 117;;0,730;-0,875;-1,012;2015;22;28-05-2015;V;2015;1;;;4,3430227054;51,9188342576;83165,8130000000;437221,1300000000;5.2;Vlaardingen Ambacht;ORANJEBUURT;0622;Vlaardingen;NL;Nederland
6005;Tureluurstraat;;0,460;-2,317;-2,475;2015;22;28-05-2015;V;2015;1;;;4,3563498029;51,9276580310;84096,5270000000;438189,6750000000;6.6;Holy Zuid;VOGELBUURT ZUID;0622;Vlaardingen;NL;Nederland
6001;Eksterlaan;;1,060;-2,425;-2,015;2015;22;28-05-2015;V;2015;1;;;4,3611644577;51,9343808903;84438,2290000000;438932,8990000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
6002;Duifstraat 16;;1,840;-1,947;-1,385;2015;22;28-05-2015;V;2015;1;;;4,3574144943;51,9332469937;84178,5650000000;438810,4020000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
