Leverancier;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Acal BFI Netherlands B.V.;;;;2;2
Admatec Europe B.V.;;;;1;1
Agilent Technologies Netherlands B.V.;;;;1;1
AHF-Analysentechnik AG;;;;1;1
Ahrend Inrichten;1;;;;1
Air Quality Monitoring Systems B.V.;;;;1;1
Akron NV;;;;1;1
Allekabels B.V.;;;;1;1
Alphasense Ltd;;;;2;2
ARCADIS Nederland B.V.;;;;4;4
Asogem Nederland;;;;1;1
Avantes B.V.;;;;2;2
B.V. Verenigde Instrumenthandel Salm & Kipp;;;;1;1
Bedrijfsplanning B.V.;;1;;;1
Beun- de Ronde B.V.;1;;;;1
Bilthoven Biologicals B.V.;7;7;3;4;7
BIS Econocom;;;;1;
bol.com B.V.;;;;1;1
BT Brammer B.V.;;;;1;1
Combinatie Heijmans Wegen/Heijmans Civiel;1;;;;1
Conrad Electronic Benelux B.V.;;;;1;1
CoolBlue BV PDAshop.nl/Smartphoneshop .nl;;;;1;1
De Wilde Metaal B.V.;;;;1;1
DMV Sales & Trade;1;;;;1
Donkergroen B.V.;1;;;;1
DrÃ¤ger Nederland B.V.;;;;1;1
Dyzle Operations B.V.;;;;1;1
Eijkelkamp Soil & Water B.V.;;;;1;1
Eneco Business BV;;1;;;1
ENVEA;;;;1;1
Envitec N.V.;;;;1;1
Eriks B.V.;;;;1;1
Ex-Ox-Tox;;;;1;1
Farnell (Netherlands) B.V.;;;;1;1
Fieldworks Direct B.V.;;;;1;1
Fisher Scientific of the Netherlands B.V.;;;;1;1
G.R. Instruments B.V.;;;;1;1
Greenchoice;;3;;;3
HACH;;;;3;3
Hamamatsu Photonics Deutschland GmbH;;;;2;2
HazmatLINK Ltd;;;;1;1
Heemskerk Fijnmechanica B.V.;;;;1;1
Hericon Vastgoed B.V.;;;;1;1
HQMatics;;;;1;1
IntroTech B.V.;;;;1;1
Iv-Industrie B.V.;2;;;;2
Jan Abrahams Hovenier B.V.;1;;;;1
Killgerm Nederland B.V.;;;;1;1
Kiwi Electronics B.V.;;;;1;1
Koenders Instruments B.V.;;;;1;1
KTC Zegveld B.V.;;1;;;1
Kunststofshop B.V.;;;;1;1
L.A. Systems B.V.;;;;2;2
Laboratory Glass Specialists B.V.;;;;1;1
Laser 2000 Benelux C.V.;;;;1;1
Linx Mobile Solutions;;;;1;1
LSP Quartz B.V.;;;;1;1
Luijten Groentechniek B.V.;1;;;;1
Manutan B.V.;;;;2;2
Mega Magazijninrichting B.V.;1;;;;1
Membrapor AG;;;;1;1
Metrohm Applikon;;;;1;1
Mettler-Toledo B.V.;;;;1;1
Minigrip;;;;1;1
Mirion Technologies NV;;;;1;1
Modelec Data-Industrie;;;;1;1
Mondial Movers B.V.;1;;;;1
Mondial VSN Verhuizingen B.V.;;;;1;1
Newport Corporation;;;;1;1
Newport Spectra-Physics B.V.;;;;2;2
O&M-Movianto Nederland B.V.;;;7;;7
On-Route Car Facility Group;;;;1;1
OTT Hydromet;;;;1;1
Pimzos V.O.F.;;;;1;1
Poonawalla Science Park B.V.;;;;8;8
Pot Verhuizingen / Logistiek B.V.;;;;2;2
Rae Benelux B.V.;;;;1;1
RS Components B.V.;;;;1;1
S-A-LE B.V.;;;;1;1
Schevers Schalkwijk BV Carrosseriebedrijf;;;;1;1
Seceurtronics Nederland B.V.;;;;1;1
Smeba Brandbeveiliging B.V.;;;;1;1
SODAQ Holding B.V.;;;;1;1
Stichting Protospace;;;;1;1
Sunblock;;;;1;1
Sysmex Nederland B.V.;;;;1;1
T. Service;;;;1;1
Techn. Advies- en Handelsburo J.J. Bos B.V.;;;;1;1
Technische Unie B.V.;;;;1;1
TECNOSENS SPA;;;;1;1
TH&P;1;;;;1
ThorLabs;;;;2;2
Traffic Support B.V.;;;;1;1
UTS Nederland;;;;1;1
Van Riemsdijk Verhuizingen B.V.;;;;5;5
VDW CoolSystems B.V.;1;;;;1
Veiligheidstechniek Nederland B.V.;;;;1;1
Verhaar Gebeko;;;;2;2
Vermaat - Flevoziekenhuis Almere;;;;1;1
Vink Lisse B.V.;;;;1;1
Visser Assen Vastgoed B.V.;;;;1;1
Weerspecialist;;;;1;1
Winsen Electronics;;;;1;1
WSV Kunststoffen B.V.;;;;1;1
WV Technics;;;;1;1
WVM Elektrotechniek B.V.;1;;;4;4
Xerox (Nederland) B.V.;;;1;;1
Zetes B.V.;;;;1;1
Zeus Magazijninrichting B.V.;;;;1;1
Eindtotaal;7;7;7;8;9
