;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
Achmea Schadeverzekeringen N.V.;;;1;1
anoniem_BZK_331;;;1;1
Antalis B.V.;;;1;1
Ardea Auto Lisse;;;1;1
Arnage Horeca B.V.;;1;;1
Athlon Car Lease Nederland B.V.;;;2;2
Atlantic Hotel Exploitatie B.V.;;2;;2
Autobedrijf Metz;;;1;1
Autoland Van den Brug B.V.;;;1;1
Avis Autoverhuur;;;2;2
Bally's Bowling;;1;;1
Be-Ge Savas Seating B.V.;;;1;1
Behavioral Insight;;1;;1
Berghauser Pont Academy B.V.;;1;;1
Betam Truck & Carwash;;;1;1
BIGA Groep B.V.;;1;;1
Bink Rooftop;;1;;1
BLOSSOM bloemisterij;;1;;1
BMC Advies B.V.;;3;;3
BMW Den Haag B.V.;;;1;1
Bobbe International B.V.;;1;;1
Brezan Automaterialen B.V.;;;1;1
Centric Netherlands B.V.;;2;;2
Citylife B.V.;;1;;1
Connexxion Tours;;1;;1
Daria Design;;2;;2
DBN Vision;;1;;1
De Baak B.V.;;2;;2
De Cloe Consultancy;;2;;2
De Pier Horeca B.V.;;1;;1
De Zilte Zeeuw;;1;;1
Digital Action;;1;;1
D'Javas;;1;;1
Doeke Visser;;1;;1
Doenederland.nl B.V.;;1;;1
Dudok Den Haag B.V.;;1;;1
EA Evenementen;;2;;2
Ecorys B.V.;;2;;2
Eenhoorn Meeting Center;;2;;2
EHM Hotel Breda B.V.;;1;;1
Engels Conference Center B.V.;;2;;2
Eric Burgers Tekst & Redactie;;2;;2
Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
Firma Hof der Muzen;;1;;1
Garoeda;;1;;1
Gebr. Barendsen B.V.;;1;;1
Gelre;;1;;1
GoCustomized B.V.;;1;;1
GoPromo;;1;;1
Grand Hotel De l'Empereur;;1;;1
Grandcafe Haagsche Bluf;;1;;1
H.K. Business & Advisory Services B.V.;;2;;2
Handelshuis Astraat B.V.;;1;;1
Havengebouw Amsterdam B.V.;;1;;1
Health2Work B.V.;;2;;2
Het Leidse Winkeltje;;1;;1
Heuver Den Ham B.V.;;;1;1
Hoezo Proj.manag. & Congresorganisatie B.V.;;1;;1
Hofstad Events B.V.;;1;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;1
HR Via Care B.V.;;;7;7
I.F.C. International Freight (Caribbean) B.V.;;;1;1
IDCARDplaza B.V.;;;1;1
ImpactAbility;;1;;1
Indische Genealogische Vereniging;;1;;1
Interparking Nederland B.V.;3;;1;3
Jungheinrich Nederland B.V.;;;1;1
Kamera Express Den Haag B.V.;;1;;1
Kasteel Oud-Poelgeest B.V.;;1;;1
Kerkhof en Zonen Beheer;;;1;1
Kings Shop;;;3;3
Koninklijk Instituut van Ingenieurs;;1;;1
Korte Poten 1-3 B.V.;;1;;1
Landgoed de Horst;;1;;1
Leaseplan Nederland N.V.;;;8;8
Letterop;;;1;1
Mammoet Rijwielen B.V.;;;1;1
Management Roukens B.V.;;1;;1
MaxServ B.V.;;1;;1
MEET EN DISCOVER;;1;;1
Meetingselect B.V.;;4;;4
Motex;;1;;1
Munckhof Reizen B.V.;;;4;4
Munckhof Taxi B.V.;;;2;2
Myriad Technologies;;2;;2
Nederlandse Vereniging voor Vlaggenkunde;;1;;1
New Babylon Meeting Center B.V.;;2;;2
NOVAGRAAF;;1;;1
NVO2;;1;;1
NWC Events B.V.;;1;;1
Office Athletes B.V.;;1;;1
Office Depot International;;1;;1
Office Team Hoekschewaard;;;1;1
OnlyHuman Groep B.V.;;3;;3
Park-line B.V.;;;2;2
PBT Consult B.V.;;2;;2
Pels Rijcken & Droogleever Fortuijn N.V.;;1;;1
Plein 9 A B.V.;;1;;1
Postcode.eu;;1;;1
RAD Refinish Autopoets & Detailing B.V.;;;1;1
Regus;;4;;4
Remto Automaterialen;;;1;1
Restaurant Sarinande;;1;;1
Ropini B.V.;;1;;1
Sancy Tres B.V.;;1;;1
Sancy Tres B.V. t.n.v. Milu;;1;;1
Schiphol Nederland B.V.;;;1;1
ScienceWorks B.V.;;1;;1
ScooterCentrum Ypenburg;;;1;1
Sdu Uitgevers B.V.;;;7;7
Securitas Beveiliging B.V.;;1;;1
Shuttel B.V.;;;3;3
Spaces Rode Olifant B.V.;;1;;1
SPRYG B.V.;;1;;1
Stichting Pleio;;2;;2
Stichting SEO Economisch Onderzoek;;2;;2
Stichting Stimular;;1;;1
Stichting Take OFF ‘the Art of Meeting’;;1;;1
Syndesmo B.V.;;;2;2
T&T Compet&t.b.v.;;2;;2
Taxi Harbrinkhoek- Almelo;;1;;1
Taxibedrijf Van der Wijst;;;5;5
Tempo-Team Direct;;1;;1
Thoms Autobanden C.V.;;;1;1
TNW Events B.V.;;3;;3
Topgeschenken Nederland B.V.;;1;;1
Tweewielers van Woerden V.O.F.;;;1;1
Uitgeverij Terra Lannoo B.V.;;1;;1
Van der Spek Heftrucks B.V.;;;1;1
Van Hulley B.V.;;1;;1
