Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
ABF Research B.V.;2;;2
Aktiviteitencentrum Poortershoes;1;;1
Albron B.V.;1;;1
Algemene Onderwijsbond;1;;1
Arab Translation Service;1;;1
Ardis Organisatieontwikkeling B.V.;1;;1
Aristo Eindhoven B.V.;1;;1
Aristo Utrecht B.V.;1;;1
Athlon Car Lease Nederland B.V.;;2;2
B.S. Gevelwerken;1;;1
Beeld en Geluid Den Haag;2;;2
Bos & Bos Catering B.V.;1;;1
Cap Invest B.V.;;1;1
Car detailing noord;;1;1
Collect Car B.V.;;1;1
Creative Use of Technology (C.U.T.);1;;1
De Grietmanswijk B.V.;1;;1
De Rijskamp;1;;1
De Veldkeuken Bakkerij & Keuken B.V.;1;;1
De Witte Vosch B.V.;1;;1
EventInsight B.V.;1;;1
Examenadviesburo B.V.;1;;1
Geling's Langste Autowasstraat B.V.;;1;1
Gereformeerde kerk te Zuidhorn;1;;1
Gran Mercado B.V.;1;;1
Hans Roggen Fotografie;1;;1
HE Den Haag B.V.;1;;1
Het Kookplein;1;;1
Het Lokaal B.V.;1;;1
Hotel Leeuwarden Centre B.V.;1;;1
INBC Verhuur B.V.;1;;1
Koninklijk Instituut van Ingenieurs;1;;1
Landgoed Remmerstein B.V.;1;;1
Lasaulec B.V.;1;;1
Leaseplan Nederland N.V.;;5;5
Leyhoeve Horeca Groningen B.V.;1;;1
Luden B.V.;1;;1
Meerweg Exploitatie Haren B.V.;1;;1
Meetingselect B.V.;7;;7
Onemeeting.com B.V.;1;;1
Rijksmuseum Volkenkunde;1;;1
Sent Waninge Emmen B.V.;;1;1
Show Rental B.V.;1;;1
Social Impact Factory Utrecht B.V.;1;;1
Speakers Academy Special Projects B.V.;1;;1
St. Horeca Het Nationale Park De Hoge Veluwe;1;;1
Sterk-Staaltje;1;;1
Stg. Nederlands Instituut voor Beeld & Geluid;1;;1
Sticht. voor Onderw. op Reformator. Grondslag;1;;1
Stichting De Nieuwe Poort;1;;1
Stichting De Nieuwe Regentes;1;;1
Stichting Fontys;1;;1
Stichting Hanzehogeschool Groningen;1;;1
Stichting Het Huis;1;;1
Stichting Vrienden van het Klooster (VK);1;;1
Stichting Werkgroep Natuurkunde Didaktiek;1;;1
Studio3 Koewé Productions;1;;1
Taxibedrijf Poll;;1;1
TeKa Groep B.V.;1;;1
Tower Leisure B.V.;1;;1
Travelcard B.V.;;1;1
Trust Krediet Beheer (TKB);;1;1
Vergadercentrum Vredenburg;1;;1
Vermaat Leisure B.V.;1;;1
Vitam;1;;1
Wensink;;1;1
WIN B.V.;1;;1
Wittenberg Amersfoort;;3;3
Worldmeetings.com B.V.;1;;1
Zes Events;2;;2
Zoetelief Management Advies B.V.;1;;1
Zwarte Woud Vastgoed B.V.;1;;1
Eindtotaal;7;5;7
