FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2007.67,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600319.9998999983, 258380 600319.9998999983, 258380 600339.9998999983, 258399.9998999983 600339.9998999983, 258399.9998999983 600319.9998999983))"
zostera_noltei_2007.70,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600319.9998999983, 258360 600319.9998999983, 258360 600339.9998999983, 258380 600339.9998999983, 258380 600319.9998999983))"
zostera_noltei_2007.75,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600380, 258380 600380, 258380 600400, 258399.9998999983 600400, 258399.9998999983 600380))"
zostera_noltei_2007.80,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600380, 258399.9998999983 600380, 258399.9998999983 600400, 258419.9998999983 600400, 258419.9998999983 600380))"
zostera_noltei_2007.83,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600380, 258360 600380, 258360 600400, 258380 600400, 258380 600380))"
zostera_noltei_2007.91,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600400, 258380 600400, 258380 600419.9998999983, 258399.9998999983 600419.9998999983, 258399.9998999983 600400))"
zostera_noltei_2007.116,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600400, 258360 600400, 258360 600419.9998999983, 258380 600419.9998999983, 258380 600400))"
zostera_noltei_2007.118,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258380 600419.9998999983, 258360 600419.9998999983, 258360 600439.9998999983, 258380 600439.9998999983, 258380 600419.9998999983))"
zostera_noltei_2007.119,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258399.9998999983 600419.9998999983, 258380 600419.9998999983, 258380 600439.9998999983, 258399.9998999983 600439.9998999983, 258399.9998999983 600419.9998999983))"
zostera_noltei_2007.177,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258179.9998999983 600359.9998000003, 258160 600359.9998000003, 258160 600380, 258179.9998999983 600380, 258179.9998999983 600359.9998000003))"
zostera_noltei_2007.179,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258120 600359.9998000003, 258099.9998999983 600359.9998000003, 258099.9998999983 600380, 258120 600380, 258120 600359.9998000003))"
zostera_noltei_2007.181,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600359.9998000003, 258140 600359.9998000003, 258140 600380, 258160 600380, 258160 600359.9998000003))"
zostera_noltei_2007.183,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600359.9998000003, 258120 600359.9998000003, 258120 600380, 258140 600380, 258140 600359.9998000003))"
zostera_noltei_2007.193,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258120 600380, 258099.9998999983 600380, 258099.9998999983 600400, 258120 600400, 258120 600380))"
zostera_noltei_2007.194,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600380, 258120 600380, 258120 600400, 258140 600400, 258140 600380))"
zostera_noltei_2007.199,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258120 600400, 258099.9998999983 600400, 258099.9998999983 600419.9998999983, 258120 600419.9998999983, 258120 600400))"
zostera_noltei_2007.200,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258140 600400, 258120 600400, 258120 600419.9998999983, 258140 600419.9998999983, 258140 600400))"
zostera_noltei_2007.201,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258160 600400, 258140 600400, 258140 600419.9998999983, 258160 600419.9998999983, 258160 600400))"
zostera_noltei_2007.275,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258079.9998999983 600020, 258060 600020, 258060 600040, 258079.9998999983 600040, 258079.9998999983 600020))"
zostera_noltei_2007.283,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258099.9998999983 600020, 258079.9998999983 600020, 258079.9998999983 600040, 258099.9998999983 600040, 258099.9998999983 600020))"
zostera_noltei_2007.314,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258459.99980000034 600500.0001999997, 258439.9998999983 600500.0001999997, 258439.9998999983 600520.0001000017, 258459.99980000034 600520.0001000017, 258459.99980000034 600500.0001999997))"
zostera_noltei_2007.320,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600500.0001999997, 258419.9998999983 600500.0001999997, 258419.9998999983 600520.0001000017, 258439.9998999983 600520.0001000017, 258439.9998999983 600500.0001999997))"
zostera_noltei_2007.326,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600500.0001999997, 258399.9998999983 600500.0001999997, 258399.9998999983 600520.0001000017, 258419.9998999983 600520.0001000017, 258419.9998999983 600500.0001999997))"
zostera_noltei_2007.328,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600299.9998999983, 258399.9998999983 600299.9998999983, 258399.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600299.9998999983))"
zostera_noltei_2007.333,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600339.9998999983, 258439.9998999983 600339.9998999983, 258439.9998999983 600319.9998999983))"
zostera_noltei_2007.335,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600319.9998999983, 258399.9998999983 600319.9998999983, 258399.9998999983 600339.9998999983, 258419.9998999983 600339.9998999983, 258419.9998999983 600319.9998999983))"
