Nummer;Totaal van;Jaar;Maand;Nationaliteit;Aantal Inbewaringstelling na ID-onderzoek
1;Jaar;2022;*Alle*;*Alle*;1580
2;Jaar, Maand;2022;01;*Alle*;120
2;Jaar, Maand;2022;02;*Alle*;150
2;Jaar, Maand;2022;03;*Alle*;130
2;Jaar, Maand;2022;04;*Alle*;140
2;Jaar, Maand;2022;05;*Alle*;150
2;Jaar, Maand;2022;06;*Alle*;150
2;Jaar, Maand;2022;07;*Alle*;130
2;Jaar, Maand;2022;08;*Alle*;120
2;Jaar, Maand;2022;09;*Alle*;110
2;Jaar, Maand;2022;10;*Alle*;140
2;Jaar, Maand;2022;11;*Alle*;130
2;Jaar, Maand;2022;12;*Alle*;130
3;Jaar, Nationaliteit;2022;*Alle*;Afghaanse;10
3;Jaar, Nationaliteit;2022;*Alle*;Albanese;80
3;Jaar, Nationaliteit;2022;*Alle*;Algerijnse;220
3;Jaar, Nationaliteit;2022;*Alle*;Amerikaans burger;10
3;Jaar, Nationaliteit;2022;*Alle*;Armeense;10
3;Jaar, Nationaliteit;2022;*Alle*;Belarussische;10
3;Jaar, Nationaliteit;2022;*Alle*;Belgische;10
3;Jaar, Nationaliteit;2022;*Alle*;Bengalese;10
3;Jaar, Nationaliteit;2022;*Alle*;Braziliaanse;20
3;Jaar, Nationaliteit;2022;*Alle*;Bulgaarse;10
3;Jaar, Nationaliteit;2022;*Alle*;Burger van de Bondsrepubliek Duitsland;10
3;Jaar, Nationaliteit;2022;*Alle*;Burundese;10
3;Jaar, Nationaliteit;2022;*Alle*;Chinese;20
3;Jaar, Nationaliteit;2022;*Alle*;Colombiaanse;20
3;Jaar, Nationaliteit;2022;*Alle*;Egyptische;10
3;Jaar, Nationaliteit;2022;*Alle*;Eritrese;10
3;Jaar, Nationaliteit;2022;*Alle*;Gambiaanse;20
3;Jaar, Nationaliteit;2022;*Alle*;Georgische;40
3;Jaar, Nationaliteit;2022;*Alle*;Ghanese;10
3;Jaar, Nationaliteit;2022;*Alle*;Hongaarse;20
3;Jaar, Nationaliteit;2022;*Alle*;Indiase;10
3;Jaar, Nationaliteit;2022;*Alle*;Indonesische;10
3;Jaar, Nationaliteit;2022;*Alle*;Iraakse;10
3;Jaar, Nationaliteit;2022;*Alle*;Iraanse;10
3;Jaar, Nationaliteit;2022;*Alle*;Letse;20
3;Jaar, Nationaliteit;2022;*Alle*;Libische;30
3;Jaar, Nationaliteit;2022;*Alle*;Litouwse;10
3;Jaar, Nationaliteit;2022;*Alle*;Marokkaanse;330
3;Jaar, Nationaliteit;2022;*Alle*;Nigeriaanse;40
3;Jaar, Nationaliteit;2022;*Alle*;Oezbeekse;20
3;Jaar, Nationaliteit;2022;*Alle*;Onbekend;30
3;Jaar, Nationaliteit;2022;*Alle*;Pakistaanse;10
3;Jaar, Nationaliteit;2022;*Alle*;Poolse;220
3;Jaar, Nationaliteit;2022;*Alle*;Portugese;10
3;Jaar, Nationaliteit;2022;*Alle*;Roemeense;20
3;Jaar, Nationaliteit;2022;*Alle*;Russische;10
3;Jaar, Nationaliteit;2022;*Alle*;Sierra Leoonse;10
3;Jaar, Nationaliteit;2022;*Alle*;Soedanese;10
3;Jaar, Nationaliteit;2022;*Alle*;Somalische;10
3;Jaar, Nationaliteit;2022;*Alle*;Surinaamse;20
3;Jaar, Nationaliteit;2022;*Alle*;Syrische;20
3;Jaar, Nationaliteit;2022;*Alle*;Tunesische;50
3;Jaar, Nationaliteit;2022;*Alle*;Turkse;60
3;Jaar, Nationaliteit;2022;*Alle*;Venezolaanse;10
4;Jaar, Maand, Nationaliteit;2022;01;Afghaanse;10
4;Jaar, Maand, Nationaliteit;2022;01;Albanese;10
4;Jaar, Maand, Nationaliteit;2022;01;Algerijnse;10
4;Jaar, Maand, Nationaliteit;2022;01;Gambiaanse;10
4;Jaar, Maand, Nationaliteit;2022;01;Marokkaanse;20
4;Jaar, Maand, Nationaliteit;2022;01;Poolse;10
4;Jaar, Maand, Nationaliteit;2022;01;Turkse;10
4;Jaar, Maand, Nationaliteit;2022;02;Albanese;20
4;Jaar, Maand, Nationaliteit;2022;02;Algerijnse;30
4;Jaar, Maand, Nationaliteit;2022;02;Marokkaanse;20
4;Jaar, Maand, Nationaliteit;2022;02;Nigeriaanse;10
4;Jaar, Maand, Nationaliteit;2022;02;Onbekend;10
4;Jaar, Maand, Nationaliteit;2022;02;Poolse;20
4;Jaar, Maand, Nationaliteit;2022;02;Turkse;10
4;Jaar, Maand, Nationaliteit;2022;03;Albanese;10
4;Jaar, Maand, Nationaliteit;2022;03;Algerijnse;20
4;Jaar, Maand, Nationaliteit;2022;03;Marokkaanse;20
4;Jaar, Maand, Nationaliteit;2022;03;Poolse;20
4;Jaar, Maand, Nationaliteit;2022;03;Tunesische;10
