IMGEO_KLASSE;IMGEO_TYPE_PLUS;IMGEO_OBJECTBEGIN;IMGEO_BRONHOUDER;ID;IMGEO_LOKAALID;X;Y;LONG;LAT
Straatmeubilair;abri;2016-04-04;'s-Gravenhage (G);63381491;G0518.8EE03B5A-2E8F-45DC-B489-FFD6CCBBD945;82229.052;454104.371;4.325820121554738;52.07043893957955
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55044480;G0518.14280CB6-1003-0772-E053-530A0B0AF16A;76965.804;451069.442;4.249761644782578;52.042448423209635
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55065222;G0518.14280CB6-4D03-0772-E053-530A0B0AF16A;77741.198;449780.944;4.261352975233335;52.03097767628106
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55064343;G0518.14280CB6-4EDC-0772-E053-530A0B0AF16A;77564.618;451666.902;4.2583530973577;52.04790161976041
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55093073;G0518.14280CB6-D012-0772-E053-530A0B0AF16A;78107.451;452971.706;4.265971356066257;52.05970311205886
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55078076;G0518.14280CB6-9148-0772-E053-530A0B0AF16A;77923.668;450996.235;4.263737594081501;52.04192458147958
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55081658;G0518.14280CB6-A2FC-0772-E053-530A0B0AF16A;77892.785;453450.352;4.262733628515692;52.06397471246523
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55070606;G0518.14280CB6-72F1-0772-E053-530A0B0AF16A;77701.736;453254.529;4.259992370361453;52.0621882838285
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55039320;G0518.14280CB5-EB03-0772-E053-530A0B0AF16A;76659.779;450744.979;4.245376158351724;52.03948940110988
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55056257;G0518.14280CB6-39DD-0772-E053-530A0B0AF16A;77353.008;451456.165;4.255316705253258;52.04597817582924
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55092355;G0518.14280CB6-B5D1-0772-E053-530A0B0AF16A;78093.344;452677.932;4.2658318403338775;52.0570610939223
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55076387;G0518.14280CB6-7F16-0772-E053-530A0B0AF16A;77767.316;453259.431;4.260947413111593;52.06224148496894
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55074851;G0518.14280CB6-833F-0772-E053-530A0B0AF16A;77831.03;451907.987;4.262181682552648;52.05010534873732
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61094418;G0518.2057AF33-B57F-C1FE-E053-530A0B0ACA32;83274.158;456038.52;4.340654149860316;52.08795714763277
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61109157;G0518.2057AF33-EB8B-C1FE-E053-530A0B0ACA32;83779.946;455921.732;4.348057299156656;52.08697288497539
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61036725;G0518.2057AF32-CA72-C1FE-E053-530A0B0ACA32;81755.989;457742.207;4.318140183995915;52.103068998756974
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61102125;G0518.2057AF33-D0BE-C1FE-E053-530A0B0ACA32;83524.909;456165.689;4.344285607312095;52.08913242225572
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61123199;G0518.2057AF34-1192-C1FE-E053-530A0B0ACA32;84420.738;456832.259;4.3572169204713544;52.095237723017554
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61046604;G0518.2057AF32-FA12-C1FE-E053-530A0B0ACA32;82144.838;456740.227;4.32402904878934;52.09411577044737
Straatmeubilair;abri;2015-09-14;'s-Gravenhage (G);61114811;G0518.2057AF33-F4C3-C1FE-E053-530A0B0ACA32;84140.797;456185.009;4.353266809126755;52.08938521729239
Straatmeubilair;abri;2015-04-10;'s-Gravenhage (G);55247049;G0518.14280CB9-7575-0772-E053-530A0B0AF16A;79999.753;451536.674;4.29387471416355;52.04706624533875
