Id,"Titel kunstwerk","Achternaam Kunstenaar","Voornaam Kunstenaar","Tussenvoegsel Kunstenaar",Jaartal,Collectie,Wijk,Adres,"Materiaal 1","Materiaal 2","Materiaal 3","Materiaal 4","Materiaal 5",latitude,longitude,Omschrijving,Samenvatting,"Foto 1","Foto 2","Foto 3","Foto 4","Foto 5"
12091,"Koperen Kaasbel",,,,1928,"Stichtse Vecht",Breukelen,"Markt ",Baksteen,Koper,,,,52.170848,5.004386,"<p>&nbsp;Bij de feestelijke opening van het marktplein bij Boom en Bosch op 29 april 1927 schonk de gemeente Breukelen-Sint Pieters een gemetselde ophangplaats voor de oude kaasbel. Deze werd gemetseld door de gebroeders Vermeulen. In de tussentijd is de kaasbel een aantal malen verplaatst, van de Markt naar de Kerkbrink en weer terug.</p> <p>&nbsp;</p> <p>&nbsp;</p> <p><a href=""""https://www.google.com/maps/d/edit?mid=zFp4Gvj0zfgM.kwRnHJtau574"""">https://www.google.com/maps/d/edit?mid=zFp4Gvj0zfgM.kwRnHJtau574</a></p>",,http://beheer.kunstwacht.nl/cache/7/4/7/747867ce65c7a1aeb54f02d646e36273_700_540.jpg,,,,
12092,Meisje,Schrage,Jac.,,1985,"Stichtse Vecht",Breukelen,"Straatweg ",Brons,,,,,52.171034,5.002206,,,http://beheer.kunstwacht.nl/cache/0/a/7/0a7b44bf9b7dec94cfb9e13adb286528_700_540.jpg,,,,
12093,Oorlogsmonument,Baars,Gerthy,,2000,"Stichtse Vecht",Breukelen,"Tinus de Witplantsoen ",Brons,,,,,52.171678,5.001585,"<p>&nbsp;Geplaatst op initiatief van de Historische kring Breukelen. Een miniatuurversie is te vinden in Kockengen.</p>",,http://beheer.kunstwacht.nl/cache/4/4/f/44f3a278852639405187d960c7ea4302_700_540.jpg,,,,
12094,"Twee ganzen",Sterk,G.A.J.,,1975,"Stichtse Vecht",Breukelen,"Kerkbrink ",Brons,,,,,52.171934,5.002859,"<p>&nbsp;In maart 2014 naar binnen gehaald in verband met diefstal van het Fjordenpaard.</p>",,http://beheer.kunstwacht.nl/cache/b/d/d/bdd3cb54c81aa9d1848002d8d3c7161a_700_540.jpg,,,,
12095,"MozaiÌek N.H. Kerk Kerkbrink",Moere,Coby,"van de ",1982,"Stichtse Vecht",Breukelen,"Kerkbrink ",MozaÃ¯ek,,,,,52.171855,5.002473,,,http://beheer.kunstwacht.nl/cache/1/6/e/16e65b54c8afa8dd4bf401f94bd59776_700_540.jpg,,,,
12096,Fjordenpaard,Sterk,G.A.J.,,1975,"Stichtse Vecht",Breukelen,"Karel Doormanweg ",Brons,,,,,52.180407,5.001423,,,http://beheer.kunstwacht.nl/cache/7/4/7/747fc331ce6984dfe1ae4dc047a209a6_700_540.jpg,,,,
12097,"David en Saul",Sterk,G.A.J.,,1973,"Stichtse Vecht",Breukelen,"Heycoplaan ",Brons,,,,,52.176656,4.996859,"<p>Raadsbesluit 01-05-1973<br /> Beeld van David, die op de grond zit en harp speelt, en Saul, zittend op een stoel. Het geheel staat op een bakstenen sokkel.<br /> David en Saul: De herdersjongen David speelt op zijn harp voor koning Saul om diens depressies te verdrijven. Door zijn vriendschap met Sauls zoon Jonathan en zijn heldendaden in de oorlogen tegen de Filistijnen maakte David steeds meer naam zodat Saul hem als rivaal begon te zien.</p>",,http://beheer.kunstwacht.nl/cache/e/5/0/e50e01dd2b49ce9f6e7168b7ffa445b8_700_540.jpg,,,,
12098,Kalkoen,Sterk,G.A.J.,,1973,"Stichtse Vecht",Breukelen,"Wilhelminastraat 43A",Brons,,,,,52.172623,4.996252,,,http://beheer.kunstwacht.nl/cache/6/9/6/6960320da49c9b5bd9910ed8d50788b3_700_540.jpg,,,,
12099,"Kees de Tippelaar","Jong (1948 - )","Taeke Friso",de,,"Stichtse Vecht",Breukelen,"Park Boom en Bosch ",Brons,,,,,52.177051,5.003628,,,http://beheer.kunstwacht.nl/cache/9/9/0/990be3d75e17ebd27346f8ba04deb79a_700_540.jpg,,,,
12100,"Poort naar het water","HÃ¶weler (1940)",Gerard,,1994,"Stichtse Vecht",Breukelen,"Fluitekruid ",Graniet,"Verzinkt staal",,,,52.166360,5.002905,,,http://beheer.kunstwacht.nl/cache/f/e/0/fe0b9dff3ca50108bc8b6ec719e5a62f_700_540.jpg,,,,
