Referentiecode RDW,Publicatiedatum RDW,Meldende producent/distributeur,Referentiecode producent,Omschrijving defect,Categorie defect,Materiële gevolgen,Beschrijving van het herstel,Meer informatie op internet,Meer informatie via telefoonnummer,Opmerkingen RDW,Datum aankondiging producent,Datum melding bij RDW,Risicobeoordeling RDW,Datum informeren eigenaar,Datum eigenaren geïnformeerd,Totaal aantal voertuigen terugroepactie,Nationaal opgegeven aantal voertuigen terugroepactie,Publicatiedatum RDW_DT,Datum aankondiging producent_DT,Datum melding bij RDW_DT,Datum informeren eigenaar_DT,Datum eigenaren geïnformeerd_DT,API Terugroep_ actie_status,API Terugroep_actie_risico,API Terugroep_voertuig_merk_type,API Terugroep_infomeren_eigenaar
MGP070060,20130328,Louwman Parts & Service B.V.,TSG7-0045,De mogelijkheid bestaat dat de bouten van de stuurkoppeling op de stuuras niet goed zijn vast gedraaid.,Motorrijtuigen en aanhangwagens - stuurinrichting,De kans bestaat dat de verbinding van de stuurkoppeling op de stuuras los gaat zitten. Dit kan worden herkend door optredend geluid tijdens inparkeren en manouvreren bij lage snelheid. Na verloop van tijd kan dit leiden tot losraken van deze koppeling en onbestuurbaar worden van het voertuig.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd een afspraak te maken met een merkdealer. De dealer zal de stuurkoppeling dan vervangen.",(Nog) niet bekend,0162-585217,Deze terugroepactie is door de fabrikant op 15 oktober 2007 aangekondigd.,20071106,20071106,ERN,20071106,20071106,7500,1323,03/28/2013 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,11/06/2007 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP080083,20130418,Pon's Automobielhandel B.V. (Luxury Cars),RE08/02,Het brandstoffilterhuis kan corroderen. Als gevolg daarvan kan het brandstoffilterhuis poreus worden en kan er brandstoflekkage optreden.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Er kan brand ontstaan.,"De producent roept de betreffende voertuigen terug, neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt benaderd voor het maken van een afspraak met de merkdealer. Het brandstoffilterhuis wordt dan vervangen.",Niet bekend,(0)33 49 49 757,De fabrikant is met deze terugroepactie in mei 2008 gestart. De RDW wordt niet geïnformeerd over de teruggeroepen en herstelde voertuigen. Hierdoor is de realisatie van deze terugroepactie niet bekend.,20080501,20080501,LG,20080501,20080501,1613,22,04/18/2013 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,05/01/2008 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP080098,20130618,B.V. Nimag,HU-GQ,De onder de rechter voorstoel aanwezige stekkerverbinding van de zij-airbag kan klem raken tussen de stoelrails en beschadigen.,Motorrijtuigen - carrosserie (beschermingsmiddelen inzittenden),De kans is aanwezig dat de zij-airbag niet meer werkt of dat deze onbedoeld wordt geactiveerd.,De voertuigeigenaar wordt verzocht contact op te nemen met de merkdealer. Deze past de bevestiging van de bedrading aan en monteert een isolatiehuls over de bedrading. Als de bedrading beschadigd is wordt deze vervangen.,www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is over deze terugroepactie geïnformeerd op 25 augustus 2008.,20080901,20080901,GEM,20080901,20080901,69665,6554,06/18/2013 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,09/01/2008 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090029,20130606,B.V. Nimag,HU-GS,De combinatie van vocht en het brandvertragende middel in de zijbekleding van de bagageruimte zorgt ervoor dat er een verhoogde kans op corrosie ontstaat.,Motorrijtuigen en aanhangwagens - diversen,Corroderen van de aansluitingen van de kofferbakverlichtingsunit. Hierdoor kan kortsluiting ontstaan met brand als gevolg.,De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met de dichtstbijzijnde Suzuki-dealer of Suzuki-servicedealer. Deze vervangt de zijbekleding en de verlichtingsunit van de kofferbak.,www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is op 3 maart 2009 door Nimag B.V. over deze terugroepactie geïnformeerd.,20090301,20090301,ERN,20090301,20090304,250000,12272,06/06/2013 12:00:00 AM,03/01/2009 12:00:00 AM,03/01/2009 12:00:00 AM,03/01/2009 12:00:00 AM,03/04/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090077,20130705,FCA Netherlands B.V.,5155,De afdichting van de elektronische ABS-regeleenheid dicht niet voldoende af. Hierdoor kan er water en zout in de ABS-regeleenheid binnendringen.,Motorrijtuigen en aanhangwagens - elektrische installatie,Kortsluiting met kans op brand.,De distributeur roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt uitgenodigd om een afspraak te maken met de merkdealer. Deze zal de ABS-regeleenheid vervangen en een extra afdichting en afdekkap monteren.,Niet bekend,00800 34280000,De RDW is op 26 juli 2009 door Fiat Group Automobiles Netherlands B.V. over deze terugroepactie geïnformeerd.,20090706,20090709,GEM,20090706,20090804,901873,24105,07/05/2013 12:00:00 AM,07/06/2009 12:00:00 AM,07/09/2009 12:00:00 AM,07/06/2009 12:00:00 AM,08/04/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090098,20130527,B.V. Nimag,HU-GW,De combinatie van vocht en het brandvertragende middel in de vloermat van de kofferruimte zorgt ervoor dat er verhoogde kans op corrosie ontstaat.,Motorrijtuigen en aanhangwagens - diversen,Doorroesten en afbreken van de bevestigingsbeugels van de achtergordels.,"De producent/distributeur roept de betreffende voertuigen/producten terug neemt maatregelen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met de dichtstbijzijnde Suzuki-dealer of Suzuki-servicedealer. Deze vervangt de vloermat, reinigt de kofferbakbodem en vervangt, indien van toepassing, de door roest aangetaste veiligheidsgordels.",www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is op 1 oktober 2010 door Nimag B.V. over deze terugroepactie geïnformeerd.,20090922,20090922,ERN,20090922,20091013,250000,12272,05/27/2013 12:00:00 AM,09/22/2009 12:00:00 AM,09/22/2009 12:00:00 AM,09/22/2009 12:00:00 AM,10/13/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090145,20171207,B.V. Nimag,99-RA,De afdichting tussen de brandstoftank en de brandstofpomp dicht mogelijk niet goed af.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Brandstoflekkage tijdens volledig aftanken.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met de merkdealer. Deze zal de pakking van de brandstofpomp vervangen en een extra O-ring monteren.,Niet bekend,0800-4789854,De producent heeft deze terugroepactie reeds in 2009 georganiseerd.,20091125,20091203,GEM,20091214,20091214,15000,5772,12/07/2017 12:00:00 AM,11/25/2009 12:00:00 AM,12/03/2009 12:00:00 AM,12/14/2009 12:00:00 AM,12/14/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP090238,20171002,Triumph Motorcycles B.V.,SB403,De trekstang van het linksysteem tussen de achterbrug en achterveer kan vastlopen en als gevolg verbuigen en breken.,Motorrijtuigen en aanhangwagens - ophanging,Verliezen van de controle over het voertuig.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een merkdealer. Deze zal de trekstang vervangen voor een verbeterde trekstang.,Niet bekend,Niet bekend,De producent heeft deze terugroepactie in 2009 georganiseerd. Voertuigeigenaren van mogelijk nog niet herstelde voertuigen worden opnieuw benaderd.,20170901,20170929,ERN,20090902,20090920,2923,24,10/02/2017 12:00:00 AM,09/01/2017 12:00:00 AM,09/29/2017 12:00:00 AM,09/02/2009 12:00:00 AM,09/20/2009 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100018,20140908,Stellantis BV,OSB10-6E-018,De as van de stuurkolom is mogelijk verkeerd in de bevestiging van de tussenas van de stuurinrichting gemonteerd.,Motorrijtuigen en aanhangwagens - stuurinrichting,De bevestiging kan losraken. Hierdoor wordt het voertuig onbestuurbaar.,De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht een afspraak te maken met een door Chevrolet erkend reparatiebedrijf (zie www.chevrolet.nl). Deze zal de bevestiging van de stuurinrichting controleren en zonodig repareren.,Niet bekend,0800-2342345,De RDW is op 20 april 2010 door de meldende producent/distributeur over deze terugroepactie geïnformeerd.,20100423,20100423,ERN,20100323,20100330,66957,816,09/08/2014 12:00:00 AM,04/23/2010 12:00:00 AM,04/23/2010 12:00:00 AM,03/23/2010 12:00:00 AM,03/30/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
MGP100044,20130617,B.V. Nimag,HU-GX,Een brandstofslang in de motorruimte kan mogelijk tegen het gasklephuis aanliggen en daardoor beschadigen. Vervolgens kan deze brandstofslang doorslijten en gaan lekken.,"Motorrijtuigen - motor inclusief brandstof-, smeer- en koelsysteem",Er is een mogelijkheid van het ontstaan van milieuschade en brand.,"De producent roept de betreffende voertuigen terug. Maatregelen worden genomen om het defect te verhelpen. De voertuigeigenaar wordt verzocht contact op te nemen met een merkdealer om de brandstofslang te laten controleren. Is de brandstofslang beschadigd, dan zal deze worden vervangen.",www.suzuki.nl/service/terugroepacties,0800-4789854,De RDW is over deze terugroepactie geïnformeerd op 12 februari 2010.,20100108,20100108,GEM,20100108,20100219,39895,2458,06/17/2013 12:00:00 AM,01/08/2010 12:00:00 AM,01/08/2010 12:00:00 AM,01/08/2010 12:00:00 AM,02/19/2010 12:00:00 AM,https://opendata.rdw.nl/resource/t49b-isb7.json,https://opendata.rdw.nl/resource/9ihi-jgpf.json,https://opendata.rdw.nl/resource/mu2x-mu5e.json,https://opendata.rdw.nl/resource/mh8w-8cup.json
