FID,datummutatie,naammuteerder,bron,status,genormeerd,rwsdienst,waterlichaam,opmerkingen,gdb_geomattr_data,shape
zomer_kade_legger.1,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Boven-Rijn - Waal,,,"LINESTRING (203783.1442000009 432875.1645999998, 203756.35880000144 432808.2010000013, 203680.2120999992 432799.2426000014, 203563.75250000134 432839.5555000007, 203380.10460000113 432888.8269000016, 203187.49819999933 432888.8269000016, 202999.37110000104 432888.8269000016, 202833.64009999856 432799.2426000014, 202721.65960000083 432732.054299999, 202551.44940000027 432526.01029999927, 202412.59369999915 432517.0518999994, 202161.7575000003 432427.46759999916, 202018.4224999994 432355.8000999987, 201928.83819999918 432328.9248000011, 201866.12920000032 432311.0078999996)"
zomer_kade_legger.2,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Boven-Rijn - Waal,,,"LINESTRING (202564.88699999824 430698.48970000073, 202457.38580000028 430747.76110000163, 202390.1975999996 430797.0324999988, 202300.61320000142 430797.0324999988, 202134.88219999894 430909.0128999986, 202125.92379999906 430953.8051000014, 201834.7745999992 431177.7659999989, 201731.7525999993 431267.3502999991, 201646.6475000009 431276.308699999, 201346.5399999991 431495.7903999984, 201162.8920999989 431594.3332000002, 201118.0998999998 431666.000599999, 201118.0998999998 431764.5434000008, 201198.72580000013 431809.3355999999)"
zomer_kade_legger.3,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Boven-Rijn - Waal,,,"LINESTRING (192674.77549999952 430711.9274000004, 192724.04690000042 430765.6779999994, 192876.3401999995 430756.7195000015, 192880.81949999928 430864.2208000012, 192786.7558999993 431056.8271000013, 192692.6922999993 431173.2866999991, 192535.91970000044 431298.70479999855, 192343.31340000033 431419.6436999999, 192132.79019999877 431486.8319000006, 191940.1838000007 431545.0617999993, 191890.9125000015 431558.499400001, 191828.20340000093 431585.37469999865, 191823.72419999912 431657.0421999991, 191725.18140000105 431670.47989999875, 191460.9076000005 431643.60449999943, 191124.9662999995 431495.7903999984, 190986.11059999838 431473.3942999989)"
zomer_kade_legger.4,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Boven-Rijn - Waal,,,"LINESTRING (192492.34219999984 432599.88340000063, 192244.77059999853 432427.46759999916, 192092.47720000148 432279.6534000002, 191971.53840000182 432199.02749999985, 191899.87090000138 432176.6314000003, 191640.0762999989 432216.9444000013, 191299.65579999983 432082.5678000003, 191183.1961000003 432042.254900001, 191098.09099999815 432019.85880000144, 190878.60940000042 431966.10819999874, 190748.7120999992 431939.2329000011, 190609.8563000001 431939.2329000011, 190367.9785999991 431934.7536999993, 189705.0544999987 431786.9395000003, 189239.21590000018 431321.1009000018)"
zomer_kade_legger.5,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Boven-Rijn - Waal,,,"LINESTRING (190480.64719999954 431140.9001000002, 190435.16690000147 431209.12049999833, 190385.89550000057 431321.1009000018, 190305.26960000023 431325.5800999999, 190215.68519999832 431258.39189999923, 190152.97619999945 431025.47260000184, 189799.11800000072 430891.0960999988, 189781.20120000094 430671.6143999994, 189646.82459999993 430622.3429999985, 189602.0324999988 430559.6339999996, 189579.63639999926 430479.0080999993, 189485.57279999927 430371.5069000013, 189521.40659999847 430205.7758000009, 189400.46770000085 430129.6290999986, 189360.15469999984 430107.23310000077, 189373.5923999995 429901.189100001, 189328.8002000004 429659.3112999983, 189306.40410000086 429574.2061999999, 189400.46770000085 429524.934799999, 189351.19629999995 429435.3504999988, 189369.11320000142 429377.1206, 189360.15469999984 429323.37000000104, 189373.73380000144 429258.86939999834)"
zomer_kade_legger.6,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (194869.5918999985 442322.0582999997, 194918.8632999994 442595.2906000018, 194950.21779999882 442666.95809999853, 195053.2397999987 442707.2710000016, 195169.69940000027 442743.1048000008, 195380.2226999998 442805.81379999965, 195599.70430000126 442868.5227999985, 195760.9560999982 442890.9189000018)"
zomer_kade_legger.7,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (196087.9389999993 442644.561999999, 196020.75070000067 442756.54239999875, 195998.35460000113 442832.689100001, 196034.18840000033 442926.752700001, 196074.50129999965 442944.6695000008, 196222.31549999863 442962.5863999985)"
zomer_kade_legger.8,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (195272.72140000015 443070.0876000002, 195281.67990000173 442980.5033, 195375.74340000004 442935.7111000009, 195657.93409999833 443034.25389999896, 195931.16640000045 443079.0461000018, 196182.00250000134 443088.00450000167, 196361.17119999975 443123.8381999992, 196656.79960000142 443240.2978999987)"
zomer_kade_legger.9,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (197368.995099999 444597.5007000007, 197400.34959999844 444772.190200001, 197476.4963000007 444978.23409999907, 197579.51830000058 445175.31969999894, 197691.49870000035 445314.17540000007, 197861.70899999887 445475.4272999987, 197893.0634999983 445506.78180000186)"
zomer_kade_legger.10,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (198900.8874000013 444472.08260000125, 199008.38859999925 444718.4395000003, 199026.30550000072 445018.5471000001, 199062.13919999823 445193.2366000004, 199196.51570000127 445363.44680000097)"
zomer_kade_legger.11,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,IJssel,,,"LINESTRING (201606.33460000157 445650.11670000106, 201566.02160000056 445708.34650000185, 201566.02160000056 445797.93090000004, 201628.73059999943 445874.07759999856, 201727.27340000123 445941.26579999924, 201749.66950000077 446124.91369999945, 201642.1682999991 446241.373399999, 201566.02160000056 446433.9796999991, 201373.41530000046 446501.16800000146)"
zomer_kade_legger.12,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196992.74080000073 436252.7190000005, 196782.21759999916 436145.2177999988, 196603.04890000075 436104.9048999995)"
zomer_kade_legger.13,2014-10-13T00:00:00,Fugro,Deltares: baselinemodel rijn_j11_4/DON: aangeleverd,Vastgesteld,0,ON,Pannerdensch Kanaal - Nederrijn - Lek,,,"LINESTRING (196473.15159999952 436284.07360000163, 196379.08810000122 436418.45010000095, 196289.5036999993 436548.34739999846, 196164.08570000157 436709.5991999991)"
