FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.1,1307,3442,300205044,2023-01-01T00:00:00,Re, ,,POINT (152587.19409999996 399866.6831)
mutaties_hectopunten.2,1308,3542,300205044,2023-01-01T00:00:00,Re, ,,POINT (152636.58359999955 399779.8742999993)
mutaties_hectopunten.3,1309,3642,300205044,2023-01-01T00:00:00,Re, ,,POINT (152680.8313000016 399690.3258999996)
mutaties_hectopunten.4,1310,3742,300205044,2023-01-01T00:00:00,Re, ,,POINT (152719.9503000006 399598.49709999934)
mutaties_hectopunten.5,1311,3842,300205044,2023-01-01T00:00:00,Re, ,,POINT (152753.8273999989 399504.4930999987)
mutaties_hectopunten.6,1312,3942,300205044,2023-01-01T00:00:00,Re, ,,POINT (152782.13379999995 399408.6928000003)
mutaties_hectopunten.7,1313,4042,300205044,2023-01-01T00:00:00,Re, ,,POINT (152805.05810000002 399311.47619999945)
mutaties_hectopunten.8,1314,4141,300205044,2023-01-01T00:00:00,Re, ,,POINT (152822.0700000003 399213.0954999998)
mutaties_hectopunten.9,1315,4241,300205044,2023-01-01T00:00:00,Re, ,,POINT (152833.67830000073 399113.88049999997)
mutaties_hectopunten.10,1316,4341,300205044,2023-01-01T00:00:00,Re, ,,POINT (152839.6678000018 399014.2021000013)
mutaties_hectopunten.11,1317,4438,300205044,2023-01-01T00:00:00,Re, ,,POINT (152842.15929999948 398917.3867000006)
mutaties_hectopunten.12,1118,82,300230049,2023-01-01T00:00:00, ,e,,POINT (150434.7853000015 415160.41050000116)
mutaties_hectopunten.13,1119,168,300230049,2023-01-01T00:00:00, ,e,,POINT (150439.40769999847 415075.07669999823)
mutaties_hectopunten.14,1120,254,300230049,2023-01-01T00:00:00, ,e,,POINT (150418.8242000006 414991.69370000064)
mutaties_hectopunten.15,1121,384,300230049,2023-01-01T00:00:00, ,e,,POINT (150373.65419999883 414869.92170000076)
mutaties_hectopunten.16,1122,462,300230049,2023-01-01T00:00:00, ,e,,POINT (150327.31379999965 414807.57979999855)
mutaties_hectopunten.17,1187,19,301219042,2023-01-01T00:00:00, ,b,,POINT (150913.12049999833 409649.4791000001)
mutaties_hectopunten.18,1188,106,301219042,2023-01-01T00:00:00, ,b,,POINT (150999.43829999864 409651.11190000176)
mutaties_hectopunten.19,1189,208,301219042,2023-01-01T00:00:00, ,b,,POINT (151051.4904000014 409581.44680000097)
mutaties_hectopunten.20,1318,67,305197036,2023-01-01T00:00:00,Re, ,,POINT (152843.67300000042 398818.00829999894)
mutaties_hectopunten.21,1319,176,305197036,2023-01-01T00:00:00,Re, ,,POINT (152845.30209999904 398709.08040000126)
mutaties_hectopunten.22,1320,269,305197036,2023-01-01T00:00:00,Re, ,,POINT (152846.6884999983 398616.376699999)
mutaties_hectopunten.23,1321,376,305197036,2023-01-01T00:00:00,Re, ,,POINT (152848.2928000018 398509.10440000147)
mutaties_hectopunten.24,1322,476,305197036,2023-01-01T00:00:00,Re, ,,POINT (152849.78810000047 398409.1154999994)
mutaties_hectopunten.25,1323,562,305197036,2023-01-01T00:00:00,Re, ,,POINT (152851.03799999878 398323.41899999976)
mutaties_hectopunten.26,212,35,314326029,2023-01-01T00:00:00, ,a,,POINT (157138.12220000103 463194.87359999865)
mutaties_hectopunten.27,213,136,314326029,2023-01-01T00:00:00, ,a,,POINT (157193.68719999865 463278.1457000002)
mutaties_hectopunten.28,214,238,314326029,2023-01-01T00:00:00, ,a,,POINT (157281.11400000006 463329.1997000016)
mutaties_hectopunten.29,215,336,314326029,2023-01-01T00:00:00, ,a,,POINT (157361.01669999957 463381.6495000012)
mutaties_hectopunten.30,216,382,314326029,2023-01-01T00:00:00, ,a,,POINT (157376.8238000013 463424.63699999824)
mutaties_hectopunten.31,1345,48,323271019,2021-10-01T00:00:00, ,a,,POINT (161578.48270000145 435864.69139999896)
mutaties_hectopunten.32,1346,142,323271019,2021-10-01T00:00:00, ,a,,POINT (161670.12900000066 435856.33999999985)
mutaties_hectopunten.33,1347,243,323271019,2021-10-01T00:00:00, ,a,,POINT (161766.0709999986 435868.8504000008)
