Rijlabels;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
7AM B.V.;;1;;1
A.J. Dijksterhuis Holding B.V.;;1;;1
Actys Wonen B.V.;;;1;1
Artihove Regina B.V.;;1;;1
Athlon Car Lease Rental Services B.V.;;;6;6
Autohaag Zeeuw;;;1;1
Bibliotheek Rilland;;1;;1
Bij Ons Spoordonk;;1;;1
Bouw & Infra Park B.V.;;1;;1
Cab;;1;;1
Carglass B.V.;;;1;1
Catering Oud London B.V.;;1;;1
De Horeca Academie Zakelijk B.V.;;1;;1
De Tuinkamer;;1;;1
Dudok Den Haag B.V.;;1;;1
Eenhoorn Meeting Center;;1;;1
EMMA Communicatie B.V.;;1;;1
Gebr. Verschoor B.V.;;;1;1
Gh Catering B.V.;;1;;1
Het Kookplein;;1;;1
Holding Beheermaatschappij Ropeni B.V.;;1;;1
Hotel, CafÃ©-Restaurant Lion d'Or B.V.;;1;;1
IBG Advies;;1;;1
Landgoed Twiske B.V.;;1;;1
Leaseplan Nederland N.V.;;;7;7
Lumenz;;1;;1
Meetingselect B.V.;;7;;7
Motus B.V.;;1;;1
New Babylon Meeting Center B.V.;;2;;2
NH Den Haag;;1;;1
Nieuwe of Litteraire Sociëteit De Witte;;1;;1
NS Reizigers B.V.;1;;;1
Opdelijn.nl;;1;;1
Optima Forma B.V.;;1;;1
Schiphol Nederland B.V.;1;;;1
Shuttel B.V.;2;;;2
Stayokay 'Den Haag';;1;;1
Stichting Het Zuidelijk Toneel;;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
Stichting Parkeergelden Nederland;;;1;1
The Chairmen at Work B.V.;;1;;1
Villa Jongerius;;1;;1
Vital Change B.V.;;1;;1
Wim Daniels Tekst en Training;;1;;1
Worldmeetings.com B.V.;;4;;4
YNNO B.V.;;1;;1
Eindtotaal;2;7;7;8
