FID,omschr,kantcode,wvk_id,wvk_begdat,begafstand,endafstand,fk_veld1,fk_veld4,izi_side,ibn,vnrwol,max_snelh,gdb_geomattr_data,shape
kantstroken_wegvak.1,Vluchtstrook,H,600135540,2019-10-01T00:00:00,88,467,060013554020191001,KLK0006362552,L,I,2,,,"LINESTRING (148082.09980000183 487378.2564999983, 148067.27600000054 487341.94200000167, 148060.40900000185 487321.33999999985, 148055.05900000036 487293.9510000013, 148053.46200000122 487275.9050000012, 148055.03700000048 487251.5179999992, 148056 487239, 148060.88800000027 487218.4919999987, 148073.2650000006 487179.4450000003, 148079.17399999872 487157.7259999998, 148085.86199999973 487126.5159999989, 148088.03700000048 487096.48000000045, 148087.55799999833 487072.0450000018, 148085.16200000048 487051.4439999983, 148080.37099999934 487025.8920000009, 148075.1009999998 487009.1229999997)"
kantstroken_wegvak.2,Vluchtstrook,H,600135540,2019-10-01T00:00:00,25,88,060013554020191001,KLK0006362553,L,I,3,,,"LINESTRING (148105.07990000024 487436.9145999998, 148085.561999999 487386.73800000176, 148082.09980000183 487378.2564999983)"
kantstroken_wegvak.3,Vluchtstrook,H,600215863,2019-11-01T00:00:00,79,242,060021586320191101,KLK0008824566,R,I,2,,,"LINESTRING (189906.14400000125 326838.2520999983, 189912.71680000052 326829.5626000017, 189923.72349999845 326812.3117999993, 189934.51850000024 326794.1083999984, 189952.93349999934 326762.0408000015, 189963.940200001 326742.4615999982, 189989.0439000018 326697.6442999989)"
kantstroken_wegvak.4,Puntstuk,H,600215079,2019-11-01T00:00:00,13,75,060021507920191101,KLK0006433342,L,I,2,,,"LINESTRING (115944.35440000147 483450.8060999997, 116002.64039999992 483469.1171000004, 116003.11910000071 483469.2421000004)"
kantstroken_wegvak.5,Puntstuk,H,600215085,2019-11-01T00:00:00,0,45,060021508520191101,KLK0006433357,R,I,2,,,"LINESTRING (115945.9886999987 483604.17720000073, 115928.07200000063 483600.01000000164, 115903.15850000083 483590.6746999994)"
kantstroken_wegvak.6,Vluchtstrook,H,600199678,2019-10-01T00:00:00,0,116,060019967820191001,KLK0007489242,R,I,2,,,"LINESTRING (148272.03299999982 487233.70899999887, 148274.50459999964 487244.1394000016, 148287.75019999966 487272.47030000016, 148309.94889999926 487314.04679999873, 148318.04340000078 487330.60379999876, 148318.09820000082 487339.46979999915)"
kantstroken_wegvak.7,Vluchtstrook,H,600136402,2019-10-01T00:00:00,21,138,060013640220191001,KLK0008638055,R,I,3,,,"LINESTRING (148449.71090000123 487316.9902999997, 148410.99500000104 487216.8429999985, 148407.32820000127 487207.93879999965)"
kantstroken_wegvak.8,Vluchtstrook,H,600136402,2019-10-01T00:00:00,138,370,060013640220191001,KLK0007489242,R,I,2,,,"LINESTRING (148407.32820000127 487207.93879999965, 148402 487195, 148395.98900000006 487182.65300000086, 148383.62200000137 487166.6579999998, 148367.2589999996 487153.16000000015, 148351.72300000116 487145.77699999884, 148341.5850000009 487144.2349999994, 148328.5700000003 487144.0249999985, 148311.39400000125 487147.65100000054, 148297.2899999991 487155.47399999946, 148286.05000000075 487165.1710000001, 148277.125 487176.8509999998, 148274.53599999845 487182.4149999991, 148269.35700000077 487197.1799999997, 148269.08100000024 487211.7800000012, 148269.30200000107 487222.90900000185, 148272.03299999982 487233.70899999887)"
kantstroken_wegvak.9,Vluchtstrook,H,291370016,2019-10-01T00:00:00,0,220,029137001620191001,KLK0006321263,R,I,3,,,"LINESTRING (145797.32299999893 485064.55799999833, 145816.24700000137 485068.29199999943, 145831.84699999914 485071.02899999917, 145849.08799999952 485072.9450000003, 145866.60300000012 485074.313000001, 145891.23299999908 485074.0390000008, 145919.4210000001 485071.8500000015, 145949.5249999985 485065.2820000015, 145979.90199999884 485055.7039999999, 146012.1950000003 485044.4829999991, 146012.38679999858 485044.4178000018)"
kantstroken_wegvak.10,Vluchtstrook,H,600215782,2019-11-01T00:00:00,0,83,060021578220191101,KLK0008200936,L,I,2,,,"LINESTRING (190130.1272 326427.0111999996, 190131.4791000001 326441.03819999844, 190123.8062000014 326470.53929999843, 190120.10200000182 326482.71009999886, 190111.80730000138 326507.31639999896)"
