Plantjaar;ID;Boomsoort;Boomsoort Nederlands;X;Y
1996;9;Abies nordmanniana;Nordmannspar;103462,623;431696,15
;7555;Acer campestre;Veldesdoorn;103798,790499499;431531,096562604
;7577;Acer campestre;Veldesdoorn;103530,747715505;431851,703225949
;7578;Acer campestre;Veldesdoorn;103531,862984701;431850,123261253
;7597;Acer campestre;Veldesdoorn;104207,833750519;431773,35653272
;7598;Acer campestre;Veldesdoorn;104175,128582511;431790,082977868
;7599;Acer campestre;Veldesdoorn;104157,126912366;431806,722359462
;7658;Acer campestre;Veldesdoorn;104282,967116909;431739,900404832
;7659;Acer campestre;Veldesdoorn;104319,497186619;431715,186942892
;7866;Acer campestre;Veldesdoorn;104225,524650158;431367,538892081
;7902;Acer campestre;Veldesdoorn;104710,096497521;431141,661308538
;7905;Acer campestre;Veldesdoorn;104732,773187052;431174,293746135
;7906;Acer campestre;Veldesdoorn;104739,184827495;431183,255396779
;7910;Acer campestre;Veldesdoorn;104827,278737617;431276,763050251
;7911;Acer campestre;Veldesdoorn;104836,360914067;431279,333134038
;7965;Acer campestre;Veldesdoorn;106116,292979628;430253,280913242
;7967;Acer campestre;Veldesdoorn;106117,506614147;430233,343556673
;7969;Acer campestre;Veldesdoorn;106118,308622649;430213,648957646
2017;7971;Acer campestre;Veldesdoorn;106119,862259608;430183,00296652
2017;7972;Acer campestre;Veldesdoorn;106119,219687096;430193,435448404
2017;7973;Acer campestre;Veldesdoorn;106120,266751994;430173,205494457
2017;7975;Acer campestre;Veldesdoorn;106120,975208479;430153,068802762
2017;7977;Acer campestre;Veldesdoorn;106121,864732168;430133,174918877
2017;7979;Acer campestre;Veldesdoorn;106122,60832293;430113,059756005
2017;7981;Acer campestre;Veldesdoorn;106123,565380938;430093,125791158
2017;7983;Acer campestre;Veldesdoorn;106124,272860866;430072,491344408
2017;7985;Acer campestre;Veldesdoorn;106125,100609328;430052,434542952
1970;47;Acer campestre;Veldesdoorn;104515,521;430890,677
1980;11;Acer campestre;Veldesdoorn;104122,799;431828,199
1985;12;Acer campestre;Veldesdoorn;104317,144;431719,457
1985;13;Acer campestre;Veldesdoorn;104160,606;431808,138
1985;14;Acer campestre;Veldesdoorn;104160,755;431804,104
1980;15;Acer campestre;Veldesdoorn;104223,334;431764,082
1980;18;Acer campestre;Veldesdoorn;104037,045;431807,167
1975;19;Acer campestre;Veldesdoorn;103913,193;431546,723
1970;20;Acer campestre;Veldesdoorn;103910,342;431542,61
1970;21;Acer campestre;Veldesdoorn;103877,423;431502,054
1970;22;Acer campestre;Veldesdoorn;103876,671;431504,763
2000;23;Acer campestre;Veldesdoorn;103891,746;431529,796
1990;24;Acer campestre;Veldesdoorn;103893,086;431523,912
1975;25;Acer campestre;Veldesdoorn;104256,042;431202,18
1975;26;Acer campestre;Veldesdoorn;104259,301;431198,921
1970;28;Acer campestre;Veldesdoorn;104249,261;431190,078
1970;29;Acer campestre;Veldesdoorn;104251,557;431189,476
1970;30;Acer campestre;Veldesdoorn;104252,189;431169,281
1970;31;Acer campestre;Veldesdoorn;104256,964;431167,61
1980;32;Acer campestre;Veldesdoorn;104161,532;431274,908
