Nummer;Totaal van;Jaar;Maand;Type;Land bij nationaliteit;Aantal AMV
9;Jaar, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;;1.230
10;Jaar, Maand, Aantal AMV;2018;1;Alleenstaande minderjarige vreemdelingen;;90
10;Jaar, Maand, Aantal AMV;2018;2;Alleenstaande minderjarige vreemdelingen;;60
10;Jaar, Maand, Aantal AMV;2018;3;Alleenstaande minderjarige vreemdelingen;;100
10;Jaar, Maand, Aantal AMV;2018;4;Alleenstaande minderjarige vreemdelingen;;90
10;Jaar, Maand, Aantal AMV;2018;5;Alleenstaande minderjarige vreemdelingen;;120
10;Jaar, Maand, Aantal AMV;2018;6;Alleenstaande minderjarige vreemdelingen;;90
10;Jaar, Maand, Aantal AMV;2018;7;Alleenstaande minderjarige vreemdelingen;;120
10;Jaar, Maand, Aantal AMV;2018;8;Alleenstaande minderjarige vreemdelingen;;100
10;Jaar, Maand, Aantal AMV;2018;9;Alleenstaande minderjarige vreemdelingen;;120
10;Jaar, Maand, Aantal AMV;2018;10;Alleenstaande minderjarige vreemdelingen;;110
10;Jaar, Maand, Aantal AMV;2018;11;Alleenstaande minderjarige vreemdelingen;;120
10;Jaar, Maand, Aantal AMV;2018;12;Alleenstaande minderjarige vreemdelingen;;110
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Afghanistan;30
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Albania;30
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Algeria;60
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Angola;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Armenia;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Benin;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Cameroon;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Cape Verde;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Chad;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;China (including Hong Kong);0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Congo, the Democratic Republic of the;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Congo, the Republic of the;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Cote d'Ivoire;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Egypt;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Eritrea;430
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Ethiopia;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Gambia;30
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Guinea;60
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Guinea-Bissau;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;India;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Iran (Islamic Republic of);30
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Iraq;70
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Liberia;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Libyan Arab Jamahiriya;20
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Mali;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Mauritania;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Morocco;150
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Nicaragua;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Nigeria;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Palestinian Territory, Occupied;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Poland;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Senegal;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Sierra Leone;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Somalia;10
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Spain;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Stateless;0
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Sudan;30
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Syrian Arab Republic;170
11;Jaar, Land bij nationaliteit, Aantal AMV;2018;;Alleenstaande minderjarige vreemdelingen;Tunisia;20
