FID,omschr,doorrijhgt,invent_oms,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
kunstoverweg_wegvak.1,Viaduct,0,VIAD.'ACHTERHOEK'I/D ACHTERHOEKSEWEG,600151058,2021-10-01T00:00:00,3799,060015105820211001,PKK0000083511,I,,POINT (250313.41180000082 478799.99969999865)
kunstoverweg_wegvak.2,Viaduct,0,VIAD.'ACHTERHOEK'I/D ACHTERHOEKSEWEG,600151058,2021-10-01T00:00:00,3784,060015105820211001,PKK0000083512,I,,POINT (250328.40790000185 478800.34099999815)
kunstoverweg_wegvak.3,Viaduct,0,FIETS VIAD.I/D ACHTERHOEKSEWEG,600151058,2021-10-01T00:00:00,3770,060015105820211001,PKK0000083513,I,,POINT (250342.4076000005 478800.4327000007)
kunstoverweg_wegvak.4,Viaduct,0,FIETS VIAD.I/D ACHTERHOEKSEWEG,498357022,2021-10-01T00:00:00,934,049835702220211001,PKK0000083513,I,,POINT (250354.02749999985 478785.19619999826)
kunstoverweg_wegvak.5,Viaduct,0,FIETS VIAD.,498357022,2021-10-01T00:00:00,1836,049835702220211001,PKK0000083514,I,,POINT (251225.91149999946 478586.07019999996)
kunstoverweg_wegvak.6,Viaduct,0,VIAD.'BINNENVELD'I/D DEURNINGERSTRAAT,498357022,2021-10-01T00:00:00,2960,049835702220211001,PKK0000083515,I,,POINT (252191.0758999996 478010.93510000035)
kunstoverweg_wegvak.7,Viaduct,0,VIAD.'NOORKEVELD'I/D HASSELERBAAN,498357022,2021-10-01T00:00:00,3850,049835702220211001,PKK0000083516,I,,POINT (252989.93409999833 477619.3099000007)
kunstoverweg_wegvak.8,Viaduct,0,FIETSVIAD.'DE PALLAST'I/D PALLASTWEG,508355008,2021-10-01T00:00:00,200,050835500820211001,PKK0000083518,I,,POINT (254280.15560000017 477647.46869999915)
kunstoverweg_wegvak.9,Viaduct,0,VIAD.'DE OUDE POSTWEG'I/D OUDE POSTWEG,600153114,2021-10-01T00:00:00,1198,060015311420211001,PKK0000083521,I,,POINT (258520.73310000077 479411.9409000017)
kunstoverweg_wegvak.10,Viaduct,0,VIAD.'BERGHUIZEN'I/D LOSSERSESTRAAT,600153064,2021-10-01T00:00:00,5007,060015306420211001,PKK0000083522,I,,POINT (260896.4472000003 479038.32559999824)
