systeem;feitgroep;projcode;mate;aantal;initieelbedrag;;;;;;;A4 (Hoofddorp rechts);KL0601
WAHV ;Snelheid;19TR05;A tem_10km;6.684;250.083;;;;;;;A4 (Hoofddorp links);KL0602
WAHV ;Snelheid;19TR05;B 11_tem_15km;896;89.093;;;;;;;A12 (Harmelen - Woerden);KL0603
WAHV ;Snelheid;19TR05;C 16_tem_20km;374;54.083;;;;;;;A13 (Rotterdam links);KL0604
WAHV ;Snelheid;19TR05;D 20_tem_25km;191;35.416;;;;;;;A13 (Rotterdam rechts);KL0605
WAHV ;Snelheid;19TR05;E 25_tem_30km;100;22.433;;;;;;;A20 (Rotterdam links);KL0606
WAHV ;Snelheid;19TR06;A tem_10km;6.242;237.268;;;;;;;A20 (Rotterdam rechts);KL0607
WAHV ;Snelheid;19TR06;B 11_tem_15km;707;69.431;;;;;;;A12 (Den Haag-Voorburg links);KL0608
WAHV ;Snelheid;19TR06;C 16_tem_20km;253;35.949;;;;;;;A12 (Den Haag-Voorburg rechts);KL0609
WAHV ;Snelheid;19TR06;D 20_tem_25km;142;27.301;;;;;;;A12 (Utrecht hoofdrijbaan links);KL0610
WAHV ;Snelheid;19TR06;E 25_tem_30km;51;13.664;;;;;;;A12 (Utrecht hoofdrijbaan rechts);KL0611
WAHV ;Snelheid;KL0601;A tem_10km;50.053;1.208.310;;;;;;;A12 (Utrecht parallelrijbaan links);KL0612
WAHV ;Snelheid;KL0601;B 11_tem_15km;2.887;245.417;;;;;;;A12 (Utrecht parallelrijbaan rechts);KL0613
WAHV ;Snelheid;KL0601;C 16_tem_20km;1.279;133.736;;;;;;;A10 (West rechts richting Zaandam);KL0614
WAHV ;Snelheid;KL0601;D 20_tem_25km;560;70.366;;;;;;;A10 (West links richting Amstelveen);KL0615
WAHV ;Snelheid;KL0601;E 25_tem_30km;351;41.205;;;;;;;A58 (Bergen op Zoom - Roosendaal links);KL0618
WAHV ;Snelheid;KL0601;F 31_tem_39km;269;30.780;;;;;;;A58 (Roosendaal - Bergen op Zoom rechts);KL0619
WAHV ;Snelheid;KL0602;A tem_10km;103.967;2.738.968;;;;;;;A2 (Utrecht - Amsterdam links);KL0620
WAHV ;Snelheid;KL0602;B 11_tem_15km;5.952;539.726;;;;;;;A2 (Amsterdam - Utrecht rechts);KL0621
WAHV ;Snelheid;KL0602;C 16_tem_20km;2.339;272.694;;;;;;;A4 (Den Haag - Amsterdam) Leidschendam links;KL0622
WAHV ;Snelheid;KL0602;D 20_tem_25km;1.083;159.992;;;;;;;A4 (Amsterdam - Den Haag) Leidschedam recht;KL0623
WAHV ;Snelheid;KL0602;E 25_tem_30km;605;98.788;;;;;;;A2 (Maastricht A2 en N2 rechts);KL0624
WAHV ;Snelheid;KL0602;F 31_tem_39km;439;67.519;;;;;;;A2 (Maastricht A2 en N2 links);KL0625
WAHV ;Snelheid;KL0604;A tem_10km;55.262;1.821.389;;;;;;;;
WAHV ;Snelheid;KL0604;B 11_tem_15km;7.878;653.118;;;;;;;;
WAHV ;Snelheid;KL0604;C 16_tem_20km;3.179;354.643;;;;;;;Zeeland: Westerscheldetunnel westbuis;19TR05
WAHV ;Snelheid;KL0604;D 20_tem_25km;995;138.844;;;;;;;Zeeland: Westerscheldetunnel oostbuis;19TR06
WAHV ;Snelheid;KL0604;E 25_tem_30km;506;72.455;;;;;;;;
WAHV ;Snelheid;KL0604;F 31_tem_39km;370;66.131;;;;;;;;
WAHV ;Snelheid;KL0605;A tem_10km;23.802;778.248;;;;;;;;
WAHV ;Snelheid;KL0605;B 11_tem_15km;3.301;274.184;;;;;;;;
WAHV ;Snelheid;KL0605;C 16_tem_20km;1.291;146.043;;;;;;;;
WAHV ;Snelheid;KL0605;D 20_tem_25km;423;57.181;;;;;;;;
WAHV ;Snelheid;KL0605;E 25_tem_30km;216;29.159;;;;;;;;
WAHV ;Snelheid;KL0605;F 31_tem_39km;199;32.435;;;;;;;;
WAHV ;Snelheid;KL0606;A tem_10km;64.746;2.204.942;;;;;;;;
WAHV ;Snelheid;KL0606;B 11_tem_15km;8.531;763.812;;;;;;;;
WAHV ;Snelheid;KL0606;C 16_tem_20km;3.537;440.231;;;;;;;;
WAHV ;Snelheid;KL0606;D 20_tem_25km;1.109;175.348;;;;;;;;
WAHV ;Snelheid;KL0606;E 25_tem_30km;575;98.808;;;;;;;;
WAHV ;Snelheid;KL0606;F 31_tem_39km;442;78.238;;;;;;;;
WAHV ;Snelheid;KL0607;A tem_10km;79.916;2.685.492;;;;;;;;
WAHV ;Snelheid;KL0607;B 11_tem_15km;9.499;843.392;;;;;;;;
WAHV ;Snelheid;KL0607;C 16_tem_20km;3.639;446.834;;;;;;;;
WAHV ;Snelheid;KL0607;D 20_tem_25km;1.142;175.335;;;;;;;;
WAHV ;Snelheid;KL0607;E 25_tem_30km;578;96.093;;;;;;;;
WAHV ;Snelheid;KL0607;F 31_tem_39km;497;87.121;;;;;;;;
WAHV ;Snelheid;KL0608;A tem_10km;51.965;1.750.869;;;;;;;;
WAHV ;Snelheid;KL0608;B 11_tem_15km;6.194;536.944;;;;;;;;
WAHV ;Snelheid;KL0608;C 16_tem_20km;2.164;253.508;;;;;;;;
WAHV ;Snelheid;KL0608;D 20_tem_25km;666;101.696;;;;;;;;
WAHV ;Snelheid;KL0608;E 25_tem_30km;293;47.640;;;;;;;;
WAHV ;Snelheid;KL0608;F 31_tem_39km;206;37.366;;;;;;;;
