Leveranciersnaam;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
!Bien;;;;;;1;1
&MAES;;;;;2;1;2
310K;;;;;;1;1
360FOODEVENTS / TAAT & DE REGT;;;;;2;;2
7AM DEN HAAG;;;;;2;1;2
A4 TRAINING;;;;;1;;1
Aaaaha! The Actor Factory B.V.;;;;;;1;1
ABF RESEARCH;;;;;;1;1
ABONNEMENTENLAND;;1;;;;;1
ABRIKOOS UTRECHT B.V.;;;;;1;;1
Absoluta Food and Facilities B.V.;;1;;;;;1
Academie voor Vastgoed B.V.;;;;;;1;1
ACCOR HOSPITALITY NEDERLAND;;;;;2;;2
ACKET / VANDOORNE;;;;;;2;2
AD NIEUWSMEDIA;;1;;;;;1
ADD EXCITEMENT B.V.;;;;;2;;2
ADFO GROEP;;1;;;;;1
Adfo Groep B.V.;;1;;;;;1
ADVIESBUREAU HOLLANDER;;;;;;2;2
Adviesbureau Reit;;1;;;;;1
Agripers B.V.;;1;;;;;1
AHA INTERIMMANAGEMENT & ORGANISATIE;;;;;;2;2
AHMED LAAMOUMRI;;;;;1;;1
ALBRON NEDERLAND;;;;;1;;1
Allgifts;;;;;;1;1
Altares - Dun & Bradstreet;;1;;;;;1
ANDERSSON ELFFERS FELIX;;;;;1;;1
Anko Management B.V.;;;;;1;;1
Anoniem 1;;;;;1;;1
Anoniem 105;;;;;;1;1
Anoniem 117;;;;;;1;1
Anoniem 122;;;;;;1;1
Anoniem 123;;;;;;1;1
Anoniem 124;;;;;;1;1
Anoniem 125;;;;;;1;1
Anoniem 126;;;;;;1;1
Anoniem 130;;;;;;1;1
Anoniem 136;;;;;1;;1
Anoniem 144;1;;;;;2;2
Anoniem 198;;;;;;1;1
Anoniem 199;;;;;1;;1
Anoniem 2;;;;;1;;1
Anoniem 201;;;;;1;;1
Anoniem 22;;;;;1;;1
Anoniem 23;;;;;1;;1
Anoniem 248;;;;;;1;1
Anoniem 255;;;;;1;;1
Anoniem 279;;;;;;1;1
Anoniem 287;;;;;;1;1
Anoniem 298;;;;;1;;1
Anoniem 310;;;;;1;;1
Anoniem 312;;;;;;1;1
Anoniem 315;;;;;1;;1
Anoniem 321;;;;;;1;1
Anoniem 322;;;;;1;1;1
Anoniem 328;;;;;1;;1
Anoniem 332;;;;;;1;1
Anoniem 337;;;;;;1;1
Anoniem 340;;;;;;1;1
Anoniem 341;;;;;1;;1
Anoniem 343;;;;;;1;1
Anoniem 354;;;;;;1;1
Anoniem 360;;;;;;1;1
Anoniem 37;;;;;;2;2
Anoniem 379;;;;;;1;1
Anoniem 382;;;;;;1;1
Anoniem 384;;;;;1;;1
Anoniem 390;;;;;1;;1
Anoniem 393;;;;;;1;1
Anoniem 4;;;;;1;;1
Anoniem 400;;;;;1;;1
Anoniem 428;;;;;1;;1
Anoniem 441;;1;;;;;1
Anoniem 443;;;;;;1;1
Anoniem 444;;;;;1;;1
Anoniem 446;;;;;1;;1
Anoniem 449;;;;;1;;1
Anoniem 451;;;;;;1;1
Anoniem 460;;;;;1;;1
Anoniem 465;;;;;1;;1
Anoniem 471;;;;1;;;1
Anoniem 475;;;;;;1;1
Anoniem 477;;;;;1;2;2
Anoniem 481;;;;;;1;1
Anoniem 490;;;;;2;2;2
Anoniem 492;;;;;1;;1
Anoniem 495;;;;;1;;1
Anoniem 513;;;;;1;;1
Anoniem 515;;;;;;1;1
Anoniem 529;;;;;1;;1
Anoniem 536;;;;;1;;1
Anoniem 548;;1;;;;;1
Anoniem 550;;;;;1;;1
Anoniem 553;;;;;1;;1
Anoniem 554;;;;;1;;1
Anoniem 556;1;;;;;;1
Anoniem 557;;;;;1;;1
Anoniem 559;;;;;1;;1
Anoniem 563;;;;;1;1;1
