FID,jaar,type_ws,hoofdgeb,gebied,locatie,gdb_geomattr_data,shape
steilrand_maas_2009.1,2009,Rivieren,Maas,Zandmaas,Bergen,,"LINESTRING (199382.5940000005 400903.98099999875, 199381.5460000001 400905.3429999985, 199381.30099999905 400905.98800000176, 199380.67799999937 400907.6279999986, 199379.91299999878 400908.7019999996, 199379.61499999836 400910.3720000014, 199378.91699999943 400911.57499999925, 199378.26799999923 400912.40900000185, 199377.79899999872 400913.3200000003, 199377.5799999982 400913.88500000164, 199377.6700000018 400914.4600000009, 199377.34600000083 400915.13800000027, 199376.77699999884 400915.78400000185, 199376.0300000012 400916.0549999997, 199375.438000001 400916.4690000005, 199375.00699999928 400917.1700000018, 199374.65199999884 400918.01300000027, 199374.3740000017 400919.0610000007, 199373.94000000134 400919.90399999917, 199373.1889999993 400920.9059999995)"
steilrand_maas_2009.2,2009,Rivieren,Maas,Zandmaas,Bergen,,"LINESTRING (199465.2650000006 400783.1790000014, 199464.50299999863 400785.30700000003, 199463.9910000004 400786.8929999992, 199463.36199999973 400787.98099999875, 199462.5940000005 400788.58199999854, 199461.88699999824 400789.54399999976, 199461.31899999827 400791.0859999992, 199460.08199999854 400792.1649999991, 199459.3049999997 400792.81599999964, 199458.4600000009 400793.1970000006, 199457.58999999985 400794.2019999996, 199456.55600000173 400794.86499999836, 199455.71400000155 400795.31799999997, 199455.22899999842 400795.9050000012, 199454.7890000008 400796.7740000002, 199454.45899999887 400797.53400000185, 199453.5469999984 400798.125, 199452.7419999987 400798.78599999845, 199452.06700000167 400799.7320000008, 199451.42500000075 400800.6779999994, 199450.7509999983 400801.38899999857, 199449.83700000122 400801.8299999982, 199448.7650000006 400801.7289999984, 199448.4849999994 400801.60500000045, 199447.7589999996 400803.06500000134, 199447.08300000057 400804.1979999989)"
steilrand_maas_2009.3,2009,Rivieren,Maas,Zandmaas,Bergen,,"LINESTRING (199584.46499999985 400636.2010000013, 199584.29300000146 400637.13699999824, 199584.08900000155 400637.77699999884, 199583.8509999998 400638.26099999994, 199583.30700000003 400638.6710000001, 199582.66200000048 400639.0789999999, 199581.86100000143 400639.41099999845, 199581.02600000054 400639.9519999996, 199580.34200000018 400640.50400000066, 199579.34200000018 400640.90399999917, 199578.21499999985 400641.56599999964, 199577.58199999854 400641.42599999905, 199577.0469999984 400640.9770000018)"
steilrand_maas_2009.4,2009,Rivieren,Maas,Zandmaas,Bergen,,"LINESTRING (199793.2960000001 400416.01099999994, 199795.00200000033 400414.26300000027, 199795.62900000066 400413.61100000143, 199796.45699999854 400413.0940000005, 199797.55000000075 400411.59099999815, 199798.13500000164 400410.9519999996, 199799.0080000013 400409.01300000027, 199799.66800000146 400408.5879999995, 199800.6400000006 400406.71599999815, 199801.01199999824 400406.62000000104, 199801.53400000185 400406.6499999985, 199802.09299999848 400405.6330000013, 199802.58300000057 400405.04100000113, 199803.3280000016 400404.7329999991, 199804.11400000006 400404.77899999917, 199805.01999999955 400404.9829999991, 199805.68400000036 400403.69999999925, 199805.90399999917 400402.8720000014, 199806.15399999917 400402.2509999983, 199806.74799999967 400401.8729999997, 199806.98299999908 400402.87099999934, 199807.47800000012 400403.26900000125, 199808.05099999905 400403.19099999964, 199808.9389999993 400402.8260000013, 199809.62200000137 400402.3189999983, 199810.4290000014 400401.25499999896, 199811.3830000013 400400.19200000167, 199812.46299999952 400399.2580000013, 199813.40300000086 400398.68499999866, 199814.4219999984 400397.86199999973, 199815.59200000018 400397.6229999997, 199816.85599999875 400396.64400000125, 199817.62299999967 400395.6319999993, 199818.66000000015 400394.63899999857, 199819.13500000164 400394.1950000003, 199819.41800000146 400393.6460000016, 199819.32699999958 400393.3299999982, 199818.80900000036 400392.9299999997, 199818.57400000095 400392.5229999982, 199818.52800000086 400392.09699999914, 199818.68100000173 400391.6259999983)"
steilrand_maas_2009.5,2009,Rivieren,Maas,Zandmaas,Bergen,,"LINESTRING (199875.87200000137 400325.5020000003, 199875.86400000006 400326.7100000009, 199874.83399999887 400327.44200000167, 199874.7199999988 400328.3060000017, 199874.41899999976 400328.62900000066, 199873.90199999884 400328.8040000014, 199873.48200000077 400329.1799999997, 199873.3139999993 400329.69900000095, 199873.33799999952 400330.35500000045, 199873.4050000012 400330.8379999995, 199872.9990000017 400331.3990000002, 199872.4750000015 400331.75, 199871.86800000072 400331.8509999998, 199871.23900000006 400331.59600000083, 199870.63800000027 400332.27899999917, 199870.8500000015 400332.72100000083, 199870.97100000083 400333.23600000143, 199870.39600000158 400334.26999999955, 199869.70199999958 400335.32400000095, 199869.0850000009 400336.7259999998, 199868.5799999982 400337.0700000003, 199867.9140000008 400337.6559999995, 199867.30600000173 400337.5780000016, 199867.2580000013 400337.9470000006, 199866.97700000182 400338.5179999992, 199865.83199999854 400339.4600000009, 199865.0709999986 400340.311999999)"
steilrand_maas_2009.6,2009,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Hedel - Casterens Hoeve,,"LINESTRING (148697.05900000036 416556.69200000167, 148691.50699999928 416556.4690000005, 148689.07600000128 416556.3579999991, 148687.2199999988 416556.0080000013, 148685.03299999982 416555.61300000176, 148683.13599999994 416555.5029999986, 148681.5610000007 416555.56599999964, 148679.40799999982 416554.8260000013, 148678.76700000092 416554.52699999884, 148678.13899999857 416554.55799999833, 148677.17799999937 416555.0760000013, 148676.0799999982 416555.20899999887, 148675.0150000006 416555.19900000095, 148674.12999999896 416554.9290000014, 148673.43100000173 416554.71499999985, 148672.81599999964 416554.38500000164, 148672.44099999964 416554.0560000017, 148672.19099999964 416553.8359999992, 148671.30099999905 416553.77600000054, 148669.79399999976 416553.9820000008, 148668.5789999999 416553.69900000095, 148667.81799999997 416553.66000000015, 148667.0940000005 416554.13699999824, 148665.51999999955 416554.2129999995, 148664.1710000001 416554.6420000009, 148662.5700000003 416554.74500000104, 148661.46299999952 416554.5170000009, 148660.32299999893 416554.11300000176, 148657.061999999 416553.45600000024, 148655.186999999 416553.1579999998, 148652.72899999842 416553.34800000116, 148649.95899999887 416553.2899999991, 148647.6090000011 416553.1490000002, 148645.4699999988 416553.05099999905, 148643.8669999987 416553.3229999989, 148637.74300000072 416554.16600000113, 148637.1499999985 416554.15100000054, 148635.99700000137 416554.1220000014, 148634.13599999994 416553.8579999991, 148632.7030000016 416553.48600000143, 148631.91800000146 416553.3929999992, 148631.8590000011 416553.38599999994, 148630.4910000004 416553.3530000001, 148629.31799999997 416553.0329999998, 148628.47800000012 416552.75, 148625.63500000164 416551.86199999973, 148619.69000000134 416552.7250000015, 148615.93100000173 416553.8370000012, 148610.2800000012 416553.5029999986, 148604.9389999993 416552.1339999996, 148599.73200000077 416551.118999999, 148592.58900000155 416551.07400000095, 148585.48000000045 416551.5450000018, 148579.1099999994 416552.5229999982, 148571.57299999893 416554.22199999914)"
steilrand_maas_2009.7,2009,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Hedel - Casterens Hoeve,,"LINESTRING (148598.86499999836 416565.625, 148597.37200000137 416566.1860000007, 148594.7490000017 416566.19900000095, 148593.2109999992 416566.2800000012, 148590.93499999866 416566.506000001, 148589.82200000063 416566.58100000024, 148589.0540000014 416566.8720000014, 148587.86400000006 416566.8660000004, 148585.08100000024 416567.55000000075, 148583.78500000015 416567.4750000015, 148582.59099999815 416567.38599999994, 148580.05600000173 416568.1640000008, 148578.38699999824 416568.6649999991, 148576.53500000015 416569.6020000018)"
steilrand_maas_2009.8,2009,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Hedel - Casterens Hoeve,,"LINESTRING (148628.04100000113 416568.1020000018, 148626.44900000095 416568.8020000011, 148625.45100000128 416569.1259999983, 148624.66899999976 416569.1779999994, 148623.63199999928 416569.1009999998, 148622.7800000012 416569.1499999985, 148622.13599999994 416569.31500000134, 148621.66800000146 416569.8579999991, 148621.24700000137 416570.1400000006, 148620.39400000125 416570.1959999986, 148619.6790000014 416570.08199999854, 148619.25 416569.79300000146, 148617.9600000009 416569.5729999989, 148616.67300000042 416569.98699999973, 148615.48999999836 416570.0859999992, 148614.5610000007 416570.0390000008, 148609.84099999815 416569.70600000024, 148608.0460000001 416569.47399999946)"
steilrand_maas_2009.9,2009,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Hedel - Casterens Hoeve,,"LINESTRING (148621.53400000185 416548.7049999982, 148621.56599999964 416547.87999999896, 148620.68100000173 416547.38899999857, 148620.30299999937 416546.5729999989, 148620.1000000015 416545.76099999994, 148619.8740000017 416545.1079999991, 148618.67399999872 416543.90199999884, 148617.7030000016 416542.71599999815, 148617.3040000014 416541.6970000006, 148617.16099999845 416540.62000000104, 148616.51700000092 416539.7430000007)"
steilrand_maas_2009.10,2009,Rivieren,Maas,Zandmaas,Ooijen,,"LINESTRING (208666.74399999902 391697.7470000014, 208666.2650000006 391698.16099999845, 208665.43200000003 391698.5760000013, 208664.58799999952 391698.5870000012, 208663.7109999992 391698.56599999964, 208662.95800000057 391698.94000000134, 208661.76799999923 391699.23000000045, 208660.36899999902 391699.2019999996, 208659.88899999857 391699.5249999985, 208659.16099999845 391700.2179999985, 208658.25600000098 391700.51300000027, 208657.4549999982 391700.186999999, 208656.69200000167 391700.2340000011, 208655.4690000005 391701.28400000185, 208653.01399999857 391702.1640000008, 208651.0780000016 391702.87999999896, 208650.09899999946 391703.49599999934, 208649.26799999923 391703.61100000143, 208648.0469999984 391703.4210000001, 208646.8669999987 391703.7120000012, 208645.4609999992 391703.8729999997, 208644.14400000125 391704.36199999973, 208642.84299999848 391705.4059999995, 208641.85700000077 391706.2349999994, 208640.5610000007 391706.53400000185, 208639.6099999994 391706.92500000075, 208638.77199999988 391707.2039999999, 208637.5850000009 391708.1959999986, 208637.0859999992 391708.1620000005, 208635.80700000003 391708.4360000007, 208635.69299999997 391708.4609999992, 208635.5 391708.61400000006, 208634.21200000122 391709.63599999994, 208633.6649999991 391709.72100000083, 208633.56799999997 391709.7800000012, 208632.5150000006 391710.41800000146, 208632.40799999982 391710.5399999991, 208631.73999999836 391711.2950000018, 208630.72899999842 391712.5529999994, 208630.23000000045 391713.95699999854, 208629.51199999824 391714.9820000008, 208628.65199999884 391716.1570000015, 208628.41600000113 391717.5489999987, 208627.59800000116 391718.54300000146, 208626.5300000012 391719.61300000176, 208626.2899999991 391720.3220000006, 208625.8999999985 391721.36499999836, 208625.36499999836 391721.7490000017, 208625.01199999824 391723.2419999987, 208624.93499999866 391724.5929999985, 208624.66899999976 391725.9230000004, 208624.33399999887 391726.89400000125, 208623.86899999902 391727.561999999, 208623.60700000077 391728.9930000007, 208623.45100000128 391729.5799999982, 208623.5390000008 391731.55000000075, 208623.1959999986 391732.7650000006, 208623.36899999902 391733.6730000004)"
