FID,omschrijvi,gebiednaam,activiteit,bronhouder,naam,update_,opmerking,acres,comcode,comoms,se_anno_cad_data,gdb_geomattr_data,shape
militaire_gebieden.1,Mijnbouw,Benoorden Waddeneilanden,Staatscour. Mijnbouwregeling 22-02-2104,Ministerie van Defensie,-,22-2-2014,vlieggebieden,3040.3439441,-,-,,,"POLYGON ((615710.9357000003 5984882.5726, 703567.3870000001 5987907.341700001, 712541.9280000003 5971780.169299999, 638785.0613000002 5944011.898800001, 616816.1836000001 5940390.457, 615710.9357000003 5984882.5726))"
militaire_gebieden.2,-,Vliehors,-,STAATSCOURANT 185,EHR 4D,-,vlieggebieden,1724.07657279,10000,in de lucht,,,"POLYGON ((618254.4649 5892690.969699999, 618357.7916000001 5892563.238600001, 618355.4029000001 5892561.456499999, 611878.1880000001 5890705.104800001, 609108.0986000001 5894010.8301, 608982.0701000001 5894342.5614, 608861.8498 5894676.444599999, 608747.4759999998 5895012.3730999995, 608638.9813999999 5895350.2480999995, 608536.3998999996 5895689.963199999, 608439.7624000004 5896031.4178, 608349.1001000004 5896374.506999999, 608264.4386999998 5896719.126, 608185.8052000003 5897065.170399999, 608113.2221999997 5897412.5342999995, 608046.7123999996 5897761.1118, 607986.2969000004 5898110.798, 607931.994 5898461.4838, 607883.8191 5898813.0649, 607841.7869999995 5899165.4333, 607805.9106999999 5899518.481000001, 607776.2024999997 5899872.1009, 607752.6697000004 5900226.1861000005, 607735.3202 5900580.627599999, 607719.7401999999 5901213.400599999, 615135.8101000004 5901386.8024, 615151.2478999998 5901387.163899999, 615153.5443000002 5901146.748500001, 615160.0358999996 5900906.41, 615165.1484000003 5900791.487600001, 615170.7209999999 5900666.2216, 615185.5965 5900426.255100001, 615204.6574999997 5900186.585899999, 615227.8995000003 5899947.2849, 615255.3123000003 5899708.4266, 615286.8912000004 5899470.0832, 615322.6251999997 5899232.3278, 615362.5021000002 5898995.231699999, 615406.5114000002 5898758.8674, 615454.6387999998 5898523.307399999, 615506.8696999997 5898288.6236000005, 615563.1891999999 5898054.886299999, 615623.5784 5897822.166999999, 615688.0209999997 5897590.5386, 615756.4957999997 5897360.069399999, 615828.9818000002 5897130.830700001, 615905.4589999998 5896902.8915, 615985.9009999996 5896676.3224, 616070.2867999999 5896451.1908, 616158.5872999998 5896227.5668, 616250.7778000003 5896005.5173, 616346.8293000003 5895785.112, 616446.7122999998 5895566.416099999, 616550.3973000003 5895349.494999999, 616657.8526999997 5895134.418299999, 616769.0453000003 5894921.2491, 616883.9407000002 5894710.0529, 617002.5049 5894500.8939, 617124.7007999998 5894293.836300001, 617250.4927000003 5894088.943, 617379.8399999999 5893886.275599999, 617512.7061999999 5893685.897700001, 617649.0482999999 5893487.868000001, 617788.8256000001 5893292.2486000005, 617931.9960000003 5893099.0985, 618078.5157000003 5892908.4757, 618254.4649 5892690.969699999))"
militaire_gebieden.3,-,Vliehors,-,STAATSCOURANT 185,EHR 4B,-,vlieggebieden,4952.57119878,10000,in de lucht,,,"POLYGON ((629357.7028999999 5886940.862, 629616.1118000001 5886931.246099999, 629874.6497999998 5886926.1425, 630133.2357999999 5886925.550799999, 630391.7943000002 5886929.4728999995, 630650.2449000003 5886937.9068, 630908.5077999998 5886950.8489, 631166.5066999998 5886968.298, 631424.1621000003 5886990.246300001, 631681.3942999998 5887016.6873, 631938.1254000003 5887047.614399999, 632194.2784000002 5887083.0175, 632449.7742999997 5887122.8849, 632704.5361000001 5887167.2061, 632958.4842999997 5887215.966499999, 633211.5445999997 5887269.151699999, 633463.6369000003 5887326.7454, 633714.6858000001 5887388.728599999, 633964.6149000004 5887455.085100001, 634213.3479000004 5887525.793099999, 634460.8086999999 5887600.8312, 634706.9221999999 5887680.1766, 634951.6144000003 5887763.8057, 635194.8090000004 5887851.692, 635436.4321999997 5887943.8093, 635676.4118999997 5888040.1295, 635914.6731000002 5888140.623299999, 636151.1448999997 5888245.26, 636385.7543000001 5888354.0074000005, 636618.4309 5888466.833000001, 636849.1018000003 5888583.702, 636869.7854000004 5888594.6395, 637051.8689000001 5888690.921800001, 637077.6982000005 5888704.5789, 637079.3997 5888705.5174, 637304.1502999999 5888829.4276, 637528.3887999998 5888958.2094, 637750.3459999999 5889090.886, 637969.9539999999 5889227.4135, 638187.1448999997 5889367.7541000005, 638401.8543999996 5889511.8641, 638614.0159999998 5889659.699100001, 638823.5650000004 5889811.2149, 639030.4369999999 5889966.364600001, 639234.5705000004 5890125.101199999, 639435.9030999998 5890287.375399999, 639634.3722999999 5890453.139, 639829.9179999996 5890622.340500001, 640022.4814999998 5890794.930299999, 640212.0034999996 5890970.853700001, 640398.426 5891150.0583999995, 640581.693 5891332.488600001, 640761.7482000003 5891518.0901, 640938.5362999998 5891706.8058, 641112.0040999996 5891898.577400001, 641423.4985999996 5892260.626499999, 641431.3881000001 5892249.8234, 650746.2982999999 5879494.7502, 641347.2427000003 5870828.8803, 629357.7028999999 5886940.862))"
militaire_gebieden.4,-,BREEZANDDIJK,D49A+D49B+D49C+D49D,AM,EH D49,-,vlieggebieden,3484.5028774,10000,in de lucht,,,"POLYGON ((641925.4951999998 5860047.712200001, 641696.5705000004 5860497.240900001, 639604.1887999997 5864360.7939, 639457.4534999998 5864651.377699999, 638309.3530000001 5866751.689099999, 643631.9524999997 5872075.6424, 648097.6053999998 5876542.432499999, 652385.7515000002 5863001.3463, 649548.2728000004 5862649.5929000005, 646997.7098000003 5862333.407400001, 646965.0789999999 5862340.9197, 646248.0214999998 5853349.2542, 643185.7341999998 5853498.898700001, 643373.6042 5857400.624500001, 641925.4951999998 5860047.712200001))"
militaire_gebieden.5,-,Vliehors,-,STAATSCOURANT 185,EHR 4C,-,vlieggebieden,3479.56820987,10000,in de lucht,,,"POLYGON ((650746.2982999999 5879494.7502, 658617.1654000003 5861191.7895, 651956.3826000001 5858812.9241, 649548.2728000004 5862649.5929000005, 643631.9524999997 5872075.6424, 643291.5191000002 5872618.0307, 650746.2982999999 5879494.7502))"
militaire_gebieden.6,Mijnbouw,Nabij Petten,Staatscour. Mijnbouwregeling 22-02-2104,Ministerie van Defensie,-,22-2-2014,schietterrein,241.80821812,-,-,,,"POLYGON ((611023.9404999996 5849133.1236000005, 596760.6141999997 5844718.205499999, 596676.5256000003 5844997.27, 596597.3457000004 5845277.7689, 596523.0121999998 5845559.477700001, 596453.7226999998 5845842.5118, 596389.3448999999 5846126.756899999, 596329.9501 5846411.991599999, 596275.6035000002 5846698.217499999, 596226.2402999997 5846985.321799999, 596181.9264000002 5847273.3050999995, 596142.5981000001 5847561.9439, 596108.3896000003 5847851.240900001, 596079.2341999998 5848141.0832, 596055.1338 5848431.3598, 596036.1566000003 5848721.9605, 596022.2344000004 5849012.8837, 596013.4363000002 5849304.0197, 596009.7633999996 5849595.2575, 596011.0818999996 5849886.483200001, 596017.5955999997 5850177.5887, 596029.1686000004 5850468.5724, 596045.8025000002 5850759.322799999, 596067.4978 5851049.728499999, 596094.3240999999 5851339.6799, 596126.2128999997 5851629.1756, 596163.1672999999 5851917.9935, 596205.1194000002 5852206.1318, 596252.1376 5852493.4816, 596304.1540000001 5852780.0416, 596361.1721999999 5853065.5888, 596423.1934000002 5853350.012499999, 596490.1469 5853633.4233, 596562.1043999996 5853915.5996, 596638.932 5854196.4278, 596720.6287000002 5854475.9087000005, 596807.2666999996 5854753.820800001, 596898.7072999999 5855030.2732, 596994.9544000002 5855305.0436, 597096.0077 5855578.1329, 597201.8005999997 5855849.427999999, 597312.3355 5856118.8182, 597427.5466 5856386.1910999995, 597547.4329000004 5856651.5474, 597671.9289999995 5856914.774800001, 597800.9689999996 5857175.761600001, 597934.6220000004 5857434.3971, 598072.6836000001 5857690.7894, 598215.2922 5857944.719699999, 598362.2472000001 5858196.0721, 598513.6164999995 5858444.8488, 598669.2668000003 5858690.9364, 598829.1996999998 5858934.2237, 598993.3460999997 5859174.822000001, 599161.6443999996 5859412.395099999, 599334.1599000003 5859647.0572, 599510.6924 5859878.693, 599691.1771 5860107.190300001, 599875.6804 5860332.551200001, 600064.1379000004 5860554.6633, 600256.3494999995 5860773.4113, 600452.4500000002 5860988.799000001, 600652.1722999997 5861200.709799999, 600855.6513 5861409.147399999, 601062.6867000004 5861613.9958999995, 601273.2795000002 5861815.2564, 601487.3667000001 5862012.705399999, 601704.8764000004 5862206.5648, 601925.6816999996 5862396.4978, 602149.7794000003 5862582.6162, 602377.1084000003 5862764.697000001, 602607.5959999999 5862942.961100001, 602841.1831 5863117.0744, 603077.6654000003 5863287.144300001, 603317.1803000001 5863453.0624, 603559.5285999998 5863614.7136, 603804.6413000003 5863772.208799999, 604052.4537000004 5863925.434599999, 604302.9013 5864074.2797, 604555.9852999998 5864218.7443, 604811.4364 5864358.823000001, 605069.3926999997 5864494.407400001, 605329.5853000004 5864625.4925, 605592.0822999999 5864752.079600001, 605856.7520000003 5864874.055199999, 606123.4610000001 5864991.417400001, 606392.2120000003 5865104.054300001, 606662.8694000002 5865212.075099999, 606935.3685999997 5865315.3665, 607209.6453 5865413.817299999, 607485.5612000003 5865507.646600001, 607763.125 5865596.520400001, 608042.1299999999 5865680.658500001, 608322.6495000003 5865759.839, 608604.4110000003 5865834.2785, 608887.4894000003 5865903.645400001, 609171.7460000003 5865968.159600001, 609457.0497000003 5866027.7062, 609743.3350999998 5866082.2852, 610030.5347999996 5866131.893999999, 610318.5834999997 5866176.531400001, 610485.2297 5866199.357000001, 610607.3487 5866216.083699999, 610896.7631999999 5866250.6599, 611186.7594999997 5866280.2596, 611477.21 5866304.657199999, 611768.0399000002 5866324.1841, 612059.1243000003 5866338.5035999995, 612350.4584999997 5866347.8390999995, 612473.8717 5861047.473999999, 612613.4171000002 5855049.3696, 612738.6067000004 5849663.891000001, 611027.9664000003 5849134.3697999995, 611023.9404999996 5849133.1236000005))"
militaire_gebieden.7,Mijnbouw,Ten westen van Kaap Hoofd,Staatscour. Mijnbouwregeling 22-02-2104,Ministerie van Defensie,-,22-2-2014,schietterrein,196.01128636,-,-,,,"POLYGON ((610162.2807999998 5867550.2905, 598540.4402000001 5865240.2552000005, 598479.7516000001 5865558.269200001, 598424.6320000002 5865877.176899999, 598375.1454999996 5866197.090600001, 598331.2258000001 5866517.896400001, 598292.9466000004 5866839.2629, 598260.3037999999 5867161.3013, 598233.3004000001 5867483.7886, 598211.9365999997 5867806.724400001, 598196.2796 5868129.999500001, 598186.1968999999 5868453.4991999995, 598181.8230999997 5868777.1152, 598183.0931000002 5869100.7355, 598190.0741999997 5869424.2499, 598202.6342000002 5869747.544, 598220.9058999997 5870070.620999999, 598244.8255000003 5870393.256899999, 598274.3218999999 5870715.5625, 598309.4693999998 5871037.204600001, 598350.2674000002 5871358.0721, 598396.6469 5871678.275599999, 598448.6754000001 5871997.705499999, 598506.2243999997 5872316.0251, 598569.2910000002 5872633.3456999995, 598637.9456000002 5872949.446799999, 598712.1173 5873264.4387, 598791.7456999999 5873577.9857, 598876.8965999996 5873890.090399999, 598967.4371999996 5874200.639, 599063.4359999998 5874509.5219, 599164.8245000001 5874816.737500001, 599271.5373999998 5875122.1742, 599383.5778999999 5875425.608899999, 599500.8767999997 5875727.1534, 599623.4395000003 5876026.473099999, 599751.1958999997 5876323.679099999, 599884.148 5876618.6599, 600022.2317000004 5876911.192399999, 600165.3805 5877201.275599999, 600313.5927999998 5877488.91, 600466.8080000002 5877773.7611, 600624.9539000001 5878056.050000001, 600788.0369999995 5878335.444499999, 600955.9232000001 5878611.9406, 601128.6778999995 5878885.5417, 601306.1052000001 5879156.021, 601488.2714 5879423.380799999, 601675.1096000001 5879687.619999999, 601866.4912999999 5879948.402799999, 602062.4126000004 5880205.9517, 602262.7456999999 5880459.9311, 602467.5552000003 5880710.4541, 602676.6425999999 5880957.405300001, 602890.0114000002 5881200.564099999, 603107.6607999997 5881440.041099999, 603329.3909 5881675.7217999995, 603555.2044000002 5881907.495200001, 603785.0369999995 5882135.249399999, 604018.8212000001 5882358.984099999, 604256.4907 5882578.6975, 604497.9157999996 5882794.1653, 604743.0306000002 5883005.386299999, 604991.8346999995 5883212.361099999, 605244.2642000001 5883414.9779, 605500.1211000001 5883613.1215, 605759.4046999998 5883806.792199999, 606022.0493000001 5883995.989600001, 606287.9256999996 5884180.4881, 606556.966 5884360.398399999, 606829.1052000001 5884535.6083, 607104.2772000004 5884706.116599999, 607382.4200999998 5884871.699999999, 607663.3321000002 5885032.466, 607947.0828999998 5885188.305, 608233.4715999998 5885339.2126, 608522.4354999997 5885485.0779, 608813.9051999999 5885626.009199999, 609107.7555999998 5885761.6721, 609403.9798999997 5885892.3989, 613118.3589000003 5877308.4485, 616772.0421000002 5868864.198999999, 610162.2807999998 5867550.2905))"
militaire_gebieden.8,-,-,-,-,61,17-06-1996,munitiegeb,11.96640152,00011,in de bodem en op de bodem,,,"POLYGON ((700793.9129999997 5928460.6566, 701775.4768000003 5929280.788000001, 701861.9072000002 5928813.4561, 701270.0634000003 5928137.7019, 700793.9129999997 5928460.6566))"
militaire_gebieden.9,-,-,-,-,312,20-08-1997,munitiegeb,234.47974395,00011,in de bodem en op de bodem,,,"POLYGON ((570318.4248000002 5822322.4640999995, 570268.5767999999 5825782.974400001, 573222.1008000001 5824682.8237, 573274.3711999999 5821191.372099999, 570318.4248000002 5822322.4640999995))"
militaire_gebieden.10,-,-,-,-,398,10-12-1997,munitiegeb,122.12768048,00011,in de bodem en op de bodem,,,"POLYGON ((555029.1827999996 5784426.685900001, 555004.4689999996 5786651.355900001, 557395.0887000002 5786678.496300001, 557420.8778999997 5784453.83, 555029.1827999996 5784426.685900001))"
