Leverancier;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A'DAM Six Senses B.V.;1;;1
Afrikaanderwijk Coöperatie U.A.;1;;1
Albron Nederland B.V.;1;;1
Anoniem_VWS_7;1;;1
Athlon Car Lease Nederland B.V.;;4;4
Auto Muntstad Molensteyn;;1;1
Beleving aan zee;1;;1
BergingsCombinatie Utrecht (B.C.U.) V.O.F.;;1;1
Bever Assen B.V.;;1;1
BIGA Groep B.V.;;1;1
Bribenco B.V.;1;;1
BUNK Hotel Utrecht B.V.;1;;1
Café van Miltenburg;1;;1
Carrosseriefabriek Harderwijk B.V.;;1;1
Chimp Company;1;;1
Conrad Electronic Benelux B.V.;;1;1
Cornelissen Projectbegeleiding;;1;1
De keuken van Thijs;1;;1
De Landgoederij B.V.;1;;1
De Pier Horeca B.V.;1;;1
DWW Holding B.V.;1;;1
Dyzle Operations B.V.;;1;1
E-bike2work B.V.;;1;1
Eenhoorn Meeting Center;1;;1
Europcar Autoverhuur Nederland, Den Haag;;1;1
Exploitatiemaatschappij City Hotel Gouda B.V.;1;;1
Fletcher Hotel-Restaurant Amersfoort;1;;1
Floris Technisch servicebedrijf;;1;1
Garage de Jong Leerbroek B.V.;;1;1
Golden Tulip Leiden Centre;1;;1
HE Den Haag B.V.;1;;1
Het Kookplein;1;;1
Het Nationaal Automobielmuseum;2;;2
Het Notuleercentrum B.V.;1;;1
Hotel Amersfoort B.V.;1;;1
Hotel Contact B.V.;1;;1
Hotelexploi.mij. Stationsstraat Amersf. B.V.;1;;1
HR Via Care B.V.;;3;3
Hydrauliekservice Utrecht B.V.;;1;1
Jaarbeurs Ontwikkeling B.V.;2;;2
KAV Autoverhuur B.V.;;1;1
Ko van den Berg Aanhangwagencentrum;;1;1
Leaseplan Nederland N.V.;;6;6
Meetingselect B.V.;7;;7
Moving Intelligence B.V.;;;
Natuurhistorisch Museum Rotterdam;1;;1
Neni Amsterdam B.V.;1;;1
NH Den Haag;1;;1
Partycentrum-Restaurant 'Boerderij Mereveld';1;;1
Personenvervoer Verhoeven;;1;1
Phanta Visual B.V.;1;;1
Promenade Hotel B.V.;1;;1
RuimTeUtrecht B.V.;1;;1
Sancy Tres B.V.;1;;1
Smile Licht en Geluid Utrecht B.V.;1;;1
Social Impact Factory Utrecht B.V.;1;;1
Steenstraat B.V.;1;;1
SternPoint;;3;3
Stichting Administratiekantoor Kropman;;2;2
Stichting Beheer Synagoge;2;;2
Stichting De Kargadoor;1;;1
Stichting Internat. Perscentrum 'Nieuwspoort';1;;1
Studio Roosmarijn;1;;1
Textline Reclamecentrum B.V.;;1;1
t-talks;1;;1
UICTMR (The Union);1;;1
V Business BV - Vitam;3;;3
Van der Ham Beheer B.V.;;1;1
Van der Valk Utrecht;1;;1
Van Rossum Café Restaurant Stadshotel;1;;1
vfonds;1;;1
Voetbalvereniging Hoogland;1;;1
Webfleet Solutions Sales B.V.;;1;1
Winterhuis B.V.;1;;1
Worldmeetings.com B.V.;1;;1
ZZIIN Den Haag;1;;1
Eindtotaal;7;7;7
