GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,PUIC,RELATIEVEHOOGTELIGGING,STATUS,TIJDSTIP_REGISTRATIE,ID,Shape__Area,Shape__Length
,,,,,,,,,,,196809.0215,496391.589,52.4536883771755,6.00226592370979,Prorail,L0004,bestaand,51.214231,283,d23cbf4e7abc7e80e0530b29a8c0f66d,1,gerealiseerd,2021/12/14 13:26:59+00,5926488,0,0
017,,17,017__,Amersfoort Aansl. - Hattemerbroek,Ama-Htba,Amersfoort Aansluiting - Hattemerbroek Aansluiting ,49.040648,"49,040648",Noord-Oost,NO,170794.777086,483321.6335,52.3375913591621,5.61895481359265,Prorail,L0004,bestaand,889.72169,283,1d94cb12ff3445f39b1a00929327a334,1,,2018/12/04 08:07:56+00,5926753,0,0
,,,,,,,,,,,246190.369,520333.483,52.6628144014658,6.73514642448644,Prorail,L0004,bestaand,36.783274,283,d4e6a1b26bc04b60e0530b29a8c0c4e4,1,gerealiseerd,2022/01/20 10:42:11+00,5929575,0,0
,,,,,,,,,,,246191.048623,520328.9695,52.6627737340253,6.73515522400383,Prorail,L0004,bestaand,68.329287,283,d4e6a1b26bbf4b60e0530b29a8c0c4e4,1,gerealiseerd,2022/01/20 10:42:09+00,5929580,0,0
,,,,,,,,,,,246191.850623,520323.497,52.6627244295124,6.73516556769189,Prorail,L0004,bestaand,68.890242,283,d4e6a1b26bc24b60e0530b29a8c0c4e4,1,gerealiseerd,2022/01/20 10:41:58+00,5930412,0,0
,,,,,,,,,,,115727.1855,533373.347063,52.7862213473813,4.80507464693658,Prorail,L0004,bestaand,50.781124,283,26a487dd78874fecbc07ac2ee9742dde,1,gerealiseerd,2015/05/19 12:53:52+00,5932056,0,0
,,,,,,,,,,,115769.1195,533291.499445,52.7854888727299,4.80570595532839,Prorail,L0004,bestaand,81.812978,283,df833753c8f9446db92217b09425b959,1,gerealiseerd,2015/05/19 12:53:52+00,5932061,0,0
,,,,,,,,,,,116229.274745,542410.1535,52.8674642402259,4.81144916894886,Prorail,L0004,bestaand,41.915875,283,16678f8fe6464fb2b82cd3f826adef12,1,gerealiseerd,2015/05/19 12:53:52+00,5932062,0,0
,,,,,,,,,,,116226.525387,542393.8765,52.8673177761139,4.81141026906116,Prorail,L0004,bestaand,42.202859,283,598a8ff6097f43c4a8137a37725107e3,1,gerealiseerd,2015/05/19 12:53:52+00,5932065,0,0
,,,,,,,,,,,113129.39912,549688.396,52.9326354517688,4.76448553114738,Prorail,L0004,bestaand,15.048131,283,957af108b86f4186840db79fb22bf268,1,gerealiseerd,2015/05/19 12:53:52+00,5932071,0,0
,,,,,,,,,,,115721.734,533240.709309,52.7850290279252,4.80500968321695,Prorail,L0004,bestaand,81.683684,283,f0d5dcfe14ce4c00b7dbcf0ed068fb9d,1,gerealiseerd,2015/05/19 12:53:52+00,5932133,0,0
,,,,,,,,,,,116224.713495,542383.0655,52.8672204973082,4.81138464321579,Prorail,L0004,bestaand,42.320667,283,81b577c6c1414e3caf0512e2a8abe3f5,1,gerealiseerd,2015/05/19 12:53:52+00,5932138,0,0
,,,,,,,,,,,116218.283158,542345.1645,52.8668794534361,4.81129364365585,Prorail,L0004,bestaand,40.025687,283,c3cdeebf2a1b428183afc963debe6284,1,gerealiseerd,2015/05/19 12:53:52+00,5932145,0,0
,,,,,,,,,,,116221.997246,542366.813,52.8670742556981,4.8113462325098,Prorail,L0004,bestaand,42.011961,283,e83197af10e8451b8ae0c69f5040b8ec,1,gerealiseerd,2015/05/19 12:53:52+00,5932147,0,0
,,,,,,,,,,,115760.502,533347.505933,52.7859915415596,4.80557154745579,Prorail,L0004,bestaand,81.8353,283,18cad39c333143129a0fbd49b93236a1,1,gerealiseerd,2015/05/19 12:53:52+00,5932149,0,0
,,,,,,,,,,,116227.406143,542399.327,52.8673668180848,4.81142270264067,Prorail,L0004,bestaand,41.541763,283,5be37d4d10dc462bb506cf100b1eb423,1,gerealiseerd,2015/05/19 12:53:52+00,5932151,0,0
,,,,,,,,,,,115728.4255,533348.718677,52.7860001187055,4.80509596672939,Prorail,L0004,bestaand,50.346393,283,fb60ca8425054d11ba6ea258ffa5c8fc,1,gerealiseerd,2015/05/19 12:53:52+00,5932216,0,0
,,,,,,,,,,,113072.8625,549734.945,52.9330493510022,4.76363875819511,Prorail,L0004,bestaand,13.975779,283,3d71cd8f1af6422a92c587311a6c2de1,1,gerealiseerd,2015/05/19 12:53:52+00,5932221,0,0
,,,,,,,,,,,116216.4445,542334.37,52.8667823209474,4.81126761891112,Prorail,L0004,bestaand,39.511967,283,8568e50e7c28439fb0041ba8b856aa40,1,gerealiseerd,2015/05/19 12:53:52+00,5932222,0,0
,,,,,,,,,,,113071.28145,549740.32,52.9330975274654,4.76361455464253,Prorail,L0004,bestaand,15.307381,283,c965fad5d8dc4b719c7136b02380dae2,1,gerealiseerd,2015/05/19 12:53:52+00,5932224,0,0
,,,,,,,,,,,115723.0105,533368.518099,52.7861776505416,4.80501334165065,Prorail,L0004,bestaand,55.576241,283,1e523d443e05488c83a2ab118c3015ae,1,gerealiseerd,2015/05/19 12:53:52+00,5932287,0,0
,,,,,,,,,,,113133.602034,549674.591,52.9325117272194,4.76454980621055,Prorail,L0004,bestaand,15.095141,283,647a917caadb44cfa3d5d8d79072cdf1,1,gerealiseerd,2015/05/19 12:53:52+00,5932292,0,0
,,,,,,,,,,,113071.216495,549724.421,52.932954655688,4.76361563106736,Prorail,L0004,bestaand,49.440561,283,ac6f3ee3fe96456ca19d219fae3df357,1,gerealiseerd,2015/05/19 12:53:52+00,5932294,0,0
,,,,,,,,,,,113069.676857,549745.606,52.933144902351,4.76359001235701,Prorail,L0004,bestaand,14.953821,283,10feb1501520495e8bc5fd1f60d22e8e,1,gerealiseerd,2015/05/19 12:53:52+00,5932298,0,0
,,,,,,,,,,,116215.5065,542328.951,52.8667335579138,4.81125433190304,Prorail,L0004,bestaand,40.676428,283,420020bbf5e641baaab1b0c3a87b14d4,1,gerealiseerd,2015/05/19 12:53:52+00,5932302,0,0
,,,,,,,,,,,115719.955,533321.21746,52.7857523708732,4.80497370163189,Prorail,L0004,bestaand,97.093409,283,861e67d9d6704195a5593fffd79dc050,1,gerealiseerd,2015/05/19 12:53:52+00,5932366,0,0
,,,,,,,,,,,115762.0665,533289.454506,52.7854699862067,4.80560166132102,Prorail,L0004,bestaand,35.849864,283,81fc3cd1483447c88bdd9ad69352cfd5,1,gerealiseerd,2015/05/19 12:53:52+00,5932368,0,0
,,,,,,,,,,,116228.377085,542404.8035,52.8674161001536,4.81143647238845,Prorail,L0004,bestaand,41.242612,283,e93b27b7e0e14456a7321ebccdfa5815,1,gerealiseerd,2015/05/19 12:53:52+00,5932370,0,0
,,,,,,,,,,,206290.953041,438620.685,51.933682034215,6.13300636306315,Prorail,L0004,bestaand,40.077427,283,1f2a5b45690940ae9b3b933bf5a1fe13,1,gerealiseerd,2015/01/21 08:40:58+00,5932372,0,0
,,,,,,,,,,,202221.9295,437380.9065,51.9228998192533,6.07367402621989,Prorail,L0004,bestaand,39.072766,283,6953110bb92b49ea88b991f850ad8a9e,1,gerealiseerd,2015/01/22 12:54:41+00,5932373,0,0
,,,,,,,,,,,215003.544,441573.534536,51.9593482290676,6.26019600272443,Prorail,L0004,bestaand,52.517237,283,bf68516a3c7f4ac9b235608a348d7703,1,gerealiseerd,2015/01/21 08:40:57+00,5932374,0,0
,,,,,,,,,,,236767.313,472050.938896,52.230454308919,6.584092679011,Prorail,L0004,bestaand,54.092713,283,0b33dd42c921499f9f7b1460afb689c7,1,gerealiseerd,2015/01/05 13:33:06+00,5932375,0,0
,,,,,,,,,,,236750.7135,472051.084233,52.2304580772461,6.58384978568416,Prorail,L0004,bestaand,53.163403,283,2f141502a48746b692f457ca28631145,1,gerealiseerd,2015/01/05 13:33:06+00,5932442,0,0
,,,,,,,,,,,227794.159,455297.204517,52.0811522659014,6.44917921505324,Prorail,L0004,bestaand,41.920855,283,7bc2f0a9338149eeb6dc0d0c527b267e,1,gerealiseerd,2015/01/14 09:19:48+00,5932444,0,0
,,,,,,,,,,,245564.225021,475508.1025,52.2601446068155,6.71375396232132,Prorail,L0004,bestaand,53.226547,283,d24ae6bb44f442ea886678fbb88eec13,1,gerealiseerd,2014/07/24 13:44:47+00,5932446,0,0
,,,,,,,,,,,214983.4755,441582.808685,51.9594337465673,6.25990567895873,Prorail,L0004,bestaand,81.496139,283,1ccdc19a37ef4634af3ea2a5f0ffc7b6,1,gerealiseerd,2016/02/19 10:20:02+00,5932448,0,0
,,,,,,,,,,,211865.2425,441336.251258,51.9575457961865,6.21450212631988,Prorail,L0004,bestaand,21.363099,283,621fa3de65e845ed99587e100d86a141,1,gerealiseerd,2015/01/21 08:40:58+00,5932449,0,0
,,,,,,,,,,,227774.0615,455306.197178,52.0812357235135,6.44888798464331,Prorail,L0004,bestaand,41.242625,283,bcba814b9f084c11ad6a081912e81eb2,1,gerealiseerd,2015/01/14 09:19:48+00,5932450,0,0
,,,,,,,,,,,217380.2685,441518.680318,51.9585934231476,6.29476099466314,Prorail,L0004,bestaand,44.633989,283,25ae3d44885f43fd82c8406614b72010,1,gerealiseerd,2020/04/28 15:29:39+00,5932451,0,0
,,,,,,,,,,,226152.446028,464784.123,52.166622511573,6.42721609042186,Prorail,L0004,bestaand,53.502287,283,720bb1d805fd48098a87b9b19e8ae5db,1,gerealiseerd,2015/01/05 13:33:05+00,5932454,0,0
031,a,31,031_a,Zutphen - Hengelo,Zp-Esg,Zutphen - Enschede Grens ,39.67777,"39,677770",Noord-Oost,NO,245592.158061,475507.5415,52.2601349715227,6.71416285926293,Prorail,L0004,bestaand,54.659311,283,c5723b45098f41289238df90ceed1d54,1,gerealiseerd,2015/01/05 13:33:06+00,5932455,0,0
,,,,,,,,,,,202142.537,437420.74722,51.9232646334429,6.07252542909985,Prorail,L0004,bestaand,51.005599,283,0fab7bc4fa5744bda41714f149bfcefb,1,gerealiseerd,2015/01/22 12:54:42+00,5932457,0,0
,,,,,,,,,,,115718.7195,533348.083629,52.7859937092879,4.80495218080279,Prorail,L0004,bestaand,98.709162,283,cd5f62455823498bb1f94043ed3b949c,1,gerealiseerd,2015/05/19 12:53:52+00,5932513,0,0
,,,,,,,,,,,113070.307,549743.4975,52.9331260045065,4.76359965460356,Prorail,L0004,bestaand,13.646821,283,ef1202277bdb46aabe9ba3e3927a9763,1,gerealiseerd,2015/05/19 12:53:51+00,5932515,0,0
,,,,,,,,,,,116230.192929,542415.6355,52.8675135679348,4.81146215466745,Prorail,L0004,bestaand,42.50856,283,24905ac2052e4185a213707f85095726,1,gerealiseerd,2015/05/19 12:53:52+00,5932517,0,0
,,,,,,,,,,,116223.79362,542377.6365,52.8671716457305,4.81137162626927,Prorail,L0004,bestaand,42.455336,283,71f53954af0543db8d8e971e7512c302,1,gerealiseerd,2015/05/19 12:53:52+00,5932518,0,0
,,,,,,,,,,,113071.8815,549738.227,52.9330787665643,4.76362374734976,Prorail,L0004,bestaand,13.650993,283,b36c3b501de547419006fb01673c0ea6,1,gerealiseerd,2015/05/19 12:53:52+00,5932521,0,0
,,,,,,,,,,,116221.093552,542361.329,52.8670249110368,4.81133346243805,Prorail,L0004,bestaand,42.335718,283,decc35a2d08b431c8d1a86ac5fa40e52,1,gerealiseerd,2015/05/19 12:53:52+00,5932522,0,0
,,,,,,,,,,,115722.3845,533380.886697,52.7862887533381,4.80500258609912,Prorail,L0004,bestaand,28.467588,283,155daa360dc444d8a3a08b088f23ba06,1,gerealiseerd,2015/05/19 12:53:52+00,5932525,0,0
210,,210,210__,Zutphen - Winterswijk,Zp-Ww,Zutphen - Winterswijk ,42.456447,"42,456447",Noord-Oost,NO,245453.850169,443744.238,51.9747313826095,6.70369772341502,Prorail,L0004,bestaand,64.426117,283,cd58093de2434b8f8bfc8e112db7ea99,1,gerealiseerd,2015/01/14 09:19:48+00,5932588,0,0
,,,,,,,,,,,217395.7545,441518.197788,51.9585873472917,6.29498618266407,Prorail,L0004,bestaand,80.89752,283,3414dbd7e56d4049a147d682436e81b2,1,gerealiseerd,2020/04/28 15:29:19+00,5932591,0,0
,,,,,,,,,,,202101.5655,437436.52,51.9234098670507,6.07193201785039,Prorail,L0004,bestaand,50.995228,283,00f1ed3dedf047ac9b37900e115ae2dc,1,gerealiseerd,2015/01/22 12:54:41+00,5932599,0,0
,,,,,,,,,,,211841.8895,441324.966061,51.9574467611816,6.21416054188363,Prorail,L0004,bestaand,42.495675,283,97307c4eec9d4ca8863d5d48f48c4662,1,gerealiseerd,2015/01/21 08:40:58+00,5932602,0,0
,,,,,,,,,,,202091.297,437440.59678,51.9234473777788,6.07178331024169,Prorail,L0004,bestaand,51.005599,283,e40c868a101d4990a40d85a772ca9899,1,gerealiseerd,2015/01/22 12:54:41+00,5932604,0,0
,,,,,,,,,,,217401.2605,441518.0045,51.9585849916839,6.29506624360446,Prorail,L0004,bestaand,80.899997,283,b54a47e3daf54ad2b466e5b9960b030e,1,gerealiseerd,2020/04/28 15:29:42+00,5932625,0,0
,,,,,,,,,,,115725.0955,533321.514623,52.7857554134283,4.80504985791113,Prorail,L0004,bestaand,81.899439,283,8cbc1a70821a4bc787719dca3fd534cb,1,gerealiseerd,2015/05/19 12:53:52+00,5932676,0,0
,,,,,,,,,,,113142.9415,549641.875815,52.9322184756753,4.76469289454824,Prorail,L0004,bestaand,46.523658,283,ceab37ee89a24fee8292eea725ffdf21,1,gerealiseerd,2015/05/19 12:53:52+00,5932677,0,0
,,,,,,,,,,,116220.181623,542355.84,52.8669755208528,4.81132057071309,Prorail,L0004,bestaand,42.224877,283,efb395886b5a4753a641b86c5aaee5a5,1,gerealiseerd,2015/05/19 12:53:52+00,5932680,0,0
,,,,,,,,,,,116217.334,542339.7755,52.8668309591909,4.81128018735293,Prorail,L0004,bestaand,40.338404,283,5aa3c9b5be6a4010ad91f82549ef32a7,1,gerealiseerd,2015/05/19 12:53:52+00,5932692,0,0
,,,,,,,,,,,115727.181,533241.084626,52.785032794959,4.80509037173525,Prorail,L0004,bestaand,81.588383,283,d14f100d19cc40cab42bbc7f378720cc,1,gerealiseerd,2015/05/19 12:53:52+00,5932694,0,0
,,,,,,,,,,,211837.0275,441322.615048,51.9574261290527,6.21408942533137,Prorail,L0004,bestaand,42.196228,283,74744c7d7a7548ef8504656e90c3d08c,1,gerealiseerd,2015/01/21 08:40:58+00,5932752,0,0
,,,,,,,,,,,202251.651,437369.473222,51.922794535224,6.07410449051795,Prorail,L0004,bestaand,40.716927,283,c904e54a9ec14267814080968c43ac4b,1,gerealiseerd,2015/01/22 12:54:42+00,5932759,0,0
,,,,,,,,,,,115760.074,533363.454121,52.786134826059,4.80556330108037,Prorail,L0004,bestaand,41.250145,283,3333df4c7491461cbdd8582c69e392b0,1,gerealiseerd,2015/05/19 12:53:52+00,5933011,0,0
,,,,,,,,,,,115723.9815,533348.444266,52.7859973310572,4.80503013078648,Prorail,L0004,bestaand,96.688262,283,c43ebd98f51d41ac8d7f541ded6ca369,1,gerealiseerd,2015/05/19 12:53:52+00,5933012,0,0
,,,,,,,,,,,115761.1295,533325.363112,52.7857926045557,4.80558348972004,Prorail,L0004,bestaand,95.217689,283,1bf17fea4a0d486eb96d39e2005ac1a1,1,gerealiseerd,2015/05/19 12:53:52+00,5933013,0,0
