FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2022.1271104,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34700 386360, 34680 386360, 34680 386380, 34700 386380, 34700 386360))"
zostera_noltei_2022.1271105,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386360, 34700 386360, 34700 386380, 34720 386380, 34720 386360))"
zostera_noltei_2022.1271106,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386360, 34720 386360, 34720 386380, 34740 386380, 34740 386360))"
zostera_noltei_2022.1271107,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386360, 34740 386360, 34740 386380, 34760 386380, 34760 386360))"
zostera_noltei_2022.1271108,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386360, 34760 386360, 34760 386380, 34780 386380, 34780 386360))"
zostera_noltei_2022.1271109,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34700 386380, 34680 386380, 34680 386400, 34700 386400, 34700 386380))"
zostera_noltei_2022.1271110,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386380, 34700 386380, 34700 386400, 34720 386400, 34720 386380))"
zostera_noltei_2022.1271111,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386380, 34720 386380, 34720 386400, 34740 386400, 34740 386380))"
zostera_noltei_2022.1271112,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386380, 34740 386380, 34740 386400, 34760 386400, 34760 386380))"
zostera_noltei_2022.1271113,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386380, 34760 386380, 34760 386400, 34780 386400, 34780 386380))"
zostera_noltei_2022.1271114,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34700 386400, 34680 386400, 34680 386420, 34700 386420, 34700 386400))"
zostera_noltei_2022.1271115,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386400, 34700 386400, 34700 386420, 34720 386420, 34720 386400))"
zostera_noltei_2022.1271116,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386400, 34720 386400, 34720 386420, 34740 386420, 34740 386400))"
zostera_noltei_2022.1271117,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386400, 34740 386400, 34740 386420, 34760 386420, 34760 386400))"
zostera_noltei_2022.1271118,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386400, 34760 386400, 34760 386420, 34780 386420, 34780 386400))"
zostera_noltei_2022.1271119,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34700 386420, 34680 386420, 34680 386440, 34700 386440, 34700 386420))"
zostera_noltei_2022.1271120,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386420, 34700 386420, 34700 386440, 34720 386440, 34720 386420))"
zostera_noltei_2022.1271121,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386420, 34720 386420, 34720 386440, 34740 386440, 34740 386420))"
zostera_noltei_2022.1271122,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386420, 34740 386420, 34740 386440, 34760 386440, 34760 386420))"
zostera_noltei_2022.1271123,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34779.99989999831 386420.000599999, 34759.99989999831 386420.000599999, 34759.99989999831 386440.000599999, 34779.99989999831 386440.000599999, 34779.99989999831 386420.000599999))"
zostera_noltei_2022.1271124,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34700 386440, 34680 386440, 34680 386460, 34700 386460, 34700 386440))"
zostera_noltei_2022.1271125,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386440, 34700 386440, 34700 386460, 34720 386460, 34720 386440))"
zostera_noltei_2022.1271126,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386440, 34720 386440, 34720 386460, 34740 386460, 34740 386440))"
zostera_noltei_2022.1271127,2022,0.5,0,0,0.5,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386440, 34740 386440, 34740 386460, 34760 386460, 34760 386440))"
zostera_noltei_2022.1271128,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386440, 34760 386440, 34760 386460, 34780 386460, 34780 386440))"
zostera_noltei_2022.1271129,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386480, 34700 386480, 34700 386500, 34720 386500, 34720 386480))"
zostera_noltei_2022.1271130,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386480, 34720 386480, 34720 386500, 34740 386500, 34740 386480))"
zostera_noltei_2022.1271131,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386480, 34740 386480, 34740 386500, 34760 386500, 34760 386480))"
zostera_noltei_2022.1271132,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386480, 34760 386480, 34760 386500, 34780 386500, 34780 386480))"
zostera_noltei_2022.1271133,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386480, 34780 386480, 34780 386500, 34800 386500, 34800 386480))"
zostera_noltei_2022.1271134,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386480, 34800 386480, 34800 386500, 34820 386500, 34820 386480))"
zostera_noltei_2022.1271135,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386500, 34700 386500, 34700 386520, 34720 386520, 34720 386500))"
zostera_noltei_2022.1271136,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386500, 34720 386500, 34720 386520, 34740 386520, 34740 386500))"
zostera_noltei_2022.1271137,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386500, 34740 386500, 34740 386520, 34760 386520, 34760 386500))"
zostera_noltei_2022.1271138,2022,0.5,0,0,0.5,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386500, 34760 386500, 34760 386520, 34780 386520, 34780 386500))"
zostera_noltei_2022.1271139,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386500, 34780 386500, 34780 386520, 34800 386520, 34800 386500))"
zostera_noltei_2022.1271140,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386500, 34800 386500, 34800 386520, 34820 386520, 34820 386500))"
zostera_noltei_2022.1271141,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386520, 34700 386520, 34700 386540, 34720 386540, 34720 386520))"
zostera_noltei_2022.1271142,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386520, 34720 386520, 34720 386540, 34740 386540, 34740 386520))"
zostera_noltei_2022.1271143,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386520, 34740 386520, 34740 386540, 34760 386540, 34760 386520))"
zostera_noltei_2022.1271144,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386520, 34760 386520, 34760 386540, 34780 386540, 34780 386520))"
zostera_noltei_2022.1271145,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386520, 34780 386520, 34780 386540, 34800 386540, 34800 386520))"
zostera_noltei_2022.1271146,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386520, 34800 386520, 34800 386540, 34820 386540, 34820 386520))"
zostera_noltei_2022.1271147,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386520, 34820 386520, 34820 386540, 34840 386540, 34840 386520))"
zostera_noltei_2022.1271148,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386540, 34700 386540, 34700 386560, 34720 386560, 34720 386540))"
zostera_noltei_2022.1271149,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386540, 34720 386540, 34720 386560, 34740 386560, 34740 386540))"
zostera_noltei_2022.1271150,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34760 386540, 34740 386540, 34740 386560, 34760 386560, 34760 386540))"
zostera_noltei_2022.1271151,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34780 386540, 34760 386540, 34760 386560, 34780 386560, 34780 386540))"
zostera_noltei_2022.1271152,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34800 386540, 34780 386540, 34780 386560, 34800 386560, 34800 386540))"
zostera_noltei_2022.1271153,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34820 386540, 34800 386540, 34800 386560, 34820 386560, 34820 386540))"
zostera_noltei_2022.1271154,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34840 386540, 34820 386540, 34820 386560, 34840 386560, 34840 386540))"
zostera_noltei_2022.1271155,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34720 386560, 34700 386560, 34700 386580, 34720 386580, 34720 386560))"
zostera_noltei_2022.1271156,2022,0,0,0,0,0,0,0,0,0,Kust- en Overgangswater,Delta_ZW_Nederland,Westerschelde,Westerschelde-West,,"POLYGON ((34740 386560, 34720 386560, 34720 386580, 34740 386580, 34740 386560))"
