ID;GUID;NAAM;OPMERKINGEN;ZONE_NAAM;WABO;SGH;BEHEER_DERDEN;TYPE_ECOLOGISCHE_VERBINDINGSZO;BUURT_CODE;BUURT_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;WIJK_CODE;WIJK_OMSC;BEHEERGEBIEDEN_OMSC;COUNTER
4632013;{7B72CB05-E6C0-461D-AA83-61723A99D4B1};Haagse Beekzone, deelgebied J;Uitvoering restpunten 2015/2016deels uitgevoerd, uitvoering resterende punten gepland voor 2015/2016deels uitgevoerd, uitvoering resterende punten gepland voor 2015/2016;Haagse Beekzone;Ja;Ja;Nee;Ecologische verbindingszone;9;Vogelwijk;3;Segbroek;13;Vogelwijk;;14
4632014;{B3C24314-AE36-4A08-A688-D8274CF1D487};Laakzone, deelgebied F;Door herinrichting van het Station Moerwijk kunnen aanpassingen nodig zijn, Bomen en struiken aanplanten. ecologisch maaibeheer;Laakzone;Ja;Ja;Nee;Ecologische verbindingszone;23;Spoorwijk;6;Laak;38;Laakkwartier en Spoorwijk;;15
4632015;{017279F3-B0FA-4A9B-86E9-D4B733BDADF6};Zone Guntersteinweg;;Erasmuszone;Ja;Ja;Nee;Ecologische verbindingszone;39;Moerwijk-zuid;2;Escamp;36;Moerwijk;Guntersteinweg;16
4632016;{F46ACF19-E059-4EB7-A366-975DDAA212E6};Zone Burnierstraat;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;17
4632017;{0DB4D56B-55A1-4CFB-8CAA-1EDC8283C6F3};Zone Van Hogenhoucklaan;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;78;Arendsdorp;7;Haagse Hout;4;Benoordenhout;;18
4632018;{51A62EEF-D5A2-4886-9A0C-DD694139A43E};Zone Van Hogenhoucklaan;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;19
4632019;{497A0FDD-6477-431A-AA2A-66163DFD06D1};Zone Van Hogenhoucklaan;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;20
4632020;{FE401265-D948-473A-9561-D3DD50632194};Zone Van Hogenhoucklaan;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;77;Waalsdorp;7;Haagse Hout;4;Benoordenhout;;21
4632021;{C08AE737-4BDF-4D30-BD53-A775223B766A};Houtzone, deelgebied T;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;76;Duinzigt;7;Haagse Hout;4;Benoordenhout;;22
4632022;{313F5A29-9EA7-4703-A77D-6732977C8798};Houtzone, deelgebied Q;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;76;Duinzigt;7;Haagse Hout;4;Benoordenhout;;23
4632023;{6899BC32-06E6-4F21-8FCB-8399ADEF4CD0};Houtzone, deelgebied R;;Houtzone;Ja;Ja;Nee;Ecologische verbindingszone;76;Duinzigt;7;Haagse Hout;4;Benoordenhout;;24
