;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
&Maes B.V.;;;;;;;;1;1
0to9 B.V.;;;;;;;;2;2
10Telecom B.V.;;;;;;;;1;1
123Telcom B.V.;;;;;;;;1;1
12Connect B.V.;;;;;;;;1;1
4Com Holding B.V.;;;;;;;;1;1
888 B.V.;;;;;;;;1;1
A & P Investments B.V.;;1;1;;;;;;1
A&W Zonwering en Interieur B.V.;;1;;;;;;;1
A. Lutke-Veldhuis, huisarts;;;;;;;;1;1
A.G. Advies B.V.;;;;;;;;2;2
A10Tech B.V.;;;;;1;;;;1
A3BC B.V.;;;;;;;;1;1
AAIM B.V.;;;;;;;;1;1
Aanmelder.nl B.V.;;;;;;;;1;1
Aannemersbedrijf G.B. van Hoek B.V.;;2;;;;;;;2
Aannemingsbedrijf C. Hoogvliet en Zonen B.V.;;1;;;;;;;1
Aartsen Praktijk v. Fysiotherapie;;;;;;;;1;1
AB Sciex Netherlands B.V.;;5;;;;;;;5
Abiom Communication Systems (A.C.S.) B.V.;;;1;;1;;;;2
ABN AMRO Bank;;1;;;;;;;1
Acapture B.V.;;;;;;;;2;2
Accenture B.V.;;;;;7;;;;7
Access It Training & Solutions;;;;;;;;1;1
ACN Europe B.V.;;;;;;;;1;1
Actum Digital B.V.;;;;;;2;;;2
Aenova B.V.;;;;;1;;;;1
Aerea Networks B.V.;;;;;;;;1;1
Aes Consultancy;;;;;;;;2;2
AEVES B.V.;;;;;;;;2;2
Agapé;;;;;;;;1;1
Agapé Holding B.V.;;;;;;;;1;1
Agilent Technologies Netherlands B.V.;;1;;;;;;;1
Ahrend Nederland B.V.;;1;1;;;;;;1
AIB Safetech B.V.;;;;;;;;1;1
AirXS B.V.;;;;;;;;1;1
AK;;;;;;;;1;1
Akropolis;;;;;;;1;;1
Al Zahirah Tourism Investments FZ LLC;;;;;;;;2;2
Albert Heijn B.V.;;;;;;;;1;1
Albyco Nederland B.V.;;1;1;;1;;1;;1
Algra Koffie en Thee;;2;;;;;;;2
All Mailing Solutions B.V.;;;1;;;;;;1
All Prevent B.V.;;;;;;;;1;1
Allekabels B.V.;;;;;;1;;;1
AllSens B.V.;;2;;;;;;;2
Alpheios B.V.;;2;;;;;;;2
Altemislab;;;;;;;;;
Altrecht Hoofdgebouw;;;;;;;;1;1
Alustaal B.V.;;1;;;;;;;1
A-Mac B.V.;;;;;;;1;;1
Ambius B.V.;;;;;;;;;
Andersson Elffers Felix;;;;;;;;5;5
Andrea Ronhaar;;;;;;;;1;1
Angelique Tukker;;;;;;;;2;2
Anoigo Services Limited;;;;2;;;2;;2
anoniem_JenV_6077;;;;;;;;1;1
anoniem_JenV_6078;;;;;;;;1;1
Aon Global Risk Consulting B.V.;;;;;;;;2;2
A-Point B.V.;;2;;;;;;;2
