Rijlabels;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;Eindtotaal
Aannemersbedrijf G.B. van Hoek B.V.;2;;;2
Coolblue B.V.;1;;;1
DCS (D Cleaning Service);1;;;1
Dunea N.V.;;1;;1
Electro-Engros van der Wiel B.V.;1;;;1
Eneco Services B.V.;;3;;3
Eneco Zakelijk;;3;;3
Engelsman Hoveniers B.V.;2;;;2
Greenchoice;;4;;4
Heijmans Utiliteit;4;;;4
Henri de Jong Tuinen B.V.;1;;;1
Koek & Reinders Schilderwerken B.V.;1;;;1
Mastermate VBT Groep;1;;;1
Mertens B.V.;1;;;1
Nikoi;1;;;1
Protinus IT B.V.;1;;;1
Saval B.V.;2;;;2
Stedin;;3;;3
Stedin Meetbedrijf;;1;;1
Strukton Worksphere;1;;;1
Thermofrost B.V.;1;;;1
Unica Installatietechniek;1;;;1
UTS ABBINK Den Haag;;;2;2
Van der Velde, ''t Veentje B.V.';;;1;1
Zegwaard Rioolbeheer B.V.;1;;;1
Eindtotaal;4;5;2;6
