Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;Eindtotaal
@The Academy btw vrij B.V.;;;;;;1;;;1
1892 Eten & Drinken;;;;1;;;;;1
21 The Netherlands;;;;;;;1;;1
2BIRDSMEDIA;;;;;;;1;;1
360-Control B.V.;;;;;;2;;;2
3D-Robotprinting B.V.;;;;;;2;;;2
4 Seasons Events;;;;;;;1;;1
4D organisatieontwikkeling & opleiding;;;;;;2;;;2
5hart-IT Opleidingen B.V.;;;;1;;3;;;3
A. van Helden Relatiegeschenken B.V.;;;;1;;1;;;1
A.C.H. Auto Complete;;;;;;1;;;1
A.P.S. (Aviation Patch Supplies);;;1;1;;1;1;;1
A1-City B.V.;;;;;;;1;;1
A1-Plaza B.V.;;;;1;;;;;1
AA-Equipment Launch Tech Benelux B.V.;;;;;;;1;;1
ABB Vastgoed II B.V.;;;;;;1;;;1
Abcouwer Administratie Advies & Opleiding;;;;;;1;;;1
ABN AMRO Bank N.V.;;;;;2;;;;2
Aboma;;;;;;2;;;2
About Flowers;;;;1;;;1;;1
ABP-Reclame;;;;1;;;;;1
Academie voor arbeidsmarktcommunicatie B.V.;;;;;;2;;;2
Academie voor Psychologica;;;;;;1;;;1
Academy Payroll Professionals;;;;;;1;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;;1;;;1
Accelonix B.V.;;;;;;1;;;1
Accor Hospitality Nederland N.V.;;;;;;;;1;1
AccreDidact B.V.;;;;;;1;;;1
ACE Productions;;;;;;;1;;1
Acteursbureau Kapok B.V.;;;;;;1;;;1
Actieve Ruimte;;;;;;1;;;1
Active Health Center Ypenburg;;;;;;;1;;1
Adelborstenvereniging;;;;;;1;1;;1
ADKA B.V.;;;;;;1;;;1
Administratiekantoor Kroese;;;;1;;;1;;1
Adpix;;;;;;;1;;1
Adquipment Medical B.V.;;;;;;1;;;1
Advanced Encryption Technology Europe B.V.;;;;;;1;;;1
Adventure Veluwe B.V.;;;;1;;;;;1
Advies, Recht & Toezicht;;;;;;1;;;1
Advocatenpraktijk Van der Meijden;1;;;;;;;;1
Aeneas B.V.;;;;;;1;;;1
Afdekproducten.nl;;;;;;1;;;1
Afscheidsfotografie;;;;1;;;;;1
Agrima II B.V.;;;;;;;1;;1
Ai-Opener;;;;;;2;;;2
Air Group B.V.;;;;;;1;;;1
Air Products Nederland B.V.;;;2;;;;;;2
Air-Comms;;;;;;1;;;1
Aircraft Maintenance & Training School B.V.;;;;;;3;;;3
Airlusion Holding B.V.;;;;;1;;;;1
Akkermans Leisure & Golf;;;;;;;1;;1
Alfa-college, locatie Leek;1;;;;;1;;;1
Algemene Stichting Horeca Onderwijs;;;;;;1;;;1
All American Limousines;;;;;;;1;;1
All In Verhuur B.V.;1;;;;;;1;;1
All Season Sports;;;;;;;1;;1
All Star Entertainment;;;;;;1;;;1
Alliance Healthcare;;;2;;;;;;2
Alpha.One B.V.;;;;;;1;;;1
Altec Industriële Identificatie;;;1;;;;;;1
Altijddebestewijn.Nl;1;;;;;;;;1
A-Mac B.V.;;;;;;1;;;1
Amarant Groep;;;;1;4;;;;4
Ambitech B.V.;;;;;;1;;;1
Ambutraining;;;;;;3;;;3
Amc Asset Management Consultancy;;;;;;1;;;1
Amersflora;;;;1;;;1;;1
Amersfoort Beheer B.V.;;;;;;;;2;2
Amphia locatie Molengracht;;;;;;1;;;1
AmstelveenSport;;;2;;;;;;2
Amsterdam Boats B.V.;;;;1;;;1;;1
Amsterdamse Bloemenmarkt;;;;1;;;;;1
AnalitiQs B.V.;;;;;;1;;;1
Anjelier Bloembinders;;;;1;;;;;1
Anna Vastgoed Beheer B.V.;;;;1;;;;;1
anoniem 1;;1;;;;;;;1
