FID,locatie,shape_leng,jaar,type_ws,hoofdgeb,gebied,gdb_geomattr_data,shape
talud_maas_2017.1,Beugen,18.9971115,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194703.5300000012 410776.7659999989, 194702.4657999985 410781.39449999854, 194701.40150000155 410786.0229999982, 194700.33729999885 410790.65150000155, 194699.27299999818 410795.2800000012)"
talud_maas_2017.2,Beugen,192.67038699,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194393.09200000018 412033.84699999914, 194392.17980000004 412037.54949999973, 194391.2674999982 412041.2520000003, 194390.3553000018 412044.9545000009, 194389.44299999997 412048.6570000015, 194388.3178000003 412052.5828000009, 194387.19249999896 412056.5084999986, 194386.0672999993 412060.4343000017, 194384.94200000167 412064.3599999994, 194383.70430000126 412068.4224999994, 194382.46649999917 412072.4849999994, 194381.22879999876 412076.5474999994, 194379.9910000004 412080.6099999994, 194378.46700000018 412083.7349999994, 194376.94299999997 412086.8599999994, 194373.73699999973 412090.6229999997, 194372.18499999866 412093.7195000015, 194370.6330000013 412096.81599999964, 194369.98750000075 412099.8229999989, 194369.34200000018 412102.8299999982, 194368.2703000009 412106.9177000001, 194367.1986999996 412111.0053000003, 194366.12700000033 412115.0929999985, 194365.73200000077 412119.14400000125, 194365.33700000122 412123.1950000003, 194365.2250000015 412127.9539999999, 194365.18200000003 412131.1409999989, 194364.24799999967 412133.7650000006, 194363.3139999993 412136.38899999857, 194361.83199999854 412140.5170000009, 194360.3500000015 412144.64499999955, 194358.51000000164 412147.0780000016, 194356.6700000018 412149.51099999994, 194355.83700000122 412150.5489999987, 194354.15100000054 412153.1099999994, 194353.20100000128 412154.21499999985, 194352.67599999905 412155.1860000007, 194352.46400000155 412156.09699999914, 194352.85700000077 412157.1180000007, 194352.80200000107 412157.79199999943, 194351.9990000017 412159.08300000057, 194351.86100000143 412160.1409999989, 194352.3839999996 412162.19999999925, 194351.0700000003 412164.2199999988, 194349.94099999964 412166.6860000007, 194348.811999999 412169.15199999884, 194348.5080000013 412172.2569999993, 194348.2039999999 412175.36199999973, 194347.61800000072 412179.2195000015, 194347.03200000152 412183.0769999996, 194346.51000000164 412187.4506999999, 194345.98800000176 412191.8242999986, 194345.46599999815 412196.1979999989, 194344.63599999994 412200.3172999993, 194343.80600000173 412204.4365000017, 194342.9759999998 412208.55579999834, 194342.14600000158 412212.67500000075, 194341.0399999991 412216.13800000027)"
talud_maas_2017.3,Beugen,56.73966512,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194439.97100000083 411817.62099999934, 194439.16450000182 411821.18250000104, 194438.35799999908 411824.743999999, 194437.18950000033 411829.4279999994, 194436.02100000158 411834.11199999973, 194434.95149999857 411838.3599999994, 194433.88199999928 411842.6079999991, 194433.60350000113 411845.58399999887, 194433.32499999925 411848.55999999866, 194432.85869999975 411852.73330000043, 194432.39229999855 411856.90670000017, 194431.92599999905 411861.0799999982, 194431.52199999988 411865.2082999982, 194431.11800000072 411869.33669999987, 194430.71400000155 411873.46499999985)"
talud_maas_2017.4,Beugen,44.06099859,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194449.47199999914 411763.3999999985, 194448.9624999985 411767.8759999983, 194448.4530000016 411772.3520000018, 194447.66270000115 411776.8350000009, 194446.872299999 411781.31799999997, 194446.08199999854 411785.80099999905, 194445.4759999998 411790.3134999983, 194444.87000000104 411794.8260000013, 194444.2740000002 411798.8786999993, 194443.67799999937 411802.93129999936, 194443.08199999854 411806.9840000011)"
talud_maas_2017.5,Beugen,85.68804381,2017,Rivieren,Maas,Zandmaas,,"LINESTRING (194475.69299999997 411647.25, 194475.08300000057 411649.19299999997, 194474.0357999988 411653.2917999998, 194472.98860000074 411657.3905999996, 194471.94139999896 411661.4893999994, 194470.8942000009 411665.5881999992, 194469.84699999914 411669.686999999, 194468.82730000094 411673.87249999866, 194467.80750000104 411678.05799999833, 194466.78770000115 411682.2435000017, 194465.76799999923 411686.4290000014, 194464.3687000014 411690.8029999994, 194462.96930000186 411695.1770000011, 194461.5700000003 411699.55099999905, 194460.8764999993 411703.42599999905, 194460.18299999833 411707.30099999905, 194459.11300000176 411711.8590000011, 194458.04300000146 411716.41699999943, 194457.26099999994 411721.1033000015, 194456.47899999842 411725.7897000015, 194455.69700000063 411730.4759999998)"
talud_maas_2017.6,Hedel - Mussenwaard,34.43484793,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145374.4759999998 416219.3060000017, 145377.08399999887 416220.1070000008, 145379.69200000167 416220.9079999998, 145382.8125 416221.80050000176, 145385.93299999833 416222.69299999997, 145388.40249999985 416223.15949999914, 145390.87200000137 416223.6259999983, 145394.39649999887 416223.94200000167, 145397.9210000001 416224.2580000013, 145400.92700000107 416224.4510000013, 145403.93299999833 416224.64400000125, 145408.29100000113 416224.5450000018)"
talud_maas_2017.7,Hedel - Mussenwaard,39.56860867,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (145421.08399999887 416212.2259999998, 145424.45800000057 416214.1240000017, 145427.13549999893 416214.44849999994, 145429.813000001 416214.7729999982, 145432.4985000007 416213.5104999989, 145435.18400000036 416212.2479999997, 145438.9360000007 416209.58399999887, 145442.2109999992 416208.5064999983, 145445.48600000143 416207.4290000014, 145448.6799999997 416205.8060000017, 145451.54399999976 416203.49599999934, 145453.63100000098 416202.3359999992, 145456.42700000107 416200.73600000143)"
talud_maas_2017.8,De Paaldere 't Wildt,11.0006053,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153251.81230000034 420311.25780000165, 153253.375 420311.65900000185, 153257.78799999878 420313.2575000003, 153262.20100000128 420314.85599999875)"
talud_maas_2017.9,De Paaldere 't Wildt,32.76333075,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153243.4919999987 420360.66899999976, 153243.71330000088 420357.09899999946, 153243.93470000103 420353.52899999917, 153244.1559999995 420349.95899999887, 153244.4224999994 420346.1394999996, 153244.6889999993 420342.3200000003, 153244.9750000015 420338.618999999, 153245.26099999994 420334.91800000146, 153245.23999999836 420331.44249999896, 153245.2190000005 420327.9670000002)"
talud_maas_2017.10,De Paaldere 't Wildt,64.47977391,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153250.11899999902 420436.54100000113, 153249.51199999824 420433.7415000014, 153248.9050000012 420430.94200000167, 153248.08729999885 420426.89130000025, 153247.26949999854 420422.84050000086, 153246.45179999992 420418.78979999945, 153245.6339999996 420414.73900000006, 153245.01099999994 420411.4239999987, 153245.1160000004 420408.05099999905, 153245.19799999893 420404.76249999925, 153245.2800000012 420401.47399999946, 153244.87000000104 420400.4200000018, 153244.6400000006 420399.00499999896, 153244.68499999866 420397.2670000009, 153245.2190000005 420395.66800000146, 153245.65300000086 420393.84899999946, 153245.61349999905 420391.2719999999, 153245.57400000095 420388.6950000003, 153244.84299999848 420386.4070000015, 153244.8669999987 420382.68400000036, 153244.68100000173 420378.79399999976, 153244.00499999896 420375.94249999896, 153243.3289999999 420373.09099999815)"
talud_maas_2017.11,De Paaldere 't Wildt,27.85948068,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153316.22700000182 420496.1090000011, 153316.08999999985 420492.90949999914, 153315.9530000016 420489.7100000009, 153315.72100000083 420486.0549999997, 153315.3900000006 420481.6180000007, 153315.05900000036 420477.1810000017, 153314.56700000167 420472.76150000095, 153314.07499999925 420468.3420000002)"
talud_maas_2017.12,De Paaldere 't Wildt,42.83794375,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153252.79300000146 420524.38699999824, 153253.01000000164 420520.9305000007, 153253.22700000182 420517.47399999946, 153252.3599999994 420512.98900000006, 153251.0080000013 420509.2659999989, 153250.42449999973 420506.3979999982, 153249.84099999815 420503.5300000012, 153249.63949999958 420500.11499999836, 153249.438000001 420496.69999999925, 153249.1523000002 420491.81269999966, 153248.86670000106 420486.9252999984, 153248.58100000024 420482.0379999988)"
talud_maas_2017.13,De Paaldere 't Wildt,60.37433463,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153324.0780000016 420565.5949999988, 153324.03700000048 420562.7340000011, 153323.99599999934 420559.8729999997, 153323.60550000146 420557.1570000015, 153323.21499999985 420554.44099999964, 153322.7824999988 420550.20699999854, 153322.3500000015 420545.97300000116, 153321.8449999988 420541.68499999866, 153321.33999999985 420537.3969999999, 153320.82569999993 420533.0346999988, 153320.3112999983 420528.67229999974, 153319.7969999984 420524.30999999866, 153319.2100000009 420519.71649999917, 153318.62299999967 420515.1229999997, 153317.94249999896 420510.3830000013, 153317.26199999824 420505.6429999992)"
talud_maas_2017.14,De Paaldere 't Wildt,38.15803513,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153317.8509999998 420694.4389999993, 153320.16600000113 420693.31500000134, 153322.80000000075 420691.9470000006, 153326.59600000083 420689.9279999994, 153329.88599999994 420687.8029999994, 153333.09800000116 420684.7829999998, 153334.36400000006 420682.6090000011, 153336.38199999928 420678.4360000007, 153336.45699999854 420673.6860000007, 153335.74599999934 420669.625, 153335.46200000122 420665.66800000146)"
talud_maas_2017.15,De Paaldere 't Wildt,35.4942317,2017,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,,"LINESTRING (153282.96799999848 420737.8830000013, 153282.3040000014 420733.1545000002, 153281.6400000006 420728.42599999905, 153281.00699999928 420724.91899999976, 153280.3740000017 420721.4120000005, 153279.76999999955 420717.4979999997, 153279.67399999872 420714.36400000006, 153279.5780000016 420711.23000000045, 153278.79549999908 420707.0089999996, 153278.01300000027 420702.7879999988)"
