FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,se_anno_cad_data,gdb_geomattr_data,shape
nwb_wegen_hectopunten_1999.1,1961,96,31139007,1998-12-01T00:00:00, , ,,,POINT (16091 369720)
nwb_wegen_hectopunten_1999.2,1960,204,31139007,1998-12-01T00:00:00, , ,,,POINT (16191 369761)
nwb_wegen_hectopunten_1999.3,1959,312,31139007,1998-12-01T00:00:00, , ,,,POINT (16294 369793)
nwb_wegen_hectopunten_1999.4,1958,414,31139007,1998-12-01T00:00:00, , ,,,POINT (16393 369820)
nwb_wegen_hectopunten_1999.5,1957,514,31139007,1998-12-01T00:00:00, , ,,,POINT (16491 369841)
nwb_wegen_hectopunten_1999.6,1956,612,31139007,1998-12-01T00:00:00, , ,,,POINT (16588 369853)
nwb_wegen_hectopunten_1999.7,1955,712,31139007,1998-12-01T00:00:00, , ,,,POINT (16688 369855)
nwb_wegen_hectopunten_1999.8,1954,812,31139007,1998-12-01T00:00:00, , ,,,POINT (16787 369848)
nwb_wegen_hectopunten_1999.9,1953,911,31139007,1998-12-01T00:00:00, , ,,,POINT (16885 369830)
nwb_wegen_hectopunten_1999.10,1952,69,33139001,1998-12-01T00:00:00, , ,,,POINT (16990 369810)
nwb_wegen_hectopunten_1999.11,1951,163,33139001,1998-12-01T00:00:00, , ,,,POINT (17082 369793)
nwb_wegen_hectopunten_1999.12,1950,267,33139001,1998-12-01T00:00:00, , ,,,POINT (17184 369774)
nwb_wegen_hectopunten_1999.13,1949,365,33139001,1998-12-01T00:00:00, , ,,,POINT (17281 369757)
nwb_wegen_hectopunten_1999.14,1948,466,33139001,1998-12-01T00:00:00, , ,,,POINT (17380 369739)
nwb_wegen_hectopunten_1999.15,1947,564,33139001,1998-12-01T00:00:00, , ,,,POINT (17477 369722)
nwb_wegen_hectopunten_1999.16,1946,664,33139001,1998-12-01T00:00:00, , ,,,POINT (17575 369704)
nwb_wegen_hectopunten_1999.17,1945,762,33139001,1998-12-01T00:00:00, , ,,,POINT (17672 369686)
nwb_wegen_hectopunten_1999.18,1944,861,33139001,1998-12-01T00:00:00, , ,,,POINT (17769 369667)
nwb_wegen_hectopunten_1999.19,1943,960,33139001,1998-12-01T00:00:00, , ,,,POINT (17866 369650)
nwb_wegen_hectopunten_1999.20,132,55,33144001,1998-01-28T00:00:00, , ,,,POINT (16549 372398)
nwb_wegen_hectopunten_1999.21,131,154,33144001,1998-01-28T00:00:00, , ,,,POINT (16636 372445)
nwb_wegen_hectopunten_1999.22,130,253,33144001,1998-01-28T00:00:00, , ,,,POINT (16723 372491)
nwb_wegen_hectopunten_1999.23,129,350,33144001,1998-01-28T00:00:00, , ,,,POINT (16809 372536)
nwb_wegen_hectopunten_1999.24,128,449,33144001,1998-01-28T00:00:00, , ,,,POINT (16897 372582)
nwb_wegen_hectopunten_1999.25,127,550,33144001,1998-01-28T00:00:00, , ,,,POINT (16986 372629)
nwb_wegen_hectopunten_1999.26,48,54,37151001,1998-02-07T00:00:00, , ,,,POINT (18919 375504)
nwb_wegen_hectopunten_1999.27,47,156,37151001,1998-02-07T00:00:00, , ,,,POINT (18988 375429)
nwb_wegen_hectopunten_1999.28,46,254,37151001,1998-02-07T00:00:00, , ,,,POINT (19054 375356)
nwb_wegen_hectopunten_1999.29,45,355,37151001,1998-02-07T00:00:00, , ,,,POINT (19122 375282)
nwb_wegen_hectopunten_1999.30,44,455,37151001,1998-02-07T00:00:00, , ,,,POINT (19189 375207)
nwb_wegen_hectopunten_1999.31,43,555,37151001,1998-02-07T00:00:00, , ,,,POINT (19257 375134)
nwb_wegen_hectopunten_1999.32,42,655,37151001,1998-02-07T00:00:00, , ,,,POINT (19325 375060)
nwb_wegen_hectopunten_1999.33,41,757,37151001,1998-02-07T00:00:00, , ,,,POINT (19394 374985)
nwb_wegen_hectopunten_1999.34,40,57,38149001,1998-02-07T00:00:00, , ,,,POINT (19466 374909)
nwb_wegen_hectopunten_1999.35,39,155,38149001,1998-02-07T00:00:00, , ,,,POINT (19532 374836)
nwb_wegen_hectopunten_1999.36,38,253,38149001,1998-02-07T00:00:00, , ,,,POINT (19599 374764)
nwb_wegen_hectopunten_1999.37,37,352,38149001,1998-02-07T00:00:00, , ,,,POINT (19666 374692)
nwb_wegen_hectopunten_1999.38,36,451,38149001,1998-02-07T00:00:00, , ,,,POINT (19734 374619)
nwb_wegen_hectopunten_1999.39,35,550,38149001,1998-02-07T00:00:00, , ,,,POINT (19802 374548)
nwb_wegen_hectopunten_1999.40,34,650,38149001,1998-02-07T00:00:00, , ,,,POINT (19873 374478)
nwb_wegen_hectopunten_1999.41,33,749,38149001,1998-02-07T00:00:00, , ,,,POINT (19940 374405)
nwb_wegen_hectopunten_1999.42,32,838,38149001,1998-02-07T00:00:00, , ,,,POINT (20000 374339)
nwb_wegen_hectopunten_1999.43,182,0,39190006,1992-06-16T00:00:00, , ,,,POINT (19534 395367)
nwb_wegen_hectopunten_1999.44,181,100,39190006,1992-06-16T00:00:00, , ,,,POINT (19549 395466)
nwb_wegen_hectopunten_1999.45,1988,83,27142026,1998-12-01T00:00:00, , ,,,POINT (14021 371055)
nwb_wegen_hectopunten_1999.46,1987,183,27142026,1998-12-01T00:00:00, , ,,,POINT (14079 370974)
nwb_wegen_hectopunten_1999.47,1986,281,27142026,1998-12-01T00:00:00, , ,,,POINT (14139 370896)
nwb_wegen_hectopunten_1999.48,1985,389,27142026,1998-12-01T00:00:00, , ,,,POINT (14208 370814)
nwb_wegen_hectopunten_1999.49,1984,485,27142026,1998-12-01T00:00:00, , ,,,POINT (14272 370742)
