,Jaar,Stroom,COROPplus_nr,COROPplus_naam,Goederengroep_nr,Goederengroep_naam,Waarde,Brutogew,Sf_waarde,Sf_brutogew
50,2015,Aanbod_eigen_regio,26,Amsterdam,1,Land- en tuinbouwproducten,373.6209945,238.6449937,141.4597405,106.0924986
51,2015,Aanbod_eigen_regio,26,Amsterdam,2,Bosbouwproducten,1.751407497,5.816485279,0.299131428,0.722241029
52,2015,Aanbod_eigen_regio,26,Amsterdam,3,"Veehouderij-, jacht- en visserijproducten",28.2025729,24.48220842,5.214207106,2.372284766
53,2015,Aanbod_eigen_regio,26,Amsterdam,4,"Voedsel, plantaardig",68.09368932,62.24047776,19.66920227,18.64099499
54,2015,Aanbod_eigen_regio,26,Amsterdam,5,"Voedsel, dierlijk",177.6674613,69.07911533,27.01936536,10.45726874
55,2015,Aanbod_eigen_regio,26,Amsterdam,6,"Voedsel, overig",884.5465685,566.4346651,309.7768884,106.3427713
56,2015,Aanbod_eigen_regio,26,Amsterdam,7,"Steenkool, bruinkool, aardgas en ruwe aardolie",0.444207054,1.55207314,0.253105456,0.818555713
57,2015,Aanbod_eigen_regio,26,Amsterdam,8,Cokes en aardolieproducten,53.60725874,77.04650133,31.32204185,41.71107318
58,2015,Aanbod_eigen_regio,26,Amsterdam,9,Ertsen,0.185142273,0.138389418,0.15711548,0.125396557
59,2015,Aanbod_eigen_regio,26,Amsterdam,10,"Zout, zand, grind, klei",24.41199894,373.7212243,8.842607269,122.5280259
60,2015,Aanbod_eigen_regio,26,Amsterdam,11,Overige minerale producten,170.4614357,306.9726757,89.17831232,108.973395
61,2015,Aanbod_eigen_regio,26,Amsterdam,12,Chemische producten en kunstmest,228.7316837,253.0828764,49.93876592,51.91632919
62,2015,Aanbod_eigen_regio,26,Amsterdam,13,Farmaceutica en chemische specialiteiten,303.752324,37.69428815,68.14814492,5.059271032
63,2015,Aanbod_eigen_regio,26,Amsterdam,14,"Kunststoffen, rubber",177.3648894,57.87983453,40.17053657,11.89606398
64,2015,Aanbod_eigen_regio,26,Amsterdam,15,Basismetalen en basismetaalproducten,114.7159331,59.567671,79.57021672,36.87612101
65,2015,Aanbod_eigen_regio,26,Amsterdam,16,Metaalproducten,123.5468906,34.6719106,23.98502539,4.095915741
66,2015,Aanbod_eigen_regio,26,Amsterdam,17,Machines en apparaten voor de industrie,453.4421418,64.5048718,217.4896828,30.7638042
67,2015,Aanbod_eigen_regio,26,Amsterdam,18,Overige machines en apparaten,2849.938418,33.81593172,388.3681245,6.53620021
68,2015,Aanbod_eigen_regio,26,Amsterdam,19,Transportmiddelen,288.3089265,34.93061473,170.7279635,18.89279059
69,2015,Aanbod_eigen_regio,26,Amsterdam,20,Textiel,168.9302458,32.0700094,22.20658221,3.620081674
70,2015,Aanbod_eigen_regio,26,Amsterdam,21,"Kleding, bont en leer",61.29451175,3.652396172,38.02448629,2.353141245
71,2015,Aanbod_eigen_regio,26,Amsterdam,22,"Hout- en kurkproducten, papier en pulp",68.2241165,75.27512083,15.12075324,16.52527605
72,2015,Aanbod_eigen_regio,26,Amsterdam,23,Meubels,86.37151193,19.44690024,8.60112055,1.978638555
74,2015,Aanbod_eigen_regio,26,Amsterdam,25,Overige goederen,560.6620613,108.1781579,103.1145893,16.8287063
400,2015,Distributie,26,Amsterdam,1,Land- en tuinbouwproducten,863.4479445,412.2094923,212.2337055,116.8777624
401,2015,Distributie,26,Amsterdam,2,Bosbouwproducten,0.147981536,0.605972582,0.409316792,0.850172474
402,2015,Distributie,26,Amsterdam,3,"Veehouderij-, jacht- en visserijproducten",4.077220256,2.03162489,6.389938413,2.95588059
403,2015,Distributie,26,Amsterdam,4,"Voedsel, plantaardig",19.75657958,20.32226741,22.23717062,19.61293282
404,2015,Distributie,26,Amsterdam,5,"Voedsel, dierlijk",19.54545131,9.455163774,34.28678512,11.8262066
405,2015,Distributie,26,Amsterdam,6,"Voedsel, overig",832.0422344,134.1373334,372.6474915,117.5117183
406,2015,Distributie,26,Amsterdam,7,"Steenkool, bruinkool, aardgas en ruwe aardolie",0.438799328,1.677653725,0.399180011,0.905666782
407,2015,Distributie,26,Amsterdam,8,Cokes en aardolieproducten,56.35032126,73.02315317,34.04552577,43.22473757
408,2015,Distributie,26,Amsterdam,9,Ertsen,0.203873642,0.215315594,0.256995673,0.230780592
409,2015,Distributie,26,Amsterdam,10,"Zout, zand, grind, klei",16.76423545,356.4360583,10.10453305,134.4709304
410,2015,Distributie,26,Amsterdam,11,Overige minerale producten,676.214338,717.8457236,137.8404976,133.6837812
411,2015,Distributie,26,Amsterdam,12,Chemische producten en kunstmest,53.17450524,56.2104909,59.17918964,56.39566341
412,2015,Distributie,26,Amsterdam,13,Farmaceutica en chemische specialiteiten,69.42075963,4.64606304,79.99171424,5.886127616
413,2015,Distributie,26,Amsterdam,14,"Kunststoffen, rubber",70.60841908,17.21413115,49.20171983,13.08633602
414,2015,Distributie,26,Amsterdam,15,Basismetalen en basismetaalproducten,240.1209145,82.70347599,91.09809712,38.38031143
415,2015,Distributie,26,Amsterdam,16,Metaalproducten,24.02891098,3.79458135,28.93919349,4.885664638
416,2015,Distributie,26,Amsterdam,17,Machines en apparaten voor de industrie,771.230057,106.4791617,264.8857336,33.33921963
417,2015,Distributie,26,Amsterdam,18,Overige machines en apparaten,242.869912,6.179393774,505.0670181,7.159445287
418,2015,Distributie,26,Amsterdam,19,Transportmiddelen,447.7047357,47.63258011,193.6579962,19.86988441
419,2015,Distributie,26,Amsterdam,20,Textiel,14.51767959,2.896272759,29.06031174,4.360057281
420,2015,Distributie,26,Amsterdam,21,"Kleding, bont en leer",194.0339271,9.510104456,49.47866443,2.553176548
421,2015,Distributie,26,Amsterdam,22,"Hout- en kurkproducten, papier en pulp",13.81642146,17.17100496,17.72800115,17.84489013
422,2015,Distributie,26,Amsterdam,23,Meubels,4.419205081,1.667636418,11.80070314,2.428451172
424,2015,Distributie,26,Amsterdam,25,Overige goederen,96.03127178,23.75105388,125.7569272,19.24326748
750,2015,Doorvoer,26,Amsterdam,1,Land- en tuinbouwproducten,829.0954099,492.6064088,539.9016268,522.9482915
751,2015,Doorvoer,26,Amsterdam,2,Bosbouwproducten,0.522621722,3.007949705,5.807331958,7.188160934
752,2015,Doorvoer,26,Amsterdam,3,"Veehouderij-, jacht- en visserijproducten",9.138306896,4.745104538,71.26151404,13.84377808
753,2015,Doorvoer,26,Amsterdam,4,"Voedsel, plantaardig",443.3263283,948.1144861,378.6507327,631.5699986
754,2015,Doorvoer,26,Amsterdam,5,"Voedsel, dierlijk",95.48021848,54.10746273,238.7311272,134.6861399
755,2015,Doorvoer,26,Amsterdam,6,"Voedsel, overig",958.4121447,489.0774269,894.252253,680.334828
756,2015,Doorvoer,26,Amsterdam,7,"Steenkool, bruinkool, aardgas en ruwe aardolie",810.980605,11557.72286,190.7214935,2040.223333
757,2015,Doorvoer,26,Amsterdam,8,Cokes en aardolieproducten,7807.271752,19375.02701,2110.275884,4116.52059
758,2015,Doorvoer,26,Amsterdam,9,Ertsen,12.62589871,131.303818,52.57815674,471.4021925
759,2015,Doorvoer,26,Amsterdam,10,"Zout, zand, grind, klei",157.6603877,3595.6284,55.54632067,1114.562185
760,2015,Doorvoer,26,Amsterdam,11,Overige minerale producten,360.3089622,536.3218808,312.2342547,397.78045
761,2015,Doorvoer,26,Amsterdam,12,Chemische producten en kunstmest,2828.213684,2638.48683,882.9931601,921.6217472
762,2015,Doorvoer,26,Amsterdam,13,Farmaceutica en chemische specialiteiten,2220.864061,36.020025,1376.052977,83.08236027
763,2015,Doorvoer,26,Amsterdam,14,"Kunststoffen, rubber",81.67569012,72.48300511,211.2337458,81.40087289
