OBJECTID;NAME;ITEM_NUMBER;TYPE_LICHTMAST;YEAR_OF_CONSTRUCTION;EIGENAAR;HOOGTE_LICHTPUNT;STATUS_LICHTMAST;DATE_MODIFIED;BEHEERDER_OMS;STRAATNAAM_LICHTMASTNR;X;Y;LONG;LAT
57879;0506;0506;Lichtmast;;Onbekend;32;Onbekend;2013-03-14;Onbekend;2e Antonie Heinsiusstraat 0506;78692.5839999989;456043.021000002;4.273815379401315;52.087384627838
57882;0507;0507;Lichtmast;;Onbekend;32;Onbekend;2013-03-14;Onbekend;2e Antonie Heinsiusstraat 0507;78685.5119999982;456027.074000001;4.273715780133393;52.08724034293112
57880;0508;0508;Lichtmast;;Onbekend;32;Onbekend;2013-03-14;Onbekend;2e Antonie Heinsiusstraat 0508;78667.2809999995;456025.568999998;4.273450160629779;52.087224304681534
57881;0509;0509;Lichtmast;;Onbekend;32;Onbekend;2013-03-14;Onbekend;2e Antonie Heinsiusstraat 0509;78657.8539999984;456008.072000001;4.2733165549125545;52.08706576542498
57829;0510;0510;Lichtmast;;Onbekend;32;Onbekend;2013-03-14;Onbekend;2e Antonie Heinsiusstraat 0510;78643.4629999995;456009.079999998;4.273106392177033;52.08707283935238
61607;0001;0001;Lichtmast;;Gemeente Den Haag;50;Onbekend;2012-06-20;Gemeente Den Haag;2e Braamstraat 0001;78442.7771000005;454455.750100002;4.270527328811402;52.07308588858271
41762;0002;0002;Lichtmast;2023-02-02;Gemeente Den Haag;50;In bedrijf;2012-06-20;Gemeente Den Haag;2e Braamstraat 0002;78442.4571000002;454446.173099998;4.270524810335278;52.07299977907983
58598;0003;0003;Lichtmast;;Gemeente Den Haag;50;Onbekend;2012-06-20;Gemeente Den Haag;2e Braamstraat 0003;78427.3051000014;454437.686099999;4.270305745534944;52.07292141466183
65159;0004;0004;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2018-10-15;Gemeente Den Haag;2e Braamstraat 0004;78415.677099999;454440.7031;4.270135492128963;52.07294691968809
38839;0005;0005;Lichtmast;2023-02-02;Gemeente Den Haag;50;In bedrijf;2018-10-15;Gemeente Den Haag;2e Braamstraat 0005;78394.7690999992;454419.537099998;4.269835331815499;52.072753816573154
18209;0501;0501;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0501;83131.995099999;455562.0031;4.338680693748124;52.083655910296315
57708;0502;0502;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0502;83144.8240999989;455558.294100002;4.338868614542642;52.08362424324937
57709;0503;0503;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0503;83144.4741000012;455543.9681;4.338866526778531;52.08349545275562
57704;0504;0504;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0504;83155.9090999998;455542.204100002;4.3390337026188455;52.08348108388369
57706;0505;0505;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0505;83156.2259999998;455526.870999999;4.339041554644956;52.08334332930258
57705;0506;0506;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2013-06-04;Gemeente Den Haag;2e De Carpentierstraat 0506;83169.370099999;455522.735100001;4.339234160166138;52.083307866081604
88215;0507;0507;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0507;83170.3508000001;455506.490800001;4.339251886306363;52.08316200881057
54945;0508;0508;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0508;83185.2410999984;455499.766100001;4.3394705078012334;52.08310350666319
54942;0509;0509;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0509;83182.3621000014;455489.0601;4.339430765658285;52.08300692041431
54944;0510;0510;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2013-06-04;Gemeente Den Haag;2e De Carpentierstraat 0510;83195.2960000001;455485.162999999;4.33962025297046;52.082973575342734
54941;0511;0511;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0511;83194.9721000008;455470.8211;4.339618547125214;52.08284464533763
54943;0512;0512;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0512;83208.7780999988;455465.676100001;4.339821017515804;52.08280019838832
54940;0513;0513;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2013-06-04;Gemeente Den Haag;2e De Carpentierstraat 0513;83208.9811000004;455450.5891;4.339827153742501;52.08266464062058
54958;0514;0514;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0514;83220.5161000006;455448.805100001;4.339995789074578;52.08265010360171
17346;0515;0515;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2012-07-09;Gemeente Den Haag;2e De Carpentierstraat 0515;83221.7961000018;455432.122099999;4.340017970607995;52.08250034247604
17348;0516;0516;Lichtmast;2023-02-02;Gemeente Den Haag;32;In bedrijf;2012-07-13;Gemeente Den Haag;2e De Carpentierstraat 0516;83236.8544999994;455425.1239;4.340239097451894;52.08243940278178
54953;0517;0517;Lichtmast;2023-02-02;Gemeente Den Haag;32;Onbekend;2012-07-13;Gemeente Den Haag;2e De Carpentierstraat 0517;83236.8121000007;455410.425099999;4.340241571092689;52.08230730185855
22457;0006;0006;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0006;80430.4670999982;455257.8851;4.299339738104067;52.08056564255425
18589;0007;0007;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0007;80436.3491000012;455276.984099999;4.299421359128057;52.08073807204847
31357;0008;0008;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0008;80420.7320999987;455290.116099998;4.299190696993949;52.080853982534414
63303;0009;0009;Lichtmast;;Gemeente Den Haag;32;Onbekend;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0009;80416.379999999;455307.559;4.299123403248668;52.08101015084225
23778;0010;0010;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0010;80405.7840999998;455323.1461;4.298965441123084;52.0811488004628
63716;0011;0011;Lichtmast;;Gemeente Den Haag;32;Onbekend;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0011;80393.1380000003;455338.945999999;4.298777526652838;52.08128908600688
31387;0013;0013;Lichtmast;;Gemeente Den Haag;86;In bedrijf;2012-06-20;Gemeente Den Haag;2e De Riemerstraat 0013;80372.4690999985;455374.813099999;4.298468197930484;52.081608628327444
40032;0004;0004;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2021-03-25;Gemeente Den Haag;2e Eeldepad 0004;78776.6810999997;451110.5781;4.27614334279811;52.04306989512604
20255;0005;0005;Lichtmast;;Gemeente Den Haag;50;In bedrijf;2021-03-25;Gemeente Den Haag;2e Eeldepad 0005;78757.1171000004;451093.050099999;4.2758621314048995;52.04290968546085
78275;0006;0006;Lichtmast;2023-02-02;Gemeente Den Haag;50;In bedrijf;2021-03-25;Gemeente Den Haag;2e Eeldepad 0006;78736.1816000007;451078.686799999;4.275560228206107;52.04277772670908
28071;0001;0021;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2021-05-31;Gemeente Den Haag;2e Joan Maetsuyckerstraat 0001;83300.7391000018;455730.5011;4.341106783190576;52.08519204790669
34882;0002;0023;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2021-05-31;Gemeente Den Haag;2e Joan Maetsuyckerstraat 0002;83303.7730999999;455703.7051;4.341156674855159;52.0849516300952
194460;0502;0502;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0502;83053.5164999999;455349.0722;4.337580817673434;52.081732148676096
194461;0503;0503;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0503;83061.6519000009;455337.849599998;4.337701851963792;52.08163235027621
194459;0504;0504;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2013-08-23;Gemeente Den Haag;2e Louise de Colignystraat 0504;83074.1933999993;455346.891800001;4.337882882899649;52.08171524006034
194462;0505;0505;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2013-08-23;Gemeente Den Haag;2e Louise de Colignystraat 0505;83084.9364;455335.507800002;4.338041986397698;52.08161432954726
194463;0506;0506;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2013-08-23;Gemeente Den Haag;2e Louise de Colignystraat 0506;83097.5260000005;455344.635000002;4.338223701594479;52.08169798893562
194464;0507;0507;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2017-03-13;Gemeente Den Haag;2e Louise de Colignystraat 0507;83107.7820000015;455333.043000001;4.3383757444479025;52.08159514547316
194465;0508;0508;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2013-08-23;Gemeente Den Haag;2e Louise de Colignystraat 0508;83120.625;455342.249000002;4.338561139830799;52.08167954540381
194466;0509;0509;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0509;83124.3975999989;455331.3957;4.33861845580781;52.0815824985259
194456;0510;0510;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2013-08-23;Gemeente Den Haag;2e Louise de Colignystraat 0510;83140.9083000012;455340.184599999;4.338857438639162;52.08166362566382
62246;0511;0511;Lichtmast;;Gemeente Den Haag;60;Onbekend;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0511;83150.0344999991;455328.7194;4.338992973343801;52.08156177430722
194455;0512;0512;Lichtmast;;Gemeente Den Haag;32;In bedrijf;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0512;83160.0119999982;455338.235199999;4.339136506706583;52.08164858562115
163736;0513;0513;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2016-09-19;Gemeente Den Haag;2e Louise de Colignystraat 0513;83171.0260999985;455326.906399999;4.339299549937955;52.081548204645344
61766;0001;0001;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0001;79289.9990999997;458607.8501;4.28196088462543;52.110515881158776
63613;0002;0002;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0002;79304.3011000007;458593.333099999;4.282172859241442;52.110387379113725
58758;0003;0003;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0003;79319.1900999993;458578.292100001;4.28239351672391;52.11025424797954
130787;0004;0004;Parkeermeter;;Gemeente Den Haag;60;In bedrijf;2013-04-11;Gemeente Den Haag;2e Messstraat 0004;79333.2190999985;458564.1151;4.282601428720536;52.11012876326436
59311;0005;0005;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0005;79351.9640999995;458556.176100001;4.282876787149933;52.110059981677246
61140;0006;0006;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0006;79361.7881000005;458535.147100002;4.283024843877802;52.109872344779355
40754;0007;0007;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;2e Messstraat 0007;79379.8990999982;458527.869100001;4.283290799772838;52.10980941570921
44148;0008;0008;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0008;79388.6440999992;458508.000100002;4.283422847929188;52.10963205532242
130784;0009;0009;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2013-04-11;Gemeente Den Haag;2e Messstraat 0009;79409.4426000007;458497.874699999;4.283728658985975;52.109543903966866
43557;0010;0010;Lichtmast;;Gemeente Den Haag;60;Onbekend;2012-06-20;Gemeente Den Haag;2e Messstraat 0010;79417.1011000015;458479.3211;4.283844554860728;52.10937821567879
38882;0011;0011;Lichtmast;;Gemeente Den Haag;60;In bedrijf;2012-06-20;Gemeente Den Haag;2e Messstraat 0011;79435.256099999;458470.450100001;4.2841115022222915;52.10930097502834
