;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
A12 Van der Valk Hotel Veenendaal B.V.;;1;;1
Aan de Gaag;;1;;1
Aanhangwagenbedrijf Van de Burgwal B.V.;;;1;1
Absoluta B.V.;;1;;1
Accor Hospitality Nederland N.V.;;1;;1
Ad Yellow Cab Terschelling B.V.;1;;;1
Aebi Schmidt Nederland B.V.;;;8;8
Air Products Nederland B.V.;1;;;1
Alcredis Finance B.V.;;;2;2
Alfa Laval Benelux B.V.;1;;;1
Alp Lift B.V.;;;1;1
Alphatron Marine B.V.;1;;;1
ALTER-Net;;;1;1
Alt-Tab Bedrijfsondersteuning;;1;;1
American Roadhouse B.V.;;1;;1
Andoless B.V.;;1;;1
Anna Vastgoed Beheer B.V.;;1;;1
Annage Skûtsjesilen;;1;;1
anoniem_IenW_301;2;;;2
anoniem_IenW_447;1;;;1
anoniem_IenW_448;2;;;2
anoniem_IenW_449;;;1;1
anoniem_IenW_658;;;1;1
anoniem_IenW_721;;;1;1
anoniem_IenW_88;;1;;1
anoniem_IenW_89;1;;;1
anoniem_IenW_90;;1;;1
Antropia B.V.;;1;;1
Aon de Stasie B.V.;;;1;1
Apotheek Kuijlman C.V.;1;;;1
Aqua Safety B.V.;;;1;1
Arab. Translation Service;;1;;1
Aristo Utrecht B.V.;;1;;1
Arnage Horeca B.V.;;1;;1
Art Centre Delft B.V.;;1;;1
Athlon Car Lease Rental Services B.V.;;;1;1
Atlantic Hotel Exploitatie B.V.;;1;;1
Autostalling de Bazuin;1;;;1
B&B Eemswolde;;1;;1
B.V. Rederij G. Doeksen en Zonen;1;;1;1
B.V. Scheepswerf Maaskant;7;;7;8
Badhotel Rockanje aan Zee B.V.;;1;;1
Bakker Boer;;1;;1
Balans & Impuls B.V.;;1;;1
Bally's Bowling;;1;;1
BAM Accommodatie Asset Management B.V.;;;1;1
BAM Infra Regionaal Den Haag;;1;;1
Bartholomeus Gasthuis;;1;;1
Bascon Constructiebedrijf;;;1;1
BCN B.V.;;1;;1
BDS Harlingen B.V.;1;;1;2
Be-Ge Seating B.V.;;;1;1
Bek & Verburg B.V.;2;;;2
Belgian Beer Cafe Belvédère;;1;;1
Berenschot B.V.;;1;;1
Bergingsbedrijf L. Polderman B.V.;;;1;1
Beuk Touringcars;1;;;1
Beurs van Berlage C.V.;;2;;2
Bibliotheek Leeuwarden Centrum;;1;;1
Bidfood B.V.;1;;;1
Bilderberg Europa Hotel Scheveningen;;1;;1
Bobbe International B.V.;;1;;1
Boels Traffic Service B.V.;;;1;1
Boels Verhuur;;;1;1
Boerderij De Middenhof Nieuwegein;;1;;1
Boerderij 't Dommeltje;;1;;1
Bovag Service B.V.;;1;;1
Braveheart Survey B.V.;2;;2;2
Broere;;1;;1
BTN B.V.;;;1;1
Buena Vista Beach Club B.V.;;1;;1
Buitengoed Leeuwenburg;;1;;1
Buitengoed Uylenburg B.V.;;1;;1
BUNDESINSTITUT FÜR BAU-, STADT- UND;;;1;1
Bunkerstation 'Delta' Stolk & Berends B.V.;1;;4;4
Bureau Veritas Marine Nederland B.V.;4;;;4
Bureau Zuidema B.V.;;1;;1
Burrata Turfmarkt B.V.;;1;;1
BvCM Collections B.V.;1;;;1
C.I.V. Lauwerszee Harlingen B.V.;1;;;1
C.I.V. Lauwerszee Lauwersoog B.V.;1;;;1
Café de Bak B.V.;;1;;1
Café du Midi B.V.;;1;;1
Café Restaur. en Zalencentr. Het Wap. van Ens;;1;;1
Café XO Haarlem B.V.;;1;;1
Café-Bistro 't Wapen B.V.;;1;;1
Camiel Mikily B.V.;;1;;1
CAOP;;1;;1
Carlton Beach Club;;2;;2
Cateringservice Dik Voor Elkaar;;1;;1
Centrum Quadraat;;1;;1
Colex;2;;;2
Colorado Charlie;;1;;1
Conferentie-hotel Villa Heidebad B.V.;;1;;1
Coöp. In- en Verkoopver. 'Den Oever' UA;2;;;2
Coöp. Verenig. Nederlandse Assurant. Beurs UA;;1;;1
Cositax;1;;;1
CZAV;;;1;1
Damen Shipyards Den Helder B.V.;7;;6;7
Datema Watersport B.V.;3;;;3
Datema-Delfzijl B.V.;1;;;1
De Baak Administratie;;1;;1
De Baak Noordwijk B.V.;;1;;1
De Batterijen aan de Overeindseweg B.V.;;1;;1
de Bibliotheek aan de Vliet;;1;;1
De Branding Utrecht B.V.;;1;;1
de brandmeester;;1;;1
De Emauspoort;1;;;1
De Haas Maassluis B.V.;8;;7;8
De Horeca Academie Zakelijk B.V.;;1;;1
De Kleyne Sint Jacob;;1;;1
De Kloveniersdoelen B.V.;;1;;1
De Kookfabriek Utrecht B.V.;;1;;1
De Landgoederij B.V.;;1;;1
De Mare Media Groep B.V.;;1;;1
De Polderij Zakelijke Bijeenkomsten;;1;;1
De Poort van Groningen V.O.F.;;1;;1
De Rede van Batavia Haven B.V.;;1;;1
De Ri4;;1;;1
De Rotterdam B.V.;;1;;1
De Stadstuin;;1;;1
De Utrechtse Haven B.V.;;1;;1
De Veldkeuken Amelisweerd B.V.;;1;;1
De Winkel van Sinkel B.V.;;1;;1
De Witte Vosch B.V.;;2;;2
De Zalen van Zeven B.V.;;1;;1
De Zandkamer;;1;;1
De Zilveren Vosch B.V.;;1;;1
Dekker en Stam B.V.;;;3;3
Delft Dynamics B.V.;;1;;1
demaritime B.V.;2;;;2
Deskbookers B.V.;;1;;1
Destil;;;1;1
