Postcode,Voertuigsoort,Brandstof,Extern oplaadbaar,Aantal
1011,Bedrijfsauto,B,N,14
1011,Bedrijfsauto,D,N,674
1011,Bedrijfsauto,E,N,59
1011,Bromfiets,B,N,301
1011,Bromfiets,E,N,214
1011,Driewielig motorrijtuig,B,N,18
1011,Land- of bosbouwtrekker,B,N,25
1011,Land- of bosbouwtrekker,D,N,73
1011,Motorfiets,B,N,287
1011,Motorrijtuig met beperkte snelheid,D,N,140
1011,Motorrijtuig met beperkte snelheid,E,N,31
1011,Personenauto,B,N,2005
1011,Personenauto,BE,J,29
1011,Personenauto,BE,N,517
1011,Personenauto,BG,N,40
1011,Personenauto,D,N,212
1011,Personenauto,E,J,12
1011,Personenauto,E,N,357
1012,Bedrijfsauto,B,N,19
1012,Bedrijfsauto,D,N,225
1012,Bromfiets,B,N,399
1012,Bromfiets,E,N,117
1012,Driewielig motorrijtuig,B,N,13
1012,Motorfiets,B,N,206
1012,Personenauto,B,N,1026
1012,Personenauto,BE,J,37
1012,Personenauto,BE,N,8684
1012,Personenauto,BG,N,22
1012,Personenauto,D,N,148
1012,Personenauto,E,N,68
1013,Bedrijfsauto,B,N,29
1013,Bedrijfsauto,BG,N,10
1013,Bedrijfsauto,D,N,552
1013,Bedrijfsauto,E,N,26
1013,Bromfiets,B,N,1002
1013,Bromfiets,D,N,20
1013,Bromfiets,E,N,155
1013,Driewielig motorrijtuig,B,N,31
1013,Motorfiets,B,N,559
1013,Motorrijtuig met beperkte snelheid,D,N,10
1013,Personenauto,B,N,3808
1013,Personenauto,BE,J,73
1013,Personenauto,BE,N,301
1013,Personenauto,BG,N,79
1013,Personenauto,D,N,556
1013,Personenauto,DE,J,11
1013,Personenauto,E,J,10
1013,Personenauto,E,N,225
1014,Bedrijfsauto,B,N,24
1014,Bedrijfsauto,D,N,1048
1014,Bedrijfsauto,E,N,32
1014,Bromfiets,B,N,155
1014,Bromfiets,E,N,103
1014,Motorfiets,B,N,125
