objectid;gsmcode;tariefcode;shape_area;shape_len;geo_shape;geo_point_2d
339;5197;C2;8368.93485043;412.492065388718;"{""coordinates"": [[[5.45920756084037, 51.45809767284423], [5.459150525404354, 51.45814347118957], [5.4590673369809375, 51.458202708429155], [5.458924721127654, 51.45827390481933], [5.458683474380709, 51.45848641934087], [5.459723322401618, 51.45888552834338], [5.459864741672694, 51.4588440626123], [5.460006161068358, 51.458921810582055], [5.460330593102345, 51.45903584125858], [5.460846360142442, 51.45883369538281], [5.460621753692037, 51.458667832109846], [5.460405465198649, 51.458673015534785], [5.460272364717318, 51.458605633037934], [5.460338915487585, 51.45854861750957], [5.459656777557095, 51.4579318057683], [5.45920756084037, 51.45809767284423]]], ""type"": ""Polygon""}";51.458515913176875, 5.459721505677874
340;5116;A3;5495.610425365;322.9292784918;"{""coordinates"": [[[5.482936960830567, 51.43960138437512], [5.482989069709681, 51.43929972568364], [5.483382531051939, 51.43931774988389], [5.483396793805221, 51.439169594875075], [5.482989938230157, 51.43906132557424], [5.482234116467819, 51.43883316439091], [5.481754000868709, 51.439372453265015], [5.482448025092959, 51.43957690746671], [5.482643954548103, 51.4395912232616], [5.48274781026344, 51.43959418073777], [5.482936960830567, 51.43960138437512]]], ""type"": ""Polygon""}";51.439247133186505, 5.4825354338961985
345;5196;A2;26579.67836367;951.261516188611;"{""coordinates"": [[[5.471115420348814, 51.44058976219573], [5.471239015024818, 51.44050827880223], [5.471469582167897, 51.44034916002158], [5.4722349117084494, 51.44043730989769], [5.473258123382064, 51.44058249883966], [5.4732402773340105, 51.44083124743691], [5.473677607631515, 51.4409586559321], [5.473905785184918, 51.440269752630115], [5.4740436485378785, 51.440116302210576], [5.473996113522407, 51.43996814862178], [5.473739421161826, 51.43973702885937], [5.47353025469238, 51.439472686212746], [5.473428053969716, 51.43924304566179], [5.4712223815408105, 51.43969788205504], [5.470718506586602, 51.43876153788864], [5.4706234341341204, 51.438693385645514], [5.470376246728657, 51.43871857174756], [5.470400014409319, 51.43882080090782], [5.470509344708028, 51.43924452781082], [5.470618676945658, 51.43937638612755], [5.4710382050193305, 51.43991477399469], [5.470947290358898, 51.44022256213021], [5.470954419188402, 51.44038590003961], [5.471004332327117, 51.44045812404157], [5.471003711469716, 51.44053198260455], [5.471115420348814, 51.44058976219573]]], ""type"": ""Polygon""}";51.43993656258012, 5.472385746165793
346;5180;A2;19405.086299525003;965.662198939851;"{""coordinates"": [[[5.472917073198219, 51.4385411839449], [5.473321129224836, 51.438499699578315], [5.473463737301663, 51.43848192044449], [5.4736443732013225, 51.43846710432997], [5.473767967740038, 51.43844932546063], [5.473981879805102, 51.43842858390456], [5.474191038759446, 51.438395988550035], [5.474309877660242, 51.43839302509457], [5.474585586608141, 51.43837524647298], [5.474862924095971, 51.438451380529024], [5.475015039432834, 51.43835063227941], [5.474618106209819, 51.43814258261088], [5.4745855885913, 51.43807596500541], [5.474519039241652, 51.437933731442904], [5.4741197367914785, 51.43801670093822], [5.4739105775037284, 51.437992995612476], [5.473625361494406, 51.43803448013419], [5.473439971966633, 51.43794854750351], [5.47330687066768, 51.43796632676782], [5.4724369625281595, 51.43803744367158], [5.472327628302428, 51.43824783077198], [5.472280091085065, 51.43833968841965], [5.4721459856899095, 51.43835588958], [5.472084437828927, 51.438133693143236], [5.4714664699761055, 51.43818703065337], [5.471494990469843, 51.43839445328736], [5.471376907496165, 51.43831302047758], [5.471067923700731, 51.43826857253403], [5.470497492082307, 51.438194493961184], [5.469941320060693, 51.438283389569676], [5.469537263939572, 51.438443400347666], [5.469289328088318, 51.438556573892306], [5.469330921086874, 51.43875362388575], [5.469603812183618, 51.43881379531382], [5.4701932590000615, 51.438807868211754], [5.470392909346786, 51.438816757488745], [5.4703738963038315, 51.438716010756785], [5.470630799149795, 51.438690149837264], [5.470720908225179, 51.43875749485799], [5.471712453274527, 51.43866896784828], [5.471818990151951, 51.43859452086013], [5.47210896105894, 51.43856192618897], [5.4725462918672205, 51.43859452104761], [5.472917073198219, 51.4385411839449]]], ""type"": ""Polygon""}";51.43838044137201, 5.472032738253812
347;5118;A2;6213.461036775;367.151374614894;"{""coordinates"": [[[5.4806762561132905, 51.440012312205496], [5.480767614710318, 51.44004222412673], [5.4811360268269045, 51.44029211815587], [5.481485414853741, 51.440515087377015], [5.481644610836972, 51.440625742828665], [5.48167792479019, 51.440913355977116], [5.481791860467288, 51.440943500447624], [5.481975902415485, 51.44094335076789], [5.482154646509747, 51.44094291927914], [5.482159183868804, 51.440659398509084], [5.482160009109464, 51.44056943201007], [5.482172381542525, 51.440440394915356], [5.482163309448973, 51.44029079304956], [5.481994234425864, 51.440136820945014], [5.480976774913494, 51.43980962223425], [5.480742808035008, 51.43990860496973], [5.4806762561132905, 51.440012312205496]]], ""type"": ""Polygon""}";51.44033979867774, 5.481589519488085
349;5117;A2;5532.026632305;465.736331983106;"{""coordinates"": [[[5.483372920981222, 51.439562086142345], [5.483548805049771, 51.43955023387662], [5.483916877751925, 51.439569612099284], [5.483964415291657, 51.439187371513846], [5.483997691392461, 51.43895328418847], [5.4836367856020125, 51.438886072450664], [5.483714809053858, 51.43878300658733], [5.483855085734371, 51.43859770736115], [5.483791326036229, 51.43855348746072], [5.483701535885942, 51.438506485536045], [5.483479552199533, 51.438390285763596], [5.483468083179567, 51.43823939159158], [5.48314959151761, 51.43833717621866], [5.483301705495164, 51.43850607737922], [5.483507691303479, 51.438602937210106], [5.483348835767606, 51.43886612923116], [5.483279898687177, 51.4389592108224], [5.483243430436931, 51.43912506306165], [5.483403561755866, 51.43916938793671], [5.483388998605425, 51.4393223997747], [5.482995856730529, 51.43930447960205], [5.482944746147266, 51.439600021582315], [5.482994677992045, 51.439608132337554], [5.483372920981222, 51.439562086142345]]], ""type"": ""Polygon""}";51.43907364668363, 5.483533439743541
351;5120;A1;15706.781055155001;602.8941475210399;"{""coordinates"": [[[5.478660501740845, 51.43432878999917], [5.478267777283829, 51.434295691502896], [5.477731308784851, 51.434330598635185], [5.477639727776406, 51.434447934291555], [5.477423525100619, 51.43444107113502], [5.477295141812095, 51.43470099183608], [5.477632645602247, 51.43485805260325], [5.477627889222935, 51.435335157198004], [5.477604120629741, 51.43556629876305], [5.477566090933594, 51.435681869618556], [5.477494786727745, 51.43583300030632], [5.47715252725859, 51.435904120328914], [5.477109744113426, 51.4360552503069], [5.477578784093531, 51.436198068563925], [5.477756232221785, 51.43619748930717], [5.478364695227229, 51.43581225683448], [5.478554840697595, 51.43556037182987], [5.47874023314416, 51.4351425377313], [5.478754495240591, 51.43477507665745], [5.479020698869313, 51.43447280792574], [5.478660501740845, 51.43432878999917]]], ""type"": ""Polygon""}";51.43514557415324, 5.4780667768004765
352;5143;B7;3994.67869697;484.53819618583304;"{""coordinates"": [[[5.465501374173977, 51.45177274244], [5.465401502790404, 51.45185959063], [5.465381681208412, 51.45192008865108], [5.4653816842427085, 51.45192185941531], [5.465432962380746, 51.45194139326834], [5.465603854580381, 51.451980414884744], [5.465902921336678, 51.45203891794935], [5.46623331551449, 51.452109857260396], [5.466424145745006, 51.45214708438867], [5.4665921776155715, 51.452170097708894], [5.466797193242847, 51.45218240696944], [5.46707338120551, 51.45218755701539], [5.467403662657236, 51.45219266015435], [5.467884884328832, 51.45221189585681], [5.468149697382685, 51.452227729770044], [5.468166929340398, 51.452161093824], [5.4682061696062, 51.45216080135373], [5.46819384913829, 51.45181406780845], [5.467923332824039, 51.45181125173808], [5.467837766489327, 51.45204971642878], [5.467186524306705, 51.452027499115516], [5.467022524887616, 51.452021574926526], [5.466513890095755, 51.45199787710269], [5.466445405626382, 51.452040735849714], [5.466310070640383, 51.45203686212533], [5.466259572098605, 51.45197269762456], [5.465501374173977, 51.45177274244]]], ""type"": ""Polygon""}";51.452040255547146, 5.46699160058156
355;5169;C1;1090.082775205;171.779279827485;"{""coordinates"": [[[5.477972800729989, 51.472214918999235], [5.477981561059254, 51.47228755306022], [5.4782658665150645, 51.472280604899325], [5.478289569431838, 51.472285966970425], [5.478319759171423, 51.4723020851755], [5.478337023905749, 51.47231955818974], [5.478341355927767, 51.47233166251349], [5.47834795022141, 51.47239757023609], [5.4789380960869725, 51.47237961947126], [5.478922634914484, 51.47218861650811], [5.477972800729989, 51.472214918999235]]], ""type"": ""Polygon""}";51.47228411071582, 5.4785428825756926
356;5156;B1;4981.93847701;779.2112702201681;"{""coordinates"": [[[5.471072370975338, 51.44525353874332], [5.470757557206594, 51.44556923773715], [5.470573948536456, 51.445745887955326], [5.470549471939984, 51.44581052681107], [5.470921845402642, 51.445669671396104], [5.470149866913411, 51.44636957389777], [5.470052205338576, 51.4463699544712], [5.469767375609472, 51.446571571336634], [5.469482546173487, 51.44683138013047], [5.469074298649982, 51.447252831110724], [5.4688352735928785, 51.44747989003387], [5.469022425427175, 51.44747854423409], [5.469083729758196, 51.44743975007856], [5.469180873123033, 51.447451505379604], [5.469433634779843, 51.447275167175654], [5.469612833512191, 51.44710646966866], [5.469905073262819, 51.44684489980874], [5.4697675106903025, 51.446772600069], [5.4698305655945765, 51.44671558335198], [5.469985240346671, 51.44673556849364], [5.470222913569212, 51.446488690856825], [5.470155008708074, 51.44636995404898], [5.470923717879161, 51.44567024442495], [5.471128460644098, 51.445734026158085], [5.4714612156088815, 51.445397019027105], [5.4712957905046675, 51.44531279261555], [5.471476427767847, 51.44504614707448], [5.471412455543539, 51.44508620643147], [5.471072370975338, 51.44525353874332]]], ""type"": ""Polygon""}";51.44636774472139, 5.470163035475779
