FID,vrt_code,vrtnaam,haven_vaar,meetpunt,breedte,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
zwaaiplaats.1,060,Lemmer - Delfzijl,,22.6,60,,2423,,,POINT (53.23690000200003 6.650199998000005)
zwaaiplaats.2,124c,Beatrixkanaal,,8.2,100,,2426,,,POINT (51.433899999000005 5.444499999000016)
zwaaiplaats.3,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,36,,,2484,,,POINT (51.146799999999985 5.6118000000000166)
zwaaiplaats.4,647,Bedrijvenpark N-W Twenthe,,0.4,85,,3429,,,POINT (52.36750000000001 6.619399998000006)
zwaaiplaats.5,209a,Nieuwe Haven te Schiedam,,0.03,30,,3534,,,POINT (51.909100000000024 4.407200000999978)
zwaaiplaats.6,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,26.002,50,,4530,,,POINT (52.250599998999974 4.568100001999994)
zwaaiplaats.7,095d,Espelervaart,,7.9,25,,4774,,,POINT (52.71909999799999 5.646200001000011)
zwaaiplaats.8,108b1,Roode Vaart of Zevenbergsche Haven,,6.183,50,,5404,,,POINT (51.64979999899998 4.60880000100002)
zwaaiplaats.9,1175,1e Industriehaven te Emmeloord,,0.44,50,,5871,,,POINT (52.70340000099998 5.749799999999993)
zwaaiplaats.10,228,Eem en havens van Amersfoort,,9.583,,,5914,,,POINT (52.21409999999997 5.30970000100001)
zwaaiplaats.11,231b,Larservaart,,1.751,60,,6089,,,POINT (52.473999999 5.518300001)
zwaaiplaats.12,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,34.458,50,,6413,,,POINT (52.86919999899999 7.076000001000011)
zwaaiplaats.13,055,Workumertrekvaart,,12.847,60,,6416,,,POINT (52.97199999899999 5.433899999000005)
zwaaiplaats.14,218,Ringvaart van de Haarlemmermeerpolder (noordelijk gedeelte),,5.972,,,6598,,,POINT (52.37740000000002 4.678899999999999)
zwaaiplaats.15,218,Ringvaart van de Haarlemmermeerpolder (noordelijk gedeelte),,10.926,30,,6918,,,POINT (52.38290000000001 4.747799999999984)
zwaaiplaats.16,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,35.858,150,,7505,,,POINT (51.105399999999975 5.848000001000003)
zwaaiplaats.17,126,Mark en Dintel,,30.802,110,,8390,,,POINT (51.615800001000025 4.441100000999995)
zwaaiplaats.18,124a,Donge en Noordergat,,3.902,135,,8830,,,POINT (51.6943 4.851500000999977)
zwaaiplaats.19,853,Industriehaven Weststad,,1.252,200,,9140,,,POINT (51.661499999 4.832199998000021)
zwaaiplaats.20,201i,Sassenheimervaart,,1.574,35,,9481,,,POINT (52.226199999000016 4.532299998999974)
zwaaiplaats.21,618,Industriehaven-West te Heerenveen,,1.052,,,9624,,,POINT (52.97230000000002 5.896600001000024)
zwaaiplaats.22,126,Mark en Dintel,,14.719,60,,9651,,,POINT (51.627700000999994 4.636100001999978)
zwaaiplaats.23,232,Hoge Vaart,,52.425,70,,10429,,,POINT (52.49920000100002 5.761900000000026)
zwaaiplaats.24,650,2e Industriehaven te Almelo,,0.451,85,,11110,,,POINT (52.364399999 6.629799998999999)
zwaaiplaats.25,234,Noordhollandsch Kanaal,,45.348,70,,11182,,,POINT (52.671100002 4.752500000999987)
zwaaiplaats.26,760,"Dronten, haven te (zuidelijke haven)",,0.442,75,,12036,,,POINT (52.53090000200001 5.718299999999999)
zwaaiplaats.27,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,15.5,70,,12213,,,POINT (50.988699999000005 5.701599999999985)
zwaaiplaats.28,081,Kanaal Zutphen-Enschede van de Twenthekanalen,,40.089,105,,12515,,,POINT (52.25189999899999 6.731199998000022)
zwaaiplaats.29,231,Lage Vaart,,1.599,80,,12605,,,POINT (52.39889999899998 5.244700000000023)
zwaaiplaats.30,127a,Steenbergsche Haven,,2.2,50,,12868,,,POINT (51.58960000100001 4.312199998999972)
zwaaiplaats.31,121,"Gekan. Dieze, Zuid-Willemsvaart, Verbindingskanaal in het Bossche Veld",,119.5,55,,12994,,,POINT (51.685899999000014 5.333299997999973)
zwaaiplaats.32,083,Oude IJssel,,20.122,40,,13001,,,POINT (51.92040000100002 6.343199997999989)
zwaaiplaats.33,202,Vaarweg Noordzeekanaal-Spaarne-Kagerplassen,,30.02,120,,13600,,,POINT (52.219599999000025 4.5566000009999925)
