X,Y,OBJECTID,IDENTIFICATIE,HOOGTE,LOCATIE,X_GEVEL,Y_GEVEL,BRONHOUDER
4.70873430803331,51.6389520968901,1,44C0052,0.742,"duiker gemaal ZO-Z markt, in frmr.",+0017,-0017,Rijkswaterstaat
4.72088363114273,51.6301049907599,2,44C0056,1.923,bdr hoeve de kluis hooidonkseweg 10,+0030,+0030,Rijkswaterstaat
4.69380736955175,51.6203386482125,3,44C0064,2.309,trafo zo-z brielsedreef,+0026,+0045,Rijkswaterstaat
4.7125156006177,51.6217334117301,4,44C0066,3.174,hs bdr grintweg 5,-0093,+0043,Rijkswaterstaat
4.72013518761142,51.6250220542718,5,44C0067,2.047,hs bdr hooidonkseweg 8,-0085,+0028,Rijkswaterstaat
4.69690266010001,51.6124198085275,6,44C0072,2.858,hs brielsedreef 49,+0058,+0026,Rijkswaterstaat
4.73460103755708,51.6143170575944,7,44C0075,2.533,hs bdr de haagse beemden burgsedreef 4,+0050,+0033,Rijkswaterstaat
4.69886473677895,51.6049077112634,8,44C0078,3.514,hs postbaan 18,-0030,+0037,Rijkswaterstaat
4.73169182832631,51.6088176243981,9,44C0081,3.618,kasteel burgsedreef 11,+0040,+0029,Rijkswaterstaat
4.71809511643643,51.6008214993955,10,44C0083,4.681,wk kapelstraat 2,+0014,+0042,Rijkswaterstaat
4.70452872999857,51.5978397166277,11,44C0086,4.079,hs vianendreef 76,+0033,+0043,Rijkswaterstaat
4.71296705292187,51.5952639193829,12,44C0087,3.678,cf veehandelshuis groenstraat 80,-0036,+0031,Rijkswaterstaat
4.73620737893876,51.6009866184294,13,44C0088,2.902,bdr gageldonkseweg 39,+0027,+0034,Rijkswaterstaat
4.70349357734245,51.6435238781385,14,44C0094,1.552,hs bdr noordhoeve schuivenoordseweg 7,+0028,+0034,Rijkswaterstaat
4.70883268319062,51.590889412568,15,44C0178,4.341,hs  groenstraat 106,+0020,+0020,Rijkswaterstaat
4.70682878070236,51.628280301116,16,44C0181,2.373,hs biezenstraat 1,-0017,+0039,Rijkswaterstaat
4.72498373589786,51.6074944485949,17,44C0197,3.068,hs pieternel koomanstraat 1,+0546,+0033,Rijkswaterstaat
4.67686935801961,51.6092526711696,18,44C0199,2.016,Huis Strijpenseweg 37,+0298,+0035,Rijkswaterstaat
4.68212798726719,51.6210868413864,19,44C0218,1.703,hs halseweg 2,+0068,+0030,Rijkswaterstaat
4.73468935098944,51.5871084092227,20,44C0221,3.84,trafo leursebaan,+0032,+0064,Rijkswaterstaat
4.72032714614573,51.600196038395,21,44C0223,3.775,rkk kerk Markt 32 prinsenbeek,-0291,+0038,Rijkswaterstaat
4.70739437382755,51.6079059270779,22,44C0233,3.389,garage bij hs postbaan 17,-0398,+0017,Rijkswaterstaat
4.71670421999216,51.6070338044885,23,44C0258,2.742,MR tussen garage en HS Beeksestraat 80,-0210,+0039,Rijkswaterstaat
4.70782513641692,51.6032432240306,24,44C0259,3.544,Huis Schutsestraat 18,+0152,+0027,Rijkswaterstaat
4.70283975819069,51.6227289165891,25,44C0260,2.297,Huis bedrijf Kettingdreef 3,+0023,+0033,Rijkswaterstaat
4.69929499130785,51.6383936322072,26,44C0277,2.991,N Landhfd van Oostelijke spoorbrug over Markkanaal,-0021,+0046,Rijkswaterstaat
4.7359786401691,51.586756042514,27,44C0802,3.532,heilaarstraat  235,-0335,,Gemeente Breda
4.73383326440573,51.6034722721635,28,44C0803,3.133,bdr  burgstsedreef  1,+0080,-0069,Gemeente Breda
4.72389901408966,51.6026972621238,29,44C0810,2.07,o  pijler  viaduct  spoorlijn  /rw 16  lunetstraat,,+0066,Gemeente Breda
4.71560923809175,51.6146860002912,30,44C0811,3.55,bdr  bredestraat  2,+0047,-0075,Gemeente Breda
4.72657108296745,51.6085281470937,31,44C0813,3.121,trafo  kesterenlaan  ham 1,+0033,+0082,Gemeente Breda
4.72663677678666,51.6109554971567,32,44C0814,2.28,trafo  johanna reintjesstraat,-0031,+0053,Gemeente Breda
4.72225759852256,51.6142295861477,33,44C0816,2.138,trafo  ijsbrandberg  hk  woutersberg,-0023,+0038,Gemeente Breda
