Openbare ruimte;Straatcode        (BAG-id);Huisnr van;Huisnr t/m;Postcode;Wijk;Woonplaats;Type;
20 septemberplein;0268300000001734;;;;;Nijmegen;Weg;
82e Airborne Divisieviaduct;0268300000001823;;;;;Lent;Kunstwerk;
Aalbersestraat;0268300000000825;1;15;6532 WS;12 - Goffert;Nijmegen;Weg;
Aalscholverplaats;0268300000000091;;;;;Nijmegen;Weg;
Abeelstraat;0268300000000826;1;35;6523 JA;06 - Hengstdal;Nijmegen;Weg;
Abeelstraat;0268300000000826;2;24;6523 JB;06 - Hengstdal;Nijmegen;Weg;
Acacialaan;0268300000000394;1;37;6663 EH;70 - Lent;Lent;Weg;
Acacialaan;0268300000000394;34;44;6663 EJ;70 - Lent;Lent;Weg;
Acaciastraat;0268300000000827;1;13;6521 NE;06 - Hengstdal;Nijmegen;Weg;
Acaciastraat;0268300000000827;2;40;6521 NG;06 - Hengstdal;Nijmegen;Weg;
Acaciastraat;0268300000000827;15;29;6523 DK;06 - Hengstdal;Nijmegen;Weg;
Acaciastraat;0268300000000827;31;73;6523 DL;06 - Hengstdal;Nijmegen;Weg;
Acaciastraat;0268300000000827;42;76;6523 DM;06 - Hengstdal;Nijmegen;Weg;
Achter de Bank;0268300000000828;1;53;6511 PG;01 - Stadscentrum;Nijmegen;Weg;
Achter de Bank;0268300000000828;2;50;6511 PB;01 - Stadscentrum;Nijmegen;Weg;
Achter de Carmel;0268300000000829;1;1;6511 CT;01 - Stadscentrum;Nijmegen;Weg;
Achter de Carmel;0268300000000829;2;32;6511 CT;01 - Stadscentrum;Nijmegen;Weg;
Achter de Hoofdwacht;0268300000000830;1;7;6511 VW;00 - Benedenstad;Nijmegen;Weg;
Achter de Hoofdwacht;0268300000000830;4;8;6511 VW;00 - Benedenstad;Nijmegen;Weg;
Achter de Keizerskroon;0268300000000209;2;12;6522 CX;05 - Hunnerberg;Nijmegen;Weg;
Achter de Oude Gracht;0268300000000831;2;18;6511 PZ;01 - Stadscentrum;Nijmegen;Weg;
Achter de Oude Gracht;0268300000000831;7;23;6511 PZ;01 - Stadscentrum;Nijmegen;Weg;
Achter de Smidstraat;0268300000000042;5;9;6511 VE;00 - Benedenstad;Nijmegen;Weg;
Achter de Vismarkt;0268300000000832;2;24;6511 VJ;00 - Benedenstad;Nijmegen;Weg;
Achter de Wiemelpoort;0268300000000833;3;5;6511 JJ;01 - Stadscentrum;Nijmegen;Weg;
Achter de Wiemelpoort;0268300000000833;4;6;6511 JJ;01 - Stadscentrum;Nijmegen;Weg;
Achter Valburg;0268300000000834;1;3;6511 DM;01 - Stadscentrum;Nijmegen;Weg;
Achter Valburg;0268300000000834;2;4;6511 DM;01 - Stadscentrum;Nijmegen;Weg;
Ackerbroekweg;0268300000000028;1;49;6546 HX;40 - 't Acker;Nijmegen;Weg;
Ackerbroekweg;0268300000000028;51;63;6546 HX;42 - 't Broek;Nijmegen;Weg;
Ackerbroekweg;0268300000000028;52;80;6546 HZ;42 - 't Broek;Nijmegen;Weg;
Adagiostraat;0268300000000835;1;59;6544 PK;24 - Neerbosch-Oost;Nijmegen;Weg;
Adagiostraat;0268300000000835;2;40;6544 PM;24 - Neerbosch-Oost;Nijmegen;Weg;
Adagiostraat;0268300000000835;42;84;6544 PN;24 - Neerbosch-Oost;Nijmegen;Weg;
Adagiostraat;0268300000000835;61;87;6544 PL;24 - Neerbosch-Oost;Nijmegen;Weg;
Adelbertusplein;0268300000000054;;;;;Nijmegen;Weg;
Adrianaweg;0268300000000836;1;29;6523 MV;07 - Kwakkenberg;Nijmegen;Weg;
Adrianaweg;0268300000000836;2;14;6523 MV;07 - Kwakkenberg;Nijmegen;Weg;
Agaatstraat;0268300000000837;1;29;6534 WS;16 - Hatert;Nijmegen;Weg;
Agatha Christiestraat;0268300000001771;1;19;6515 ZJ;60 - Ressen;Nijmegen;Weg;
Agatha Christiestraat;0268300000001771;4;30;6515 ZJ;60 - Ressen;Nijmegen;Weg;
Agricolaplaats;0268300000000006;;;;;Nijmegen;Weg;
Ahornstraat;0268300000000838;1;29;6523 JE;06 - Hengstdal;Nijmegen;Weg;
Ahornstraat;0268300000000838;2;24;6523 JJ;06 - Hengstdal;Nijmegen;Weg;
Ahornstraat;0268300000000838;26;46;6523 JK;06 - Hengstdal;Nijmegen;Weg;
Ahornstraat;0268300000000838;31;45;6523 JG;06 - Hengstdal;Nijmegen;Weg;
Ahornstraat;0268300000000838;47;57;6523 JH;06 - Hengstdal;Nijmegen;Weg;
Ahornstraat;0268300000000838;48;74;6523 JL;06 - Hengstdal;Nijmegen;Weg;
Akkerhommelhof;0268300000000839;1;11;6533 PM;14 - Hatertse Hei;Nijmegen;Weg;
Akkerhommelhof;0268300000000839;2;10;6533 PM;14 - Hatertse Hei;Nijmegen;Weg;
Akkerlaan;0268300000000840;9;39;6533 BK;13 - St. Anna;Nijmegen;Weg;
Akkerlaan;0268300000000840;18;46;6533 BL;13 - St. Anna;Nijmegen;Weg;
Akkerlaan;0268300000000840;50;66;6533 BM;13 - St. Anna;Nijmegen;Weg;
Akkerpad;0268300000000121;2;4;6533 BC;13 - St. Anna;Nijmegen;Weg;
Akkerwinde;0268300000000517;1;37;6663 GC;70 - Lent;Lent;Weg;
Akkerwinde;0268300000000517;2;44;6663 GE;70 - Lent;Lent;Weg;
Akkerwinde;0268300000000517;39;71;6663 GD;70 - Lent;Lent;Weg;
Albanystraat;0268300000000171;2;76;6544 RD;24 - Neerbosch-Oost;Nijmegen;Weg;
Albanystraat;0268300000000171;5;159;6544 RA;24 - Neerbosch-Oost;Nijmegen;Weg;
Albardastraat;0268300000000841;1;69;6535 VJ;16 - Hatert;Nijmegen;Weg;
Albardastraat;0268300000000841;2;40;6535 VK;16 - Hatert;Nijmegen;Weg;
Albert Marcussestraat;0268300000000083;1;11;6523 RH;07 - Kwakkenberg;Nijmegen;Weg;
Albert Marcussestraat;0268300000000083;2;2;6523 RH;07 - Kwakkenberg;Nijmegen;Weg;
Albert Schweitzerlaan;0268300000000155;1;45;6525 JR;17 - Heijendaal;Nijmegen;Weg;
Albert Schweitzerlaan;0268300000000155;2;56;6525 JT;17 - Heijendaal;Nijmegen;Weg;
Albert Schweitzerlaan;0268300000000155;58;112;6525 JV;17 - Heijendaal;Nijmegen;Weg;
Albert Schweitzerlaan;0268300000000155;113;139;6525 JS;17 - Heijendaal;Nijmegen;Weg;
Albert Trouwborststraat;0268300000001788;3;29;6541 GS;20 - Biezen;Nijmegen;Weg;
Albert Trouwborststraat;0268300000001788;4;26;6541 GS;20 - Biezen;Nijmegen;Weg;
Albert van Hedelgaard;0268300000001904;3;35;6663 RV;70 - Lent;Lent;Weg;
Albert van Hedelgaard;0268300000001904;4;24;6663 RV;70 - Lent;Lent;Weg;
Albertus Magnusstraat;0268300000000842;1;19;6525 RA;18 - Brakkenstein;Nijmegen;Weg;
Albertus Magnusstraat;0268300000000842;2;20;6525 RB;18 - Brakkenstein;Nijmegen;Weg;
Aldenhaagstraat;0268300000000843;1;45;6535 MX;16 - Hatert;Nijmegen;Weg;
Aldenhaagstraat;0268300000000843;2;44;6535 MZ;16 - Hatert;Nijmegen;Weg;
Aldenhof;0268300000000269;1101;1101;6537 AC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1102;1150;6537 AB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1201;1219;6537 BE;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1202;1226;6537 BJ;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1221;1231;6537 BG;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1228;1238;6537 BK;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1233;1259;6537 BH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1301;1341;6537 CB;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1302;1320;6537 CC;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1322;1390;6537 CD;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;1401;1471;6537 CH;35 - Aldenhof;Nijmegen;Weg;
Aldenhof;0268300000000269;2101;2145;6537 BL;35 - Aldenhof;Nijmegen;Weg;
