TYPE,latitude,longitude
bovengronds,52.496086,5.468885
bovengronds,52.4964121,5.4710805
bovengronds,52.5001576,5.4226539
bovengronds,52.4999437,5.4226289
bovengronds,52.4997237,5.4226139
bovengronds,52.4982908,5.4211731
bovengronds,52.4985084,5.4211878
bovengronds,52.4987306,5.4212144
bovengronds,52.5026209,5.4161824
bovengronds,52.5026142,5.4161644
bovengronds,52.5353174,5.4424037
bovengronds,52.5353174,5.4424327
bovengronds,52.4959343,5.4757253
bovengronds,52.5005742,5.4749206
bovengronds,52.5005734,5.474896
bovengronds,52.5005409,5.4749479
bovengronds,52.5005239,5.4749501
bovengronds,52.4999883,5.4752398
bovengronds,52.4999874,5.4752694
bovengronds,52.4997908,5.4747463
bovengronds,52.4997887,5.4747208
bovengronds,52.4992679,5.4748824
bovengronds,52.5088218,5.4761682
bovengronds,52.5088404,5.4761964
bovengronds,52.5103372,5.4775855
bovengronds,52.5096679,5.4762675
bovengronds,52.5096585,5.4762553
bovengronds,52.5096505,5.4762424
bovengronds,52.5066471,5.4768609
bovengronds,52.5066646,5.4768625
bovengronds,52.5065205,5.4768762
bovengronds,52.5064057,5.4772632
bovengronds,52.5063955,5.4772637
bovengronds,52.5068767,5.4770059
bovengronds,52.5068766,5.4770355
bovengronds,52.5065547,5.4772435
bovengronds,52.5066611,5.4772303
bovengronds,52.5066814,5.4772293
bovengronds,52.5070671,5.4786577
bovengronds,52.5070416,5.4786603
bovengronds,52.5065194,5.4787031
bovengronds,52.5065248,5.4759522
bovengronds,52.5065015,5.4759543
bovengronds,52.5062742,5.4748888
bovengronds,52.5062753,5.4748629
bovengronds,52.5068979,5.4758631
bovengronds,52.5068813,5.4758639
bovengronds,52.5113335,5.477492
bovengronds,52.5113466,5.477492
bovengronds,52.5120148,5.4753411
bovengronds,52.5121366,5.4753198
bovengronds,52.512114,5.4753216
bovengronds,52.5129376,5.4755767
bovengronds,52.5129214,5.4755778
bovengronds,52.5129353,5.4755092
bovengronds,52.512918,5.4755139
