LOCATIENUMMER;LOCATIENAAM;PERIODE_1;PERIODE_2;PERIODE_3;PERIODE_4;PERIODE_5;PERIODE_6;PERIODE_7;PERIODE_8;PERIODE_9;PERIODE_10;PERIODE_11;PERIODE_12;PERIODE_13;GEM;LONG;LAT;X;Y
1;001 Alvereiland;23.5;32.5;24.4;31.1;21.2;15.5;13.2;16.9;16.3;20;29.6;32.3;25.9;23.3;4.4103807883916994;52.06076682414865;88012;452947
2;002 Pijlstaartplein;23;30.7;21.8;26.2;20.6;13.7;11.2;15.7;14.4;20.7;27.9;30.6;24.2;21.6;4.415113489624177;52.06711598752107;88346;453649
3;003 Ypenburg 2 - Wingerd;24;31.9;25;28.4;20.6;16;13.8;18.5;15.4;20;25.6;29.4;25.3;22.6;4.368168816352307;52.04902054631112;85099;451680
4;004 Guirlande;24;30.8;23.9;28.4;20.6;18;17.6;19.6;16.3;20;26.7;28.3;24.2;23;4.365024306654912;52.050098906736046;84885;451803
5;005 Laan van Hoornwijck;31.9;42.4;29;35.5;31.5;21.5;20.7;26.7;24.5;28.5;32.4;33.4;32.1;30;4.3613635634099905;52.04443115742966;84625;451176
6;006 Westvlietweg;23;31.9;27;30;24;18;16.3;17.4;17.3;22.1;30.2;34;26.5;24.4;4.372866017859573;52.070130556683615;85454;454024
7;007 Maanweg;27;39.6;0;32;30.9;21;17.6;25;22.1;28.5;36.8;35;28.5;28.7;4.34591747952861;52.06360336235112;83596;453324
8;008 Binckhorstlaan thv nr 240;29.9;41.9;31.5;35;25.2;18;15.1;20.7;21.1;27.4;32.4;36.6;31.6;28.2;4.339367959289008;52.06740144297557;83153;453753
9;009 Calandstraat thv nr 7459;33.5;45.8;42.7;39.9;38.1;37.5;31.1;34;31.2;38.3;48;43.5;34.6;38.3;4.314410363027216;52.0626464848859;81434;453249
10;010 Waldorpstraat;32.9;44.1;39.8;39;35;28;23.3;29.1;25.9;30.6;40;39.5;34.6;34;4.3140100807964945;52.06413497058821;81409;453415
11;011 Hildebrandplein;30.9;43;34.6;36;34;29.8;28.3;27.7;27.6;32.6;41;37.5;33.6;33.6;4.310338770646571;52.055490238687945;81143;452457
12;012 Neherkade thv nr 3076;31.9;45.2;34.8;40.8;32;24.7;20;27.2;25;30.7;38;38.5;33.7;32.5;4.3141385845179805;52.05999232861627;81411;452954
13;013 Neherkade MP6 thv nr 2760;30.4;47.9;38.8;39;33.5;27;21.1;27.7;25.9;30.2;40;39;33.6;33.4;4.317402358667021;52.061936618497704;81638;453167
14;014 Neherkade MP7 thv nr 1850;28.5;42.4;32;34;28;22.5;18.2;22.9;21.6;29;36.8;38.5;30.5;29.6;4.322152188517045;52.06456841578623;81968;453455
15;015 Neherkade thv nr 1292-1308;26;41.9;34.6;40;31;25;20.1;28.3;24;29.5;25.6;35.6;29.5;30.1;4.326702593419115;52.066407214054166;82283;453655
16;016 Neherkade Gemaalstraat;34.9;41.9;34.6;40;32;28;22.2;29.1;25.9;33.5;41;36.6;35.6;33.5;4.330964699650149;52.06811740713658;82578;453841
17;017 Mercuriusweg;27;38.5;29.5;34;32;24.7;21.1;28.3;25;30.6;40;36;31.6;30.6;4.333359534076313;52.068615256264884;82743;453894
18;018 Rijswijkseweg;26;36.3;30.5;32;30.9;27;21.1;27.2;21.1;25.3;35.7;35;27.5;28.9;4.331910332959087;52.06327197288377;82635;453301
19;019 De Genestetlaan thv nr 202;26;39.6;33.6;32;30.9;28.1;24.4;26.2;22.1;26.4;35.7;33.9;26.5;29.6;4.322584614155333;52.05742627767247;81986;452660
20;020  Erasmusweg thv nr 471;30.9;41.9;27;37;33.2;28;23.3;27.2;24;31.6;40;36;29.5;31.5;4.300799403275394;52.05142060808173;80482;452014
21;021 Erasmusweg thv nr 717;32.9;43.8;36.8;41;34.3;28.1;26.7;26.2;30.3;31.6;38;37.1;33.6;33.9;4.29485603714735;52.04821955806304;80069;451664
22;022 Erasmusweg thv nr 1173;27;38.5;30.5;33;25.2;23;18.9;25;21.1;25.3;34.6;33.9;28.5;28;4.287085090457295;52.04408428406943;79529;451212
23;023 Dedemsvaartweg;30.9;40.8;32.5;33;27.5;20;15.1;0;20.2;26.4;36.8;35.6;28.5;28.9;4.2785143002079815;52.04110950420318;78936;450890
24;024 Loevesteinlaan thv nr 395;26;37.4;30.5;35;28.6;25;18.8;27.2;22.1;28.5;35.7;35;30.5;29.3;4.281830181122398;52.05027330982126;79179;451906
25;025 Hengelolaan thv nr 83;32.9;46.3;30.5;37;34;30.7;26.7;28.1;25;31.6;38.9;37.1;34.6;33.3;4.275686574819509;52.05108740265612;78759;452003
