FID,omschrij_3,opmerking,code,ngd_mv,ngd_lat,bag_dp_mv,bag_dp_lat,se_anno_cad_data,gdb_geomattr_data,shape
vakindeling_historie.1,Stortvak,KF Maasgeul,C5d,0,0,0,0,,,"POLYGON ((574293.4627 5765983.648600001, 574617.8784999996 5765603.555500001, 574237.7346999999 5765279.2852, 573913.3565999996 5765659.407299999, 574293.4627 5765983.648600001))"
vakindeling_historie.2,Stortvak,KF Maasgeul,C3c,0,0,0,0,,,"POLYGON ((573096.3529000003 5764305.6636, 573420.9353 5763925.3397, 573040.7116999999 5763601.0013, 572716.1462000003 5763981.3396000005, 573096.3529000003 5764305.6636))"
vakindeling_historie.3,Stortvak,KF Maasgeul,B2a,0,0,0,0,,,"POLYGON ((573040.7116999999 5763601.0013, 573365.0826000003 5763220.891000001, 572984.6797000002 5762896.4011, 572660.3095000004 5763276.510600001, 573040.7116999999 5763601.0013))"
vakindeling_historie.4,Stortvak,KF Maasgeul,B2c,0,0,0,0,,,"POLYGON ((572984.6797000002 5762896.4011, 573309.2451999998 5762516.0627, 572928.6578000002 5762191.4154, 572604.0461999997 5762571.714400001, 572984.6797000002 5762896.4011))"
vakindeling_historie.5,Stortvak,KF Maasgeul,B3b,0,0,0,0,,,"POLYGON ((574125.7265999997 5763869.7327, 574450.3088999996 5763489.4088, 574069.9061000003 5763164.9189, 573745.3236999996 5763545.242900001, 574125.7265999997 5763869.7327))"
vakindeling_historie.6,Stortvak,KF Maasgeul,B3c,0,0,0,0,,,"POLYGON ((573745.3236999996 5763545.242900001, 574069.9061000003 5763164.9189, 573689.6480999999 5762840.5526, 573365.0826000003 5763220.891000001, 573745.3236999996 5763545.242900001))"
vakindeling_historie.7,Stortvak,KF Maasgeul,B5a,0,0,0,0,,,"POLYGON ((575322.8808000004 5765547.737299999, 575647.2903000005 5765167.6515999995, 575266.8875000002 5764843.161699999, 574942.4786 5765223.2467, 575322.8808000004 5765547.737299999))"
vakindeling_historie.8,Stortvak,KF Maasgeul,B5b,0,0,0,0,,,"POLYGON ((575647.2903000005 5765167.6515999995, 575971.8903999999 5764787.342700001, 575591.4874999998 5764462.8528, 575266.8875000002 5764843.161699999, 575647.2903000005 5765167.6515999995))"
vakindeling_historie.9,Stortvak,KF Maasgeul,A3c,0,0,0,0,,,"POLYGON ((574394.4884000001 5762784.594900001, 574544.8090000004 5762608.4593, 574532.8622000003 5762595.481000001, 574474.1797000002 5762529.974199999, 574416.6793999998 5762462.9748, 574360.3058000002 5762394.980799999, 574271.3046000004 5762287.467599999, 574237.7917999998 5762248.310900001, 574216.3863000004 5762223.3005, 574014.2134999996 5762460.214299999, 574394.4884000001 5762784.594900001))"
vakindeling_historie.10,Stortvak,KF Maasgeul,A4d,0,0,0,0,,,"POLYGON ((574830.7117999997 5763813.898600001, 575155.2940999996 5763433.5747, 574774.8913000003 5763109.084799999, 574450.3088999996 5763489.4088, 574830.7117999997 5763813.898600001))"
vakindeling_historie.11,Stortvak,KF Maasgeul,A5d,0,0,0,0,,,"POLYGON ((575591.4874999998 5764462.8528, 575916.0875000004 5764082.544, 575535.7982000001 5763758.150900001, 575211.2342999997 5764138.490599999, 575591.4874999998 5764462.8528))"
vakindeling_historie.12,Stortvak,KF Maasgeul,E3b,0,0,0,0,,,"POLYGON ((572939.8585000001 5766800.199899999, 573264.4223999996 5766419.860200001, 572883.7915000003 5766095.1701, 572559.2092000004 5766475.494100001, 572939.8585000001 5766800.199899999))"
vakindeling_historie.13,Stortvak,KF Maasgeul,D1a,0,0,0,0,,,"POLYGON ((571742.8373999996 5765121.9004, 572067.2072999999 5764741.791200001, 571686.8066999996 5764417.298699999, 571362.4374000002 5764797.407199999, 571742.8373999996 5765121.9004))"
vakindeling_historie.14,Stortvak,KF Maasgeul,D2c,0,0,0,0,,,"POLYGON ((572447.3788000001 5765066.088300001, 572771.9611 5764685.7643, 572391.7728000004 5764361.4529, 572067.2072999999 5764741.791200001, 572447.3788000001 5765066.088300001))"
vakindeling_historie.15,Stortvak,KF Maasgeul,D3b,0,0,0,0,,,"POLYGON ((573588.7927999999 5766039.7469999995, 573913.3565999996 5765659.407299999, 573532.7622999996 5765334.749399999, 573208.1798999999 5765715.0734, 573588.7927999999 5766039.7469999995))"
vakindeling_historie.16,Stortvak,KF Maasgeul,D3c,0,0,0,0,,,"POLYGON ((573208.1798999999 5765715.0734, 573532.7622999996 5765334.749399999, 573152.3617000002 5765010.256899999, 572827.7794000003 5765390.580800001, 573208.1798999999 5765715.0734))"
vakindeling_historie.17,Stortvak,KF Maasgeul,D5a,0,0,0,0,,,"POLYGON ((574785.4351000004 5767717.331800001, 575109.8476999998 5767337.2502, 574729.6639 5767012.942600001, 574405.2555999998 5767393.026699999, 574785.4351000004 5767717.331800001))"
vakindeling_historie.18,Stortvak,KF Maasgeul,C1a,0,0,0,0,,,"POLYGON ((571630.6963999998 5763712.232999999, 571955.2840999998 5763332.309, 571825.8525999999 5763221.9013, 571584.8881000001 5763673.157299999, 571630.6963999998 5763712.232999999))"
vakindeling_historie.19,Stortvak,KF Maasgeul,C2d,0,0,0,0,,,"POLYGON ((572011.3722000001 5764036.9604, 572335.744 5763656.848999999, 571955.2840999998 5763332.309, 571630.6025 5763712.152899999, 572011.3722000001 5764036.9604))"
vakindeling_historie.20,Stortvak,KF Maasgeul,C3d,0,0,0,0,,,"POLYGON ((572771.9611 5764685.7643, 573096.3529000003 5764305.6636, 572716.1462000003 5763981.3396000005, 572391.7728000004 5764361.4529, 572771.9611 5764685.7643))"
vakindeling_historie.21,Stortvak,KF Maasgeul,B3d,0,0,0,0,,,"POLYGON ((573420.9353 5763925.3397, 573745.3236999996 5763545.242900001, 573365.0826000003 5763220.891000001, 573040.7116999999 5763601.0013, 573420.9353 5763925.3397))"
vakindeling_historie.22,Stortvak,KF Maasgeul,B5c,0,0,0,0,,,"POLYGON ((575266.8875000002 5764843.161699999, 575591.4874999998 5764462.8528, 575211.2342999997 5764138.490599999, 574886.6705 5764518.830399999, 575266.8875000002 5764843.161699999))"
vakindeling_historie.23,Stortvak,KF Maasgeul,A2b,0,0,0,0,,,"POLYGON ((574014.2134999996 5762460.214299999, 574216.3863000004 5762223.3005, 574199.7148000002 5762203.8214, 574190.4265000001 5762192.968800001, 574184.4307000004 5762185.963400001, 574095.7445 5762086.4626, 574005.4302000003 5761988.4713, 573962.7450000001 5761948.965399999, 573921.3693000004 5761923.4748, 573859.6842999998 5761880.9690000005, 573855.7094999999 5761875.694800001, 573633.8107000003 5762135.724400001, 574014.2134999996 5762460.214299999))"
vakindeling_historie.24,Stortvak,KF Maasgeul,A4c,0,0,0,0,,,"POLYGON ((575155.2940999996 5763433.5747, 575284.4046999998 5763282.2915, 575266.4393999996 5763263.323899999, 575225.3591 5763219.9519, 575170.0515999999 5763159.463300001, 575132.1739999996 5763116.458000001, 575067.9901999999 5763045.956599999, 575034.9905000003 5763011.4575, 575001.3646 5762977.4692, 574957.8711999999 5762935.827199999, 574938.7010000004 5762917.1435, 574774.8913000003 5763109.084799999, 575155.2940999996 5763433.5747))"
vakindeling_historie.25,Stortvak,Vak,100,0,0,0,0,,,"POLYGON ((572842.7589999996 5778473.347999999, 572852.3088999996 5778978.3138, 573354.3951000003 5778968.8236, 573344.835 5778463.8577, 572842.7589999996 5778473.347999999))"
vakindeling_historie.26,Stortvak,Vak,101,0,0,0,0,,,"POLYGON ((573344.835 5778463.8577, 573354.3951000003 5778968.8236, 573856.4813000001 5778959.3343, 573846.9212999996 5778454.3675999995, 573344.835 5778463.8577))"
vakindeling_historie.27,Stortvak,Vak,102,0,0,0,0,,,"POLYGON ((573846.9212999996 5778454.3675999995, 573856.4813000001 5778959.3343, 574358.5676999995 5778949.8442, 574348.9983000001 5778444.8774, 573846.9212999996 5778454.3675999995))"
vakindeling_historie.28,Stortvak,Vak,103,0,0,0,0,,,"POLYGON ((574348.9983000001 5778444.8774, 574358.5676999995 5778949.8442, 574860.6547999997 5778940.354, 574851.0743000004 5778435.3872, 574348.9983000001 5778444.8774))"
vakindeling_historie.29,Stortvak,Vak,104,0,0,0,0,,,"POLYGON ((574851.0743000004 5778435.3872, 574860.6547999997 5778940.354, 575362.7411000002 5778930.853599999, 575353.1502999999 5778425.887700001, 574851.0743000004 5778435.3872))"
vakindeling_historie.30,Stortvak,Vak,105,0,0,0,0,,,"POLYGON ((575353.1502999999 5778425.887700001, 575362.7411000002 5778930.853599999, 575864.8272000002 5778918.4838, 575855.2366000004 5778416.397500001, 575353.1502999999 5778425.887700001))"
vakindeling_historie.31,Stortvak,Stortvak Queen,H,0,0,0,0,,,"POLYGON ((602779.5632999996 5818670.933599999, 602697.8179000001 5818166.18, 602066.6195999999 5818269.918500001, 602150.4008999998 5818776.9584, 602779.5632999996 5818670.933599999))"
vakindeling_historie.32,Stortvak,KF Maasgeul,D2b,0,0,0,0,,,"POLYGON ((572827.7794000003 5765390.580800001, 573152.3617000002 5765010.256899999, 572771.9611 5764685.7643, 572447.3788000001 5765066.088300001, 572827.7794000003 5765390.580800001))"
vakindeling_historie.33,Stortvak,KF Maasgeul,D2d,0,0,0,0,,,"POLYGON ((572122.9914999995 5765446.183700001, 572447.3788000001 5765066.088300001, 572067.2072999999 5764741.791200001, 571742.8373999996 5765121.9004, 572122.9914999995 5765446.183700001))"
vakindeling_historie.34,Stortvak,KF Maasgeul,B1b,0,0,0,0,,,"POLYGON ((572604.0461999997 5762571.714400001, 572928.6578000002 5762191.4154, 572549.0354000004 5761867.5912999995, 572307.9259000001 5762319.119000001, 572604.0461999997 5762571.714400001))"
vakindeling_historie.35,Stortvak,KF Maasgeul,B3a,0,0,0,0,,,"POLYGON ((573801.3373999996 5764249.830399999, 574125.7265999997 5763869.7327, 573745.3236999996 5763545.242900001, 573420.9353 5763925.3397, 573801.3373999996 5764249.830399999))"
vakindeling_historie.36,Stortvak,KF Maasgeul,A2c,0,0,0,0,,,"POLYGON ((573633.8107000003 5762135.724400001, 573855.7094999999 5761875.694800001, 573843.983 5761860.135, 573818.6206999999 5761826.4815, 573780.4331999999 5761767.4625, 573744.3059999999 5761706.979499999, 573710.3691999996 5761645.4746, 573678.5592999998 5761582.9767, 573585.2481000004 5761424.4662, 573254.2205999997 5761811.9278, 573633.8107000003 5762135.724400001))"
vakindeling_historie.37,Stortvak,KF Maasgeul,A2a,0,0,0,0,,,"POLYGON ((573689.6480999999 5762840.5526, 574014.2134999996 5762460.214299999, 573633.8107000003 5762135.724400001, 573309.2451999998 5762516.0627, 573689.6480999999 5762840.5526))"
vakindeling_historie.38,Stortvak,KF Maasgeul,A1d,0,0,0,0,,,"POLYGON ((572549.0379999997 5761867.5864, 572873.8175999997 5761487.4377999995, 572790.1448999997 5761416.0637, 572549.0379999997 5761867.5864))"
vakindeling_historie.39,Stortvak,KF Maasgeul,A3d,0,0,0,0,,,"POLYGON ((574069.9061000003 5763164.9189, 574394.4884000001 5762784.594900001, 574014.2134999996 5762460.214299999, 573689.6480999999 5762840.5526, 574069.9061000003 5763164.9189))"
vakindeling_historie.40,Stortvak,KF Maasgeul,A4a,0,0,0,0,,,"POLYGON ((575211.2342999997 5764138.490599999, 575535.7982000001 5763758.150900001, 575155.2940999996 5763433.5747, 574830.7117999997 5763813.898600001, 575211.2342999997 5764138.490599999))"
vakindeling_historie.41,Stortvak,KF Maasgeul,A5a,0,0,0,0,,,"POLYGON ((575971.8903999999 5764787.342700001, 576296.4903999995 5764407.0339, 575916.0875000004 5764082.544, 575591.4874999998 5764462.8528, 575971.8903999999 5764787.342700001))"
vakindeling_historie.42,Stortvak,KF Maasgeul,E1b,0,0,0,0,,,"POLYGON ((571418.2719 5765502.238700001, 571742.8373999996 5765121.9004, 571362.4374000002 5764797.407199999, 571037.8718999997 5765177.7456, 571418.2719 5765502.238700001))"
vakindeling_historie.43,Stortvak,KF Maasgeul,E3d,0,0,0,0,,,"POLYGON ((572234.8227000004 5766855.5886, 572559.2092000004 5766475.494100001, 572178.8092 5766151.0009, 571854.4232999999 5766531.0945999995, 572234.8227000004 5766855.5886))"
vakindeling_historie.44,Stortvak,KF Maasgeul,E5c,0,0,0,0,,,"POLYGON ((574080.6556000002 5767773.3356, 574405.2555999998 5767393.026699999, 574024.8556000004 5767068.533600001, 573700.2555 5767448.842499999, 574080.6556000002 5767773.3356))"
vakindeling_historie.45,Stortvak,KF Maasgeul,E5d,0,0,0,0,,,"POLYGON ((573756.2485999996 5768153.418400001, 574080.6556000002 5767773.3356, 573700.2555 5767448.842499999, 573375.8492 5767828.9244, 573756.2485999996 5768153.418400001))"
vakindeling_historie.46,Stortvak,KF Maasgeul,C4c,0,0,0,0,,,"POLYGON ((573857.1573000001 5764954.645, 574181.7396 5764574.3211, 573801.3373999996 5764249.830399999, 573476.7550999997 5764630.1543000005, 573857.1573000001 5764954.645))"
vakindeling_historie.47,Stortvak,KF Maasgeul,C5c,0,0,0,0,,,"POLYGON ((574617.8784999996 5765603.555500001, 574942.4786 5765223.2467, 574562.2984999996 5764898.9454, 574237.7346999999 5765279.2852, 574617.8784999996 5765603.555500001))"
vakindeling_historie.48,Stortvak,KF Maasgeul,C3b,0,0,0,0,,,"POLYGON ((573476.7550999997 5764630.1543000005, 573801.3373999996 5764249.830399999, 573420.9353 5763925.3397, 573096.3529000003 5764305.6636, 573476.7550999997 5764630.1543000005))"
vakindeling_historie.49,Stortvak,KF Maasgeul,B5d,0,0,0,0,,,"POLYGON ((574942.4786 5765223.2467, 575266.8875000002 5764843.161699999, 574886.6705 5764518.830399999, 574562.2984999996 5764898.9454, 574942.4786 5765223.2467))"
vakindeling_historie.50,Stortvak,KF Maasgeul,A1a,0,0,0,0,,,"POLYGON ((572928.6578000002 5762191.4154, 573254.2205999997 5761811.9278, 572873.8175999997 5761487.4377999995, 572549.0354000004 5761867.5912999995, 572928.6578000002 5762191.4154))"
vakindeling_historie.51,Stortvak,KF Maasgeul,A1b,0,0,0,0,,,"POLYGON ((573254.2205999997 5761811.9278, 573585.2481000004 5761424.4662, 573568.3241999997 5761404.097999999, 573495.9336000001 5761316.9745000005, 573408.2472000001 5761239.4811, 573338.3724999996 5761194.4871, 573251.0593999997 5761152.4835, 573194.6843999997 5761129.178099999, 573183.7562999995 5761124.6603999995, 572873.8175999997 5761487.4377999995, 573254.2205999997 5761811.9278))"
vakindeling_historie.52,Stortvak,KF Maasgeul,A4b,0,0,0,0,,,"POLYGON ((575535.7982000001 5763758.150900001, 575658.6666000001 5763614.1677, 575634.3701999998 5763590.828, 575579.8568000002 5763538.460999999, 575532.1749999998 5763503.448000001, 575403.1127000004 5763400.4627, 575339.1111000003 5763337.9691, 575293.7611999996 5763291.733899999, 575284.4046999998 5763282.2915, 575155.2940999996 5763433.5747, 575535.7982000001 5763758.150900001))"
