FID,strooknaam,vliegdatum,shape_leng,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wadden_2015.1,L0001_1_r,2015-10-03T00:00:00,6932.25854191,,,"LINESTRING (113019.10889999941 552456.8757999986, 116195.74309999868 546295.2848000005)"
vlieglijnen_wadden_2015.2,L0002_1_r,2015-10-03T00:00:00,7993.42056032,,,"LINESTRING (113485.2965000011 552653.1768000014, 117147.51579999924 545548.0432999991)"
vlieglijnen_wadden_2015.3,L0003_1_r,2015-10-03T00:00:00,8368.93490629,,,"LINESTRING (113932.12680000067 552896.0810999982, 117760.68279999867 545454.2245000005)"
vlieglijnen_wadden_2015.4,L0004_1_r,2015-10-03T00:00:00,9376.4606161,,,"LINESTRING (114358.12860000134 553133.5461000018, 118650.79699999839 544797.4193000011)"
vlieglijnen_wadden_2015.5,L0005_1_r,2015-10-03T00:00:00,16963.6491814,,,"LINESTRING (112645.40639999881 557536.8440000005, 120411.59079999849 542455.3396000005)"
vlieglijnen_wadden_2015.6,L0006_1_r,2015-10-03T00:00:00,16956.9191357,,,"LINESTRING (113101.0278000012 557713.7173000015, 120875.69139999896 542644.1548000015)"
vlieglijnen_wadden_2015.7,L0007_1_r,2015-10-03T00:00:00,16980.1445973,,,"LINESTRING (113523.72679999843 558020.6539999992, 121293.12049999833 542922.2490999997)"
vlieglijnen_wadden_2015.8,L0008_1_r,2015-10-03T00:00:00,17016.5819463,,,"LINESTRING (113928.27549999952 558294.6854999997, 121718.69310000166 543166.1213000007)"
vlieglijnen_wadden_2015.9,L0009_1_r,2015-10-03T00:00:00,16994.7323012,,,"LINESTRING (114316.47560000047 558625.8993999995, 122121.50549999997 543529.4615999982)"
vlieglijnen_wadden_2015.10,L0010_1_r,2015-10-03T00:00:00,17425.4454136,,,"LINESTRING (114619.7285999991 559131.2818999998, 122601.78489999846 543641.5135000013)"
vlieglijnen_wadden_2015.11,L0011_1_r,2015-10-03T00:00:00,17440.6230738,,,"LINESTRING (114966.39290000126 559564.3753000014, 122962.83249999955 544064.9466000013)"
vlieglijnen_wadden_2015.12,L0012_1_r,2015-10-03T00:00:00,17447.1330792,,,"LINESTRING (115383.24179999903 559854.5122999996, 123363.33480000123 544339.3399999999)"
vlieglijnen_wadden_2015.13,L0013_1_r,2015-10-03T00:00:00,17907.2240501,,,"LINESTRING (115669.8145999983 560420.6909000017, 123867.98000000045 544500.3027999997)"
vlieglijnen_wadden_2015.14,L0014_1_r,2015-10-11T00:00:00,18109.2650684,,,"LINESTRING (116007.57889999822 560809.1372999996, 124301.32840000093 544710.7149999999)"
vlieglijnen_wadden_2015.15,L0015_1_r,2015-10-11T00:00:00,18499.9832313,,,"LINESTRING (116284.22030000016 561369.8234999999, 124763.21860000119 544927.318599999)"
vlieglijnen_wadden_2015.16,L0016_1_r,2015-10-11T00:00:00,18031.0852281,,,"LINESTRING (116899.85410000011 561271.450100001, 125160.87180000171 545244.1103000008)"
vlieglijnen_wadden_2015.17,L0017_1_r,2015-10-11T00:00:00,17960.0010398,,,"LINESTRING (117367.80590000004 561449.8867999986, 125590.13329999894 545482.5773000009)"
vlieglijnen_wadden_2015.18,L0018_1_r,2015-10-11T00:00:00,17538.4666641,,,"LINESTRING (117998.26089999825 561303.1658000015, 126038.06689999998 545716.0128999986)"
vlieglijnen_wadden_2015.19,L0019_1_r,2015-10-11T00:00:00,18013.6139017,,,"LINESTRING (118199.4386 562015.550999999, 126453.98680000007 546004.5322999991)"
vlieglijnen_wadden_2015.20,L0020_1_r,2015-10-11T00:00:00,18091.6857112,,,"LINESTRING (118594.81100000069 562338.4497999996, 126882.0513000004 546256.4492999986)"
vlieglijnen_wadden_2015.21,L0021_1_r,2015-10-11T00:00:00,18514.1474878,,,"LINESTRING (118837.09079999849 562954.0410000011, 127325.73600000143 546500.5744999982)"
vlieglijnen_wadden_2015.22,L0022_1_r,2015-10-11T00:00:00,19035.2357251,,,"LINESTRING (119088.54030000046 563572.3517999984, 127803.12449999899 546649.1068000011)"
vlieglijnen_wadden_2015.23,L0023_1_r,2015-10-11T00:00:00,19516.6897314,,,"LINESTRING (119222.53060000017 564400.621100001, 128164.18430000171 547052.7679999992)"
