OBJECTID,BORNAME,ELEMENTNUMMER,BEHEERGROEP,AANLEGJAAR,SCHOUWVAK,PEILGEBIED,OPPERVLAK,AMBITIENIVEAU,STRUCTUURGEBIED,BESCHOEIING,BEHEERDER,EIGENAAR,ONDERHOUDSPLOEG,FUNCTIE,AANWIJINGEN_UITVOERING,STRUCTUURNIVEAU,BEGROTINGSPOST,BESTEMMING,OPMERKINGEN,EXTRA_INFORMATIE_1,EXTRA_INFORMATIE_2,EXTRA_INFORMATIE_3,GROENGEBIEDCODE,GROENGEBIEDNAAM,GEMEENTE,WOONPLAATS,BUURT,WIJK,STRAAT,STRAATCODE,LIGGING,BEHEEROBJECTSOORT,BEHEEROBJECTOMSCHRIJVING,LAATSTE_MUTATIE,Shape__Area,Shape__Length
1,wateren,11597,Water niet maaien,,,,1680.31,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.11.0001.0448,1 zijdig maaien,,01.11.0001,Centrum-noord,Delft,Delft,Centrum-Noord,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0001.wr11597,"12 january   2022, 14:44:25",4430.26342773438,1349.79429553902
2,wateren,11963,Water niet maaien,,,,148.68,B (voldoende) - R (basis),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,2 zijdig maaien,,01.11.0001,Centrum-noord,Delft,Delft,Centrum-Noord,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0001.wr11963,"11 february  2022, 13:13:24",391.993896484375,97.6184498141791
3,wateren,3902,Water niet maaien,,,,17.42,B (voldoende) - R (basis),,,BOR,Gemeente Delft,,,,Perceel 1,,,,-,,,01.11.0001,Centrum-noord,Delft,Delft,Centrum-Noord,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0001.wr3902,"12 january   2022, 14:44:26",45.931396484375,27.0006014473172
4,wateren,11853,Water niet maaien,,,,82.44,B (voldoende) - R (basis),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,1 zijdig maaien,,01.11.0000,Bedrijventerrein Wateringseweg,Delft,Delft,Bedrijventerrein Wateringseweg,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0000.wr11853,"12 january   2022, 14:44:25",217.327880859375,134.695049750035
5,wateren,11852,Water niet maaien,,,,82,B (voldoende) - R (basis),,,HH-schap Delfland,Gemeente Delft,,,,Perceel 1,,,,,1 zijdig maaien,,01.11.0000,Bedrijventerrein Wateringseweg,Delft,Delft,Bedrijventerrein Wateringseweg,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0000.wr11852,"12 january   2022, 14:44:25",216.157470703125,122.142702339317
6,wateren,11936,Water niet maaien,,,,1082.87,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.13.0001.0935,1 zijdig maaien,,01.13.0008,Park - Agnetapark,Delft,Delft,Agnetaparkbuurt,13 Hof van Delft,Van Foreestweg,1511,Binnen de bebouwde kom,wtr,01.13.0008.wr11936,"12 january   2022, 14:44:25",2854.39868164063,486.107994124283
7,wateren,11934,Water niet maaien,,,,2889.67,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.13.0001.0476,2 zijdig maaien,,01.13.0008,Park - Agnetapark,Delft,Delft,Agnetaparkbuurt,13 Hof van Delft,Van Foreestweg,1511,Binnen de bebouwde kom,wtr,01.13.0008.wr11934,"12 january   2022, 14:44:25",7617.48681640625,426.871208544014
8,wateren,11962,Water niet maaien,,,,432.18,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.11.0001.0447,2 zijdig maaien,,01.11.0001,Centrum-noord,Delft,Delft,Centrum-Noord,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0001.wr11962,"12 january   2022, 14:44:25",1139.45336914063,418.613593641831
9,wateren,1,Water niet maaien,,,,1232.16,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.13.0001.0359,2 zijdig maaien,,01.13.0001,Agnetaparkbuurt,Delft,Delft,Agnetaparkbuurt,13 Hof van Delft,Van Foreestweg,1511,Binnen de bebouwde kom,wtr,01.13.0001.wr1,"12 january   2022, 14:44:25",3247.9033203125,324.449846925332
10,wateren,11851,Water niet maaien,,,,356.68,B (voldoende) - R (basis),,,HH-schap Delfland,,,,,Perceel 1,,,,01.11.0000.0009,2 zijdig maaien,Louis - Eigendomsgrenzen,01.11.0000,Bedrijventerrein Wateringseweg,Delft,Delft,Bedrijventerrein Wateringseweg,11 Binnenstad,Nieuwe Plantage,3689,Binnen de bebouwde kom,wtr,01.11.0000.wr11851,"12 january   2022, 14:44:25",940.492919921875,274.827417555279
