OBJECTID,PUIC,NAAM,VOLTAGE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,X,Y,LATITUDE,LONGITUDE
1,aa45cbd6-7a74-4cfe-bf87-e6f9eaefd6d9,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,3.195254,"3,195254",0.085677,"0,085677",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,197700.141,470128.941,52.2175926,6.01204292
2,2ee11f96-7fa8-4687-af68-4a0fcaaf81b6,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.578465,"88,578465",-6.945825,"-6,945825",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,195269.392,469161.979,52.20908496,5.97636014
3,39a83898-2920-4a24-8669-36c82315d610,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.073718,"88,073718",34.559283,"34,559283",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,194763.127,469150.759,52.20902085,5.96895233
4,c5eb9275-4df0-4d87-b40a-e78846244855,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,89.083747,"89,083747",-28.907049,"-28,907049",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,195773.734,469170.348,52.20912313,5.98373949
5,82b4b236-ff75-4150-ada5-e100d9476dd9,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,1.905132,"1,905132",0.403565,"0,403565",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,196557.066,469532.231,52.21231706,5.99524375
6,37a8c130-08b9-4d4d-ae42-73f8e3113411,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,3.727413,"3,727413",0.423624,"0,423624",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,198168.904,470380.548,52.21981739,6.01893411
7,4a795151-f462-44fd-ab0d-1403d4159fb4,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,87.925222,"87,925222",4.425805,"4,425805",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,194615.975,469187.161,52.2093586,5.96680381
8,335ad5cd-7a8c-49fc-bdf5-04b5baad8a65,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,2.500367,"2,500367",0.034561,"0,034561",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,197084.143,469807.538,52.21475138,6.00298945
9,b60356d8-df88-4123-a388-b7509e875caf,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.684038,"88,684038",-4.81929,"-4,819290",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,195374.816,469156.113,52.20902454,5.97790176
10,6f3cda98-0f5a-48e6-8373-8234e3f202c0,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,2.845549,"2,845549",0.052056,"0,052056",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,197390.143,469967.377,52.21616448,6.00748668
11,3cd1e75b-fcb0-46cb-a55c-16005c72847a,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,3.858439,"3,858439",-0.169527,"-0,169527",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,198279.857,470450.37,52.2204362,6.02056662
12,7525e383-b04e-4a94-8c2a-2de742d2adfe,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,1.160169,"1,160169",-0.297305,"-0,297305",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,195889.867,469200.61,52.20938651,5.98544213
13,6a91bdf2-9e64-4d7d-afd8-a575104acb72,,Onbekend,Apd-Dv,Apeldoorn - Deventer ,023,,23,023__,Apeldoorn - Deventer,2.985055,"2,985055",0.174678,"0,174678",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,197514.042,470031.921,52.21673503,6.00930766
14,a16eeb9f-b122-4e6a-aa2a-b8212cabe9b2,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.641858,"88,641858",15.670271,"15,670271",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,195331.939,469136.898,52.20885498,5.97727219
15,796806e4-9bca-4c36-8ef0-30d31e604d4b,,Onbekend,Asd-Zp,Amsterdam Centraal - Zutphen ,608,b,608,608_b,Apeldoorn,88.13369,"88,133690",10.395973,"10,395973",ProRail,Noord-Oost,NO,BVL,Veluwe,430,IJsselstreek,31,Strukton Rail,194824.24,469171.85,52.209206,5.96984887
