ELEMENTNUMMER,SRT_NAAM,Nederlandse naam,HOOGTE,DIAMETER,AANLEGJAAR,STANDPLAATS,BOOMVORM,EIGENDOM,EINDBEELD,STATUS,COORD_X,COORD_Y,longitude,latitude
"01-03-056-0530","Populus nigra 'Italica'","Italiaanse populier","6","14","1985","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105129.518","424874.912","4.66437083920312","51.811216603111"
"01-03-241-0910","Acer platanoides 'Globosum'","Bolesdoorn","4","15","1990","BEPLANTING","Knotboom","Gemeente Dordrecht","Vormboom","Bomenlijst","104696.433","424807.181","4.65810018225729","51.8105688948085"
"00-01-336-0230","Tilia x europaea 'Euchlora'","Krimlinde","16","50","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 4/6 beide zijde verschil.","Bomenlijst","104860.813","425343.714","4.66040614860257","51.8154065020555"
"01-05-426-0080","Ulmus minor","Gladde iep","13","30","1975","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105745.515","425622.108","4.6731974846323","51.8179877714967"
"01-05-426-0030","Crataegus monogyna","Eenstijlige meidoorn","6","20","1975","VERHARDING","","Gemeente Dordrecht","Takvrije stam 2m rondom","Bomenlijst","105765.725","425674.457","4.67348315442418","51.818460113447"
"01-05-601-0060","Acer saccharinum","zilveresdoorn","13","40","1985","BEPLANTING","","Gemeente Dordrecht","Takvrije stam 8m rondom","Bomenlijst en -structuur","106148.686","424801.432","4.6791610582473","51.8106462833118"
"01-03-056-0560","Populus nigra 'Italica'","Italiaanse populier","11","13","1985","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 4m rondom","Bomenlijst","105128.353","424871.268","4.66435446999887","51.8111837471436"
"01-03-396-0400","Robinia pseudoacacia 'Bessoniana'","Witte acacia","15","40","1975","VERHARDING","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","105625.259","425038.394","4.67153665822107","51.8127302185166"
"00-01-336-0260","Tilia x europaea 'Euchlora'","Krimlinde","15","40","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","104946.43","425338.921","4.66164856018642","51.8153711082637"
"00-01-336-0270","Tilia x europaea 'Euchlora'","Krimlinde","15","40","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","104940.409","425341.187","4.66156090855569","51.8153909366235"
"00-01-336-0040","Tilia x europaea 'Euchlora'","Krimlinde","15","45","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","104927.19","425347.071","4.66136833899669","51.8154426403931"
"00-01-336-0250","Tilia x europaea 'Euchlora'","Krimlinde","15","45","1970","GRAS INTENSIEF","","Gemeente Dordrecht","Takvrije stam 6m rondom","Bomenlijst","104920.877","425349.906","4.66127636974705","51.8154675569745"
"00-01-336-0090","Tilia x europaea","Hollandse linde","6","25","1970","GRAS INTENSIEF","Leiboom","Gemeente Dordrecht","Vormboom","Bomenlijst","104902.821","425337.38","4.66101631545649","51.8153533413605"
