FID,length,br_links,br_rechts,vliegdatum,filenaam,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2008.1,935.946,48.40000153,-48.70000076,21 april 2008,ameland_02,,,"LINESTRING (173136.9219999984 609483.688000001, 172202.1409999989 609437)"
vlieglijnen_kust_2008.2,2203.481,134.19999695,-194.8999939,21 april 2008,ameland_03,,,"LINESTRING (173874.9059999995 609347.813000001, 171672.1559999995 609291.061999999)"
vlieglijnen_kust_2008.3,4289.928,193,-223.6000061,21 april 2008,ameland_04,,,"LINESTRING (175613.438000001 609122.313000001, 171323.6559999995 609086.875)"
vlieglijnen_kust_2008.4,21532.174,185.19999695,-211.3999939,21 april 2008,ameland_06,,,"LINESTRING (192610.9059999995 609408.25, 171086.438000001 608832.25)"
vlieglijnen_kust_2008.5,22595.197,178.69999695,-211.69999695,21 april 2008,ameland_07,,,"LINESTRING (193424.8280000016 609294.813000001, 170841.2030000016 608571.75)"
vlieglijnen_kust_2008.6,23071.381,189.3999939,-198.69999695,21 april 2008,ameland_08,,,"LINESTRING (193666.4840000011 609091.938000001, 170607.8440000005 608325.313000001)"
vlieglijnen_kust_2008.7,23426.393,185.5,-213.69999695,21 april 2008,ameland_09,,,"LINESTRING (193775.4219999984 608863.125, 170362.7809999995 608060.561999999)"
vlieglijnen_kust_2008.8,23699.025,193.30000305,-200.5,21 april 2008,ameland_10,,,"LINESTRING (193791.5 608627.311999999, 170105.9690000005 607827.688000001)"
vlieglijnen_kust_2008.9,23877.701,189.6000061,-191.80000305,21 april 2008,ameland_11,,,"LINESTRING (193797.0940000005 608384, 169933.2969999984 607569.25)"
vlieglijnen_kust_2008.10,1322.271,202.1000061,-194.30000305,21 april 2008,ameland_12,,,"LINESTRING (193767.563000001 608185.811999999, 192448.5309999995 608093.313000001)"
vlieglijnen_kust_2008.11,2716.225,203.69999695,-194.3999939,21 april 2008,ameland_13,,,"LINESTRING (193665.7969999984 607934, 190953.375 607790.313000001)"
vlieglijnen_kust_2008.12,906.421,187.8999939,-227.3999939,23 april 2008,ameland_14,,,"LINESTRING (193403.8280000016 607837.186999999, 192537.875 607569.375)"
vlieglijnen_kust_2008.13,2997.528,179.6000061,-183.1000061,27 maart 2008,ameland_ar4_01,,,"LINESTRING (172715.7969999984 606078.625, 170344.6559999995 607912.436999999)"
vlieglijnen_kust_2008.14,4504.245,207.69999695,-193.30000305,29 maart 2008,ameland_ar4_02,,,"LINESTRING (173733.4219999984 604982.125, 170180.2030000016 607750.311999999)"
vlieglijnen_kust_2008.15,5386.016,190.19999695,-192.8999939,27 maart 2008,ameland_ar4_03,,,"LINESTRING (174275.0309999995 604244.813000001, 170019.4840000011 607546.25)"
vlieglijnen_kust_2008.16,6394.687,206,-194.30000305,27 maart 2008,ameland_ar4_04,,,"LINESTRING (174918.9059999995 603428.061999999, 169890.9219999984 607379.188000001)"
vlieglijnen_kust_2008.17,5424.81,187.80000305,-185.30000305,27 maart 2008,ameland_ar4_05,,,"LINESTRING (174067.063000001 603802, 169777.0159999989 607122.25)"
vlieglijnen_kust_2008.18,6012.112,216.69999695,-193,27 maart 2008,ameland_ar4_06,,,"LINESTRING (174469.3590000011 603196.313000001, 169722.7969999984 606886.25)"
vlieglijnen_kust_2008.19,4682.545,191.69999695,-247.5,27 maart 2008,ameland_ar4_07,,,"LINESTRING (173446.8440000005 603674.5, 169750.6719999984 606549.313000001)"
vlieglijnen_kust_2008.20,5520.084,203,-230.1000061,27 maart 2008,ameland_ar4_08,,,"LINESTRING (174268.7659999989 602759.436999999, 169903.4219999984 606138.063000001)"
vlieglijnen_kust_2008.21,3671.763,145.3999939,-85.59999847,27 maart 2008,ameland_ar4_09,,,"LINESTRING (173158.9059999995 603436.875, 170243.188000001 605668.561999999)"
vlieglijnen_kust_2008.22,1330.413,87.5,-122.09999847,23-4-2008,n_holland_ar13_01,,,"LINESTRING (109136.4299999997 543721.125, 108936.1409999989 542405.875)"
vlieglijnen_kust_2008.23,9383.5,142.19999695,-240.8999939,23-4-2008,n_holland_ar13_02,,,"LINESTRING (109914.22700000182 551497, 109110.31300000101 542148)"
vlieglijnen_kust_2008.24,11516.311,696.59997559,-605.40002441,23-4-2008,n_holland_ar13_03,,,"LINESTRING (109127.0309999995 540441.25, 110116.9299999997 551914.938000001)"
vlieglijnen_kust_2008.25,8140.82,196.8999939,-207,23-4-2008,n_holland_ar13_04,,,"LINESTRING (109679.47700000182 543784, 110304.2190000005 551900.813000001)"
vlieglijnen_kust_2008.26,2714.144,311.70001221,-212.5,25-4-2008,n_holland_ar14_02,,,"LINESTRING (105729.4690000005 532293.5, 105195 529632.5)"
