Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
1848 B.V.;;1;;;;;1
A Langedijk;;;;;;1;1
A. Speelman;;;;;;1;1
A.F.A. Booden;;;;;;1;1
A.N. Teesing;;;;;;1;1
A.P.F. Toonen Beheer B.V.;;1;;;;;1
ABCourant N.V.;;;;;;1;1
ABF Research B.V.;;2;;;;;2
Abonnementenland;;1;;;;;1
Ad Hosman Bloemsierkunst;;;;1;;;1
AD Nieuwsmedia BV;;1;;;;;1
Adfo Groep B.V.;;1;;;;;1
Adinda van Wely;;;;;1;;1
Aerophoto-Schiphol.nl;;;;;;1;1
AG Connect B.V.;;1;;;;;1
Ageeth vd Veen Journalistiek;;;;;;1;1
Aleixandre painting conservation;;;;;;1;1
Alpina;;;;1;;;1
Amazon Web Services Netherlands B.V.;;1;;;;;1
Amigoe-e NV;;;;;;1;1
Anne Reitsma Fotografie;;;;;;1;1
ANP ALG NED PERSBUREAU STG;;1;;;;1;1
"Antiquariaat ""De Vrije Heerlijkheid""";;1;;;;;1
Antiquariaat 'Het Kofschip';;1;;;;;1
Antratek Electronics;;;;;;1;1
Aon Risk Solutions;;;;;;1;1
Aoulad El Baktit, F.;;1;;;;;1
Architect Andr� Hoek;;;;;;1;1
Archivision Digital Imaging B.V.;;;;;;2;2
Arenda Oomen Fotografie;;;;;;1;1
AriÃ«nne Boelens office;;;;;;1;1
Arriva Personenvervoer Nederland B.V.;;;;;1;;1
Artilaw;;;;;;1;1
Asian Historical Consultancy;;;;;;1;1
ASOC LATINOAMERICANA DE ARCH/ICA 2017;;;;;1;;1
Atelier Van Zijderveld;;;;;;2;2
Auke Smits Publiciteit B.V.;;;;;;4;4
Aura Software;;1;;;;;1
Autobusbedrijf Doornbos B.V.;;;;;1;;1
Avex B.V.;;;;;1;;1
Axe Kooi;;;;;;1;1
B.E.J.S. Werz;;;;;1;;1
B.V. Weekbladpers;;1;;;;;1
B+B Vakmedianet B.V.;;1;;;;;1
Baks, B.D.;;;;;1;;1
Baltisberger V.O.F.;;1;;;;;1
Barent Langenes Stichting;;1;;;;;1
Bas Kijzers;;;;;;1;1
Bastion Hotel Rijswijk B.V.;;;;;1;;1
Bazelmans Audio Visual Rentals;;;;;2;;2
BCL Archaeological Support;;;;;;1;1
Beekhuis & Holthuis;;;;;;1;1
Beeldland B.V.;;;;;;1;1
Berg van den, M.;;;;;;1;1
Berghauser Pont Academy B.V.;;1;;;;;1
Bestsales;;;;1;;;1
Bex*communicatie;;;;;;1;1
Blauw Research BV;;;;;;2;2
Bloembinderij De Nobel;;;;1;;;1
BLOSSOM bloemisterij;;;;1;;;1
BluePrint Studio;;;;;;1;1
Bobcat Media;;;;;;1;1
bol.com B.V.;;1;;;;1;1
Bons, A.P.;;1;;;;;1
Boom Distributie Centrum;;1;;;;;1
Boomerang Nederland B.V.;;;;;;1;1
Bridge Entertainment Group;;;;;;1;1
Brouwers Musicaers;;;;;;1;1
Bruns B.V.;;;;;;1;1
Bureau voor bouwhistorisch onderzoek;;;;;;2;2
B�thker, L.;;;;;;1;1
C.H.O.I. Keuzegids;;1;;;;;1
Caroline Drieenhuizen;;;;;;1;1
Cartoonkantoor;;;;;;1;1
Cavalieri Kostumes;;;;;;1;1
CCM;;1;;;;;1
Cebook;;1;;;;;1
Centraal Boekhuis BV;;1;;;;1;1
Centrum Hoger Onderwijs Informatie B.V.;;1;;;;;1
Chemelot Campus Vastgoed C.V.;;;;;1;;1
Chris Booms fotografie;;;;;;1;1
ChrisCreatief;;;;;1;;1
Clipit News B.V.;;1;;;;;1
CoÃ¶peratie Academic Transfer UA;;;;;;1;1
Company Webcast B.V.;;;;;;1;1
COMPAREX Nederland B.V.;;;;;;2;2
Compass Group Nederland B.V.;;;;1;1;;1
Consigne 8;;;;;;2;2
Consumentenbond;;1;;;;;1
CooK Culinair Entertainer;;;;;;1;1
Cor Ottens Advies;;;;;;1;1
Cox Fotografie;;;;;1;;1
Cubord Reclameborden B.V.;;;;;;2;2
D. Allewijn;;;;;1;;1
D. van Harten;;;1;;;1;1
D.Nijhuis;;;;;;1;1
Daphne Heemskerk;;;;;;2;2
David Saunders;;;;;;1;1
De Bierkoning;;;;;;1;1
De Cultuurafdeling B.V.;;;;;1;;1
De Doelen Pers;;1;;;;;1
De Groene Grachten B.V.;;;;;;1;1
De Nederlandse Token Vereniging;;;;;1;;1
De Redactie;;;;;;2;2
De Toorts;;1;;;;;1
De Volkskrant B.V.;;1;;;;;1
Den Haag Centraal 2012 B.V.;;;;;;1;1
Denkschets.nl;;;;;;1;1
Denzo Theater Techniek;;;;;;1;1
Didez;;;;;;1;1
Diederen, P.;;1;;;;;1
Digital Ants;;;;;;2;2
Dik Trom catering;;;;;1;;1
Diner Thuis;;;;;1;;1
Dirk Sonneveld Ontwerpen;;;;;;1;1
DPI Animation House B.V.;;;;;;2;2
Dr. F. Dragtenstein;;;;;1;;1
Drieenhuizen en/of Raap;;;;;;1;1
Drukwerkservice Assendorp;;;;;;1;1
Duel;;;;;;1;1
Duquartier B.V.;;;;;;1;1
ECProjects;;;;;;1;1
EDG Educatieve Distributie B.V.;;1;;;;1;1
Eelco Beukers tekst en productie;;;;;;1;1
Eim@yourservice;;1;;;;;1
Elba Media;;;;;;1;1
Else.com;;;;;;1;1
Elsevier Business Information;;1;;;;;1
EM-Cultuur B.V.;;;;;;1;1
En publique;;;;;;1;1
Equrion Services B.V.;;1;;;;;1
Ergo B.V.;;1;;;;;1
ESB B.V.;;1;;;;;1
eSpecialisten B.V.;;;;;1;;1
Essential Awakening;1;;;;;;1
Eunec;;1;;;;;1
EUROPEES PLATFORM V H NED ONDERWIJS STG;;;;;1;;1
Expo Houten B.V.;;;;;;1;1
Extra Productions  N.V.;;;;;;1;1
F. C. Klap B.V.;;1;;;;;1
Fa. Theatex v/h Auke Wiegers;;;;;;1;1
Faasen Advies;;;;;;2;2
Faber Audiovisuals B.V.;;;;;1;;1
Firma Smits Theatertechniek & Decorbouw;;;;;;2;2
Florisgifts B.V.;;;;;2;;2
Fonk Media B.V.;;1;;;;;1
Fosfor Ontwerp;;;;;;1;1
Foto Konijnenberg B.V.;;;;;;1;1
Fotografie : Paul Voorham;;;;;;1;1
Francissen Communicatie;;;;;;1;1
Francois Hendrickx Photography;;;;;;1;1
Frank B.V.;;;;;;1;1
Frans Kabel;;;;;;1;1
Frans Pos Media;;1;;;;;1
Fred Feddes;;;;;;1;1
Friesch Dagblad B.V.;;1;;;;;1
Fuga Film Producties B.V.;;;;;;1;1
G. Bakker en Zn. B.V.;;;;;1;;1
Geerlox Poeder Coatings B.V.;;;;;;1;1
Gelinckjansen Beheer B.V.;;;;;;1;1
GEM Redactie;;;;;;2;2
General Promotions;;;;;;1;1
GH+O;2;;;;;;2
Gils, M.J.A.M. van;;;;;;1;1
Goldmund, Wyldebeast & Wunderliebe B.V.;;;;;;1;1
Go-Tan B.V.;;;;;;1;1
Grobbel & Dreis;;;;;;1;1
Grondtaal Vertaalbureau;;;;;;1;1
Guide ID B.V.;;;;;;1;1
H. Duyverman;;1;;;;;1
Habitat Solutions B.V.;;;;;;1;1
Hafo B.V.;;;;;;1;1
Hageman Party Catering Haaglanden;;;;;2;;2
Handelsonderneming W. Buijl;;;;;1;;1
Happy Meat B.V.;;;;;1;;1
Hartog, M.;;;;;;1;1
Heden Kunst van nu;;;;1;;;1
Hein Post Wijnen Gastronomie;;;;;1;;1
Heritage Hands On, Expertise and Entrepr.ship;;;1;;;1;1
Het Financieele Dagblad B.V.;;1;;;;;1
Het Financieele Dagblad BV;;1;;;;;1
Het Groene Avontuur;;;;;1;;1
Het Nederlands Openluchtmuseum;1;;;;;;1
Het nieuwe trivium;;;;;2;;2
Het Oversticht;;;;;;1;1
Het Parool B.V.;;1;;;;;1
Historisch Archief;;;;;;1;1
HISTORY NOW, your past inspires the future;;;;;;2;2
HKU;;;;;;1;1
Hoezee B.V.;;1;;;;;1
Hofstede, B.;;;;;1;;1
Hoger Onderwijs Persbureau;;1;;;;;1
Holwerdadewit B.V.;;;;;;2;2
Hoog Vuur;;;;;1;;1
Hostnet B.V.;;;;;;1;1
Hotel Contact B.V.;;;;;2;;2
House of Training B.V.;;1;;;;;1
Houtschild Internationale Boekhandel B.V.;;1;;;;;1
Huygens Instituut voor Nederl. Geschiedenis;;;;;;2;2
Hylkema consultants;;;;;;1;1
ICT Media B.V.;;1;;;;;1
ICTRecht B.V.;;;;;1;;1
Identity Design B.V.;;;;;;2;2
IHC Holland B.V.;;;;;;1;1
In de Verkleedkist;;;;;1;1;1
In2CONTENT;;;;;;2;2
In2Content B.V.;;;;;;2;2
Incassobureau Plaggemars;;1;;;;;1
Infinity;;;;;;2;2
ING Commercial Cards;;1;;;;1;1
INGRADO;;1;;;;;1
International Card Services B.V.;;1;;;;;1
Internedservices;;;;;;1;1
Into The Tune;;1;;;;;1
IPMA - NL;;1;;;;;1
IPMA Certificering B.V.;;1;;;;;1
Iris Broersma Erfgoedzorg;;;;;;1;1
Ivo Broekhuizen Communicatie;;;;;;1;1
J. Stapel;;;;;1;;1
J.C. Hemmes VT;;1;;;;;1
J.F. van Boeckel;;;;;;1;1
J.J.A.Knoest;;;1;;;;1
J.J.G. van Leeuwen;;;;;;1;1
Jaarbeurs B.V.;;;;;;1;1
Jachmin Pinedo Productions;;;;;;1;1
Jan Willem Franken;;;;;1;;1
Jasperse producties;;;;;;1;1
JJ Creative;;;;;;1;1
Joep Buijs;;;;;1;;1
John Nurminen Prima;;;;;2;;2
Josje Deekens Fotografie;;;;;;1;1
Julian Ross Translator;;;1;;;1;1
Just Marie;;;;;1;;1
Kai Dieho Camera;;;;;;1;1
Karen Polder;;;;;;1;1
Kiss The Frog B.V.;;;;;;2;2
Klomp Bizzprint B.V.;;;;1;;;1
Knag;;1;;;;;1
Kon. Ned. Veren. van Informatieprofessionals;;1;;;;;1
Kon. Nl. Genootsch. voor Gesl.- en Wapenkunde;;1;;;;;1
Kon. Verenig. van Archivarissen in Nederland;;1;;;1;;1
Koninklijk Nederlands Historisch Genootschap;;1;;;;;1
Koro Print;;;;;;1;1
KPN B.V.;;;;;1;;1
Kuijpers t.h.o.d.n. Run2Day Den Haag;;;;;1;;1
Kuilder, E.;;;;;;1;1
L.A. de Moor;;;;;;1;1
LEDvertiser.nl B.V.;;;;;;1;1
Leenheer, P;;;;;;1;1
Leukeleu B.V.;;;;;;1;1
Lexis Nexis Benelux BV;;1;;;;;1
Lieve d'Hont;;;;;;1;1
Linschoten-Vereeniging;;1;;;;;1
LNR Globalcom B.V.;;;;;;1;1
Logicworks BV;;;;;;1;1
Loopbaanvisie Kloosterhof;;1;;;;;1
Luckies of London Ltd;;;;;;1;1
Lucrees van Groningen;;;;;;1;1
M.A. Dolman;;;;;;1;1
M.H.G.M. van Fessem;;;;1;;;1
Maarten van der Meer;;;;;1;;1
Macro B.V.;;2;;;;;2
Magenta Communicatieprojecten B.V.;;1;;;;;1
Mainpress B.V.;;3;;;;;3
Mainpress BV;;1;;;;;1
Management Media B.V.;;1;;;;;1
MANU2U;;;;;1;;1
MarcelisDékavé B.V.;;1;;;;;1
Marie Baarspul;;;;;;1;1
Marijke Bovens;;;;;;1;1
Maritiem Museum Rotterdam;;;;;;1;1
Marjon van den Broek Visagie;;;;;;1;1
Martijn Beekman Fotografie;;;;;;1;1
Martina, P.;;;;;;1;1
Maters en Hermsen bedrijfsjournalis;;;;;;1;1
Maureen Cuisine;;;;;1;;1
Maypress;;;;;;1;1
Media Info Groep B.V.;;;;;;1;1
Mediamento;;;;;1;;1
Mediawerf;;1;;;;;1
M-Effect;;;;;;2;2
Merel Huisink;;;;;;1;1
Metalet B.V.;;;;;;1;1
Metropolisfilm Post-Production B.V.;;;;;;1;1
Mijnwerk, tekst & redactie;;;;;;1;1
Moby Dick;;1;;;;;1
Murray Media C.V.;;1;;;;;1
Museum Boerhaave;;;;;;1;1
Museum Rotterdam;;;;;;1;1
N. Naaktgeboren;;;;;;1;1
N200.Com B.V.;;;;;1;;1
Naaijkens, E.;;;;;;1;1
nai010 uitgevers/publishers;;;;;;1;1
Nancy Jouwe;;;;;1;;1
Nanette de Jong Fotografie;;;;;;2;2
Nassau Uitvaartgroep;;;;;;1;1
Nationaal Monumentencongres;;;;;2;;2
NATIONAAL ONDERWIJSMUSEUM;;;;;;1;1
National Bureau of;;1;;;;;1
National Bureau of Economic Research;;1;;;;;1
National Gallery of Australia;;;;;;1;1
Nationale Beeldbank;;;;;;1;1
NDC mediagroep B.V.;;1;;;;1;2
Nederl. Ber.ver. voor Contractmanagement;;1;;;;;1
Nederl. Vereniging Amateurtheaterbibliotheek;;1;;;;;1
Nederland. Vereniging voor Aanbestedingsrecht;;1;;;;;1
Nederlands Fotogenootschap;;1;;;;;1
Nederlands Openluchtmuseum;;;;;1;;1
Nederlandse Vereniging voor wetgeving;;1;;;;;1
Nederlandse Vereniging voor Zeegeschiedenis;;1;;;;;1
NEVI-Purspective B.V.;;1;;;;;1
NLJUG B.V.;;1;;;;;1
NOS;;;;;;1;1
NVE;;1;;;;;1
NVS-NVL schooldecanen, loopbaanbegel.;;1;;;;;1
OGZ B.V.;;;;;;1;1
