FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,se_anno_cad_data,gdb_geomattr_data,shape
nwb_wegen_hectopunten_2011.1,34,0,376524012,2000-09-01T00:00:00, , ,,,POINT (188405 562228)
nwb_wegen_hectopunten_2011.2,8,26,390226003,2001-03-01T00:00:00, , ,,,POINT (195470 413226)
nwb_wegen_hectopunten_2011.3,7,590,390227003,2001-03-01T00:00:00, , ,,,POINT (195433 413321)
nwb_wegen_hectopunten_2011.4,6,489,390227003,2001-03-01T00:00:00, , ,,,POINT (195371 413401)
nwb_wegen_hectopunten_2011.5,5,389,390227003,2001-03-01T00:00:00, , ,,,POINT (195303 413474)
nwb_wegen_hectopunten_2011.6,4,292,390227003,2001-03-01T00:00:00, , ,,,POINT (195237 413545)
nwb_wegen_hectopunten_2011.7,3,192,390227003,2001-03-01T00:00:00, , ,,,POINT (195169 413618)
nwb_wegen_hectopunten_2011.8,2,90,390227003,2001-03-01T00:00:00, , ,,,POINT (195099 413693)
nwb_wegen_hectopunten_2011.9,1031,39,399206001,2001-03-01T00:00:00, , ,,,POINT (199774 403046)
nwb_wegen_hectopunten_2011.10,1030,134,399206001,2001-03-01T00:00:00, , ,,,POINT (199805 402956)
nwb_wegen_hectopunten_2011.11,1029,233,399206001,2001-03-01T00:00:00, , ,,,POINT (199837 402862)
nwb_wegen_hectopunten_2011.12,1028,336,399206001,2001-03-01T00:00:00, , ,,,POINT (199873 402766)
nwb_wegen_hectopunten_2011.13,1027,433,399206001,2001-03-01T00:00:00, , ,,,POINT (199915 402678)
nwb_wegen_hectopunten_2011.14,313,29,386047021,2001-03-01T00:00:00, , ,,,POINT (193369 323810)
nwb_wegen_hectopunten_2011.15,312,125,386047021,2001-03-01T00:00:00, , ,,,POINT (193446 323752)
nwb_wegen_hectopunten_2011.16,311,225,386047021,2001-03-01T00:00:00, , ,,,POINT (193527 323694)
nwb_wegen_hectopunten_2011.17,310,325,386047021,2001-03-01T00:00:00, , ,,,POINT (193605 323632)
nwb_wegen_hectopunten_2011.18,309,428,386047021,2001-03-01T00:00:00, , ,,,POINT (193685 323567)
nwb_wegen_hectopunten_2011.19,308,523,386047021,2001-03-01T00:00:00, , ,,,POINT (193760 323508)
nwb_wegen_hectopunten_2011.20,284,21,391044072,2001-03-01T00:00:00, , ,,,POINT (195673.69000000134 322109.91600000113)
nwb_wegen_hectopunten_2011.21,68,1351,395055018,2001-03-01T00:00:00, , ,,,POINT (198887 326634)
nwb_wegen_hectopunten_2011.22,67,1251,395055018,2001-03-01T00:00:00, , ,,,POINT (198816 326704)
nwb_wegen_hectopunten_2011.23,66,1155,395055018,2001-03-01T00:00:00, , ,,,POINT (198747 326771)
nwb_wegen_hectopunten_2011.24,65,1062,395055018,2001-03-01T00:00:00, , ,,,POINT (198681 326836)
nwb_wegen_hectopunten_2011.25,64,962,395055018,2001-03-01T00:00:00, , ,,,POINT (198611 326907)
nwb_wegen_hectopunten_2011.26,63,864,395055018,2001-03-01T00:00:00, , ,,,POINT (198546 326981)
nwb_wegen_hectopunten_2011.27,62,765,395055018,2001-03-01T00:00:00, , ,,,POINT (198483 327057)
nwb_wegen_hectopunten_2011.28,61,667,395055018,2001-03-01T00:00:00, , ,,,POINT (198422 327133)
nwb_wegen_hectopunten_2011.29,60,569,395055018,2001-03-01T00:00:00, , ,,,POINT (198358 327208)
nwb_wegen_hectopunten_2011.30,59,471,395055018,2001-03-01T00:00:00, , ,,,POINT (198295 327283)
nwb_wegen_hectopunten_2011.31,58,372,395055018,2001-03-01T00:00:00, , ,,,POINT (198231 327358)
nwb_wegen_hectopunten_2011.32,57,274,395055018,2001-03-01T00:00:00, , ,,,POINT (198168 327433)
nwb_wegen_hectopunten_2011.33,56,176,395055018,2001-03-01T00:00:00, , ,,,POINT (198104 327508)
nwb_wegen_hectopunten_2011.34,55,72,395055018,2001-03-01T00:00:00, , ,,,POINT (198037 327587)
nwb_wegen_hectopunten_2011.35,1181,91,386231014,2001-03-01T00:00:00, , ,,,POINT (193174 415756)
nwb_wegen_hectopunten_2011.36,322,374,377189005,2001-03-01T00:00:00, , ,,,POINT (188921 394745)
nwb_wegen_hectopunten_2011.37,321,273,377189005,2001-03-01T00:00:00, , ,,,POINT (188821 394733)
nwb_wegen_hectopunten_2011.38,320,172,377189005,2001-03-01T00:00:00, , ,,,POINT (188721 394719)
nwb_wegen_hectopunten_2011.39,319,71,377189005,2001-03-01T00:00:00, , ,,,POINT (188621 394704)
nwb_wegen_hectopunten_2011.40,1238,65,377237005,2001-03-01T00:00:00, , ,,,POINT (188530.1363000013 418832.88639999926)
nwb_wegen_hectopunten_2011.41,119,633,402046021,2001-03-01T00:00:00, , ,,,POINT (201216.31599999964 322610.9200000018)
nwb_wegen_hectopunten_2011.42,118,516,402046021,2001-03-01T00:00:00, , ,,,POINT (201151 322707)
nwb_wegen_hectopunten_2011.43,117,411,402046021,2001-03-01T00:00:00, , ,,,POINT (201113 322805)
nwb_wegen_hectopunten_2011.44,116,309,402046021,2001-03-01T00:00:00, , ,,,POINT (201096 322905)
nwb_wegen_hectopunten_2011.45,115,207,402046021,2001-03-01T00:00:00, , ,,,POINT (201100 323007)
nwb_wegen_hectopunten_2011.46,114,112,402046021,2001-03-01T00:00:00, , ,,,POINT (201122 323099)
nwb_wegen_hectopunten_2011.47,113,13,402046021,2001-03-01T00:00:00, , ,,,POINT (201157 323191)
nwb_wegen_hectopunten_2011.48,301,1,388046012,2001-03-01T00:00:00, , ,,,POINT (194367.16699999943 323121.38599999994)
nwb_wegen_hectopunten_2011.49,300,97,388046012,2001-03-01T00:00:00, , ,,,POINT (194453 323079)
nwb_wegen_hectopunten_2011.50,299,197,388046012,2001-03-01T00:00:00, , ,,,POINT (194543 323036)
nwb_wegen_hectopunten_2011.51,298,294,388046012,2001-03-01T00:00:00, , ,,,POINT (194631 322995)
nwb_wegen_hectopunten_2011.52,297,387,388046012,2001-03-01T00:00:00, , ,,,POINT (194716 322957)
nwb_wegen_hectopunten_2011.53,296,485,388046012,2001-03-01T00:00:00, , ,,,POINT (194805 322915)
nwb_wegen_hectopunten_2011.54,295,578,388046012,2001-03-01T00:00:00, , ,,,POINT (194886 322870)
nwb_wegen_hectopunten_2011.55,1101,303,392217019,2001-03-01T00:00:00, , ,,,POINT (196500 408982)
nwb_wegen_hectopunten_2011.56,1100,202,392217019,2001-03-01T00:00:00, , ,,,POINT (196493 408881)
nwb_wegen_hectopunten_2011.57,1099,102,392217019,2001-03-01T00:00:00, , ,,,POINT (196487 408782)
nwb_wegen_hectopunten_2011.58,1098,5,392217019,2001-03-01T00:00:00, , ,,,POINT (196479 408685)
nwb_wegen_hectopunten_2011.59,326,163,378189009,2001-03-01T00:00:00, , ,,,POINT (189272.47199999914 394614.09800000116)
nwb_wegen_hectopunten_2011.60,325,66,378189009,2001-03-01T00:00:00, , ,,,POINT (189203 394681)
nwb_wegen_hectopunten_2011.61,404,595,383176007,2001-03-01T00:00:00, , ,,,POINT (192004.03400000185 387709.6099999994)
nwb_wegen_hectopunten_2011.62,403,499,383176007,2001-03-01T00:00:00, , ,,,POINT (191932 387773)
nwb_wegen_hectopunten_2011.63,402,401,383176007,2001-03-01T00:00:00, , ,,,POINT (191858 387837)
nwb_wegen_hectopunten_2011.64,401,301,383176007,2001-03-01T00:00:00, , ,,,POINT (191783 387903)
nwb_wegen_hectopunten_2011.65,400,204,383176007,2001-03-01T00:00:00, , ,,,POINT (191709 387966)
nwb_wegen_hectopunten_2011.66,399,106,383176007,2001-03-01T00:00:00, , ,,,POINT (191635 388031)
nwb_wegen_hectopunten_2011.67,398,8,383176007,2001-03-01T00:00:00, , ,,,POINT (191561 388095)
nwb_wegen_hectopunten_2011.68,1165,59,388229002,2001-03-01T00:00:00, , ,,,POINT (194269 414581)
nwb_wegen_hectopunten_2011.69,262,31,393040060,2001-03-01T00:00:00, , ,,,POINT (196670 320169)
nwb_wegen_hectopunten_2011.70,261,127,393040060,2001-03-01T00:00:00, , ,,,POINT (196723 320090)
nwb_wegen_hectopunten_2011.71,260,234,393040060,2001-03-01T00:00:00, , ,,,POINT (196788 320004)
nwb_wegen_hectopunten_2011.72,259,330,393040060,2001-03-01T00:00:00, , ,,,POINT (196850 319931)
nwb_wegen_hectopunten_2011.73,258,430,393040060,2001-03-01T00:00:00, , ,,,POINT (196917 319857)
nwb_wegen_hectopunten_2011.74,257,533,393040060,2001-03-01T00:00:00, , ,,,POINT (196990 319785)
nwb_wegen_hectopunten_2011.75,256,633,393040060,2001-03-01T00:00:00, , ,,,POINT (197065 319718)
nwb_wegen_hectopunten_2011.76,255,739,393040060,2001-03-01T00:00:00, , ,,,POINT (197146 319650)
nwb_wegen_hectopunten_2011.77,1085,81,393215010,2001-03-01T00:00:00, , ,,,POINT (196828 407461)
nwb_wegen_hectopunten_2011.78,1084,180,393215010,2001-03-01T00:00:00, , ,,,POINT (196869 407371)
nwb_wegen_hectopunten_2011.79,1083,279,393215010,2001-03-01T00:00:00, , ,,,POINT (196911 407282)
nwb_wegen_hectopunten_2011.80,1082,378,393215010,2001-03-01T00:00:00, , ,,,POINT (196952 407192)
nwb_wegen_hectopunten_2011.81,921,42,412188002,2001-03-01T00:00:00, , ,,,POINT (206238 394299)
nwb_wegen_hectopunten_2011.82,920,146,412188002,2001-03-01T00:00:00, , ,,,POINT (206310 394223)
nwb_wegen_hectopunten_2011.83,919,251,412188002,2001-03-01T00:00:00, , ,,,POINT (206382 394147)
nwb_wegen_hectopunten_2011.84,918,357,412188002,2001-03-01T00:00:00, , ,,,POINT (206454 394070)
nwb_wegen_hectopunten_2011.85,917,460,412188002,2001-03-01T00:00:00, , ,,,POINT (206525 393995)
nwb_wegen_hectopunten_2011.86,916,567,412188002,2001-03-01T00:00:00, , ,,,POINT (206599 393918)
nwb_wegen_hectopunten_2011.87,80,179,373028005,2001-03-01T00:00:00, , ,,,POINT (186703.5859999992 314160.7320000008)
nwb_wegen_hectopunten_2011.88,79,77,373028005,2001-03-01T00:00:00, , ,,,POINT (186604 314184)
nwb_wegen_hectopunten_2011.89,6,155,349303020,2001-03-01T00:00:00, ,z,,,POINT (175021.23800000176 452020.18299999833)
nwb_wegen_hectopunten_2011.90,5,53,349303020,2001-03-01T00:00:00, ,z,,,POINT (174972.4690000005 451930.938000001)
nwb_wegen_hectopunten_2011.91,10,156,360123011,2001-03-01T00:00:00, , ,,,POINT (180455 361810)
nwb_wegen_hectopunten_2011.92,9,60,360123011,2001-03-01T00:00:00, , ,,,POINT (180377 361865)
nwb_wegen_hectopunten_2011.93,635,18,360134001,2001-03-01T00:00:00, , ,,,POINT (180488.936999999 367156.5689999983)
nwb_wegen_hectopunten_2011.94,634,118,360134001,2001-03-01T00:00:00, , ,,,POINT (180499.90399999917 367056.87099999934)
nwb_wegen_hectopunten_2011.95,633,218,360134001,2001-03-01T00:00:00, , ,,,POINT (180509.9919999987 366957.0799999982)
nwb_wegen_hectopunten_2011.96,632,319,360134001,2001-03-01T00:00:00, , ,,,POINT (180521.0150000006 366856.8969999999)
nwb_wegen_hectopunten_2011.97,305,298,373188005,2001-03-01T00:00:00, , ,,,POINT (187227 394500)
nwb_wegen_hectopunten_2011.98,304,198,373188005,2001-03-01T00:00:00, , ,,,POINT (187128 394485)
nwb_wegen_hectopunten_2011.99,303,97,373188005,2001-03-01T00:00:00, , ,,,POINT (187028 394471)
nwb_wegen_hectopunten_2011.100,18,137,375043056,2001-03-01T00:00:00, , ,,,POINT (187661 321992)
nwb_wegen_hectopunten_2011.101,17,45,375043056,2001-03-01T00:00:00, , ,,,POINT (187642 321903)
nwb_wegen_hectopunten_2011.102,309,54,358130078,2001-03-01T00:00:00, , ,,,POINT (179464.0438000001 365317.11360000074)
nwb_wegen_hectopunten_2011.103,308,150,358130078,2001-03-01T00:00:00, , ,,,POINT (179554.73200000077 365348.5769999996)
nwb_wegen_hectopunten_2011.104,26,297,363122006,2001-03-01T00:00:00, , ,,,POINT (181911 361172)
nwb_wegen_hectopunten_2011.105,25,199,363122006,2001-03-01T00:00:00, , ,,,POINT (181820 361207)
nwb_wegen_hectopunten_2011.106,24,102,363122006,2001-03-01T00:00:00, , ,,,POINT (181729 361242)
nwb_wegen_hectopunten_2011.107,23,4,363122006,2001-03-01T00:00:00, , ,,,POINT (181637.72100000083 361277.55099999905)
nwb_wegen_hectopunten_2011.108,2,62,62181091,2001-03-01T00:00:00, , ,,,POINT (31393.844999998808 390706.98000000045)
nwb_wegen_hectopunten_2011.109,1,166,62181091,2001-03-01T00:00:00, , ,,,POINT (31395.905000001192 390810.94900000095)
