Leveranciers;9530 - DEF specifiek;9-Dienstspecifiek
A la Carte Projekten en Adviezen;1;1
Actemium / Industrial Solutions Zuid Oost;1;1
ALM Afbouwgroep;1;1
Altavilla Bouwmanagement;1;1
AML Technologies;1;1
Attero (vh Essent Milieu, VAR);1;1
Auto Palace;1;1
Autobedrijf van Veen;1;1
Benschop Installatietechniek;1;1
Betonvereniging;1;1
Booij Stedelijk Groen;2;2
Brand Boomverzorging;1;1
Brand Interieurbouw en Aannemeningsbedrijf;1;1
Caljan Rite-Hite Benelux BV;1;1
Compair airconditionering;1;1
CraneSolutions;1;1
Cumulus Nederland  BV;1;1
De Lage Landen (incl. Trade Finance/Plantijn/Vendorlease/Oce Finance);1;1
DGMR Raadgevend Ingenieurs (incl. Bouw, Industrie en Milieu, Software);1;1
Duijvelaar Pompen;1;1
Eco Heating Systems Groningen;1;1
Endenburg;1;1
Gabriels Elektro, Gacom;1;1
Haerkens BV Electro-Installat.;1;1
Hamer Installatietechniek;1;1
Hoefnagels Groep brand en bedrijfsdeuren;1;1
Indeko Oosterhout;1;1
J. Verheggen Elektrotechniek;1;1
Manutan (vh Overtoom International);1;1
Merin (vh Uni-Invest);2;2
MVIE Geluidsystemen BV;1;1
Nemef;1;1
Nieman Adviesburo;1;1
Otis;1;1
Pec Zwolle;1;1
Pemar Technische Groothandel;1;1
Record Automatische Deuren;1;1
Rijsbergen Inbraak Beveiliging;1;1
Starwash Oldenzaal BV;1;1
Steakhouse Amadeus;1;1
Stichting GBKN;1;1
Stichting Groennetwerk;1;1
Stichting ISSO;1;1
Stichting Sterkin;1;1
Teeuwissen Rioolreiniging;2;2
Timmers Elektrotechniek BV;2;2
Tj. Dijkstra Vlieland Bouwbedrijf;1;1
Tracé Ingenieurs in Detachering;1;1
Van Bentem Installatiebedrijf;1;1
Van Dam Garagedeuren B.V.;1;1
Van Kerkhof & Visscher;5;5
Vekemans Aannemersbedrijf BV;1;1
Verheij Groenvoorzieningen;1;1
Verloo;1;1
Vet, P.H. Installatiebedrijf;2;2
VIB Netwerken Friesland;1;1
Walenburg Exploitatiemaatschappij;1;1
Wildkamp;1;1
Willems Uden Technische Instal;1;1
Wilms;1;1
Wurth nederland;1;1
XS4ALL Internet;1;1
Ziggo (vh Casema);1;1
Eindtotaal;6;6
