Leveranciers;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;Eindtotaal
Aannemingsmaatschappij ZVS Eemnes B.V.;;1;;;;1
Accuraat B.V.;;1;;;;1
Aermast Holland;;1;;;;1
AG Equinox Coöperatieve UA;;;;;2;2
Ahrend Hergebruik B.V.;;;;;2;2
Akoestiekfabriek B.V.;;2;;;;2
Alarmcentrale Sleutels en Sloten;;1;;;;1
Altec IndustriÃ«le Identificatie;;1;;;;1
Altrex B.V.;;1;;;;1
Ambius B.V.;;1;;;;1
Aqua D en S B.V.;;1;;;;1
Arian Tuintechniek;;2;;;;2
Arma Verhuur Horeca B.V.;;1;;;;1
ASSA ABLOY Entrance Systems;;1;;;;1
Atrium Vastgoedmanagement B.V.;;2;;;;2
Aukes training en advies B.V.;;1;;;1;1
Beveiligings Techniek IJzendoorn B.V.;;1;;;;1
Biolab Research & Solutions B.V.;;2;;;;2
Bouwcombinatie DUO2 V.O.F.;;3;;;;3
Bouwmij Weboma B.V.;;;;;1;1
Bovenregionaal kantoor;;;1;;;1
Brabant Water N.V.;;;1;;;1
Brandbeveiliging Alkmaar B.V.;;1;;;;1
Brenntag Nederland B.V.;;1;;;;1
Breustedt Chemie;;1;;;;1
Bruynzeel Storage Systems B.V.;2;;;;;2
Buko Infrasupport B.V.;;1;;;;1
CarBon6 B.V.;;1;;;;1
Commissie van Beheer Rijkskantoren;;;;;4;4
Commitment B.V.;;;;;1;1
Conrad Electronic Benelux B.V.;;1;;;;1
Crawford;;1;;;;1
D en W Elektrotechniek B.V.;;1;;;;1
Dael Beheer B.V.;;;;;2;2
Dassen Bouw B.V.;;2;;;;2
De Eendenkooi;;;;;1;1
de Schalmei;;;;;1;1
de Schulenburch;;;;;2;2
De Vries Projekt Design B.V.;;1;;;;1
Den Hartog B.V.;;;1;;;1
Denios B.V.;;1;;;;1
Discountoffice.nl B.V.;;1;;;1;1
Donar Groen B.V.;;1;;;;1
Donkergroen B.V.;;4;;;;4
Dunea N.V.;;;1;;;1
Dura Vermeer Onderhoud en Renov. Hengelo B.V.;;1;;;;1
Dutch Special Solutions B.V.;;1;;;;1
E.ON Benelux Levering B.V.;;;5;;;5
EDP Technisch Adviesbureau B.V.;;1;;;;1
Enduris B.V.;;;1;;;1
Eneco Zakelijk;;;5;;;5
Enexis B.V.;;;1;;;1
ENGIE Services Noord B.V.;;1;;;;1
Esra B.V.;;1;;;;1
Euromate B.V.;;1;;;;1
Evides Drinkwater;;;2;;;2
Evides Locatie Huijbergen;;;1;;;1
Exploitatie Sportaccommodaties Aalsmeer B.V.;;;;;1;1
FAAC B.V.;;1;;;;1
Facility Service;;;;;2;2
Fieten Olie 2 B.V.;;;1;;;1
Floor Beveiligingstechniek B.V.;;1;;;;1
FM Projekten B.V.;;;;;1;1
Foto Sanders & Rozemeijer;;1;;;;1
Frank B.V.;;1;;;;1
Fudura B.V.;;;1;;;1
Gaswacht Arnhem B.V.;;1;;;;1
Glaspunt B.V.;;1;;;;1
Grateq B.V.;;1;;;;1
Gunnebo Nederland B.V.;;1;;;;1
Helmondse Schietsport Vereniging 'De Helm';;;;;1;1
Heras B.V.;;1;;;;1
Het NIC B.V.;;3;;;;3
High Security International B.V.;;1;;;;1
hvabouwservice;;1;;;;1
Imming Logistics C.V.;;1;;;;1
Ingenieursbureau Ebatech B.V.;;;1;;;1
Innotec Industrie;;1;;;;1
Inofec B.V.;;1;;;;1
Inspiration Office;;1;;;;1
Interlight illuminate your life;;1;;;;1
Interparking Nederland B.V.;;1;;;;1
J.F.C. Manufacturing (Europe) Limited;;1;;;;1
Java Onderhoud B.V.;;1;;;;1
Joulz Infradiensten B.V.;;;1;;;1
Joulz Meetbedrijf B.V.;;;1;;;1
Juro Unirek B.V.;;1;;;;1
Kenan Elektrotechniek;;;;;1;1
Kenter;;;1;;;1
