FID,id_segment,id_gw_vz,wegnummer,baanpos,hectoltr,type,extra_info,bron_geo,hellend,helhoek,knik,buiging,topvorm,tophoek,hc_tov_sch,lengte,prim_mat,sec_mat,constr_mat,foto,datum_lw,naam_mut,folder,url_foto,gdb_geomattr_data,shape
gwv_segmenten.1,1,1,58,Rechts, ,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,70,0,235,Aarde, , ,GWV_1_1.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_1_1.jpg,,"LINESTRING (104739.0399999991 397968.80799999833, 104740.18499999866 397971.4930000007, 104741.10399999842 397973.2670000009, 104743.68499999866 397977.65300000086, 104748.25499999896 397984.9519999996, 104755.58399999887 397996.2430000007, 104761.56300000101 398005.23699999973, 104769.46999999881 398016.20600000024, 104773.78849999979 398022.04949999973, 104778.10700000077 398027.8929999992, 104786.06399999931 398038.2529999986, 104790.62000000104 398044.1154999994, 104795.17599999905 398049.9780000001, 104801.12049999833 398057.0454999991, 104807.06500000134 398064.11300000176, 104813.86100000143 398072.3139999993, 104820.3590000011 398079.5379999988, 104826.85700000077 398086.76199999824, 104833.07299999893 398093.7479999997, 104837.75699999928 398098.7800000012, 104843.23299999908 398104.04399999976, 104847.35399999842 398107.8599999994, 104855.76199999824 398115.01199999824, 104865.1240000017 398122.6039999984, 104868.60399999842 398125.31599999964, 104876.05900000036 398131.9459999986, 104882.56100000069 398137.40900000185, 104888.43200000003 398141.93299999833, 104892.64200000092 398145.1099999994)"
gwv_segmenten.2,2,1,58,Rechts, ,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,0,0,198,Aarde, , ,GWV_1_2.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_1_2.jpg,,"LINESTRING (104720.40799999982 397942.78500000015, 104718.49399999902 397940.34699999914, 104716.2899999991 397937.30900000036, 104709.13100000098 397925.7289999984, 104705.31899999827 397919.5604999997, 104701.50710000098 397913.39189999923, 104698.88199999928 397909.14400000125, 104695.05820000172 397902.9827999994, 104691.23440000042 397896.8216000013, 104689.80600000173 397894.51999999955, 104686.26810000092 397888.19029999897, 104682.73009999841 397881.8605999984, 104679.15700000152 397875.4679999985, 104675.6884999983 397869.1000000015, 104672.21990000084 397862.7320000008, 104667.81399999931 397854.6429999992, 104664.4039000012 397848.2435999997, 104660.99370000139 397841.8440999985, 104658.30900000036 397836.8060000017, 104655.03000000119 397830.33839999884, 104651.7509999983 397823.8707999997, 104646.48900000006 397813.4919999987, 104643.26900000125 397806.9910000004, 104641.71999999881 397801.7250000015, 104639.47089999914 397794.8313000016, 104637.22179999948 397787.9376000017, 104636.61800000072 397786.0870000012, 104635.15199999884 397781.8229999989, 104633.25400000066 397775.09099999815, 104631.66099999845 397769.2430000007, 104631.65249999985 397767.12900000066)"
gwv_segmenten.3,1,2,58, ,a,Scherm,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,0,37,Beton, , ,GWV_2_1.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_2_1.jpg,,"LINESTRING (104944.64299999923 398209.98900000006, 104938.87909999862 398205.5890999995, 104933.11520000175 398201.189199999, 104926.93879999965 398196.4743999988, 104922.56080000103 398202.25499999896, 104918.18279999867 398208.03559999913)"
gwv_segmenten.4,2,2,58, ,a,Scherm,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,0,46,Beton, , ,GWV_2_2.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_2_2.jpg,,"LINESTRING (104962.13450000063 398247.1457000002, 104966.46319999918 398241.3280999996, 104970.79190000147 398235.5104999989, 104973.55970000103 398231.7906000018, 104967.7890000008 398227.3995999992, 104962.01839999855 398223.0084999986, 104951.95100000128 398215.34800000116)"
gwv_segmenten.5,3,2,58, ,a,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,70,0,297,Aarde, , ,GWV_2_3.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_2_3.jpg,,"LINESTRING (104918.1827000007 398208.0357000008, 104920.2050999999 398204.59010000154, 104912.58610000089 398198.5720999986, 104904.04410000145 398191.76309999824, 104898.43690000102 398187.1651000008, 104892.82970000058 398182.56709999964, 104892.21510000154 398182.063099999, 104886.60929999873 398177.46339999884, 104881.00349999964 398172.8636999987, 104879.14409999922 398171.3381000012, 104873.57860000059 398166.6895999983, 104868.01309999824 398162.0410999991, 104866.24109999835 398160.56109999865, 104856.67709999904 398152.32009999827, 104848.84910000116 398145.48910000175, 104840.63309999928 398137.8691000007, 104831.94810000062 398129.8511000015, 104823.74109999835 398121.81010000035, 104816.64209999889 398115.5230999999, 104811.24410000071 398110.7291000001, 104806.18510000035 398106.5890999995, 104796.31410000101 398098.51110000163, 104789.33410000056 398092.78009999916, 104783.77910000086 398087.90509999916, 104777.7520999983 398082.2681000009, 104772.67110000178 398077.16110000014, 104766.3460999988 398070.8370999992, 104759.31410000101 398063.51410000026, 104754.58509999886 398058.18609999865, 104749.5960999988 398052.3621000014, 104742.11910000071 398044.02710000053, 104734.24109999835 398034.8601000011, 104727.76610000059 398027.3550999984, 104722.45809999853 398021.2421000004, 104717.81810000166 398016.0011, 104713.70010000095 398011.75510000065, 104709.72210000083 398007.51209999993, 104707.66809999943 398005.1480999999, 104707.09849999845 398005.566300001)"
gwv_segmenten.6,4,2,58,Rechts, ,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,0,0,75,Aarde, , ,GWV_2_4.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_2_4.jpg,,"LINESTRING (105110.20190000162 398338.03449999914, 105119.24610000104 398342.9010999985, 105123.90300000086 398345.4070000015, 105130.25569999963 398348.9034000002, 105136.6083999984 398352.39990000054, 105144.81199999899 398356.9149999991, 105151.1585999988 398360.4224999994, 105157.50519999862 398363.9299999997, 105164.49500000104 398367.79300000146, 105174.87799999863 398373.5460000001, 105175.09600000083 398374.19999999925, 105174.69000000134 398374.79850000143)"
gwv_segmenten.7,5,2,58, ,a,Wal,Geen,DTB,Niet,0,Nee,Nee,Niet,0,0,176,Aarde, , ,GWV_2_5.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_2_5.jpg,,"LINESTRING (104962.13450000063 398247.1457000002, 104963.7650000006 398245.3200000003, 104965.2899999991 398246.29399999976, 104971.60599999875 398250.618999999, 104977.43809999898 398254.92810000107, 104983.27019999921 398259.2371999994, 104989.14799999818 398263.5799999982, 104994.9899000004 398267.87590000033, 105000.83170000091 398272.17179999873, 105006.91200000048 398276.6429999992, 105012.84769999981 398280.8082999997, 105018.78330000117 398284.97360000014, 105025.04399999976 398289.3669999987, 105031.1950000003 398293.2071999982, 105037.34600000083 398297.04729999974, 105041.39799999818 398299.5769999996, 105047.68259999901 398303.1944000013, 105053.96719999984 398306.8117999993, 105065.52100000158 398313.4620000012, 105071.83520000055 398317.02760000154, 105078.14930000156 398320.5931000002, 105085.71599999815 398324.8660000004, 105092.1024999991 398328.3002999984, 105098.48900000006 398331.7346000001, 105106.47500000149 398336.02899999917, 105110.20190000162 398338.03449999914)"
gwv_segmenten.8,1,3,58,Rechts, ,Combinatie,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,3,127,Aarde,Stenen, ,GWV_3_1.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_3_1.jpg,,"LINESTRING (90863.19999999925 393341.9690000005, 90849.20899999887 393342.4239999987, 90841.3909999989 393342.76399999857, 90833.57299999893 393343.1039999984, 90825.41050000116 393343.7199999988, 90817.24799999967 393344.3359999992, 90805.92799999937 393345.48800000176, 90792.37999999896 393347.05900000036, 90779.56599999964 393348.8779999986, 90771.67650000006 393350.20800000057, 90763.78700000048 393351.5379999988, 90756.46150000021 393352.9624999985, 90749.13599999994 393354.38699999824, 90737.17700000107 393357.1030000001)"
gwv_segmenten.28,7,6,58,Rechts, ,Scherm,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,0,65,Stenen, , ,GWV_6_7.jpg,2009-07-24T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_6_7.jpg,,"LINESTRING (89882.7901000008 393733.2120999992, 89882.55220000073 393733.442400001, 89878.87189999968 393734.96559999883, 89878.86499999836 393734.9422999993, 89867.39820000157 393739.70710000023, 89859.08150000125 393743.10119999945, 89850.7648999989 393746.4952000007, 89839.61620000005 393750.92080000043, 89831.16789999977 393754.07499999925, 89822.71959999949 393757.2292999998)"
gwv_segmenten.9,2,3,58,Rechts, ,Combinatie,Geen,Mobile Mapping,Achterover,10,Nee,Nee,Niet,0,3,168,Aarde,Stenen, ,GWV_3_2.jpg,2009-07-31T00:00:00,Fugro-Inpark B.V.,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/,http://www.rijkswaterstaat.nl/apps/geoservices/geodata/dmc/GWV/Geluidwerende voorzieningen/GWV_2021/03_Images/GWV_3_2.jpg,,"LINESTRING (91143.25800000131 393342.2719999999, 91153.29050000012 393342.25549999997, 91163.32299999893 393342.23900000006, 91174.0075000003 393342.26850000024, 91184.69200000167 393342.2980000004, 91184.86349999905 393342.3132000007, 91193.85700000077 393342.4466999993, 91202.85049999878 393342.5802000016, 91211.85000000149 393342.8458000012, 91220.84959999844 393343.11140000075, 91232.8291000016 393343.6697999984, 91241.81650000066 393344.2531999983, 91250.80389999971 393344.8365000002, 91259.77419999987 393345.63049999997, 91268.74450000003 393346.42449999973, 91280.69469999894 393347.7120000012, 91292.58630000055 393349.25140000135, 91298.5186999999 393350.0947000012, 91310.38199999928 393351.9096999988)"
