FID,x,y,id,complex_naam,complex_code,dsk_kw_code,naam,omschrijving,beheerobjectsoort,aard,netwerk,route,relatie_tot_weg,rdx,rdy,stichtingsjaar,archiefcode,beheerder_instantieid,beheerder,beheerder_id,se_anno_cad_data,gdb_geomattr_data,shape
duiker.15,251414,576620,242,Duiker,07H-301,07H-301-01,Duiker,Duiker onder de rijksweg,Duiker,Droog,HWN,A7,in RW,251.414,576.62,1987,07H-301-00,1687,RWS NN / NN District Oost,1687,,,POINT (251414 576620)
duiker.16,255740,576450,244,07H 302,07H-302,07H-302-01,naam onbekend,Duiker onder de rijksweg,Duiker,Droog,HWN,,,255.74,576.45,1987,07H-302-00,1217,n.v.t.,1217,,,POINT (255740 576450)
duiker.34,236320,573880,357,12B 308,12B-308,12B-308-01,naam onbekend,Duiker onder Noord-Willemskanaal,Duiker,,,????,,236.32,573.88,1965,12B-308-00,885,PROVINCIE,885,,,POINT (236320 573880)
duiker.35,236780,572440,358,Stroomkanaal (Grondduiker),12B-310,12B-310-01,Stroomkanaal (Grondduiker),Sifon onder het stroomkanaal gelegen tussen object 12B-303-02 en landbouwbrug ,Duiker,Droog,HWN,A28,niet RW,236.78,572.44,1963,12B-310-00,1687,RWS NN / NN District Oost,1687,,,POINT (236780 572440)
duiker.36,232790,554230,381,Anreperdiep,12D-306,12D-306-01,Duiker Anreperdiep,"Duiker Anreperdiep 028-170,855",Duiker,Droog,HWN,A28,in RW,232.79,554.23,1972,12D-306-00,1687,RWS NN / NN District Oost,1687,,,POINT (232790 554230)
duiker.37,232880,554410,382,Anreperdiep,12D-306,12D-306-02,Duiker Anreperdiep,"Duiker Anreperdiep 033-006,215a",Duiker,Droog,HWN,N33,in RW,232.88,554.41,1972,12D-306-00,1217,n.v.t.,1217,,,POINT (232880 554410)
duiker.38,232930,554500,383,Anreperdiep,12D-306,12D-306-03,Duiker Anreperdiep,"Duiker Anreperdiep 033-006,190",Duiker,Droog,HWN,N33,in RW,232.93,554.5,1972,12D-306-00,1687,RWS NN / NN District Oost,1687,,,POINT (232930 554500)
duiker.39,233000,554580,384,Anreperdiep,12D-306,12D-306-04,Duiker Anreperdiep,"Duiker Anreperdiep 028-171,175r",Duiker,Droog,HWN,A28,in RW,233,554.58,1972,12D-306-00,1687,RWS NN / NN District Oost,1687,,,POINT (233000 554580)
duiker.44,108880,526040,438,Gemaal,14D-302,14D-302-01,Gemaal,Duiker onder de rijksweg bij gemaal,Duiker,Droog,HWN,N9,,108.88,526.04,,14D-302-00,1667,RWS WNN / WNN District Noord,1667,,,POINT (108880 526040)
duiker.45,108550,526510,444,14D 318,14D-318,14D-318-01,naam onbekend,Duiker bij Catrijper Moor (kleiner dan 1.50),Duiker,Droog,HWN,????,in RW,108.55,526.51,,14D-318-00,1667,RWS WNN / WNN District Noord,1667,,,POINT (108550 526510)
duiker.56,177534,540281,495,Lemster Rijn,15F-305,15F-305-01,Lemster Rijn,Duiker in de Lemster Rijn,Duiker,Droog,HWN,A6,in RW,177.534,540.281,1960,15F-305-00,1686,RWS NN / NN District West,1686,,,POINT (177534 540281)
duiker.89,191706,503612,707,Duiker,21D-307,21D-307-01,Duiker onder rijksweg A50,Duiker onder de rijksweg,Duiker,Droog,HWN,N50,in RW,191.706,503.612,1986,21D-307-00,1679,RWS ON / ON District Noord,1679,,,POINT (191706 503612)
duiker.95,206750,500680,743,Herfterwetering,21G-306,21G-306-01,Herfterwetering,Duiker in de Herfterwetering,Duiker,Droog,HWN,N35,in RW,206.75,500.68,1930,21G-306-00,1679,RWS ON / ON District Noord,1679,,,POINT (206750 500680)
duiker.99,107450,495410,811,Zijkanaal B,25A-316,25A-316-01,Zijkanaal B,Duiker in Zijkanaal B onder de N202,Duiker,Nat,HWS,,,107.45,495.41,1960,25A-316-00,1667,RWS WNN / WNN District Noord,1667,,,POINT (107450 495410)
duiker.110,119713,492520,858,Ringweg-Noord,25B-380,25B-380-01,Ringweg-Noord,Duiker onder de Ringweg-Noord,Duiker,Droog,HWN,A10,in RW,119.713,492.52,1966,25B-380-00,1666,RWS WNN / WNN District Zuid,1666,,,POINT (119713 492520)
duiker.139,210568,497737,1074,Ganzenpannerbrug,27F-001,27F-001-06,Prefab.duiker in Steenwetering,"Duiker in de Steenwetering, onder de parallelweg.",Duiker,Droog,HWN,N35,niet RW,210.568,497.737,1978,27F-001-00,1679,RWS ON / ON District Noord,1679,,,POINT (210568 497737)
duiker.140,210613,497789,1075,Ganzenpannerbrug,27F-001,27F-001-07,Duiker 1+2 Damholterwetering,Duiker 1+2 in Damholterwetering onder de westelijke en oostelijke parallelweg (kleiner dan 1.50m),Duiker,Droog,HWN,N35,niet RW,210.613,497.789,1978,27F-001-00,1679,RWS ON / ON District Noord,1679,,,POINT (210613 497789)
duiker.141,216060,489520,1080,Duiker MBI,27F-310,27F-310-01,Duiker MBI,Duiker onder de rijkweg,Duiker,Droog,HWN,N35,in RW,216.06,489.52,1940,27F-310-00,1679,RWS ON / ON District Noord,1679,,,POINT (216060 489520)
duiker.143,239030,484500,1124,Nieuwe Graven,28D-311,28D-311-01,Nieuwe Graven,"Grondduiker onder het Twenthekanaal, V80",Duiker,Nat,HWS,,,239.03,484.5,1936,28D-311-00,1678,RWS ON / ON District Oost,1678,,,POINT (239030 484500)
duiker.144,239850,481600,1125,Bornebroekse waterleiding,28D-312,28D-312-01,Bornebroekse waterleiding,Grondduiker onder het Tenthekanaal,Duiker,Nat,HWS,,,239.85,481.6,1936,28D-312-00,1217,n.v.t.,1217,,,POINT (239850 481600)
duiker.145,238910,486100,1126,Wendelgoorsebeek,28D-313,28D-313-01,Wendelgoorsebeek,Grondduiker onder het Twenthekanaal,Duiker,Nat,HWS,,,238.91,486.1,1949,28D-313-00,1678,RWS ON / ON District Oost,1678,,,POINT (238910 486100)
duiker.148,240700,477840,1158,Schipvaart-Twicklervaart,28G-329,28G-329-01,Schipvaart-Twicklervaart,Grondduiker onder het Twenthekanaal,Duiker,Nat,HWS,,,240.7,477.84,1936,28G-329-00,1678,RWS ON / ON District Oost,1678,,,POINT (240700 477840)
duiker.166,86220,453870,1227,Goowetering,30G-184,30G-184-01,Goowetering,Duiker in de Goowetering,Duiker,Droog,HWN,,niet RW,86.22,453.87,1939,30G-184-00,880,Geen beheerder/Gesloopt/niet uitgevoerd,880,,,POINT (86220 453870)
duiker.167,86868,454307,1228,Broeksloot,30G-185,30G-185-01,naam onbekend,Duiker in de Broeksloot,Duiker,Droog,HWN,,niet RW,86.868,454.307,1939,30G-185-00,1217,n.v.t.,1217,,,POINT (86868 454307)
duiker.175,85486,456764,1242,Sijtwendetunnel,30G-006,30G-006-05,naam onbekend,Duiker onder de noordelijke toe en afrit verkeerstunnel,Duiker,Droog,HWN,N14,niet RW,85.486,456.764,2001,30G-226-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (85486 456764)
duiker.182,87760,454980,1255,Brug Starrevaart,30G-308,30G-308-01,Brug Starrevaart,Brug over de Starrevaart,Duiker,Droog,HWN,A4,in RW,87.76,454.98,1939,30G-308-00,1669,RWS WNZ / WNZ District Noord,1669,,,POINT (87760 454980)
duiker.185,91230,458000,1268,Weegsloot,30H-001,30H-001-01,Weegsloot,Brug over de Weegsloot,Duiker,Droog,HWN,,niet RW,91.23,458,1948,30H-124-00,1217,n.v.t.,1217,,,POINT (91230 458000)
duiker.187,91696,458663,1270,Bakkersloot,30H-002,30H-002-01,Bakkerssloot,Brug over de Bakkerssloot,Duiker,Droog,HWN,,niet RW,91.696,458.663,1948,30H-125-00,1217,n.v.t.,1217,,,POINT (91696 458663)
duiker.198,92164,459215,1292,Vinkesloot,30H-126,30H-126-01,Vinkesloot,Duiker in de Vinkesloot,Duiker,Droog,HWN,,niet RW,92.164,459.215,1953,30H-126-00,1217,n.v.t.,1217,,,POINT (92164 459215)
duiker.223,144340,471180,1529,Knooppunt Eemnes,32A-001,32A-001-09,naam onbekend,Duiker onder rijksweg 1,Duiker,Droog,HWN,A1,in RW,144.34,471.18,1969,32A-305-00,1676,RWS MN / MN District Zuid,1676,,,POINT (144340 471180)
duiker.226,151090,469590,1537,Achtereemlandsche Wetering,32B-307,32B-307-01,Achtereemlandsche Wetering,Duiker in de Achtereemlandsche Wetering,Duiker,Droog,HWN,A1,in RW,151.09,469.59,1952,32B-307-00,1676,RWS MN / MN District Zuid,1676,,,POINT (151090 469590)
duiker.238,213222,472638,1631,Zwormer,33F-305,33F-305-02,Zwormer - Noord,"Duiker onder de Oxersteeg (Noordzijde, HRL)",Duiker,Droog,HWN,A1,niet RW,213.222,472.638,1969,33F-305-00,1679,RWS ON / ON District Noord,1679,,,POINT (213222 472638)
duiker.239,213234,472540,1632,Zwormer,33F-305,33F-305-03,Zwormer - Zuid,"Duiker onder de Oxersteeg (Zuidzijde, HRR)",Duiker,Droog,HWN,A1,niet RW,213.234,472.54,1969,33F-305-00,1679,RWS ON / ON District Noord,1679,,,POINT (213234 472540)
duiker.249,231448,468018,1713,Schipbeek,34B-304,34B-304-01,Schipbeek,Grondduiker + overlaat onder het Twenthekanaal,Duiker,Nat,HWS,,,231.448,468.018,1932,34B-304-00,1678,RWS ON / ON District Oost,1678,,,POINT (231448 468018)
duiker.259,247836,474573,1732,Oelerbeek,34E-303,34E-303-01,Oelerbeek,Grondduiker onder het Twenthekanaal,Duiker,Nat,HWS,,,247.836,474.573,1932,34E-303-00,1678,RWS ON / ON District Oost,1678,,,POINT (247836 474573)
duiker.260,246500,474600,1733,Flierleiding,34E-304,34E-304-01,Flierleiding,Grondduiker onder het Twenthekanaal,Duiker,Nat,HWS,,,246.5,474.6,1932,34E-304-00,1678,RWS ON / ON District Oost,1678,,,POINT (246500 474600)
duiker.301,84350,449224,1835,37E 168,37E-168,37E-168-01,Duiker in de Broekmolensloot in verlengde Vrijenbaanseweg HM 7.1A,Duiker in de Broekmolensloot,Duiker,Droog,HWN,A,niet RW,84.35,449.224,1986,37E-168-00,819,De Gemeente 1/De Gemeente 1,819,,,POINT (84350 449224)
duiker.330,96390,430770,1928,37H 137,37H-137,37H-137-01,naam onbekend,Duiker onder de 1e Barendrechtseweg,Duiker,Droog,HWN,A15,,96.39,430.77,,37H-137-00,1217,n.v.t.,1217,,,POINT (96390 430770)
duiker.334,93546,431061,1936,Molenvliet,37H-151,37H-151-01,Molenvliet duiker,Duiker in de Molenvliet,Duiker,Droog,HWN,A15,in RW,93.546,431.061,1972,37H-151-00,1670,RWS WNZ / WNZ District Zuid,1670,,,POINT (93546 431061)
duiker.338,96400,431400,1942,Spoorslootduiker,37H-313,37H-313-01,Spoorlootduiker,Duiker onder de 1e Barendrechtseweg,Duiker,Droog,HWN,????,,96.4,431.4,1930,37H-313-00,1217,n.v.t.,1217,,,POINT (96400 431400)
duiker.356,110251,427383,2023,Sliedrechtse Binnenvliet,38D-308,38D-308-01,Sliedrechtse Binnenvliet,Duiker onder de rijksweg in de Sliedrechtse Binnenvliet,Duiker,Droog,HWN,A15,,110.251,427.383,,38D-308-00,1217,n.v.t.,1217,,,POINT (110251 427383)
