Vri;Detector;Long;Lat;Datum;Uur;Waarde
1;1.2;5,144293271;52,09557255;1-9-2015;0;17
1;1.2;5,144293271;52,09557255;1-9-2015;1;0
1;1.2;5,144293271;52,09557255;1-9-2015;2;4
1;1.2;5,144293271;52,09557255;1-9-2015;4;3
1;1.2;5,144293271;52,09557255;1-9-2015;5;20
1;1.2;5,144293271;52,09557255;1-9-2015;6;100
1;1.2;5,144293271;52,09557255;1-9-2015;7;160
1;1.2;5,144293271;52,09557255;1-9-2015;8;169
1;1.2;5,144293271;52,09557255;1-9-2015;9;125
1;1.2;5,144293271;52,09557255;1-9-2015;10;111
1;1.2;5,144293271;52,09557255;1-9-2015;11;111
1;1.2;5,144293271;52,09557255;1-9-2015;12;108
1;1.2;5,144293271;52,09557255;1-9-2015;13;110
1;1.2;5,144293271;52,09557255;1-9-2015;14;152
1;1.2;5,144293271;52,09557255;1-9-2015;15;150
1;1.2;5,144293271;52,09557255;1-9-2015;16;251
1;1.2;5,144293271;52,09557255;1-9-2015;17;329
1;1.2;5,144293271;52,09557255;1-9-2015;18;206
1;1.2;5,144293271;52,09557255;1-9-2015;19;89
1;1.2;5,144293271;52,09557255;1-9-2015;20;74
1;1.2;5,144293271;52,09557255;1-9-2015;21;83
1;1.2;5,144293271;52,09557255;1-9-2015;22;67
1;1.2;5,144293271;52,09557255;1-9-2015;23;28
1;1.2;5,144293271;52,09557255;2-9-2015;0;10
1;1.2;5,144293271;52,09557255;2-9-2015;1;0
1;1.2;5,144293271;52,09557255;2-9-2015;2;7
1;1.2;5,144293271;52,09557255;2-9-2015;3;9
1;1.2;5,144293271;52,09557255;2-9-2015;4;4
1;1.2;5,144293271;52,09557255;2-9-2015;5;17
1;1.2;5,144293271;52,09557255;2-9-2015;6;97
1;1.2;5,144293271;52,09557255;2-9-2015;7;132
1;1.2;5,144293271;52,09557255;2-9-2015;8;164
1;1.2;5,144293271;52,09557255;2-9-2015;9;146
1;1.2;5,144293271;52,09557255;2-9-2015;10;113
1;1.2;5,144293271;52,09557255;2-9-2015;11;132
1;1.2;5,144293271;52,09557255;2-9-2015;12;137
1;1.2;5,144293271;52,09557255;2-9-2015;13;136
1;1.2;5,144293271;52,09557255;2-9-2015;14;136
1;1.2;5,144293271;52,09557255;2-9-2015;15;170
1;1.2;5,144293271;52,09557255;2-9-2015;16;219
1;1.2;5,144293271;52,09557255;2-9-2015;17;252
1;1.2;5,144293271;52,09557255;2-9-2015;18;189
1;1.2;5,144293271;52,09557255;2-9-2015;19;104
1;1.2;5,144293271;52,09557255;2-9-2015;20;83
1;1.2;5,144293271;52,09557255;2-9-2015;21;80
1;1.2;5,144293271;52,09557255;2-9-2015;22;67
1;1.2;5,144293271;52,09557255;2-9-2015;23;20
1;1.2;5,144293271;52,09557255;3-9-2015;0;16
1;1.2;5,144293271;52,09557255;3-9-2015;1;5
1;1.2;5,144293271;52,09557255;3-9-2015;2;3
1;1.2;5,144293271;52,09557255;3-9-2015;3;2
1;1.2;5,144293271;52,09557255;3-9-2015;4;3
1;1.2;5,144293271;52,09557255;3-9-2015;5;19
1;1.2;5,144293271;52,09557255;3-9-2015;6;85
