ID,STEMBUREAU,Wijk,GROOTSTEPERWIJK,Buurt,GROOTSTEPERBUURT,,VVD,AWP niet politiek wel deskundig,Partij van de Arbeid (P.v.d.A.),CDA,Water Natuurlijk,Partij voor de Dieren,50PLUS,ChristenUnie-SGP,Integer Liberaal,Partij Sociaal Cultureel Centrum (PSCC),Blanco lijst Gerritsen,Waterschapspartij PUUR.
1,Stembureau Stadskantoor,Centrum,Partij van de Arbeid (P.v.d.A.),Centrum ,Partij van de Arbeid (P.v.d.A.),,220,145,267,111,188,212,141,74,0,14,32,59
2,Stembureau Stadsgehoorzaal ,Oostwijk,VVD,Oostbuurt,Partij van de Arbeid (P.v.d.A.),,148,129,132,67,140,123,64,55,9,5,18,22
3,Stembureau Watertoren,Oostwijk,VVD,Hofbuurt,VVD,,142,94,98,48,115,64,28,43,3,1,5,12
4,Stembureau Kerkgebouw De Fontein,Centrum,Partij van de Arbeid (P.v.d.A.),Centrum,Partij van de Arbeid (P.v.d.A.),,106,95,94,58,94,92,54,71,1,4,21,21
5,Stembureau Rehobothkerk,Centrum,Partij van de Arbeid (P.v.d.A.),Indische Buurt,Partij van de Arbeid (P.v.d.A.),,162,87,112,91,99,105,96,87,4,4,25,27
6,Stembureau Zorgcentrum Soenda,Centrum,Partij van de Arbeid (P.v.d.A.),Indische Buurt,Partij van de Arbeid (P.v.d.A.),,69,112,154,83,63,46,115,64,3,9,31,48
7,Stembureau Basisschool Het Visnet,Centrum,Partij van de Arbeid (P.v.d.A.),Vettenoordse Polder Oost,Partij voor de Dieren,,127,78,140,46,133,149,75,63,0,11,21,42
8,Stembureau Wooncentrum De Bolder,Vettenoordse Polder,Partij van de Arbeid (P.v.d.A.),Maasboulevard,Partij van de Arbeid (P.v.d.A.),,64,52,68,24,46,35,66,28,0,1,7,14
9,Stembureau Johannes Calvijnschool,Westwijk,VVD,Wetering,VVD,,59,38,47,38,51,34,45,97,1,2,7,7
10,Stembureau CBS De Schakel,Westwijk,VVD,Wetering,VVD,,151,106,119,55,120,128,77,63,2,12,19,45
11,Stembureau OBS De Wereldwijzer,Westwijk,VVD,Hoogkamer,VVD,,148,132,111,89,140,113,96,66,2,10,20,25
12,Stembureau Wijkcentrum West,Westwijk,VVD,Zuidbuurt,VVD,,145,58,118,55,107,99,76,35,1,21,18,33
13,Stembureau Marnix Revalidatiecentrum,Westwijk,VVD,Zuidbuurt,VVD,,42,48,58,36,60,43,45,36,2,1,1,26
14,Stembureau Basisschool Het Spectrum,Oostwijk,VVD,Oostbuurt,Partij van de Arbeid (P.v.d.A.),,75,38,67,26,65,58,31,27,1,10,4,10
15,Stembureau Daltonschool De Klinker,Oostwijk,VVD,Oostbuurt,Partij van de Arbeid (P.v.d.A.),,101,79,144,69,107,111,54,41,1,9,21,23
16,Stembureau GBS Het Christal,Vlaardinger Ambacht,VVD,Babberspolder West,VVD,,113,86,132,56,95,94,64,63,2,11,16,27
17,Stembureau Kerkgenootschap Leger des Heils,Vlaardinger Ambacht,VVD,Babberspolder Oost,VVD,,246,128,186,90,165,146,105,58,8,15,14,32
18,Stembureau Bethelkerk,Vlaardinger Ambacht,VVD,Oranjebuurt,VVD,,275,169,177,181,198,132,71,103,3,2,17,26
19,Stembureau Begraafplaats Emaus,Centrum,Partij van de Arbeid (P.v.d.A.),Oranjebuurt,VVD,,167,140,129,77,133,94,55,58,0,1,16,25
20,Stembureau Hotel Restaurant Campanile,Vlaardinger Ambacht,VVD,Babberspolder Noord,VVD,,125,104,85,53,75,74,51,23,0,12,13,27
21,Stembureau Zorgcentrum De Meerpaal,Holy Zuid,VVD,Vaart Zuid,VVD,,188,82,81,88,55,47,60,30,2,0,5,16
22,Stembureau Vaartland,Holy Zuid,VVD,Statenbuurt,VVD,,112,71,69,80,70,49,49,34,0,3,10,16
23,Stembureau Het Zonnehuis,Holy Zuid,VVD,Statenbuurt,VVD,,88,54,122,48,46,47,65,17,0,1,10,19
24,Stembureau Drie‰nhuysen Zuid,Holy Zuid,VVD,Vaart Zuid,VVD,,116,62,101,106,96,58,102,53,2,0,10,16
25,Stembureau 't Palet Holy,Holy Zuid,VVD,Vogelbuurt Noord,Partij van de Arbeid (P.v.d.A.),,153,153,176,106,152,136,112,92,1,16,22,35
26,Stembureau Kerk van de Nazarener,Holy Zuid,VVD,Sportpark Holy,Partij van de Arbeid (P.v.d.A.),,67,87,106,62,84,83,95,47,3,6,11,21
27,Stembureau Woonzorgcentrum Uitzicht,Holy Noord,VVD,Vaart Noord,VVD,,101,63,81,64,87,63,63,111,3,2,11,14
28,Stembureau Hoylede,Holy Noord,VVD,Vaart Noord,VVD,,170,96,104,66,86,57,53,54,0,4,7,21
29,Stembureau IKC De Ark,Holy Noord,VVD,Hoofdstedenbuurt,Partij van de Arbeid (P.v.d.A.),,157,127,183,81,123,91,142,43,4,6,10,40
30,Stembureau De Wouthof,Holy Noord,VVD,Hoevenbuurt,Partij voor de Dieren,,90,154,175,86,157,190,172,79,3,3,12,37
31,Stembureau Begraafplaats Holy,Holy Noord,VVD,Drevenbuurt,VVD,,250,105,139,106,131,93,61,37,2,0,7,36
32,Stembureau RK Basisschool De Hoeksteen ,Holy Noord,VVD,Drevenbuurt,VVD,,279,158,198,148,176,113,102,47,5,1,22,37
