Leveranciers;1110 - Verhuiskosten personeel binnen- en buitenland;1120 - Arbeidsomstandigheden en personele zorg;1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Leren en ontwikkelen;1160 - Personeelsevenementen, bijeenkomsten en recepties;1180 - Reis & verblijfskosten;Eindtotaal
5hart-IT Opleidingen B.V.;;;;;1;;;1
7AM B.V.;;;1;;1;1;;2
a4 Training;;;;;2;;;2
AAA Movers;1;;;;;;;1
About Flowers;;;1;;;;;1
ABP-Reclame;;;1;;;;;1
Academie voor de Rechtspraktijk B.V.;;;;;1;;;1
Accenture B.V.;;;;;2;;;2
Accretor;;;;;1;;;1
ACE Performance;;;;;1;;;1
Advance Business Events;;;1;;;;;1
Adviesbureau Planplan;;1;;;;;;1
anoniem;;1;;;1;;;1
Ardis Opleidingen B.V.;;;;;6;1;;6
Artiestenverloningen B.V.;;;1;;;;;1
Artimedès B.V.;;;;;;1;;1
ARTTRA Cultureel Organisatiebureau;;;;;;1;;1
Atlantic Hotel Exploitatie B.V.;;;;;2;;1;2
Avans Hogeschool PRL B.V.;;;;;1;;;1
Avetica B.V.;;;;;1;;;1
B.V. Haagsche Sportprijzenhandel HSH;;;;;1;;;1
B.V. Hotel Bel Air Den Haag;;;;;;;1;1
B+B Vakmedianet B.V.;;;;;1;;;1
Balans & Impuls B.V.;;1;;;;;;1
Banketbakkerij Boheemen;;;1;;;;;1
Banketbakkerij Maison Kelder B.V.;;;1;;;;;1
Bar Restaurant La Vina;;;1;;;1;;1
Bar Restaurant Pavlov B.V.;;;1;;;1;;2
Bastion Hotel Het Loo B.V.;;;;;;;1;1
Battlefield Live Nederland B.V.;;;1;;;;;1
BCD Travel B.V.;;;;;;;1;1
Beachclub De Karavaan;;;1;;;;;1
Beachclub Indigo B.V.;;;1;;;;;1
Beachzone events;;;1;;;;;1
Bento Presentaties;;;;;1;;;1
Berenschot Groep B.V.;;;;2;2;;;3
Bestaansverwondering;;;;;1;;;1
Bex*communicatie;;;;;2;;;2
bITa Center B.V.;;;;;1;;;1
Boek- Kantoorvakhandel Veenerick B.V.;;;1;;;;;1
Boertiengroep;;;;;2;;;2
